number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	701	751	1001	1051
0	TrialState.COMPLETE	0.03824362606232295	2019-12-25 19:56:18.641298	2019-12-25 20:04:24.905063	250.0	1	51.0	0.06688657800214885	500.0	1.1029306767360088	0.000708215297450425	0.03824362606232295	0.031161473087818695	0.03523371104815864	22360.606276558072	0.01723484413352942	0.000708215297450425	0.03824362606232295	0.031161473087818695	0.03523371104815864	22360.430063739375	0.017234852429789824	0.000708215297450425	0.03824362606232295	0.031161473087818695	0.03523371104815864	22360.782489376772	0.0172348361393821	0	0.04001416430594901	0.03883380547686497												
1	TrialState.COMPLETE	0.24344900849858356	2019-12-25 20:04:24.906053	2019-12-25 20:11:30.116427	150.0	1	11.0	0.0016161603624494324	1100.0	0.1724300189382794	0.00398371104815864	0.24344900849858356	0.13239199716713881	0.1805506373937677	3494.7707152974504	0.08869053375679528	0.00398371104815864	0.24344900849858356	0.13239199716713881	0.180639164305949	3494.768546388102	0.08869215964852455	0.00398371104815864	0.24344900849858356	0.13239199716713881	0.1805506373937677	3494.772884206799	0.08868917654905131	1	0.26558073654390935	0.25082625118035884												
2	TrialState.COMPLETE	0.09746813031161473	2019-12-25 20:11:30.117427	2019-12-25 20:23:17.065065	450.0	1	71.0	0.003433258194653134	1300.0	0.6211463046778704	0.000796742209631728	0.09746813031161473	0.05431126062322946	0.07626593484419264	12589.712331798866	0.03544025694704782	0.000796742209631728	0.09746813031161473	0.05431126062322946	0.07626593484419264	12589.707241501417	0.03544025815168848	0.000796742209631728	0.09746813031161473	0.05431126062322946	0.07626593484419264	12589.717422096317	0.03544025574534056	2	0.18024079320113315	0.12505901794145421												
3	TrialState.COMPLETE	0.11282754957507082	2019-12-25 20:23:17.066067	2019-12-25 21:04:31.505531	250.0	2	41.0	0.004084101945713601	1300.0	0.436663042716388	0.020538243626062325	0.11282754957507082	0.051906279508970726	0.0739199716713881	8849.996444169028	0.051466259510673795	0.020538243626062325	0.11282754957507082	0.051906279508970726	0.0739199716713881	8849.991412889518	0.05146630964486324	0.020538243626062325	0.11282754957507082	0.051906279508970726	0.0739199716713881	8850.001475448536	0.051466211081643606	3									0.11216359773371105	0.11252575328354365				
4	TrialState.COMPLETE	0.04612252124645892	2019-12-25 21:04:31.506557	2019-12-25 21:27:37.052685	50.0	2	91.0	0.011371559518877118	1700.0	0.5708774518037892	0.009560906515580737	0.04612252124645892	0.023371104815864022	0.03200247875354108	11571.429809224504	0.022325604887948977	0.009560906515580737	0.04612252124645892	0.023371104815864022	0.03200247875354108	11571.415877301699	0.022325643189936354	0.009560906515580737	0.04612252124645892	0.023371104815864022	0.03200247875354108	11571.443741147308	0.022325567757846963	4					0.044735599622285176	0.04552812626467018								
5	TrialState.COMPLETE	0.032011331444759206	2019-12-25 21:27:37.053692	2019-12-25 21:39:20.730133	50.0	2	91.0	0.0183992433814005	800.0	0.709086022990087	0.0060198300283286115	0.032011331444759206	0.013703966005665723	0.019405099150141644	14374.178293201134	0.01452320590438368	0.0060198300283286115	0.032011331444759206	0.013703966005665723	0.019405099150141644	14374.162181303116	0.014523209207482938	0.0060198300283286115	0.032011331444759206	0.013703966005665723	0.019405099150141644	14374.19440509915	0.014523202614925878	5		0.032223796033994334	0.03209100566572238											
6	TrialState.COMPLETE	0.038730524079320115	2019-12-25 21:39:20.731101	2019-12-25 21:50:14.596869	450.0	1	31.0	0.01934806436480836	1100.0	1.0928050120300736	0.000708215297450425	0.038730524079320115	0.032223796033994334	0.035056657223796035	22155.187942634562	0.017585138405912533	0.000708215297450425	0.038730524079320115	0.032223796033994334	0.035056657223796035	22155.175991501415	0.017585141770436425	0.000708215297450425	0.038730524079320115	0.032223796033994334	0.035056657223796035	22155.199893767705	0.017585135065112844	6	0.04081090651558074	0.039423984891406985												
7	TrialState.COMPLETE	0.1311164048416173	2019-12-25 21:50:14.598511	2019-12-25 22:29:04.090918	250.0	2	81.0	0.001355448570287276	1000.0	0.47588501529338173	0.015242724697398919	0.1311164048416173	0.04667782642286892	0.07661601854236415	9644.455108807622	0.050727629632573004	0.0152588204996137	0.1311164048416173	0.04667782642286892	0.07661601854236415	9644.445531805306	0.05073301912240292	0.015242724697398919	0.1311164048416173	0.04667782642286892	0.07661601854236415	9644.46468580994	0.050724923205279354	7								0.12932798237330814	0.13031161473087818					
8	TrialState.COMPLETE	0.07009364180044067	2019-12-25 22:29:04.091877	2019-12-25 22:55:43.951323	50.0	2	31.0	0.005667248347826553	1300.0	0.4478614799699782	0.01792178155492603	0.07009364180044067	0.03596159899276047	0.049338999055712936	9077.017931617878	0.036622929989482085	0.01792178155492603	0.07009364180044067	0.03596159899276047	0.049338999055712936	9077.013161000945	0.036622941547191	0.01792178155492603	0.07009364180044067	0.03596159899276047	0.049338999055712936	9077.022702234814	0.03662291861234099	8						0.06912687171185755	0.06967067988668556							
9	TrialState.COMPLETE	0.09494511331444759	2019-12-25 22:55:43.952358	2019-12-25 23:03:26.865073	150.0	1	91.0	0.006828597894469362	900.0	0.4496359237104169	0.000708215297450425	0.09494511331444759	0.04868980169971671	0.07214943342776203	9114.017882436261	0.033965568692659695	0.000708215297450425	0.09494511331444759	0.04868980169971671	0.07214943342776203	9114.014695467422	0.03396556946655796	0.000708215297450425	0.09494511331444759	0.04868980169971671	0.07214943342776203	9114.021069405098	0.033965567921795684	9	0.16297804532577903	0.11762275731822475												
10	TrialState.COMPLETE	0.06913951841359774	2019-12-25 23:03:26.866081	2019-12-25 23:14:17.706279	450.0	1	21.0	0.004781207142484336	1000.0	0.6356469166509676	0.000708215297450425	0.06913951841359774	0.036251770538243626	0.05099150141643059	12883.541430594902	0.02519730124884349	0.000708215297450425	0.06913951841359774	0.036251770538243626	0.05099150141643059	12883.535941926346	0.025197553855194406	0.000708215297450425	0.06913951841359774	0.036251770538243626	0.05099150141643059	12883.546919263455	0.025197066658281676	10	0.11968838526912182	0.08598914069877242												
11	TrialState.COMPLETE	0.02872698300283286	2019-12-25 23:14:17.707348	2019-12-25 23:22:52.404512	250.0	2	41.0	0.02196626209736543	800.0	0.8456918653202746	0.007259206798866855	0.02872698300283286	0.013013456090651559	0.019121813031161474	17144.22941749292	0.014463268155386833	0.007259206798866855	0.02872698300283286	0.013013456090651559	0.019121813031161474	17144.218130311616	0.01446326832575224	0.007259206798866855	0.02872698300283286	0.013013456090651559	0.019121813031161474	17144.24070467422	0.014463267985122034	11	0.028771246458923514	0.02874173748819641												
