number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8918539325842697	2020-05-14 19:41:32.867999	2020-05-14 19:42:37.938972	256	0.4093344445671078	0.4602075905447389	44	0.10763861689486942	0.05955157249859537	128	0.009308815610656107	0.10710206556252522	0.2851123595505618	0.8918539325842697	0.5660112359550562	0.7219101123595506	5.123595505617978	0.472822331115194	0.2851123595505618	0.8918539325842697	0.5660112359550562	0.7219101123595506	5.123595505617978	0.472822331115194	4126884414	200	0.2851123595505618	0.8918539325842697	0.5660112359550562	0.7219101123595506	5.123595505617978	0.472822331115194	0	COMPLETE
1	0.9499063670411985	2020-05-14 19:42:38.057789	2020-05-14 19:44:55.641766	64	0.33403386014170205	0.22349904610199706	38	0.4028489366098387	0.0015813053047316298	512	0.05654371100788662	0.07356221713422194	0.450374531835206	0.9499063670411985	0.7574906367041199	0.8689138576779026	3.5271535580524342	0.6264664846395253	0.450374531835206	0.9499063670411985	0.7574906367041199	0.8689138576779026	3.5271535580524342	0.6264664846395253	2250335539	800	0.450374531835206	0.9499063670411985	0.7574906367041199	0.8689138576779026	3.5271535580524342	0.6264664846395253	1	COMPLETE
2	0.9667602996254682	2020-05-14 19:44:55.768355	2020-05-14 19:46:25.969310	64	0.44457642162006183	0.18653270784944087	63	0.08572894667221354	0.003538592555384162	256	0.013643637986611485	0.06347603969841023	0.49625468164794007	0.9667602996254682	0.8085205992509363	0.9058988764044944	3.041198501872659	0.667315271754752	0.49625468164794007	0.9667602996254682	0.8085205992509363	0.9058988764044944	3.041198501872659	0.667315271754752	123021178	450	0.49625468164794007	0.9667602996254682	0.8085205992509363	0.9058988764044944	3.041198501872659	0.667315271754752	2	COMPLETE
3	0.9700374531835206	2020-05-14 19:46:26.097369	2020-05-14 19:48:15.084013	128	0.1693647016472155	0.04625071049245344	44	0.4307446210928032	0.001735886675037761	512	0.004021266455201176	0.058992473920458435	0.523876404494382	0.9700374531835206	0.8347378277153558	0.9176029962546817	2.8366104868913857	0.6924312466444684	0.523876404494382	0.9700374531835206	0.8347378277153558	0.9176029962546817	2.8366104868913857	0.6924312466444684	1079581847	600	0.523876404494382	0.9700374531835206	0.8347378277153558	0.9176029962546817	2.8366104868913857	0.6924312466444684	3	COMPLETE
4	0.9400749063670412	2020-05-14 19:48:15.202459	2020-05-14 19:49:55.466370	128	0.4213910013891136	0.1991688415051065	57	0.4516724915297226	0.03925012448468083	512	0.001404044195207203	0.08336422462295393	0.3782771535580524	0.9400749063670412	0.6872659176029963	0.8160112359550562	3.990168539325843	0.5650147974342465	0.3782771535580524	0.9400749063670412	0.6872659176029963	0.8160112359550562	3.990168539325843	0.5650147974342465	700625697	550	0.3782771535580524	0.9400749063670412	0.6872659176029963	0.8160112359550562	3.990168539325843	0.5650147974342465	4	COMPLETE
5	0.9634831460674157	2020-05-14 19:49:55.589810	2020-05-14 19:51:15.850964	256	0.35066283946956345	0.19061649163408667	45	0.14241142805990004	0.0013689934908472858	128	0.006246443528907151	0.06423303973250621	0.4845505617977528	0.9634831460674157	0.8174157303370787	0.9063670411985019	3.0866104868913857	0.6641275692848512	0.4845505617977528	0.9634831460674157	0.8174157303370787	0.9063670411985019	3.0866104868913857	0.6641275692848512	2389965339	300	0.4845505617977528	0.9634831460674157	0.8174157303370787	0.9063670411985019	3.0866104868913857	0.6641275692848512	5	COMPLETE
6	0.900749063670412	2020-05-14 19:51:15.989629	2020-05-14 19:52:15.855222	64	0.49008796908671803	0.44914970457660713	62	0.4535752810935867	0.013686257761796387	512	0.053653435323129925	0.10067344365871689	0.2893258426966292	0.900749063670412	0.6044007490636704	0.7485955056179775	4.832865168539326	0.4847326073347057	0.2893258426966292	0.900749063670412	0.6044007490636704	0.7485955056179775	4.832865168539326	0.4847326073347057	1787468595	350	0.2893258426966292	0.900749063670412	0.6044007490636704	0.7485955056179775	4.832865168539326	0.4847326073347057	6	COMPLETE
7	0.9611423220973783	2020-05-14 19:52:15.950882	2020-05-14 19:53:49.048698	64	0.26142121704538984	0.486069241328477	51	0.05580484693601234	0.00925071747131323	128	0.013771363097747263	0.06707044533534108	0.4499063670411985	0.9611423220973783	0.7837078651685393	0.8867041198501873	3.2134831460674156	0.6350244579568816	0.4499063670411985	0.9611423220973783	0.7837078651685393	0.8867041198501873	3.2134831460674156	0.6350244579568816	3428889108	350	0.4499063670411985	0.9611423220973783	0.7837078651685393	0.8867041198501873	3.2134831460674156	0.6350244579568816	7	COMPLETE
8	0.9648876404494382	2020-05-14 19:53:49.151303	2020-05-14 19:54:41.856454	256	0.23720749763893495	0.04067036457592804	54	0.18375913667146565	0.0166979126914668	128	0.0019572407547028586	0.06236263819227225	0.4812734082397004	0.9648876404494382	0.8146067415730337	0.9068352059925093	2.989232209737828	0.6593836824233125	0.4812734082397004	0.9648876404494382	0.8146067415730337	0.9068352059925093	2.989232209737828	0.6593836824233125	207689225	200	0.4812734082397004	0.9648876404494382	0.8146067415730337	0.9068352059925093	2.989232209737828	0.6593836824233125	8	COMPLETE
9	0.8239700374531835	2020-05-14 19:54:41.974831	2020-05-14 19:56:06.859100	256	0.18775119008286656	0.21780931175171236	35	0.24469012308710986	0.07333411724347497	256	0.7842717239129438	0.13466488589421055	0.1952247191011236	0.8239700374531835	0.4386704119850187	0.5908239700374532	6.506086142322097	0.37718185012294897	0.1952247191011236	0.8239700374531835	0.4386704119850187	0.5908239700374532	6.506086142322097	0.37718185012294897	655123438	400	0.1952247191011236	0.8239700374531835	0.4386704119850187	0.5908239700374532	6.506086142322097	0.37718185012294897	9	COMPLETE
