number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	451	501	651	701
0	TrialState.COMPLETE	0.019166076487252125	2019-12-31 23:22:12.522550	2020-01-01 00:05:52.704820	0.38472535189081813	21.40361040008555	350.0	60.0	0.00477985320323038	800.0	0.5450570109987856	0.010623229461756374	0.019166076487252125	0.014407754957507082	0.0163110835694051	11049.52406825425	0.014091933908358643	0.010623229461756374	0.019166076487252125	0.014407754957507082	0.0163110835694051	11049.518989022663	0.014091933953339875	0.010623229461756374	0.019166076487252125	0.014407754957507082	0.0163110835694051	11049.529147485835	0.014091933863405876	0					0.018649669499527857	0.018944759206798868					
1	TrialState.COMPLETE	0.011913193039255362	2020-01-01 00:05:52.710635	2020-01-01 00:43:25.987177	0.37669220639465884	7.483590026470588	450.0	10.0	0.009172253506792079	500.0	0.8788527343947526	0.009763253743423714	0.011913193039255362	0.010749696479158235	0.011179684338324565	17816.750632335086	0.01073879759821376	0.009763253743423714	0.011913193039255362	0.010749696479158235	0.011179684338324565	17816.747344192634	0.010738797620986354	0.009763253743423714	0.011913193039255362	0.010749696479158235	0.011179684338324565	17816.75392047754	0.010738797575449476	1				0.012004249291784702	0.01195113314447592						
2	TrialState.COMPLETE	0.012950222581950627	2020-01-01 00:43:25.988429	2020-01-01 01:13:16.010474	0.6651606952598133	17.668923887658675	50.0	150.0	0.01189540955015695	600.0	0.5869475272975768	0.0063992310805341965	0.012950222581950627	0.009282679077296642	0.010597936058276	11899.107294617565	0.009169340293368723	0.0063992310805341965	0.012950222581950627	0.009282679077296642	0.010597936058276	11899.103247673007	0.009169340339369433	0.0063992310805341965	0.012950222581950627	0.009282679077296642	0.010597936058276	11899.11134156212	0.009169340247391662	2				0.012322946175637393	0.012688857412653447						
3	TrialState.COMPLETE	0.020462363415621205	2020-01-01 01:13:16.011657	2020-01-01 01:48:35.432751	0.34507335198037803	22.25805221921729	250.0	130.0	0.004009935959576502	600.0	0.5333293115244738	0.01069910967219749	0.020462363415621205	0.014998988263860785	0.017047753945770943	10811.778847126669	0.014922470590327537	0.01069910967219749	0.020462363415621205	0.014998988263860785	0.017047753945770943	10811.775596924323	0.014922470620654105	0.01069910967219749	0.020462363415621205	0.014998988263860785	0.017047753945770943	10811.782097329016	0.01492247056001457	3				0.020502832861189802	0.02047922568460812						
4	TrialState.COMPLETE	0.38701242100675526	2020-01-01 01:48:35.433886	2020-01-01 03:06:11.573913	0.8180562310344799	4.993924825820828	250.0	60.0	0.0017137958451437251	600.0	0.4503926165366044	0.1586810852037481	0.38701242100675526	0.29706907823055134	0.343511658313358	9129.97408885378	0.24087264548430817	0.1586810852037481	0.38701242100675526	0.29706907823055134	0.343511658313358	9129.970745260405	0.24087264550867432	0.1586810852037481	0.38701242100675526	0.29706907823055134	0.343511658313358	9129.977432447156	0.24087264545994772	4											
5	TrialState.COMPLETE	0.0003541076487252125	2020-01-01 03:06:11.575152	2020-01-01 03:18:16.169224	0.1925126814563426	28.50464836850706	50.0	140.0	0.04946528865615419	800.0	0.9976773003746786	0.0	0.0003541076487252125	8.852691218130312e-05	0.0001327903682719547	20225.697835516996	0.0002639565614049013	0.0	0.0003541076487252125	8.852691218130312e-05	0.0001327903682719547	20225.691306657223	0.000263956598048186	0.0	0.0003541076487252125	8.852691218130312e-05	0.0001327903682719547	20225.704364376772	0.0002639565247855676	5	0.0003541076487252125	0.0003541076487252125									
6	TrialState.COMPLETE	0.27729848055627093	2020-01-01 03:18:16.170986	2020-01-01 04:46:07.522531	0.9356315195861515	7.0694716350006495	450.0	100.0	0.00201964089382758	500.0	0.47288809064640547	0.08857519958794746	0.27729848055627093	0.17277234097347413	0.2174864795261396	9586.091166623744	0.149970643468924	0.08857519958794746	0.27729848055627093	0.17277234097347413	0.2174864795261396	9586.08836595416	0.14997064351998687	0.08857519958794746	0.27729848055627093	0.17277234097347413	0.2174864795261396	9586.09396729333	0.14997064341789101	6											
7	TrialState.COMPLETE	0.021777620396600566	2020-01-01 04:46:07.523813	2020-01-01 05:13:27.882316	0.16583410349320835	2.7738155305797183	250.0	110.0	0.020075188280030555	900.0	0.7663390716209155	0.004514872521246459	0.021777620396600566	0.016200424929178472	0.018649669499527857	15536.177437440982	0.01164837414107162	0.004514872521246459	0.021777620396600566	0.016200424929178472	0.018649669499527857	15536.176168555241	0.01164837429690279	0.004514872521246459	0.021777620396600566	0.016200424929178472	0.018649669499527857	15536.178706326724	0.011648373985522252	7			0.020007082152974504	0.021069405099150142							
8	TrialState.COMPLETE	0.002700070821529745	2020-01-01 05:13:27.883627	2020-01-01 05:30:48.600867	0.5964889911844888	2.0565192813875717	450.0	80.0	0.06250329160981893	700.0	0.8627005261607077	0.000708215297450425	0.002700070821529745	0.0014606940509915014	0.0018590651558073655	17489.476385446174	0.0015432145184809147	0.000708215297450425	0.002700070821529745	0.0014606940509915014	0.0018590651558073655	17489.474150141643	0.0015432145245329381	0.000708215297450425	0.002700070821529745	0.0014606940509915014	0.0018590651558073655	17489.47862075071	0.0015432145124294025	8	0.0018590651558073655	0.002419735599622285									
9	TrialState.COMPLETE	0.04282489376770538	2020-01-01 05:30:48.602288	2020-01-01 06:14:38.985818	0.7520387384606924	4.350521782658805	250.0	150.0	0.006445914026583755	600.0	0.49922095932124566	0.02113580028328612	0.04282489376770538	0.029612252124645893	0.034791076487252125	10120.380267351275	0.029277576323805288	0.02113580028328612	0.04282489376770538	0.029612252124645893	0.034791076487252125	10120.376504957507	0.02927757635961333	0.02113580028328612	0.04282489376770538	0.029612252124645893	0.034791076487252125	10120.384029745042	0.029277576288008863	9					0.042168319169027385	0.04254350465398624					
10	TrialState.COMPLETE	0.1530549832603657	2020-01-01 06:14:38.986915	2020-01-01 07:49:08.345295	0.52423209126403	6.9037057253372085	450.0	130.0	0.002493899256364524	500.0	0.46873248220430047	0.04052922997682205	0.1530549832603657	0.08017319083183105	0.1051699716713881	9501.97776364924	0.0781332830128877	0.04052922997682205	0.1530549832603657	0.08017319083183105	0.1051699716713881	9501.975502189029	0.07813328308915367	0.04052922997682205	0.1530549832603657	0.08017319083183105	0.1051699716713881	9501.980025109451	0.07813328293673437	10											
