number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.3798553606450207	2020-01-05 13:51:12.575873	2020-01-05 15:27:20.970180	250.0	2	51.0	0.0016003080597954222	1600.0	0.08090435189170277	0.000708215297450425	0.3798553606450207	0.19353344955327959	0.2797450424929179	1639.4943751361952	0.12889874696394718	0.000708215297450425	0.3798553606450207	0.19353344955327959	0.2797450424929179	1639.4937350185226	0.128898760197264	0.000708215297450425	0.3798553606450207	0.19353344955327959	0.2797450424929179	1639.495015253868	0.12889873449103179	9																0.3783271364494806	0.3791218130311615
10	TrialState.COMPLETE	0.037387865911237016	2020-01-05 15:27:20.971053	2020-01-05 15:42:32.174196	150.0	2	41.0	0.03631514939459192	2000.0	0.6999164246890355	0.000708215297450425	0.037387865911237016	0.027413833805476864	0.03184017941454202	14187.404863078376	0.016625285422363745	0.000708215297450425	0.037387865911237016	0.027413833805476864	0.03184017941454202	14187.401558073654	0.016625288069354555	0.000708215297450425	0.037387865911237016	0.027413833805476864	0.03184017941454202	14187.408168083097	0.016625282794099035	10			0.03704851274787535	0.03725212464589235													
11	TrialState.COMPLETE	0.27615970254957506	2020-01-05 15:42:32.174994	2020-01-05 15:51:54.408337	350.0	2	21.0	0.006435458753021814	1500.0	0.16255253744036696	0.000708215297450425	0.27615970254957506	0.14040368271954673	0.20069050991501416	3293.8532445113315	0.09650371542447034	0.000708215297450425	0.27615970254957506	0.14040368271954673	0.20069050991501416	3293.852115793201	0.0965037238948643	0.000708215297450425	0.27615970254957506	0.14040368271954673	0.20069050991501416	3293.8543732294615	0.09650370704746948	11	0.28372875354107646	0.27868271954674223															
12	TrialState.COMPLETE	0.31079874368764626	2020-01-05 15:51:54.409151	2020-01-05 16:48:19.504354	50.0	2	1.0	0.0017947671071557431	1100.0	0.09497463524522984	0.000708215297450425	0.31079874368764626	0.15526080798127848	0.22655191526050006	1924.923020076364	0.10614276219411137	0.000708215297450425	0.31079874368764626	0.15526080798127848	0.22655191526050006	1924.9225351028451	0.10614276225726488	0.000708215297450425	0.31079874368764626	0.15526080798127848	0.22655191526050006	1924.923505049883	0.10614276213111433	12													0.3091528396060974	0.3100131985578161			
13	TrialState.COMPLETE	0.010623229461756374	2020-01-05 16:48:19.505158	2020-01-05 16:56:35.495741	250.0	1	81.0	0.060355027206637026	700.0	0.8031549807536578	0.000708215297450425	0.010623229461756374	0.008410056657223795	0.009383852691218131	16280.136729815864	0.0056461531845349005	0.000708215297450425	0.010623229461756374	0.008410056657223795	0.009383852691218131	16280.133587110482	0.005646153510931308	0.000708215297450425	0.010623229461756374	0.008410056657223795	0.009383852691218131	16280.139872521246	0.0056461528587359805	13	0.012039660056657223	0.011095372993389991															
14	TrialState.COMPLETE	0.37900584277620397	2020-01-05 16:56:35.496550	2020-01-05 18:52:28.500492	450.0	2	51.0	0.0014608555444823907	1600.0	0.08207060766668801	0.000708215297450425	0.37900584277620397	0.1912919027384325	0.27908846789423986	1663.1182867091595	0.12821495770849478	0.000708215297450425	0.37900584277620397	0.1912919027384325	0.27908846789423986	1663.1176153800754	0.1282149578018635	0.000708215297450425	0.37900584277620397	0.1912919027384325	0.27908846789423986	1663.1189580382436	0.12821495761524598	14														0.37713269379345865	0.378109988914891		
15	TrialState.COMPLETE	0.030763101983002833	2020-01-05 18:52:28.501304	2020-01-05 19:00:38.888829	250.0	2	11.0	0.03368929196393698	1200.0	0.7976224868064086	0.000708215297450425	0.030763101983002833	0.024699008498583568	0.02757613314447592	16167.962818696884	0.01401036424672577	0.000708215297450425	0.030763101983002833	0.024699008498583568	0.02757613314447592	16167.960162889518	0.014010366487505886	0.000708215297450425	0.030763101983002833	0.024699008498583568	0.02757613314447592	16167.96547450425	0.014010362023775001	15	0.03337464589235128	0.03163361661945231															
16	TrialState.COMPLETE	0.0047804532577903685	2020-01-05 19:00:38.889638	2020-01-05 19:07:19.454044	50.0	1	31.0	0.06233034434661364	1200.0	0.8401299632855082	0.000708215297450425	0.0047804532577903685	0.0026558073654390935	0.0032754957507082154	17029.76210605524	0.0025779024414996792	0.000708215297450425	0.0047804532577903685	0.0026558073654390935	0.0032754957507082154	17029.759428116147	0.0025779025253795714	0.000708215297450425	0.0047804532577903685	0.0026558073654390935	0.0032754957507082154	17029.764783994335	0.0025779023576560692	16	0.005488668555240793	0.005016525023607177															
17	TrialState.COMPLETE	0.3622248855959904	2020-01-05 19:07:19.454861	2020-01-05 19:56:24.637079	250.0	2	81.0	0.004250824014021063	600.0	0.09599086314216121	0.000708215297450425	0.3622248855959904	0.17943724122902593	0.2605687513619525	1945.143086729135	0.12213805700753665	0.000708215297450425	0.3622248855959904	0.17943724122902593	0.2605687513619525	1945.1423648943125	0.12213823224359618	0.000708215297450425	0.3622248855959904	0.17943724122902593	0.2605687513619525	1945.1438085639572	0.12213790671818901	17																	
18	TrialState.COMPLETE	0.29501593484419264	2020-01-05 19:56:24.637889	2020-01-05 20:06:50.009079	450.0	2	31.0	0.0053964741443380555	1300.0	0.1588432862318532	0.000708215297450425	0.29501593484419264	0.1447415014164306	0.21197769121813032	3218.615748937677	0.10120365751263959	0.000708215297450425	0.29501593484419264	0.1447415014164306	0.21197769121813032	3218.6145095609063	0.10120365758479868	0.000708215297450425	0.29501593484419264	0.1447415014164306	0.21197769121813032	3218.6169883144476	0.1012036574405274	18	0.3044440509915014	0.2981586402266289															
19	TrialState.COMPLETE	0.01389872521246459	2020-01-05 20:06:50.009887	2020-01-05 20:17:50.497264	450.0	1	61.0	0.01442254148622761	1900.0	0.7894247602238982	0.000708215297450425	0.01389872521246459	0.008852691218130312	0.010490439093484419	16001.316970609065	0.006460811581052347	0.000708215297450425	0.01389872521246459	0.008852691218130312	0.010490439093484419	16001.313119688386	0.006460811796624294	0.000708215297450425	0.01389872521246459	0.008852691218130312	0.010490439093484419	16001.320821529745	0.006460811365661585	19	0.01593484419263456	0.014577431539187913															
20	TrialState.COMPLETE	0.3521600566572238	2020-01-05 20:17:50.498072	2020-01-05 21:33:17.952256	50.0	2	81.0	0.006574114281674914	1700.0	0.08611096151031782	0.000708215297450425	0.3521600566572238	0.17124953812045818	0.25004618795418154	1745.0316195036335	0.11931040400902404	0.000708215297450425	0.3521600566572238	0.17124953812045818	0.25004618795418154	1745.0308997413474	0.11931040597612876	0.000708215297450425	0.3521600566572238	0.17124953812045818	0.25004618795418154	1745.0323392659195	0.11931040207057807	20													0.35037265614461083	0.3513069791398403			
21	TrialState.COMPLETE	0.05320467422096317	2020-01-05 21:33:17.953058	2020-01-05 21:42:34.965921	350.0	1	41.0	0.0030865155318526073	1400.0	0.7209085066282013	0.000708215297450425	0.05320467422096317	0.04337818696883853	0.04864553824362606	14611.732117563739	0.023330953240124852	0.000708215297450425	0.05320467422096317	0.04337818696883853	0.04864553824362606	14611.729373229462	0.023330957234913914	0.000708215297450425	0.05320467422096317	0.04337818696883853	0.04864553824362606	14611.734861898018	0.023330949282822477	21	0.09383852691218131	0.06674929178470256															
22	TrialState.COMPLETE	0.2145781692634561	2020-01-05 21:42:34.966734	2020-01-05 22:28:59.556304	50.0	1	41.0	0.0027493418253082776	2000.0	0.11595036105826287	0.000708215297450425	0.2145781692634561	0.09003186968838527	0.13950734773371104	2349.946612739023	0.07238317894764691	0.000708215297450425	0.2145781692634561	0.09003186968838527	0.13950734773371104	2349.9458768590653	0.07238317934795077	0.000708215297450425	0.2145781692634561	0.09003186968838527	0.13950734773371104	2349.94734861898	0.07238317854891901	22							0.21283134358559289	0.21376298394711993									
23	TrialState.COMPLETE	0.033330382436260624	2020-01-05 22:28:59.557100	2020-01-05 22:39:06.581804	350.0	1	91.0	0.010172242676848877	1200.0	0.7466410503631778	0.000708215297450425	0.033330382436260624	0.023194050991501416	0.028372875354107648	15133.713017882435	0.014307668160923012	0.000708215297450425	0.033330382436260624	0.023194050991501416	0.028372875354107648	15133.710472733712	0.014307668817664205	0.000708215297450425	0.033330382436260624	0.023194050991501416	0.028372875354107648	15133.71556303116	0.014307667505836416	23	0.056568696883852694	0.04107648725212465															
24	TrialState.COMPLETE	0.008321529745042492	2020-01-05 22:39:06.582616	2020-01-05 22:45:41.030946	150.0	1	71.0	0.0361884927833882	1000.0	0.8227721932613016	0.000708215297450425	0.008321529745042492	0.0056657223796034	0.00681657223796034	16677.658750885268	0.004425554309121457	0.000708215297450425	0.008321529745042492	0.0056657223796034	0.00681657223796034	16677.655718838527	0.0044255545871585335	0.000708215297450425	0.008321529745042492	0.0056657223796034	0.00681657223796034	16677.661782932013	0.004425554031581043	24	0.009560906515580737	0.008734655335221907															
25	TrialState.COMPLETE	0.06918378186968839	2020-01-05 22:45:41.031761	2020-01-05 22:55:28.676465	450.0	1	21.0	0.005041147765192716	1000.0	0.7242162917387092	0.000708215297450425	0.06918378186968839	0.05138987252124646	0.06223441926345609	14678.870905630312	0.028437340502244585	0.000708215297450425	0.06918378186968839	0.05138987252124646	0.06223441926345609	14678.867962110482	0.028437340604207113	0.000708215297450425	0.06918378186968839	0.05138987252124646	0.06223441926345609	14678.87384915014	0.028437340400326847	25	0.12438031161473088	0.08758262511803588															
26	TrialState.COMPLETE	0.06219900849858357	2020-01-05 22:55:28.677272	2020-01-05 23:24:45.451345	250.0	1	31.0	0.0011556466898731633	1000.0	0.3774272253709471	0.000708215297450425	0.06219900849858357	0.029691926345609066	0.042439801699716714	7649.850256728046	0.02374538830853646	0.000708215297450425	0.06219900849858357	0.029691926345609066	0.042439801699716714	7649.8477160056655	0.023745388913760847	0.000708215297450425	0.06219900849858357	0.029691926345609066	0.042439801699716714	7649.852797450425	0.023745387705313106	26					0.06238934135977337	0.06228360088133459											
27	TrialState.COMPLETE	0.3845126191089364	2020-01-05 23:24:45.452144	2020-01-06 00:39:44.312581	150.0	2	71.0	0.001016597369812489	1600.0	0.08865441097880955	0.000708215297450425	0.3845126191089364	0.19857391192377027	0.28708472830285864	1796.627333891321	0.13075528471418607	0.000708215297450425	0.3845126191089364	0.19857391192377027	0.28708472830285864	1796.6265210533093	0.13075528534021486	0.000708215297450425	0.3845126191089364	0.19857391192377027	0.28708472830285864	1796.628146729333	0.1307552840912694	27												0.3831798866855524	0.38387798462161066				
28	TrialState.COMPLETE	0.058870396600566574	2020-01-06 00:39:44.313416	2020-01-06 00:49:08.400994	350.0	1	51.0	0.003629928742747627	1500.0	0.7296332592850305	0.000708215297450425	0.058870396600566574	0.04625531161473088	0.05276203966005666	14788.708702195467	0.02497042367925885	0.000708215297450425	0.058870396600566574	0.04625531161473088	0.05276203966005666	14788.705559490085	0.024970423868816535	0.000708215297450425	0.058870396600566574	0.04625531161473088	0.05276203966005666	14788.71184490085	0.02497042348983955	28	0.10694050991501416	0.07489376770538243															
29	TrialState.COMPLETE	0.029213881019830027	2020-01-06 00:49:08.401918	2020-01-06 00:55:43.158340	150.0	1	71.0	0.003502339504117452	1900.0	0.7195342520533181	0.000708215297450425	0.029213881019830027	0.019564447592067987	0.023548158640226628	14583.999004072239	0.012641509857090606	0.000708215297450425	0.029213881019830027	0.019564447592067987	0.023548158640226628	14583.995485127478	0.012641510907732457	0.000708215297450425	0.029213881019830027	0.019564447592067987	0.023548158640226628	14584.002523016998	0.012641508810457431	29	0.04585694050991501	0.034761567516525024															
30	TrialState.COMPLETE	0.18975743626062322	2020-01-06 00:55:43.159342	2020-01-06 01:04:04.511727	250.0	2	61.0	0.013646941977878389	1500.0	0.19676497186749306	0.000708215297450425	0.18975743626062322	0.08339235127478753	0.12557542492917848	3987.569914128895	0.06425510723297245	0.000708215297450425	0.18975743626062322	0.08339235127478753	0.12557542492917848	3987.5685640934844	0.06425511281288217	0.000708215297450425	0.18975743626062322	0.08339235127478753	0.12557542492917848	3987.571264164306	0.06425510172658895	30	0.2072415014164306	0.1955854579792257															
31	TrialState.COMPLETE	0.3721671388101983	2020-01-06 01:04:04.512775	2020-01-06 02:40:28.602677	450.0	2	61.0	0.002674374326402077	900.0	0.08595765253528631	0.000708215297450425	0.3721671388101983	0.1841266587147756	0.2687304308930968	1741.854214812882	0.1252835369079274	0.000708215297450425	0.3721671388101983	0.1841266587147756	0.2687304308930968	1741.8536603548532	0.1252835372259657	0.000708215297450425	0.3721671388101983	0.1841266587147756	0.2687304308930968	1741.854769270911	0.12528353659186633	31																	
32	TrialState.COMPLETE	0.36177687490681376	2020-01-06 02:40:28.603689	2020-01-06 03:51:29.800684	250.0	2	21.0	0.0016179018332092101	900.0	0.0874560648303889	0.000708215297450425	0.36177687490681376	0.18350231101833905	0.26525458476218877	1772.2948784851646	0.12288073714159568	0.000708215297450425	0.36177687490681376	0.18350231101833905	0.26525458476218877	1772.2943100492023	0.12288073944127902	0.000708215297450425	0.36177687490681376	0.18350231101833905	0.26525458476218877	1772.2954469211272	0.12288073487624851	32																	
33	TrialState.COMPLETE	0.04337818696883853	2020-01-06 03:51:29.801709	2020-01-06 04:01:01.412901	350.0	1	71.0	0.0025489501594193973	1300.0	0.7303417984544013	0.000708215297450425	0.04337818696883853	0.03288774787535411	0.037181303116147306	14803.06657223796	0.018885129527683467	0.000708215297450425	0.04337818696883853	0.03288774787535411	0.037181303116147306	14803.062986898018	0.018885131351147284	0.000708215297450425	0.04337818696883853	0.03288774787535411	0.037181303116147306	14803.070157577904	0.018885127717099475	33	0.07294617563739376	0.05323418319169027															
34	TrialState.COMPLETE	0.04953080736543909	2020-01-06 04:01:01.413950	2020-01-06 04:09:11.487718	250.0	2	21.0	0.02258326965636262	900.0	0.5955338938874102	0.000708215297450425	0.04953080736543909	0.03036473087818697	0.03948300283286119	12071.506418201134	0.020017680761163247	0.000708215297450425	0.04953080736543909	0.03036473087818697	0.03948300283286119	12071.502744334277	0.020017719336186672	0.000708215297450425	0.04953080736543909	0.03036473087818697	0.03948300283286119	12071.510092067989	0.020017643693942055	34	0.05302762039660057	0.05069641170915958															
35	TrialState.COMPLETE	0.05740970254957507	2020-01-06 04:09:11.488605	2020-01-06 04:16:48.524861	150.0	1	61.0	0.010601824567189135	1600.0	0.7384651201902868	0.000708215297450425	0.05740970254957507	0.042802762039660054	0.051699716713881017	14967.895184135978	0.02389483365606667	0.000708215297450425	0.05740970254957507	0.042802762039660054	0.051699716713881017	14967.89221848442	0.023894835583603818	0.000708215297450425	0.05740970254957507	0.042802762039660054	0.051699716713881017	14967.898149787536	0.023894831740157798	35	0.10384206798866856	0.07288715769593956															
36	TrialState.COMPLETE	0.03244511331444759	2020-01-06 04:16:48.525876	2020-01-06 04:26:55.399804	350.0	2	71.0	0.07836787680559015	500.0	0.8252360266134189	0.000708215297450425	0.03244511331444759	0.026513810198300285	0.0297893059490085	16728.135888810197	0.01441715014228166	0.000708215297450425	0.03244511331444759	0.026513810198300285	0.0297893059490085	16728.132657577902	0.014417150357866382	0.000708215297450425	0.03244511331444759	0.026513810198300285	0.0297893059490085	16728.13912004249	0.014417149926990919	36	0.03160410764872521	0.03216477809254013															
37	TrialState.COMPLETE	0.38315923040604344	2020-01-06 04:26:55.400802	2020-01-06 06:11:55.589685	350.0	2	61.0	0.0010513630966574425	2000.0	0.08292565484139322	0.000708215297450425	0.38315923040604344	0.1970387747875354	0.2840238432483475	1680.4539881373937	0.1301778447248383	0.000708215297450425	0.38315923040604344	0.1970387747875354	0.2840238432483475	1680.4531176227574	0.13017784495998733	0.000708215297450425	0.38315923040604344	0.1970387747875354	0.2840238432483475	1680.4548586520302	0.1301778444902317	37														0.3815187998969869	0.38237467668432074		
38	TrialState.COMPLETE	0.33558222752348293	2020-01-06 06:11:55.590513	2020-01-06 07:15:14.487740	50.0	2	61.0	0.007863538501274258	1200.0	0.0910445871845911	0.000708215297450425	0.33558222752348293	0.16214402862680782	0.23673960041747427	1844.9912731101833	0.11410517230873399	0.000708215297450425	0.33558222752348293	0.16214402862680782	0.23673960041747427	1844.9907279707768	0.11410517255494385	0.000708215297450425	0.33558222752348293	0.16214402862680782	0.23673960041747427	1844.9918182495899	0.11410517206330667	38									0.3332777870354941	0.334494019515266							
