number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	351	401	651	701	801	851	901	951	1001	1051	1101	1151	1201
0	TrialState.COMPLETE	0.0924663597733711	2020-01-05 06:45:46.409790	2020-01-05 06:53:24.306807	50.0	2	91.0	0.03975009945541649	1600.0	0.3132403968638826	0.000708215297450425	0.0924663597733711	0.04585694050991501	0.06480169971671389	6348.830825070821	0.034227754077426814	0.000708215297450425	0.0924663597733711	0.04585694050991501	0.06480169971671389	6348.82870042493	0.034227760302867345	0.000708215297450425	0.0924663597733711	0.04585694050991501	0.06480169971671389	6348.832949716714	0.03422774791862636	0	0.10543555240793201	0.0967894239848914															
1	TrialState.COMPLETE	0.032312322946175635	2020-01-05 06:53:24.307593	2020-01-05 07:01:55.881613	250.0	2	31.0	0.07468458044994128	900.0	0.8211687962923967	0.000708215297450425	0.032312322946175635	0.025849858356940508	0.03014341359773371	16645.519431657223	0.014456123044365174	0.000708215297450425	0.032312322946175635	0.025849858356940508	0.03014341359773371	16645.51642174221	0.014456130248464073	0.000708215297450425	0.032312322946175635	0.025849858356940508	0.03014341359773371	16645.522441572237	0.014456115910100521	1	0.03169263456090651	0.03210576015108593															
2	TrialState.COMPLETE	0.0127921388101983	2020-01-05 07:01:55.882458	2020-01-05 07:12:56.739019	450.0	1	61.0	0.08300225095240411	1000.0	0.8098143251459493	0.000708215297450425	0.0127921388101983	0.008410056657223795	0.009959277620396601	16415.076907754956	0.0060573194556186516	0.000708215297450425	0.0127921388101983	0.008410056657223795	0.009959277620396601	16415.07414128895	0.006057319610169733	0.000708215297450425	0.0127921388101983	0.008410056657223795	0.009959277620396601	16415.079674220964	0.00605731930117713	2	0.014075779036827196	0.013220018885741265															
3	TrialState.COMPLETE	0.3848688262101244	2020-01-05 07:12:56.739879	2020-01-05 08:40:57.719347	250.0	2	81.0	0.001462223824439751	1300.0	0.08448653616815543	0.000708215297450425	0.3848688262101244	0.1959216036457692	0.283663320605986	1712.083777250893	0.13030862509225857	0.000708215297450425	0.3848688262101244	0.1959216036457692	0.283663320605986	1712.0830228476414	0.13030862562779158	0.000708215297450425	0.3848688262101244	0.1959216036457692	0.283663320605986	1712.0845316541447	0.1303086245594983	3													0.38304330230675837	0.38399755343806335			
4	TrialState.COMPLETE	0.2730169971671388	2020-01-05 08:40:57.720398	2020-01-05 09:09:25.931769	50.0	2	1.0	0.003368410186959857	500.0	0.11972454646250508	0.000708215297450425	0.2730169971671388	0.13723280968323462	0.19768864280195725	2426.4567827710534	0.0944428066815412	0.000708215297450425	0.2730169971671388	0.13723280968323462	0.19768864280195725	2426.456090651558	0.0944428072238025	0.000708215297450425	0.2730169971671388	0.13723280968323462	0.19768864280195725	2426.4574748905484	0.09444280614300946	4																	
5	TrialState.COMPLETE	0.3645980878186969	2020-01-05 09:09:25.932660	2020-01-05 10:49:48.227028	350.0	2	21.0	0.0018901732046591301	1900.0	0.08172013483848062	0.000708215297450425	0.3645980878186969	0.18530895892351273	0.2681258852691218	1656.0419027384326	0.12392028106014684	0.000708215297450425	0.3645980878186969	0.18530895892351273	0.2681258852691218	1656.0414010859301	0.12392028172180605	0.000708215297450425	0.3645980878186969	0.18530895892351273	0.2681258852691218	1656.0424043909347	0.123920280404733	5														0.3630247231522019	0.3638456090651558		
6	TrialState.COMPLETE	0.376087616349656	2020-01-05 10:49:48.227815	2020-01-05 11:57:47.364740	50.0	2	41.0	0.0015855959109555473	2000.0	0.09467650169214915	0.000708215297450425	0.376087616349656	0.19400883582894915	0.2799642519897477	1918.785693207878	0.12803739950663814	0.000708215297450425	0.376087616349656	0.19400883582894915	0.2799642519897477	1918.7848880345339	0.12803739991850904	0.000708215297450425	0.376087616349656	0.19400883582894915	0.2799642519897477	1918.7864983812221	0.1280373990973263	6											0.3744688385269122	0.37531869688385266					
7	TrialState.COMPLETE	0.3621746635977337	2020-01-05 11:57:47.365544	2020-01-05 13:11:42.270196	450.0	2	51.0	0.0033095995294712146	1900.0	0.08843693538021274	0.000708215297450425	0.3621746635977337	0.178669440509915	0.26137570821529743	1792.0791707241501	0.12228782521071713	0.000708215297450425	0.3621746635977337	0.178669440509915	0.26137570821529743	1792.0784127124646	0.12228782551057726	0.000708215297450425	0.3621746635977337	0.178669440509915	0.26137570821529743	1792.0799287358357	0.12228782491182379	7							0.3610001011736139	0.3616265344664778									
8	TrialState.COMPLETE	0.3270506052021633	2020-01-05 13:11:42.271023	2020-01-05 13:51:12.575063	250.0	2	11.0	0.0028662897882650615	500.0	0.10744547813465255	0.000708215297450425	0.3270506052021633	0.16176281225856295	0.23704287921710018	2177.3777926216844	0.1111329620395369	0.000708215297450425	0.3270506052021633	0.16176281225856295	0.23704287921710018	2177.377172933299	0.11113296255985362	0.000708215297450425	0.3270506052021633	0.16176281225856295	0.23704287921710018	2177.3784123100695	0.11113296152261894	8																	
