number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0	2020-05-12 13:06:46.063100	2020-05-12 13:07:26.121212	0.3028755114787223	5.471473172693054	256	2	82	256	1.6514258626918221	0.0	0.0	0.0	0.0	79.68913857677903	0.012844622216020517	0.0	0.0	0.0	0.0	79.68913857677903	0.012844622216020517	516406206	150	0.0	0.0	0.0	0.0	79.68913857677903	0.012844622216020517	0	COMPLETE
1	0.02200374531835206	2020-05-12 13:07:26.139770	2020-05-12 13:08:04.432441	0.9627258399506917	19.075339629171435	64	2	76	256	1.5088731617045898	0.0	0.02200374531835206	0.012640449438202247	0.01638576779026217	72.81647940074906	0.0224189275027635	0.0	0.02200374531835206	0.012640449438202247	0.01638576779026217	72.81647940074906	0.0224189275027635	949288415	150	0.0	0.02200374531835206	0.012640449438202247	0.01638576779026217	72.81647940074906	0.0224189275027635	1	COMPLETE
2	0.004213483146067416	2020-05-12 13:08:04.450539	2020-05-12 13:08:41.054724	0.7309294291868321	7.74362186973892	64	2	9	256	1.6025885249303187	0.0	0.004213483146067416	0.0014044943820224719	0.0014044943820224719	77.3628277153558	0.01461889607999533	0.0	0.004213483146067416	0.0014044943820224719	0.0014044943820224719	77.3628277153558	0.01461889607999533	1676307855	150	0.0	0.004213483146067416	0.0014044943820224719	0.0014044943820224719	77.3628277153558	0.01461889607999533	2	COMPLETE
3	0.004213483146067416	2020-05-12 13:08:41.065047	2020-05-12 13:09:00.817487	0.8865064117453921	19.919382000838272	128	1	6	512	1.4865554244909784	0.0	0.004213483146067416	0.0	0.00046816479400749064	71.7619382022472	0.016821092652578546	0.0	0.004213483146067416	0.0	0.00046816479400749064	71.7617041198502	0.016821459840652277	1829762764	150	0.0	0.004213483146067416	0.0	0.00046816479400749064	71.7621722846442	0.016820739587123035	3	COMPLETE
4	0.0299625468164794	2020-05-12 13:09:00.827844	2020-05-12 13:09:23.440446	0.5237108994498628	5.749556248695775	256	1	66	512	1.2818954060140173	0.0	0.0299625468164794	0.005149812734082397	0.012640449438202247	61.848314606741575	0.025462157492124528	0.0	0.0299625468164794	0.005149812734082397	0.012640449438202247	61.848314606741575	0.025462157492124528	596833203	150	0.0	0.0299625468164794	0.005149812734082397	0.012640449438202247	61.848314606741575	0.025462157492124528	4	COMPLETE
5	0.05758426966292135	2020-05-12 13:09:23.456297	2020-05-12 13:09:45.323666	0.3532990298067392	18.56012921933164	64	2	64	512	1.4058200300353743	0.0	0.05758426966292135	0.018258426966292134	0.032303370786516857	67.84082397003745	0.03046343383009797	0.0	0.05758426966292135	0.018258426966292134	0.032303370786516857	67.84082397003745	0.03046343383009797	2842963017	150	0.0	0.05758426966292135	0.018258426966292134	0.032303370786516857	67.84082397003745	0.03046343383009797	5	COMPLETE
6	0.0	2020-05-12 13:09:45.339251	2020-05-12 13:10:46.468269	0.44487111514888444	28.374112431555993	256	2	4	128	1.6452795788087649	0.0	0.0	0.0	0.0	79.3815543071161	0.012919575828881171	0.0	0.0	0.0	0.0	79.3815543071161	0.012919575828881171	2639720144	150	0.0	0.0	0.0	0.0	79.3815543071161	0.012919575828881171	6	COMPLETE
7	0.024812734082397005	2020-05-12 13:10:46.480260	2020-05-12 13:11:36.943969	0.12102318859035667	4.493777927871061	128	1	46	256	1.3489894099561464	0.0	0.024812734082397005	0.004213483146067416	0.009363295880149813	65.08426966292134	0.02305921914893739	0.0	0.024812734082397005	0.004213483146067416	0.009363295880149813	65.08426966292134	0.02305921914893739	3839785997	200	0.0	0.024812734082397005	0.004213483146067416	0.009363295880149813	65.08426966292134	0.02305921914893739	7	COMPLETE
8	0.0	2020-05-12 13:11:36.956330	2020-05-12 13:12:13.513010	0.4039028565514038	29.593186944185195	128	2	12	256	1.6493928612171487	0.0	0.0	0.0	0.0	79.58965355805243	0.012861136063458206	0.0	0.0	0.0	0.0	79.58941947565543	0.012861173334757786	1529325264	150	0.0	0.0	0.0	0.0	79.58988764044943	0.012861099258049874	8	COMPLETE
9	0.03323970037453183	2020-05-12 13:12:13.524960	2020-05-12 13:13:04.047224	0.638619830909752	28.643870939079388	256	1	5	256	1.2740416194587834	0.0	0.03323970037453183	0.003745318352059925	0.008426966292134831	61.53277153558052	0.025781210775367196	0.0	0.03323970037453183	0.003745318352059925	0.008426966292134831	61.53277153558052	0.025781210775367196	3513843671	200	0.0	0.03323970037453183	0.003745318352059925	0.008426966292134831	61.53277153558052	0.025781210775367196	9	COMPLETE
