number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.000708215297450425	2020-04-07 19:20:36.346578	2020-04-07 19:27:00.929883	64	128	100	0.09296836316841871	512	0.9653358262675162	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	19570.388101983004	0.0006927115441225719	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	19568.96458923513	0.0006927401987053742	897293872	150	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	19571.81161473088	0.000692683005242501	0	COMPLETE
1	0.0060198300283286115	2020-04-07 19:27:00.976310	2020-04-07 19:44:14.504802	64	256	90	0.06226571643304153	128	1.0318460386553683	0.000708215297450425	0.0060198300283286115	0.004426345609065156	0.005311614730878187	20919.19360835694	0.0031313578652353144	0.000708215297450425	0.0060198300283286115	0.004426345609065156	0.005311614730878187	20919.18431303116	0.0031313579420497307	1704540623	150	0.000708215297450425	0.0060198300283286115	0.004426345609065156	0.005311614730878187	20919.20290368272	0.003131357788441015	1	COMPLETE
2	0.14305949008498584	2020-04-07 19:44:14.553584	2020-04-07 20:13:39.144246	256	128	41	0.007160107359938472	256	0.2366829015673693	0.023194050991501416	0.14305949008498584	0.06887393767705383	0.09826487252124647	4798.081887393768	0.06355482770272916	0.023194050991501416	0.14305949008498584	0.06887393767705383	0.09826487252124647	4798.0794971671385	0.06355482774858867	3124975384	350	0.023194050991501416	0.14305949008498584	0.06887393767705383	0.09826487252124647	4798.084277620396	0.06355482765688016	2	COMPLETE
3	0.3312677053824363	2020-04-07 20:13:39.195624	2020-04-07 20:27:37.810588	128	128	12	0.0035418120071094273	256	0.13272523848345577	0.03771246458923513	0.3312677053824363	0.15563031161473087	0.2296388101983003	2689.9972556657226	0.13043157586853618	0.03771246458923513	0.3312677053824363	0.15563031161473087	0.2296388101983003	2689.9959277620396	0.1304315758920693	1472680713	200	0.03771246458923513	0.3312677053824363	0.15563031161473087	0.2296388101983003	2689.998583569405	0.13043157584500936	3	COMPLETE
4	0.05931303116147309	2020-04-07 20:27:37.857243	2020-04-07 20:46:55.454628	64	128	60	0.06340152715617366	512	0.6764138742904178	0.01363314447592068	0.05931303116147309	0.044263456090651555	0.04975212464589235	13713.438119688386	0.032150352940541256	0.01363314447592068	0.05931303116147309	0.044263456090651555	0.04975212464589235	13713.43183427762	0.03215035301409486	1438100098	400	0.01363314447592068	0.05931303116147309	0.044263456090651555	0.04975212464589235	13713.44440509915	0.03215035286700712	4	COMPLETE
5	0.0005311614730878187	2020-04-07 20:46:55.488070	2020-04-07 21:04:58.039630	256	128	11	0.051533966969139394	128	1.0089665404935535	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20455.4440509915	0.00032821587992293847	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20443.054178470255	0.0003283174961961463	246838770	150	0.0	0.0005311614730878187	0.0	0.00017705382436260624	20467.83392351275	0.00032811464046301027	5	COMPLETE
6	0.13314447592067988	2020-04-07 21:04:58.073410	2020-04-07 21:14:12.421974	64	128	93	0.041354136548076785	512	0.4866411323596328	0.01504957507082153	0.13314447592067988	0.08197592067988668	0.10127478753541076	9866.135800283286	0.0584258383358843	0.01504957507082153	0.13314447592067988	0.08197592067988668	0.10127478753541076	9866.130842776203	0.05842583978125237	675863402	200	0.01504957507082153	0.13314447592067988	0.08197592067988668	0.10127478753541076	9866.140757790368	0.05842583689411662	6	COMPLETE
7	0.43590651558073656	2020-04-07 21:14:12.455711	2020-04-07 21:28:04.767617	64	256	8	0.0030299993859120196	256	0.09399059072269364	0.03629603399433428	0.43590651558073656	0.2811614730878187	0.3532223796033994	1904.705559490085	0.18204199695048515	0.03629603399433428	0.43590651558073656	0.2811614730878187	0.3532223796033994	1904.7044971671387	0.1820419972636249	1420467892	200	0.03629603399433428	0.43590651558073656	0.2811614730878187	0.3532223796033994	1904.7066218130312	0.18204199663791928	7	COMPLETE
8	0.3806657223796034	2020-04-07 21:28:04.818471	2020-04-07 21:36:29.484968	128	64	57	0.0018277351218190592	512	0.17148462793831626	0.06356232294617564	0.3806657223796034	0.24256373937677053	0.30913597733711046	3475.883764164306	0.1772810607801734	0.06356232294617564	0.3806657223796034	0.24256373937677053	0.30913597733711046	3475.8815509915016	0.17728106102498234	2585126434	200	0.06356232294617564	0.3806657223796034	0.24256373937677053	0.30913597733711046	3475.8859773371105	0.17728106053572928	8	COMPLETE
9	0.0821529745042493	2020-04-07 21:36:29.521540	2020-04-07 22:03:37.993194	256	128	46	0.007215436576855939	128	0.42338010870438636	0.01788243626062323	0.0821529745042493	0.0455028328611898	0.06055240793201133	8583.494068696884	0.04078843635336487	0.01788243626062323	0.0821529745042493	0.0455028328611898	0.06055240793201133	8583.490439093484	0.040788436494117945	4189416614	200	0.01788243626062323	0.0821529745042493	0.0455028328611898	0.06055240793201133	8583.497698300283	0.04078843621271596	9	COMPLETE
10	0.16554532577903683	2020-04-07 22:03:38.029219	2020-04-07 22:26:55.877497	128	128	58	0.01436766345620852	256	0.285735349025767	0.01593484419263456	0.16554532577903683	0.09383852691218131	0.1253541076487252	5792.577195467422	0.07069342876821393	0.01593484419263456	0.16554532577903683	0.09383852691218131	0.1253541076487252	5792.573831444759	0.07069342985341727	3747832336	300	0.01593484419263456	0.16554532577903683	0.09383852691218131	0.1253541076487252	5792.580559490085	0.0706934276855247	10	COMPLETE
11	0.31285410764872523	2020-04-07 22:26:55.914510	2020-04-07 22:41:37.280713	64	256	69	0.007414507086377709	256	0.1921689827115739	0.029922096317280454	0.31285410764872523	0.17386685552407932	0.23707507082152973	3895.1249114730876	0.12694229332044346	0.029922096317280454	0.31285410764872523	0.17386685552407932	0.23707507082152973	3895.1226983002834	0.1269422950059647	3467369952	200	0.029922096317280454	0.31285410764872523	0.17386685552407932	0.23707507082152973	3895.1271246458923	0.12694229164006107	11	COMPLETE
12	0.00017705382436260624	2020-04-07 22:41:37.316480	2020-04-07 22:58:55.422153	128	64	89	0.06908131790548716	128	1.0137292881148483	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20551.667138810197	0.0003604547585638942	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20544.886862606232	0.00036102140525777146	1337266765	150	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20558.447415014165	0.00035992433974235737	12	COMPLETE
13	0.19936260623229463	2020-04-07 22:58:55.459890	2020-04-07 23:10:51.785208	128	64	100	0.011149362389134334	512	0.2730869857094963	0.06391643059490085	0.19936260623229463	0.11844900849858357	0.1503186968838527	5536.462464589235	0.10912716623080151	0.06391643059490085	0.19936260623229463	0.11844900849858357	0.1503186968838527	5536.460339943343	0.1091271687121703	3830141751	250	0.06391643059490085	0.19936260623229463	0.11844900849858357	0.1503186968838527	5536.464589235127	0.10912716376224704	13	COMPLETE
