number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0003541076487252125	2020-05-10 17:28:20.544175	2020-05-10 17:48:42.719690	64	0.4685482390884817	0.04767863349827611	43	0.2581938634992961	19	0.052026157849991234	512	0.9905864227275079	0.00017705382436260624	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20081.426434135978	0.0004252035939825942	0.00017705382436260624	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20081.424752124647	0.00042520362598438415	2694336465	150	0.00017705382436260624	0.0003541076487252125	0.0003541076487252125	0.0003541076487252125	20081.428116147308	0.00042520356199091276	0	COMPLETE
1	0.00017705382436260624	2020-05-10 17:48:42.771156	2020-05-10 18:58:47.722813	64	0.4720838307666712	0.15248687085306578	22	0.2726401283608511	89	0.07689156165245599	128	0.8029346277841458	0.0	0.00017705382436260624	0.0	0.0	16275.31373937677	0.00036550870827962783	0.0	0.00017705382436260624	0.0	0.0	16275.311083569404	0.00036550872645325504	2677848243	150	0.0	0.00017705382436260624	0.0	0.0	16275.316395184136	0.0003655086901099499	1	COMPLETE
2	0.0008852691218130312	2020-05-10 18:58:47.766890	2020-05-11 00:21:03.618152	256	0.3086856370841591	0.21424121015695052	60	0.059032605784341885	93	0.09283194355845577	256	0.6237240410006186	0.0	0.0008852691218130312	0.00017705382436260624	0.0003541076487252125	12645.007967422096	0.0009714736326666233	0.0	0.0008852691218130312	0.00017705382436260624	0.0003541076487252125	12645.005842776203	0.0009714762938866437	1307132769	150	0.0	0.0008852691218130312	0.00017705382436260624	0.0003541076487252125	12645.010092067989	0.000971470983566716	2	COMPLETE
3	0.017528328611898018	2020-05-11 00:21:03.674551	2020-05-11 01:59:54.698416	128	0.09031931610225019	0.19026185864380196	19	0.07245180194141504	86	0.008602164676936771	128	0.5141939079515778	0.0026558073654390935	0.017528328611898018	0.006905099150141643	0.009737960339943343	10424.309401558074	0.008666039901890596	0.0026558073654390935	0.017528328611898018	0.006905099150141643	0.009737960339943343	10424.307011331444	0.008666040451787179	2713566970	150	0.0026558073654390935	0.017528328611898018	0.006905099150141643	0.009737960339943343	10424.311791784703	0.00866603935316362	3	COMPLETE
4	0.0005311614730878187	2020-05-11 01:59:54.757384	2020-05-11 04:46:18.927218	256	0.13798944369064464	0.07167763978769431	21	0.12466734212317754	91	0.08114302062952117	512	0.9083274432633276	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	18416.73379957507	0.0006278976550347122	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	18416.731232294616	0.0006278977154734259	2645879174	150	0.00017705382436260624	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	18416.736366855523	0.0006278975946203987	4	COMPLETE
5	0.29036827195467424	2020-05-11 04:46:18.962399	2020-05-11 05:16:15.877186	128	0.3781499731159234	0.14011765251983194	56	0.02533522317385256	5	0.006716405346665058	256	0.31290295166507787	0.11030453257790368	0.29036827195467424	0.20591359773371104	0.24327195467422097	6342.5138101983	0.17258269244967783	0.11030453257790368	0.29036827195467424	0.20591359773371104	0.24327195467422097	6342.512924929179	0.1725826924942385	1975672792	200	0.11030453257790368	0.29036827195467424	0.20591359773371104	0.24327195467422097	6342.514695467422	0.1725826924051396	5	COMPLETE
6	0.000708215297450425	2020-05-11 05:16:15.931448	2020-05-11 07:09:23.355643	256	0.2803151286384795	0.2293065159844051	17	0.24796730179282456	63	0.02178457745723149	512	0.7573574794758536	0.0	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	15353.667404390935	0.000527635012643835	0.0	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	15353.666076487252	0.0005276363414697569	3194288799	150	0.0	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	15353.668732294618	0.0005276336888855785	6	COMPLETE
7	0.2048512747875354	2020-05-11 07:09:23.390798	2020-05-11 09:15:12.974341	128	0.03851869942765207	0.04754241364105716	27	0.006987204103167055	81	0.004917928467950543	512	0.3608782007805271	0.05807365439093484	0.2048512747875354	0.1193342776203966	0.15226628895184136	7315.956621813031	0.10531630577486162	0.05807365439093484	0.2048512747875354	0.1193342776203966	0.15226628895184136	7315.954851274788	0.10531630600991398	1337784698	200	0.05807365439093484	0.2048512747875354	0.1193342776203966	0.15226628895184136	7315.958392351275	0.1053163055400881	7	COMPLETE
8	0.3402974504249292	2020-05-11 09:15:13.015723	2020-05-11 10:17:46.332006	128	0.13610114398916984	0.22981036121000425	24	0.06936077943533081	37	0.0026576133081563785	512	0.28469063498915786	0.13473796033994334	0.3402974504249292	0.25035410764872523	0.2978045325779037	5771.431126062323	0.206127419409118	0.13473796033994334	0.3402974504249292	0.25035410764872523	0.2978045325779037	5771.430240793201	0.20612741942570145	1212620958	200	0.13473796033994334	0.3402974504249292	0.25035410764872523	0.2978045325779037	5771.432011331445	0.20612741939254078	8	COMPLETE
9	0.001593484419263456	2020-05-11 10:17:46.383715	2020-05-11 10:57:43.394075	128	0.23400857112552093	0.2931475118538936	31	0.31045292285655424	31	0.013956313448288364	512	0.4574432206666117	0.0	0.001593484419263456	0.0003541076487252125	0.000708215297450425	9273.347999291786	0.0012133386655056734	0.0	0.001593484419263456	0.0003541076487252125	0.000708215297450425	9273.346494334277	0.0012133387290900787	3093000019	150	0.0	0.001593484419263456	0.0003541076487252125	0.000708215297450425	9273.349504249292	0.0012133386019494248	9	COMPLETE
