number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151
0	TrialState.COMPLETE	0.0016377478753541077	2020-01-11 22:25:52.159684	2020-01-11 22:41:29.564791	50.0	71.0	0.0044462071992871334	1600.0	0.9980647710923295	0.0	0.0016377478753541077	0.0003541076487252125	0.000708215297450425	20234.134915014165	0.0005287691005926025	0.19551168555240794	0.4649876062322946	0.31630665722379603	0.3792050283286119	5026.800061968838	0.28433994611096086	0.0	0.001106586402266289	0.0003098441926345609	0.0005311614730878187	35441.46976805949	0.00037378661099926364	0	0.0002655807365439094	0.0011803588290840415	
1	TrialState.COMPLETE	0.0	2020-01-11 22:41:29.565601	2020-01-12 00:06:50.766280	250.0	21.0	0.0426126475194948	1200.0	1.0131094089585593	0.0	0.0	0.0	0.0	20539.166496990085	0.00014119721136449464	0.02443342776203966	0.02443342776203966	0.02443342776203966	0.02443342776203966	10589.067059135978	0.024724699142940825	0.0	0.0	0.0	0.0	30489.265934844192	9.734215321866335e-05	1	0.0	0.0	
2	TrialState.COMPLETE	0.0001327903682719547	2020-01-12 00:06:50.767321	2020-01-12 00:22:41.797630	50.0	71.0	0.02408613176701128	600.0	1.0200600072816637	0.0	0.0001327903682719547	0.0	0.0	20680.105324893768	0.00013248824598570533	0.1166784702549575	0.6280099150141643	0.33374645892351273	0.4867652266288952	4540.012128186969	0.267595363391291	0.0	4.426345609065156e-05	0.0	0.0	36820.19852160056	8.583341311552817e-05	2	0.0002655807365439094	0.00017705382436260624	
3	TrialState.COMPLETE	0.0	2020-01-12 00:22:41.798723	2020-01-12 03:00:31.502502	450.0	1.0	0.010304131822927892	700.0	0.9649076561867945	0.0	0.0	0.0	0.0	19561.552961225214	0.00012705173966596394	0.08091359773371105	0.08091359773371105	0.08091359773371105	0.08091359773371105	18341.49752124646	0.08099373980529706	0.0	0.0	0.0	0.0	20781.608401203965	8.913494802739482e-05	3	0.0	0.0	
4	TrialState.COMPLETE	0.0012393767705382436	2020-01-12 03:00:31.503483	2020-01-12 03:08:20.031143	50.0	21.0	0.012214964114204733	1600.0	0.996780760183224	0.0001327903682719547	0.0012393767705382436	0.0004426345609065156	0.0007524787535410764	20208.05749822946	0.0006357954672126716	0.011552762039660056	0.13526912181303116	0.03005488668555241	0.05661296033994334	5286.029789305949	0.0518323010459179	0.0001327903682719547	0.0009295325779036828	0.00017705382436260624	0.0004868980169971671	35130.08520715297	0.00045936540345789116	4	0.0008852691218130312	0.0011213408876298394	
5	TrialState.COMPLETE	0.0011951133144475921	2020-01-12 03:08:20.032059	2020-01-12 03:16:12.954443	50.0	21.0	0.003691518566003131	1600.0	0.9916426107745758	0.0001327903682719547	0.0011951133144475921	0.0005754249291784702	0.000796742209631728	20103.800748052407	0.0006576949325665921	0.0255842776203966	0.10543555240793201	0.05090297450424929	0.06984773371104816	5289.500708215298	0.054470300776555	0.0001327903682719547	0.0008852691218130312	0.0004426345609065156	0.0006196883852691218	34918.10078788952	0.0005145767940296146	5	0.0004426345609065156	0.0009442870632672333	
6	TrialState.COMPLETE	0.0002655807365439094	2020-01-12 03:16:12.955404	2020-01-12 03:24:05.787054	50.0	21.0	0.030872467963710667	1700.0	1.0021196761357742	4.426345609065156e-05	0.0002655807365439094	8.852691218130312e-05	0.0001327903682719547	20316.378563208214	0.00019014836373395022	0.003718130311614731	0.4301080028328612	0.08582684135977336	0.2651381019830028	4995.030541784702	0.1104802851852059	4.426345609065156e-05	0.0002213172804532578	8.852691218130312e-05	8.852691218130312e-05	35637.72658463173	0.00015516106369442293	6	0.0003541076487252125	0.0002950897072710104	
7	TrialState.COMPLETE	0.0022308781869688384	2020-01-12 03:24:05.787952	2020-01-12 03:39:17.400037	50.0	41.0	0.017182786052828126	600.0	0.9961214910367657	0.00028328611898016995	0.0022308781869688384	0.0008144475920679886	0.0013810198300283287	20194.669139518413	0.0010411571371980823	0.12213172804532578	0.3866501416430595	0.21993626062322946	0.2840297450424929	4721.681232294618	0.20381587422271394	0.00028328611898016995	0.0015226628895184135	0.0005311614730878187	0.0008852691218130312	35667.657046742206	0.0007772636579265745	7		0.002065627950897073	0.0021689093484419265
8	TrialState.COMPLETE	8.852691218130312e-05	2020-01-12 03:39:17.401495	2020-01-12 07:42:32.931518	350.0	31.0	0.0011478137690904134	1200.0	1.0331122398886334	0.0	8.852691218130312e-05	0.0	0.0	20944.74851717422	0.00014732886299388632	0.024521954674220962	0.03009915014164306	0.02673512747875354	0.028328611898016998	12931.285809135978	0.026719630433712786	0.0	0.0	0.0	0.0	28958.211225212464	0.0001092635749170951	8	0.0	5.901794145420208e-05	
