number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.05488668555240793	2020-04-03 12:43:13.769392	2020-04-03 12:46:08.909566	256	1	17	0.003726610874612352	512	0.4273720518297152	0.000708215297450425	0.05488668555240793	0.027089235127478753	0.037535410764872525	8663.376859065156	0.020634048472604832	0.000708215297450425	0.05488668555240793	0.027089235127478753	0.037535410764872525	8663.373583569404	0.02063404951631103	1388322144	150	0.000708215297450425	0.05488668555240793	0.027089235127478753	0.037535410764872525	8663.380134560906	0.020634047431363673	0	COMPLETE
1	0.0709985835694051	2020-04-03 12:46:08.968267	2020-04-03 12:52:14.503693	128	2	55	0.008057869533854877	256	0.4703269496170924	0.021246458923512748	0.0709985835694051	0.04178470254957507	0.052053824362606235	9533.389783994335	0.03839998652824569	0.021246458923512748	0.0709985835694051	0.04178470254957507	0.052053824362606235	9533.380134560906	0.038399992088081904	878192886	200	0.021246458923512748	0.0709985835694051	0.04178470254957507	0.052053824362606235	9533.399433427761	0.038399981007122115	1	COMPLETE
2	0.16589943342776203	2020-04-03 12:52:14.577332	2020-04-03 12:57:51.114659	128	2	3	0.00732906061078658	128	0.11082032544762954	0.01080028328611898	0.16589943342776203	0.08286118980169972	0.11685552407932011	2246.292315864023	0.06646956290960676	0.01080028328611898	0.16589943342776203	0.08286118980169972	0.11685552407932011	2246.291076487252	0.06646956321813727	4244763667	150	0.01080028328611898	0.16589943342776203	0.08286118980169972	0.11685552407932011	2246.293555240793	0.06646956260151679	2	COMPLETE
3	0.017351274787535412	2020-04-03 12:57:51.170131	2020-04-03 13:02:17.138602	256	1	79	0.007936958288416635	256	0.7447777662720971	0.000708215297450425	0.017351274787535412	0.010623229461756374	0.011862606232294617	15096.064004957507	0.008060991889303202	0.000708215297450425	0.017351274787535412	0.010623229461756374	0.011862606232294617	15096.058958923513	0.008060992197532882	575575869	150	0.000708215297450425	0.017351274787535412	0.010623229461756374	0.011862606232294617	15096.069050991502	0.008060991581369642	3	COMPLETE
4	0.13172804532577903	2020-04-03 13:02:17.178177	2020-04-03 13:08:55.061742	64	2	25	0.0016671797219984753	512	0.4034166302158445	0.020361189801699715	0.13172804532577903	0.05470963172804533	0.08091359773371105	8175.738845609065	0.05620183169289868	0.020361189801699715	0.13172804532577903	0.05470963172804533	0.08091359773371105	8175.735127478753	0.05620184994348794	2605154682	300	0.020361189801699715	0.13172804532577903	0.05470963172804533	0.08091359773371105	8175.742563739377	0.05620181361198484	4	COMPLETE
5	0.013456090651558074	2020-04-03 13:08:55.098421	2020-04-03 13:12:56.370707	64	1	50	0.08047417693362265	512	1.073758890912024	0.000708215297450425	0.013456090651558074	0.010092067988668555	0.0113314447592068	21769.110304532576	0.006245561332846654	0.000708215297450425	0.013456090651558074	0.010092067988668555	0.0113314447592068	21769.103753541076	0.006245561393428345	3336943028	200	0.000708215297450425	0.013456090651558074	0.010092067988668555	0.0113314447592068	21769.11685552408	0.006245561272279708	5	COMPLETE
6	0.2609773371104816	2020-04-03 13:12:56.416299	2020-04-03 13:16:57.694040	64	2	5	0.017669728971219385	512	0.10106042281382728	0.02496458923512748	0.2609773371104816	0.14677762039660056	0.19776912181303116	2048.477071529745	0.10999331830927898	0.02496458923512748	0.2609773371104816	0.14677762039660056	0.19776912181303116	2048.476097733711	0.10999331849932753	1963436765	200	0.02496458923512748	0.2609773371104816	0.14677762039660056	0.19776912181303116	2048.478045325779	0.10999331811937707	6	COMPLETE
7	0.19139518413597734	2020-04-03 13:16:57.759843	2020-04-03 13:19:50.814295	128	1	65	0.0046272449330806474	512	0.08180898452911882	0.002301699716713881	0.19139518413597734	0.08480878186968839	0.12606232294617564	1657.9652089235128	0.06692813082142975	0.002301699716713881	0.19139518413597734	0.08480878186968839	0.12606232294617564	1657.9645892351275	0.06692813092447777	2718450502	150	0.002301699716713881	0.19139518413597734	0.08480878186968839	0.12606232294617564	1657.965828611898	0.06692813071848194	7	COMPLETE
8	0.05559490084985836	2020-04-03 13:19:50.856641	2020-04-03 13:29:38.612468	128	2	84	0.0071902539270745506	128	0.5344660213960788	0.018944759206798868	0.05559490084985836	0.0339943342776204	0.04001416430594901	10833.981143767705	0.03190756739580086	0.018944759206798868	0.05559490084985836	0.0339943342776204	0.04001416430594901	10833.962818696884	0.03190759802731529	2092801209	200	0.018944759206798868	0.05559490084985836	0.0339943342776204	0.04001416430594901	10833.999468838527	0.0319075372406036	8	COMPLETE
9	0.021246458923512748	2020-04-03 13:29:38.649070	2020-04-03 13:32:32.759279	256	1	8	0.009625821521244636	512	0.728644172045933	0.000708215297450425	0.021246458923512748	0.012393767705382436	0.01593484419263456	14769.004603399433	0.00942756504060375	0.000708215297450425	0.021246458923512748	0.012393767705382436	0.01593484419263456	14769.001062322946	0.009427565670224635	2939049025	150	0.000708215297450425	0.021246458923512748	0.012393767705382436	0.01593484419263456	14769.00814447592	0.009427564412039726	9	COMPLETE
10	0.022839943342776205	2020-04-03 13:32:32.801428	2020-04-03 13:52:50.516361	256	2	50	0.035147573238609786	128	0.8913341100986927	0.0008852691218130312	0.022839943342776205	0.007259206798866855	0.011685552407932011	18069.907400849857	0.007832939119528929	0.0008852691218130312	0.022839943342776205	0.007259206798866855	0.011685552407932011	18069.89164305949	0.007832939214624818	2119811312	350	0.0008852691218130312	0.022839943342776205	0.007259206798866855	0.011685552407932011	18069.923158640227	0.007832939024447936	10	COMPLETE
11	0.03328611898016997	2020-04-03 13:52:50.564206	2020-04-03 13:57:37.804441	256	1	78	0.04368576781491843	512	1.0980608222598418	0.000708215297450425	0.03328611898016997	0.02638101983002833	0.029745042492917848	22261.993183427763	0.015030447238571417	0.000708215297450425	0.03328611898016997	0.02638101983002833	0.029745042492917848	22261.981409348442	0.015030502830316485	4054113855	200	0.000708215297450425	0.03328611898016997	0.02638101983002833	0.029745042492917848	22262.00495750708	0.015030392907042044	11	COMPLETE
12	0.4003186968838527	2020-04-03 13:57:37.854083	2020-04-03 14:07:05.187247	64	1	66	0.0016120410149175575	128	0.055017264808533216	0.014164305949008499	0.4003186968838527	0.21104815864022664	0.2955028328611898	1115.1233179886685	0.1442132641545437	0.014164305949008499	0.4003186968838527	0.21104815864022664	0.2955028328611898	1115.123052407932	0.14421326415626273	2459668489	200	0.014164305949008499	0.4003186968838527	0.21104815864022664	0.2955028328611898	1115.1235835694051	0.14421326415282482	12	COMPLETE
13	0.01221671388101983	2020-04-03 14:07:05.255050	2020-04-03 14:13:57.909329	256	1	73	0.006069759439615575	128	0.7547723720758368	0.000708215297450425	0.01221671388101983	0.006550991501416431	0.007790368271954674	15298.700513456091	0.005861143467815983	0.000708215297450425	0.01221671388101983	0.006550991501416431	0.007790368271954674	15298.694936260623	0.0058611438290342285	534120841	150	0.000708215297450425	0.01221671388101983	0.006550991501416431	0.007790368271954674	15298.706090651558	0.00586114310702281	13	COMPLETE
14	0.08144475920679886	2020-04-03 14:13:57.954651	2020-04-03 14:23:29.096199	64	2	31	0.004978622219579226	128	0.3663047936150226	0.022839943342776205	0.08144475920679886	0.044971671388101986	0.05771954674220963	7423.769564447592	0.044426695573357586	0.022839943342776205	0.08144475920679886	0.044971671388101986	0.05771954674220963	7423.764164305949	0.044426950626412255	819401133	200	0.022839943342776205	0.08144475920679886	0.044971671388101986	0.05771954674220963	7423.774964589235	0.044426452648205536	14	COMPLETE
