number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0	2020-05-12 13:36:32.116590	2020-05-12 13:37:46.470275	9.245782378810917	128	2	40	128	1.6484954157906972	0.0	0.0	0.0	0.0	79.55898876404494	0.012868940949600755	0.0	0.0	0.0	0.0	79.55898876404494	0.012868940949600755	4067237018	150	0.0	0.0	0.0	0.0	79.55898876404494	0.012868940949600755	0	COMPLETE
1	0.02855805243445693	2020-05-12 13:37:46.488261	2020-05-12 13:38:56.700794	5.109493431064738	256	1	15	256	1.2401699524700698	0.0	0.02855805243445693	0.006554307116104869	0.010299625468164793	59.83052434456929	0.026159529700122683	0.0	0.02855805243445693	0.006554307116104869	0.010299625468164793	59.83052434456929	0.026159529700122683	837015814	250	0.0	0.02855805243445693	0.006554307116104869	0.010299625468164793	59.83052434456929	0.026159529700122683	1	COMPLETE
2	0.03323970037453183	2020-05-12 13:38:56.718647	2020-05-12 13:41:40.267242	5.643653922166341	256	1	50	128	1.1827238256491943	0.0	0.03323970037453183	0.0032771535580524347	0.010767790262172285	57.04588014981273	0.027298542609616144	0.0	0.03323970037453183	0.0032771535580524347	0.010767790262172285	57.04588014981273	0.027298542609616144	3674769473	250	0.0	0.03323970037453183	0.0032771535580524347	0.010767790262172285	57.04588014981273	0.027298542609616144	2	COMPLETE
3	0.02247191011235955	2020-05-12 13:41:40.283609	2020-05-12 13:42:09.100128	2.0487860248456755	256	1	91	512	1.3793003369325054	0.0	0.02247191011235955	0.0023408239700374533	0.005149812734082397	66.43960674157303	0.02170802865998444	0.0	0.02247191011235955	0.0023408239700374533	0.005149812734082397	66.43960674157303	0.02170802865998444	2358195599	150	0.0	0.02247191011235955	0.0023408239700374533	0.005149812734082397	66.43960674157303	0.02170802865998444	3	COMPLETE
4	0.0009363295880149813	2020-05-12 13:42:09.112148	2020-05-12 13:43:12.448414	7.729231508719995	64	1	8	128	1.5841048762746406	0.0	0.0009363295880149813	0.0	0.0	76.47729400749064	0.014136573891218314	0.0	0.0009363295880149813	0.0	0.0	76.47705992509363	0.014136630597225341	3000732142	150	0.0	0.0009363295880149813	0.0	0.0	76.47752808988764	0.014136518057611397	4	COMPLETE
5	0.0	2020-05-12 13:43:12.467628	2020-05-12 13:44:41.871467	7.745280876988503	128	2	92	128	1.6511212496945027	0.0	0.0	0.0	0.0	79.69662921348315	0.012851349556565488	0.0	0.0	0.0	0.0	79.69662921348315	0.012851349556565488	3969435268	150	0.0	0.0	0.0	0.0	79.69662921348315	0.012851349556565488	5	COMPLETE
6	0.0023408239700374533	2020-05-12 13:44:41.883546	2020-05-12 13:45:44.389862	4.814685503372325	64	1	8	128	1.5323344039162168	0.0	0.0023408239700374533	0.00046816479400749064	0.0009363295880149813	73.9939138576779	0.015420597208665007	0.0	0.0023408239700374533	0.00046816479400749064	0.0009363295880149813	73.9939138576779	0.015420597208665007	1631294735	150	0.0	0.0023408239700374533	0.00046816479400749064	0.0009363295880149813	73.9939138576779	0.015420597208665007	6	COMPLETE
7	0.00046816479400749064	2020-05-12 13:45:44.401988	2020-05-12 13:46:12.402002	6.656916611556158	128	2	82	512	1.6410077750327046	0.0	0.00046816479400749064	0.0	0.00046816479400749064	79.19522471910112	0.013147122840255298	0.0	0.00046816479400749064	0.0	0.00046816479400749064	79.19522471910112	0.013147122840255298	801047694	150	0.0	0.00046816479400749064	0.0	0.00046816479400749064	79.19522471910112	0.013147122840255298	7	COMPLETE
8	0.0014044943820224719	2020-05-12 13:46:12.412241	2020-05-12 13:46:51.129200	6.002521890439202	128	1	28	256	1.544392794328794	0.0	0.0014044943820224719	0.0	0.0	74.47986891385767	0.014862013978680835	0.0	0.0014044943820224719	0.0	0.0	74.47986891385767	0.014862013978680835	1726699329	150	0.0	0.0014044943820224719	0.0	0.0	74.47986891385767	0.014862013978680835	8	COMPLETE
9	0.0	2020-05-12 13:46:51.141128	2020-05-12 13:47:28.902909	1.1885175526291352	128	2	24	256	1.647096985288327	0.0	0.0	0.0	0.0	79.47752808988764	0.012874798414904503	0.0	0.0	0.0	0.0	79.47752808988764	0.012874798414904503	1749307517	150	0.0	0.0	0.0	0.0	79.47752808988764	0.012874798414904503	9	COMPLETE
