number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.relation_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251
0	TrialState.COMPLETE	0.08785410764872521	2020-01-07 10:52:25.914919	2020-01-07 11:43:29.464905	3.44365190000445	100.0	200.0	2	31.0	0.0010211243341023805	600.0	0.5613991531035785	0.0019475920679886685	0.08785410764872521	0.032967422096317284	0.05470963172804533	11379.871458923513	0.0307266363392005	0.0019475920679886685	0.08785410764872521	0.032967422096317284	0.05470963172804533	11379.865686968838	0.030726636473811717	0.0019475920679886685	0.08785410764872521	0.032967422096317284	0.05470963172804533	11379.877230878186	0.03072663620469073	0		0.12234419263456091	0.1007878895184136		
1	TrialState.COMPLETE	0.007170679886685552	2020-01-07 11:43:29.465808	2020-01-07 12:08:52.784441	9.469985068710495	50.0	50.0	2	46.0	0.0034407131447468757	900.0	0.6764188923268072	0.0009737960339943342	0.007170679886685552	0.0027443342776203965	0.004470609065155807	13712.565709100567	0.003840545070382938	0.0009737960339943342	0.007170679886685552	0.0027443342776203965	0.004470609065155807	13712.546299575071	0.0038405470934403177	0.0009737960339943342	0.007170679886685552	0.0027443342776203965	0.004470609065155807	13712.585118626062	0.003840543057421149	1	0.012747875354107648	0.009029745042492918			
2	TrialState.COMPLETE	0.006418201133144476	2020-01-07 12:08:52.785315	2020-01-07 12:32:53.903085	5.750072788128974	50.0	50.0	1	21.0	0.002836006589252319	600.0	0.841946433287571	0.0011508498583569404	0.006418201133144476	0.0028771246458923513	0.0038509206798866854	17069.161605878187	0.0036468101092127347	0.0011508498583569404	0.006418201133144476	0.0028771246458923513	0.0038509206798866854	17069.14651203966	0.0036468101743694654	0.0011508498583569404	0.006418201133144476	0.0028771246458923513	0.0038509206798866854	17069.176699716714	0.003646810044079619	2	0.010888810198300283	0.007908404154863078			
3	TrialState.COMPLETE	0.004107648725212465	2020-01-07 12:32:53.903885	2020-01-07 13:14:36.934354	1.6187854437650273	100.0	50.0	1	41.0	0.06730455789996959	500.0	0.81780152074548	0.0007790368271954674	0.004107648725212465	0.001593484419263456	0.0025495750708215297	16578.926699716714	0.0023398375016328273	0.0007790368271954674	0.004107648725212465	0.001593484419263456	0.0025495750708215297	16578.923300283284	0.002339837847241701	0.0007790368271954674	0.004107648725212465	0.001593484419263456	0.0025495750708215297	16578.93009915014	0.0023398371570417034	3		0.003895184135977337	0.004027974504249292		
4	TrialState.COMPLETE	0.03673866855524079	2020-01-07 13:14:36.935206	2020-01-07 14:13:15.157272	5.928339440307097	200.0	150.0	1	46.0	0.002150448157367057	600.0	0.6500533692988936	0.0012836402266288953	0.03673866855524079	0.021113668555240793	0.028195821529745042	13178.121525318697	0.015094920138722373	0.0012836402266288953	0.03673866855524079	0.021113668555240793	0.028195821529745042	13178.107560198301	0.015094927620895416	0.0012836402266288953	0.03673866855524079	0.021113668555240793	0.028195821529745042	13178.135490439094	0.015094912779840786	4	0.0709985835694051	0.04815864022662889			
5	TrialState.COMPLETE	0.01898902266288952	2020-01-07 14:13:15.158293	2020-01-07 14:35:01.537081	8.182382161072752	100.0	100.0	2	6.0	0.006079375222095885	800.0	0.690893777172972	0.0016377478753541077	0.01898902266288952	0.00880842776203966	0.012836402266288951	14005.879249291786	0.00803385200088496	0.0016377478753541077	0.01898902266288952	0.00880842776203966	0.012836402266288951	14005.839235127478	0.008033852568009424	0.0016377478753541077	0.01898902266288952	0.00880842776203966	0.012836402266288951	14005.919263456091	0.008033851434765697	5	0.037092776203966005	0.02502360717658168			
6	TrialState.COMPLETE	0.0012393767705382436	2020-01-07 14:35:01.538062	2020-01-07 15:02:41.641616	3.5810527384877866	100.0	50.0	2	36.0	0.05428838662000505	700.0	0.825745705179491	0.0002213172804532578	0.0012393767705382436	0.000398371104815864	0.0005754249291784702	16740.51847999292	0.0009279680477175927	0.0002213172804532578	0.0012393767705382436	0.000398371104815864	0.0005754249291784702	16740.51460694051	0.0009279690962546275	0.0002213172804532578	0.0012393767705382436	0.000398371104815864	0.0005754249291784702	16740.522353045326	0.0009279670047732222	6	0.001593484419263456	0.0013574126534466478			
7	TrialState.COMPLETE	0.20800873465533523	2020-01-07 15:02:41.642555	2020-01-07 16:39:34.103755	2.6260737401900713	150.0	150.0	1	46.0	0.001822552292048073	700.0	0.4943593968463801	0.0036886213408876298	0.20800873465533523	0.09233356940509915	0.141938149197356	10020.704659466477	0.06913153396134307	0.0036886213408876298	0.20800873465533523	0.09233356940509915	0.141938149197356	10020.701280689329	0.06913153403931814	0.0036886213408876298	0.20800873465533523	0.09233356940509915	0.141938149197356	10020.708038243625	0.06913153388343687	7			0.22384029745042494	0.2143413597733711	
8	TrialState.COMPLETE	0.0009295325779036828	2020-01-07 16:39:34.104787	2020-01-07 17:01:51.142267	5.5874937795217425	200.0	50.0	1	1.0	0.038573197815104876	700.0	0.8671062869584152	8.852691218130312e-05	0.0009295325779036828	0.00017705382436260624	0.0004868980169971671	17578.457484950424	0.0005845872754889389	8.852691218130312e-05	0.0009295325779036828	0.00017705382436260624	0.0004868980169971671	17578.45162004249	0.0005845873073753318	8.852691218130312e-05	0.0009295325779036828	0.00017705382436260624	0.0004868980169971671	17578.463349858357	0.0005845872436079542	8	0.0009737960339943342	0.0009442870632672333			
