number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.relation_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	351	401	501	551	601	751	801
0	TrialState.COMPLETE	0.010269121813031162	2020-01-11 18:50:53.623889	2020-01-11 20:11:25.428664	150.0	100.0	2	91.0	0.08638375030484663	600.0	1.0289777396052289	0.000708215297450425	0.010269121813031162	0.008852691218130312	0.009313031161473088	20861.170733002833	0.005149220393724081	0.000708215297450425	0.010269121813031162	0.008852691218130312	0.009313031161473088	20861.158604815864	0.005149220559059495	0.000708215297450425	0.010269121813031162	0.008852691218130312	0.009313031161473088	20861.1828611898	0.005149220228481753	0		0.010269121813031162	0.010269121813031162							
1	TrialState.COMPLETE	0.3250413125590179	2020-01-11 20:11:25.429830	2020-01-11 23:24:59.074117	50.0	50.0	1	81.0	0.0012528510328696425	1000.0	0.5082863241852686	0.001308231035568146	0.3250413125590179	0.2134187126219704	0.2728005980484734	10305.23228478124	0.12042814697550024	0.001308231035568146	0.3250413125590179	0.2134187126219704	0.2728005980484734	10305.227710890778	0.1204281473269586	0.001308231035568146	0.3250413125590179	0.2134187126219704	0.2728005980484734	10305.236858671702	0.12042814662549885	1									0.3237318519830028	0.3244250958173638
2	TrialState.COMPLETE	0.017262747875354107	2020-01-11 23:24:59.074989	2020-01-11 23:45:59.638385	150.0	50.0	2	11.0	0.025577219239898464	1000.0	0.6648160155747768	0.0010180594900849858	0.017262747875354107	0.010446175637393768	0.013411827195467423	13478.09000973796	0.008181228597098978	0.0010180594900849858	0.017262747875354107	0.010446175637393768	0.013411827195467423	13478.086136685552	0.008181228752571093	0.0010180594900849858	0.017262747875354107	0.010446175637393768	0.013411827195467423	13478.093882790368	0.008181228441746506	2	0.017351274787535412	0.017292256846081207								
3	TrialState.COMPLETE	0.29820922703358965	2020-01-11 23:45:59.639217	2020-01-12 02:21:22.304220	200.0	50.0	1	21.0	0.0012082007222751078	900.0	0.49734693545410735	0.004375758802104411	0.29820922703358965	0.1556808984216916	0.22086199919061109	10081.81606636989	0.10126398663957491	0.004375758802104411	0.29820922703358965	0.1556808984216916	0.22086199919061109	10081.809907426143	0.10126398686169194	0.004375758802104411	0.29820922703358965	0.1556808984216916	0.22086199919061109	10081.822225313637	0.10126398641785854	3							0.2965651558073654	0.29745042492917845		
4	TrialState.COMPLETE	0.32577903682719545	2020-01-12 02:21:22.305006	2020-01-12 07:08:54.642343	150.0	100.0	1	91.0	0.0028027478261871764	1000.0	0.586906604108675	0.0009533667465678798	0.32577903682719545	0.22406842449335368	0.2788870124210068	11898.848332970147	0.12501785163214374	0.0009533667465678798	0.32577903682719545	0.22406842449335368	0.2788870124210068	11898.842626389192	0.12501785362685747	0.0009533667465678798	0.32577903682719545	0.22406842449335368	0.2788870124210068	11898.8540395511	0.12501784965239454	4						0.3244269894411537	0.32515934844192634			
5	TrialState.COMPLETE	0.040943696883852694	2020-01-12 07:08:54.643131	2020-01-12 07:37:38.141510	100.0	100.0	2	41.0	0.022626296991693103	600.0	0.5409348673431328	0.000708215297450425	0.040943696883852694	0.023990793201133145	0.030674575070821528	10966.447636331444	0.01668254867806202	0.000708215297450425	0.040943696883852694	0.023990793201133145	0.030674575070821528	10966.441970609065	0.0166825500736024	0.000708215297450425	0.040943696883852694	0.023990793201133145	0.030674575070821528	10966.453302053824	0.016682547287465446	5	0.03904036827195467	0.04030925401322002								
6	TrialState.COMPLETE	0.10424043909348442	2020-01-12 07:37:38.142542	2020-01-12 09:32:06.371851	200.0	200.0	1	91.0	0.011301016598826943	1000.0	0.5068396091848907	0.0008852691218130312	0.10424043909348442	0.06639518413597734	0.08237429178470256	10275.498539305949	0.04127439469624909	0.0008852691218130312	0.10424043909348442	0.06639518413597734	0.08237429178470256	10275.492917847025	0.04127439494360281	0.0008852691218130312	0.10424043909348442	0.06639518413597734	0.08237429178470256	10275.504160764873	0.04127439444911672	6	0.10384206798866856	0.10410764872521247								
7	TrialState.COMPLETE	0.043245396600566574	2020-01-12 09:32:06.372554	2020-01-12 10:09:24.493283	200.0	50.0	2	61.0	0.01668223128600455	800.0	0.6020019759924811	0.0009737960339943342	0.043245396600566574	0.029656515580736544	0.03541076487252125	12204.89753009915	0.01897298937361953	0.0009737960339943342	0.043245396600566574	0.029656515580736544	0.03541076487252125	12204.890934844192	0.01897303935753418	0.0009737960339943342	0.043245396600566574	0.029656515580736544	0.03541076487252125	12204.904125354107	0.018972940955652925	7	0.04559135977337111	0.04402738432483475								
8	TrialState.COMPLETE	0.3275622217725617	2020-01-12 10:09:24.494096	2020-01-12 17:39:08.250399	150.0	150.0	2	91.0	0.0026373021783854624	700.0	0.5886204075959675	0.0010496762444354513	0.3275622217725617	0.22557921893970054	0.28061766491299067	11933.440206394172	0.12558952578852378	0.0010496762444354513	0.3275622217725617	0.22557921893970054	0.28061766491299067	11933.434047450424	0.12558952640855045	0.0010496762444354513	0.3275622217725617	0.22557921893970054	0.28061766491299067	11933.44636533792	0.12558952517212146	8							0.32564624645892354	0.32667792547395946		
9	TrialState.COMPLETE	0.30938385269121815	2020-01-12 17:39:08.251290	2020-01-12 22:47:12.168280	200.0	150.0	1	71.0	0.0049274733736103865	500.0	0.40108065467064186	0.0009206798866855524	0.30938385269121815	0.20129249291784704	0.25564801699716716	8131.2172538951845	0.11571897733072488	0.0009206798866855524	0.30938385269121815	0.20129249291784704	0.25564801699716716	8131.2129603399435	0.115718979629736	0.0009206798866855524	0.30938385269121815	0.20129249291784704	0.25564801699716716	8131.221547450425	0.11571897505108661	9				0.30922450424929177	0.3093130311614731					
