number	value	datetime_start	datetime_complete	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.150749063670412	2020-04-08 15:33:32.015199	2020-04-08 15:38:26.911216	8.05312928655147	0.08931295024905486	256	94	128	0.8212028530518758	0.016853932584269662	0.150749063670412	0.05102996254681648	0.07911985018726592	39.27879213483146	0.07256183545301757	0.016853932584269662	0.150749063670412	0.05102996254681648	0.07911985018726592	39.278558052434455	0.0725621507155051	4258759318	450.0	0.016853932584269662	0.150749063670412	0.05102996254681648	0.07911985018726592	39.27902621722846	0.07256153144990457	0	COMPLETE
1	0.17415730337078653	2020-04-08 15:38:26.963234	2020-04-08 15:41:18.853466	1.9939932466382393	0.019693838437606054	256	18	128	0.7049747483145571	0.017322097378277154	0.17415730337078653	0.060393258426966294	0.08801498127340825	33.62546816479401	0.0818086022722548	0.017322097378277154	0.17415730337078653	0.060393258426966294	0.08801498127340825	33.62453183520599	0.0818107525113922	4089814486	300.0	0.017322097378277154	0.17415730337078653	0.060393258426966294	0.08801498127340825	33.62640449438202	0.08180657047466837	1	COMPLETE
2	0.12687265917602997	2020-04-08 15:41:18.885946	2020-04-08 15:43:29.944439	1.3490884619323895	0.021005998926362995	256	85	512	0.9199555583981874	0.012640449438202247	0.12687265917602997	0.03932584269662921	0.06601123595505617	44.241573033707866	0.062008439591232624	0.012640449438202247	0.12687265917602997	0.03932584269662921	0.06601123595505617	44.24110486891386	0.06200961543510509	1940895795	450.0	0.012640449438202247	0.12687265917602997	0.03932584269662921	0.06601123595505617	44.24204119850187	0.062007321305333006	2	COMPLETE
3	0.11610486891385768	2020-04-08 15:43:29.971866	2020-04-08 15:44:07.000365	7.803062801055078	0.011282640167880479	128	56	512	0.9463882909630764	0.010299625468164793	0.11610486891385768	0.03323970037453183	0.05805243445692884	45.61212546816479	0.05665212326788327	0.010299625468164793	0.11610486891385768	0.03323970037453183	0.05805243445692884	45.61189138576779	0.056652199953353216	1675560932	200.0	0.010299625468164793	0.11610486891385768	0.03323970037453183	0.05805243445692884	45.6123595505618	0.056652047951796715	3	COMPLETE
4	0.12780898876404495	2020-04-08 15:44:07.055751	2020-04-08 15:45:49.663502	1.6846679466387449	0.029022047268652852	128	92	256	0.9381535204270443	0.016853932584269662	0.12780898876404495	0.04541198501872659	0.06975655430711611	45.16338951310861	0.06487053861984932	0.016853932584269662	0.12780898876404495	0.04541198501872659	0.06975655430711611	45.16338951310861	0.06487053861984932	2126561895	300.0	0.016853932584269662	0.12780898876404495	0.04541198501872659	0.06975655430711611	45.16338951310861	0.06487053861984932	4	COMPLETE
5	0.19288389513108614	2020-04-08 15:45:49.690106	2020-04-08 15:49:48.580919	4.0340293181446825	0.026774932468183167	256	28	128	0.696394784755356	0.011704119850187267	0.19288389513108614	0.04868913857677903	0.09176029962546817	33.24625468164794	0.07728747824973577	0.011704119850187267	0.19288389513108614	0.04868913857677903	0.09176029962546817	33.24625468164794	0.07728747824973577	1212138113	400.0	0.011704119850187267	0.19288389513108614	0.04868913857677903	0.09176029962546817	33.24625468164794	0.07728747824973577	5	COMPLETE
6	0.125	2020-04-08 15:49:48.648750	2020-04-08 15:50:47.091908	8.693502998787531	0.012848657575070031	64	100	256	0.9487489148658745	0.01638576779026217	0.125	0.04400749063670412	0.07069288389513109	45.77247191011236	0.06492343800748696	0.01638576779026217	0.125	0.04400749063670412	0.07069288389513109	45.77247191011236	0.06492343800748696	136439133	200.0	0.01638576779026217	0.125	0.04400749063670412	0.07069288389513109	45.77247191011236	0.06492343800748696	6	COMPLETE
7	0.13295880149812733	2020-04-08 15:50:47.119475	2020-04-08 15:52:08.706932	3.7962750867252417	0.08334005089018968	256	45	256	0.9065870226636418	0.01638576779026217	0.13295880149812733	0.03932584269662921	0.06975655430711611	43.59246254681648	0.06539025228152855	0.01638576779026217	0.13295880149812733	0.03932584269662921	0.06975655430711611	43.59129213483146	0.06543898469143387	3045285534	250.0	0.01638576779026217	0.13295880149812733	0.03932584269662921	0.06975655430711611	43.5936329588015	0.06535725396502044	7	COMPLETE
8	0.20177902621722846	2020-04-08 15:52:08.781676	2020-04-08 15:57:04.092994	4.209345455941173	0.023304626374962542	128	22	256	0.6904314051465958	0.012172284644194757	0.20177902621722846	0.052434456928838954	0.09129213483146068	32.951310861423224	0.08013173008829187	0.012172284644194757	0.20177902621722846	0.052434456928838954	0.09129213483146068	32.951310861423224	0.08013173008829187	2456320970	850.0	0.012172284644194757	0.20177902621722846	0.052434456928838954	0.09129213483146068	32.951310861423224	0.08013173008829187	8	COMPLETE
9	0.526685393258427	2020-04-08 15:57:04.126212	2020-04-08 16:08:16.034331	9.848727999544504	0.038975585496168294	256	18	128	0.2758501190081769	0.075374531835206	0.526685393258427	0.20037453183520598	0.299625468164794	13.22752808988764	0.2050221855741409	0.075374531835206	0.526685393258427	0.20037453183520598	0.3000936329588015	13.227059925093632	0.20503117055503597	2011375175		0.075374531835206	0.526685393258427	0.20037453183520598	0.299625468164794	13.227996254681647	0.20501463983503676	9	COMPLETE
