number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.07818352059925093	2020-05-21 21:43:58.698165	2020-05-21 22:22:24.699298	0.9933356263238193	26.02784047532831	256	256	1	66	0.03233367582747218	128	1.1361315137399743	0.007022471910112359	0.07818352059925093	0.026217228464419477	0.04353932584269663	54.90285580524345	0.04449289808287996	0.007022471910112359	0.07818352059925093	0.026217228464419477	0.04353932584269663	54.899812734082396	0.04449375070845676		3117465924.0	200.0	0.007022471910112359	0.07818352059925093	0.026217228464419477	0.04353932584269663	54.90589887640449	0.04449206400879794	0		COMPLETE
1	0.11142322097378277	2020-05-21 22:22:24.798516	2020-05-21 22:28:58.569350	0.18250993492915926	9.39648106267338	64	128	2	63	0.0093565625186066	256	1.0294048282411996	0.01638576779026217	0.11142322097378277	0.040262172284644196	0.060393258426966294	49.782303370786515	0.058958520759093344	0.01638576779026217	0.11142322097378277	0.040262172284644196	0.060393258426966294	49.782303370786515	0.058958520759093344		2233017729.0	200.0	0.01638576779026217	0.11142322097378277	0.040262172284644196	0.060393258426966294	49.782303370786515	0.058958520759093344	1		COMPLETE
2	0.07162921348314606	2020-05-21 22:28:58.712517	2020-05-21 22:39:11.485446	0.6143769204231159	19.42130235367797	128	64	1	25	0.0021424999094787713	128	1.2065469007014753	0.00749063670411985	0.07162921348314606	0.020599250936329586	0.0351123595505618	58.30711610486891	0.04118360308692997	0.00749063670411985	0.07162921348314606	0.020599250936329586	0.0351123595505618	58.302434456928836	0.04118457529330537		166017405.0	300.0	0.00749063670411985	0.07162921348314606	0.020599250936329586	0.0351123595505618	58.311797752808985	0.0411826465782988	2		COMPLETE
3	0.11282771535580524	2020-05-21 22:39:11.591476	2020-05-21 22:45:36.764315	0.8148880958920618	8.279693992767939	128	64	2	33	0.0330673897492881	512	1.0001585078835558	0.015917602996254682	0.11282771535580524	0.03464419475655431	0.0552434456928839	48.31975655430712	0.05792833271991984	0.015917602996254682	0.11282771535580524	0.03464419475655431	0.0552434456928839	48.31975655430712	0.05792833271991984		4036377614.0	300.0	0.015917602996254682	0.11282771535580524	0.03464419475655431	0.0552434456928839	48.31975655430712	0.05792833271991984	3		COMPLETE
4	0.08146067415730338	2020-05-21 22:45:36.893961	2020-05-21 23:46:15.529813	0.6036696396045098	20.005986272625012	256	128	2	78	0.012007861193209058	512	1.1821028722357703	0.00749063670411985	0.08146067415730338	0.024344569288389514	0.041666666666666664	57.175327715355806	0.04369803338994463	0.00749063670411985	0.08146067415730338	0.024344569288389514	0.041666666666666664	57.16713483146067	0.043702826088929204		66709873.0	450.0	0.00749063670411985	0.08146067415730338	0.024344569288389514	0.041666666666666664	57.18352059925093	0.04369364301229577	4		COMPLETE
5	0.15355805243445692	2020-05-21 23:46:15.656170	2020-05-21 23:59:11.970262	0.3364519934804534	6.626650448461676	64	256	1	65	0.01534693220322355	128	0.816243747963434	0.020131086142322098	0.15355805243445692	0.05664794007490637	0.08426966292134831	39.49438202247191	0.0754410862646938	0.020131086142322098	0.15355805243445692	0.05664794007490637	0.08426966292134831	39.49438202247191	0.0754410862646938		2568716579.0	200.0	0.020131086142322098	0.15355805243445692	0.05664794007490637	0.08426966292134831	39.49438202247191	0.0754410862646938	5		COMPLETE
6	0.06132958801498127	2020-05-21 23:59:12.118711	2020-05-22 00:17:25.398928	0.273683913968643	15.144101786038435	256	128	1	43	0.0030531075361953717	256	1.2036717445441358	0.004213483146067416	0.06132958801498127	0.017790262172284643	0.02855805243445693	58.20177902621723	0.03684913219898234	0.004213483146067416	0.06132958801498127	0.017790262172284643	0.02855805243445693	58.193820224719104	0.036854417988478605		1564247206.0	250.0	0.004213483146067416	0.06132958801498127	0.017790262172284643	0.02855805243445693	58.20973782771536	0.036844121330278486	6		COMPLETE
7	0.07724719101123595	2020-05-22 00:17:25.502048	2020-05-22 00:22:51.253136	0.5197760277650822	15.089472733684158	128	64	2	30	0.019239793503857832	512	1.198961050983881	0.0056179775280898875	0.07724719101123595	0.026685393258426966	0.040262172284644196	57.984316479400746	0.042040378445810316	0.0056179775280898875	0.07724719101123595	0.026685393258426966	0.040262172284644196	57.9812734082397	0.04204122047607414		67415405.0	300.0	0.0056179775280898875	0.07724719101123595	0.026685393258426966	0.040262172284644196	57.9873595505618	0.042039553790968374	7		COMPLETE
8	0.250936329588015	2020-05-22 00:22:51.354226	2020-05-22 00:35:37.193805	0.7371979585902458	5.090803494428757	256	64	1	71	0.0048381089518127725	256	0.5604943862596478	0.019194756554307114	0.250936329588015	0.07677902621722846	0.13295880149812733	27.14138576779026	0.09952953895854268	0.019194756554307114	0.250936329588015	0.07677902621722846	0.13295880149812733	27.14138576779026	0.09952953895854268		2049339929.0	200.0	0.019194756554307114	0.250936329588015	0.07677902621722846	0.13295880149812733	27.14138576779026	0.09952953895854268	8		COMPLETE
9	0.09831460674157304	2020-05-22 00:35:37.299541	2020-05-22 01:09:11.475448	0.9822196883538474	8.663191006246231	256	256	2	28	0.036429644015725515	256	1.0805835676002786	0.008426966292134831	0.09831460674157304	0.02855805243445693	0.04915730337078652	52.200842696629216	0.04822833831581307	0.008426966292134831	0.09831460674157304	0.02855805243445693	0.04915730337078652	52.200842696629216	0.04822833831581307		2926495956.0	350.0	0.008426966292134831	0.09831460674157304	0.02855805243445693	0.04915730337078652	52.200842696629216	0.04822833831581307	9		COMPLETE
