number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	551	601	901	951	1001
0	TrialState.COMPLETE	0.34875437427095485	2020-01-15 13:36:35.764712	2020-01-15 17:10:25.684604	7.465452247577304	0.02377898703543833	150.0	81.0	0.08962568085657067	800.0	0.39651584899671527	0.13952882852857856	0.34875437427095485	0.2586235627395434	0.30151224795867354	8037.916529536744	0.2146282880457742	0.13953924345942342	0.34875437427095485	0.2586235627395434	0.30151224795867354	8037.911191884686	0.21463249419063213	0.13952882852857856	0.34875437427095485	0.2586235627395434	0.30151224795867354	8037.921867188802	0.21462593412147754	0					
1	TrialState.COMPLETE	0.38811003090394025	2020-01-15 17:10:25.686240	2020-01-15 23:55:49.835793	1.0892029145667457	0.011486074767958467	450.0	51.0	0.0038941070119490094	2000.0	0.35165488431702485	0.16578676281225857	0.38811003090394025	0.2909638166366212	0.3378106489827453	7128.386943085244	0.24466121831834395	0.16581090651558072	0.38811003090394025	0.29097186453772855	0.3378106489827453	7128.374967808396	0.24467070145531106	0.16578676281225857	0.38811003090394025	0.2909638166366212	0.3378106489827453	7128.3989183620915	0.24465615424100032	1				0.3863048866855524	0.38725043841899365
2	TrialState.COMPLETE	0.39115275659185006	2020-01-15 23:55:49.836954	2020-01-16 03:31:08.315657	9.963827032095843	0.031419091762503626	450.0	11.0	0.0015713132807965858	600.0	0.3586641398977256	0.19067334931357593	0.39115275659185006	0.303960557855742	0.3452549575070821	7270.617645456527	0.26178313868576664	0.19067334931357593	0.39115275659185006	0.303960557855742	0.3452549575070821	7270.602337110482	0.26178326523014395	0.19067334931357593	0.39115275659185006	0.303960557855742	0.3452549575070821	7270.632953802571	0.26178301740194493	2					
3	TrialState.COMPLETE	0.1638380210441117	2020-01-16 03:31:08.316816	2020-01-16 05:57:08.261036	1.6058478050384577	0.09755314649038734	150.0	1.0	0.017061372184761964	1100.0	0.39458984877725406	0.062487353298259815	0.1638380210441117	0.10948249696479158	0.13249949413193038	7998.810761078511	0.097612369971563	0.062487353298259815	0.1638380210441117	0.10949514366653176	0.13251214083367058	7998.765833670579	0.09761488155429082	0.062487353298259815	0.1638380210441117	0.10948249696479158	0.13249949413193038	7998.855688486443	0.09761049566479851	3	0.1635534702549575	0.16370668991065593			
4	TrialState.COMPLETE	0.3425738567381627	2020-01-16 05:57:08.262146	2020-01-16 11:41:42.234879	6.398669852575239	0.01858483318631593	350.0	61.0	0.04131993425123273	1100.0	0.3950790770018682	0.1509341697018751	0.3425738567381627	0.25937542155672466	0.299229394307298	8008.7024694792935	0.21993954290582846	0.150951031970862	0.3425738567381627	0.25937542155672466	0.299229394307298	8008.691192836908	0.21994590844977951	0.1509341697018751	0.3425738567381627	0.25937542155672466	0.299229394307298	8008.713746121678	0.21993608879362342	4			0.3412479499030863	0.34194405099150144	
5	TrialState.COMPLETE	0.32839398561778166	2020-01-16 11:41:42.244070	2020-01-16 14:14:40.963656	4.0335747922209295	0.04288253668851154	150.0	21.0	0.0379991204747528	600.0	0.393722747997446	0.1335939202440619	0.32839398561778166	0.2430812813249074	0.284607212900414	7981.342619579429	0.20320921344737852	0.1335939202440619	0.32839398561778166	0.2430812813249074	0.284607212900414	7981.3346589670955	0.2032096071604819	0.1335939202440619	0.32839398561778166	0.2430812813249074	0.284607212900414	7981.350580191763	0.20320887096784787	5					
