number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	301	351
0	TrialState.COMPLETE	0.25398693369850506	2020-01-20 00:41:25.028788	2020-01-20 01:03:48.456391	50.0	2	31.0	0.0038711007484210384	1900.0	0.07785133685168409	0.07134400319525276	0.25398693369850506	0.14216735136368824	0.1803820038799498	545.5657237818099	0.13229656115204505	0.07134400319525276	0.25398693369850506	0.14216735136368824	0.1803820038799498	545.5649606299213	0.13229741340074935	0.07134400319525276	0.25398693369850506	0.14216735136368824	0.1803820038799498	545.5664869336985	0.13229595861561713	0	0.25688976377952755	0.2549545437255126				
1	TrialState.COMPLETE	0.21090950587698276	2020-01-20 01:03:48.457212	2020-01-20 01:37:03.867313	150.0	2	51.0	0.029327364727032398	900.0	0.1476637605069214	0.06590779413442885	0.21090950587698276	0.11776218190117539	0.1520826201072692	1040.2128723040055	0.11395259501040045	0.06590779413442885	0.21090950587698276	0.11776218190117539	0.1520826201072692	1040.2120734908137	0.11395324685448761	0.06590779413442885	0.21090950587698276	0.11776218190117539	0.1520826201072692	1040.2136711171972	0.11395213938044971	1		0.21520407775115066	0.21251997032979572			
2	TrialState.COMPLETE	0.19243552436380235	2020-01-20 01:37:03.868156	2020-01-20 01:55:37.672645	150.0	1	1.0	0.004384581634426503	1500.0	0.1806984787628689	0.07041680931187949	0.19243552436380235	0.11965793677964168	0.14748801780212256	1273.6795154342121	0.11265220636745145	0.07041680931187949	0.19243552436380235	0.11965793677964168	0.14748801780212256	1273.6792408421773	0.11265220850979098	0.07041680931187949	0.19243552436380235	0.11965793677964168	0.14748801780212256	1273.6797900262468	0.1126522042524262	2	0.21329738673970103	0.1993894784891019				
3	TrialState.COMPLETE	0.25013551295218533	2020-01-20 01:55:37.673488	2020-01-20 02:19:19.577499	250.0	2	31.0	0.0022756494595862933	1100.0	0.07705457417329357	0.07179333561565673	0.25013551295218533	0.14097626383658565	0.18155882688576971	540.6650476435011	0.1317736373826012	0.07181473239758074	0.25014264521282664	0.14097626383658565	0.18155882688576971	540.6644057400433	0.13178091689605265	0.07179333561565673	0.25013551295218533	0.14097626383658565	0.18155882688576971	540.6656895469588	0.13176993238235832	3	0.25392274335273307	0.25139792308570125				
4	TrialState.COMPLETE	0.22244094488188976	2020-01-20 02:19:19.578350	2020-01-20 02:41:16.856529	50.0	2	81.0	0.013578108796206342	1300.0	0.09586372719552429	0.06069553805774278	0.22244094488188976	0.11778215223097113	0.15503394956065275	674.3034277644642	0.11408830638944006	0.06071693483966678	0.2224480771425311	0.11779641675225379	0.15504108182129409	674.3026503480543	0.11409869369556189	0.06069553805774278	0.22244094488188976	0.11778215223097113	0.15503394956065275	674.3042051808741	0.1140824178274088	4	0.22512267488303092	0.22333485488227015				
5	TrialState.COMPLETE	0.27073490813648293	2020-01-20 02:41:16.857616	2020-01-20 03:13:22.014351	50.0	2	21.0	0.0010955495346385593	1600.0	0.10211194947385765	0.08796644984594316	0.27073490813648293	0.16318041766518315	0.20319525276731712	715.1126840123245	0.14959526199930184	0.08796644984594316	0.27073490813648293	0.1631861234736962	0.20320666438434326	715.1116912016432	0.1495958771048749	0.08796644984594316	0.27073490813648293	0.16318041766518315	0.20319525276731712	715.1136768230058	0.14959476034742797	5		0.2703887557533569	0.27060510099281065			
6	TrialState.COMPLETE	0.11813876526303778	2020-01-20 03:13:22.015194	2020-01-20 03:33:32.751461	150.0	2	1.0	0.04453679942143037	1600.0	0.718838284283045	0.014521282665753737	0.11813876526303778	0.07790568298527902	0.0953226634714139	5108.515715936323	0.05423175115886067	0.014521282665753737	0.11813876526303778	0.07790568298527902	0.0953226634714139	5108.512781011069	0.05423175191611733	0.014521282665753737	0.11813876526303778	0.07790568298527902	0.0953226634714139	5108.518650861577	0.05423175040388739	6	0.12036403058313364	0.1188805203697364				
7	TrialState.COMPLETE	0.11783207805546046	2020-01-20 03:33:32.752296	2020-01-20 03:59:21.287856	450.0	1	11.0	0.01794246409599995	1700.0	0.6817401935999724	0.005192285746890335	0.11783207805546046	0.08344031724295332	0.09676338012096314	4851.135245492411	0.051686536566828534	0.005192285746890335	0.11783207805546046	0.08344031724295332	0.09676338012096314	4851.131105215109	0.051686537310638596	0.005192285746890335	0.11783207805546046	0.08344031724295332	0.09676338012096314	4851.139385769714	0.051686535824756054	7	0.12306002510555746	0.11957472707215946				
8	TrialState.COMPLETE	0.1025476435010841	2020-01-20 03:59:21.288743	2020-01-20 04:38:23.084314	450.0	1	91.0	0.022187350197964927	1900.0	0.7726984114696958	0.005149492183042337	0.1025476435010841	0.0749957206436152	0.08659277644642246	5507.798584959489	0.044959260496453116	0.005149492183042337	0.1025476435010841	0.0749957206436152	0.08659277644642246	5507.794077370763	0.044959261742089314	0.005149492183042337	0.1025476435010841	0.0749957206436152	0.08659277644642246	5507.803092548214	0.04495925925606833	8	0.1046730571722013	0.10325611472478984				
