number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	351	401	501	551	601	701	751	1201	1251	1301	1351
0	TrialState.COMPLETE	0.15294171650403945	2020-01-03 16:44:48.878827	2020-01-03 20:42:10.127573	150.0	71.0	0.0020958197556203944	1500.0	0.3400152941338643	0.05241448956038191	0.15294171650403945	0.09562873780295876	0.11930804742419474	6892.614025941664	0.08697368361674448	0.05241448956038191	0.15294171650403945	0.09562873780295876	0.11930804742419474	6892.612789843668	0.08697368413768183	0.05241448956038191	0.15294171650403945	0.09562873780295876	0.11930804742419474	6892.61526203966	0.08697368310023355	0													0.1518059490084986	0.15239567443887558		
1	TrialState.COMPLETE	0.010375354107648725	2020-01-03 20:42:10.128331	2020-01-03 21:23:43.537818	200.0	91.0	0.011335424685999934	2000.0	0.8346808148524185	0.00198300283286119	0.010375354107648725	0.004851274787535411	0.007188385269121813	16922.189447592067	0.005165063947071023	0.00198300283286119	0.010375354107648725	0.004851274787535411	0.007188385269121813	16922.18495042493	0.005165064033152076	0.00198300283286119	0.010375354107648725	0.004851274787535411	0.007188385269121813	16922.19394475921	0.005165063861052112	1		0.009501888574126535	0.010047804532577904													
2	TrialState.COMPLETE	0.09826487252124647	2020-01-03 21:23:43.538541	2020-01-04 00:54:16.742844	100.0	41.0	0.001541973034808075	1800.0	0.3942340251971863	0.03126526326072091	0.09826487252124647	0.05878797499267364	0.07453355475236886	7991.154970938752	0.05433920407472794	0.03126526326072091	0.09826487252124647	0.05878797499267364	0.07453355475236886	7991.15387198398	0.054339205447649655	0.03126526326072091	0.09826487252124647	0.05878797499267364	0.07453355475236886	7991.156069893524	0.05433920271615342	2															0.0968090966320428	0.09756298057466613
3	TrialState.COMPLETE	0.0005311614730878187	2020-01-04 00:54:16.743570	2020-01-04 01:09:09.141469	50.0	31.0	0.09256540118342213	1500.0	0.9198693266980384	8.852691218130312e-05	0.0005311614730878187	0.0001327903682719547	0.0002213172804532578	18648.407068873938	0.0004837690098410938	0.7422981586402266	0.7427407932011332	0.7423424220963173	0.7424309490084986	3761.383675637394	0.7426561195240781	8.852691218130312e-05	0.0005311614730878187	0.0001327903682719547	0.0002213172804532578	33535.43046211048	0.0004651288708362061	3	0.0010623229461756375	0.000708215297450425														
4	TrialState.COMPLETE	0.08655402670983407	2020-01-04 01:09:09.142450	2020-01-04 01:40:57.852916	50.0	11.0	0.027446813775082925	900.0	0.3480860098069716	0.014872521246458924	0.08655402670983407	0.04155706191825172	0.059363617968433834	7055.85261533792	0.04073450304364685	0.03781363820315662	0.08804633751517604	0.053065560501821124	0.06586402266288952	7055.772991703764	0.05570826479908989	0.014872521246458924	0.08235532173209227	0.03748482395791178	0.054355524079320115	7055.932238972076	0.03801646051636163	4				0.09490084985835694	0.09003186968838527											
5	TrialState.COMPLETE	0.00017705382436260624	2020-01-04 01:40:57.853683	2020-01-04 01:54:21.778656	50.0	11.0	0.08830127578347213	1600.0	0.8958650754173901	4.426345609065156e-05	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	18161.838615439094	0.0003056979561758259	0.7494245750708215	0.7503098441926346	0.7496901558073654	0.7498229461756374	3318.4532135269124	0.749980161566378	4.426345609065156e-05	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	33005.22401735128	0.0002822731582516278	5	0.0003541076487252125	0.00023607176581680832														
6	TrialState.COMPLETE	0.1253541076487252	2020-01-04 01:54:21.779354	2020-01-04 03:32:06.513377	50.0	51.0	0.004539017294927986	700.0	0.3548468097018735	0.03974268177525968	0.1253541076487252	0.07396128423040604	0.09401558073654391	7192.530152266289	0.06895633713439325	0.03974268177525968	0.1253541076487252	0.07396128423040604	0.09401558073654391	7192.529119452313	0.06895633833485888	0.03974268177525968	0.1253541076487252	0.07396128423040604	0.09401558073654391	7192.531185080265	0.06895633594857173	6																
7	TrialState.COMPLETE	0.07129880527158516	2020-01-04 03:32:06.514363	2020-01-04 06:04:56.309271	50.0	31.0	0.0017829365020294373	1100.0	0.4539075114099215	0.02100012316787782	0.07129880527158516	0.04065309767212711	0.052708153713511514	9199.723191741594	0.038674412617876325	0.02100012316787782	0.07129880527158516	0.04065309767212711	0.052708153713511514	9199.722171757605	0.03867441266390927	0.02100012316787782	0.07129880527158516	0.04065309767212711	0.052708153713511514	9199.724211725583	0.038674412571876524	7																
8	TrialState.COMPLETE	0.0038597733711048157	2020-01-04 06:04:56.310072	2020-01-04 06:24:41.355389	50.0	11.0	0.0015154855683457594	700.0	0.6887859793364604	0.0004957507082152975	0.0038597733711048157	0.0013101983002832861	0.002124645892351275	13961.658197592067	0.0022714513795370496	0.0004957507082152975	0.0038597733711048157	0.0013101983002832861	0.002124645892351275	13961.656055240794	0.002271451401860651	0.0004957507082152975	0.0038597733711048157	0.0013101983002832861	0.002124645892351275	13961.660339943342	0.0022714513572194895	8		0.0026558073654390935	0.00340828611898017													
