number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.07953510724403076	2020-01-04 06:24:41.356130	2020-01-04 07:50:33.818098	100.0	1.0	0.012919296676594954	1500.0	0.3666903914107971	0.012975515985430999	0.07953510724403076	0.03749747065965196	0.05414053014973695	7433.124917796438	0.03664884038291808	0.035081950627276405	0.08217826790772967	0.04979006475111291	0.06137444354512343	7212.616223188992	0.05168872183707915	0.012975515985430999	0.07571580331849453	0.03309641845406718	0.0490692027519223	7653.633612403885	0.03401498343116327	9									0.07933486779981114	0.07944268903900632						
10	TrialState.COMPLETE	0.0020361189801699716	2020-01-04 07:50:33.818899	2020-01-04 08:14:06.617033	150.0	71.0	0.04110890708662487	1000.0	0.9774961507455917	0.0003541076487252125	0.0020361189801699716	0.000796742209631728	0.0009295325779036828	19817.819471494335	0.0009979905929864863	0.18254249291784702	0.18475566572237961	0.18351628895184136	0.18364907932011332	16804.34861898017	0.18343567540283737	0.0003541076487252125	0.0020361189801699716	0.000796742209631728	0.0009295325779036828	22831.2903240085	0.000989851834683869	10	0.0035410764872521247	0.0025377714825306893														
11	TrialState.COMPLETE	0.007303470254957507	2020-01-04 08:14:06.617803	2020-01-04 08:30:21.745799	100.0	1.0	0.0018534986510043755	1800.0	0.6833923752021048	0.001593484419263456	0.007303470254957507	0.0032312322946175635	0.00424929178470255	13853.078656161473	0.00407229418264245	0.001593484419263456	0.007303470254957507	0.0032312322946175635	0.00424929178470255	13853.077859419263	0.004072294197179823	0.001593484419263456	0.007303470254957507	0.0032312322946175635	0.00424929178470255	13853.079452903683	0.004072294168110351	11	0.0048689801699716715	0.006491973559962228														
12	TrialState.COMPLETE	0.10808615230794867	2020-01-04 08:30:21.746592	2020-01-04 11:24:34.186833	200.0	71.0	0.008967659567588687	1900.0	0.42464383809573947	0.03615022496250625	0.10808615230794867	0.06512456257290451	0.082173804365939	8608.078762914514	0.06100416055053847	0.03617105482419597	0.10808615230794867	0.06512456257290451	0.082173804365939	8608.077320446591	0.06101110471454767	0.03615022496250625	0.10808615230794867	0.06512456257290451	0.082173804365939	8608.080205382435	0.06100068804018125	12											0.10767233238904628	0.10789217422096317				
13	TrialState.COMPLETE	0.0009295325779036828	2020-01-04 11:24:34.187544	2020-01-04 11:39:29.319818	50.0	51.0	0.09174323305526752	600.0	0.9119284219899326	0.0	0.0009295325779036828	8.852691218130312e-05	0.0003541076487252125	18487.652111366857	0.00045245529997857284	0.7442457507082153	0.7452638101983002	0.7443342776203966	0.7445998583569405	3937.655851628895	0.7446671392629458	0.0	0.0009295325779036828	8.852691218130312e-05	0.0003541076487252125	33037.64837110481	0.00043249653765065657	13	0.0018590651558073655	0.0012393767705382436														
14	TrialState.COMPLETE	0.12041269636878701	2020-01-04 11:39:29.320777	2020-01-04 13:13:43.443001	150.0	51.0	0.0024868134087654074	500.0	0.3630900938777636	0.036553566829770796	0.12041269636878701	0.07222186453772857	0.0912953901622457	7359.869559618852	0.06554998963295557	0.036553566829770796	0.12041269636878701	0.07222186453772857	0.0912953901622457	7359.868223667268	0.0655499902051692	0.036553566829770796	0.12041269636878701	0.07222186453772857	0.0912953901622457	7359.870895570435	0.06554998906394092	14																
15	TrialState.COMPLETE	0.0002655807365439094	2020-01-04 13:13:43.443709	2020-01-04 13:37:03.254984	150.0	41.0	0.05750162003536236	800.0	0.9774444776634983	4.426345609065156e-05	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	19816.076597910764	0.0003582166161173109	0.19037712464589235	0.19112960339943344	0.19064270538243627	0.19081975920679886	16466.355125708214	0.19085926041407253	4.426345609065156e-05	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	23165.798070113313	0.0003515681283458118	15	0.0005311614730878187	0.0003541076487252125														
16	TrialState.COMPLETE	0.12997112660710394	2020-01-04 13:37:03.255801	2020-01-04 14:56:34.414474	100.0	11.0	0.012671553936147675	1700.0	0.3141430990984659	0.04012312050555677	0.12997112660710394	0.0769775550228808	0.09672586620178689	6367.693921606015	0.07155493113697674	0.044100021791239924	0.12997112660710394	0.07724994552190019	0.09673948572673785	6367.68876661582	0.07335279229005655	0.04012312050555677	0.12995750708215298	0.07625572020047941	0.0964943342776204	6367.699076596208	0.07089972156268254	16								0.12907223796033995	0.12955913597733712							
17	TrialState.COMPLETE	0.13608356940509916	2020-01-04 14:56:34.415261	2020-01-04 15:47:04.107417	50.0	11.0	0.01860861170677348	1800.0	0.32790010215609217	0.040262039660056655	0.13608356940509916	0.0802584985835694	0.10306303116147308	6646.505630311614	0.0733984394827581	0.041129603399433425	0.13608356940509916	0.08047096317280453	0.10311614730878187	6646.503204674221	0.07383230388935146	0.040262039660056655	0.13608356940509916	0.08015226628895183	0.10295679886685552	6646.508055949009	0.07324479396472848	17						0.134782223796034	0.13550519357884797									
18	TrialState.COMPLETE	0.1348469165395511	2020-01-04 15:47:04.108415	2020-01-04 17:10:44.960054	50.0	51.0	0.003546961391613175	600.0	0.38612387860011527	0.04655153628241447	0.1348469165395511	0.08378731749836565	0.10348115057746786	7826.5909511876225	0.07694512924207793	0.04655153628241447	0.1348469165395511	0.08378731749836565	0.10348115057746786	7826.589384942253	0.07694512953357732	0.04655153628241447	0.1348469165395511	0.08378731749836565	0.10348115057746786	7826.592517432992	0.07694512895163572	18																
