number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.003895184135977337	2020-05-07 22:37:10.619593	2020-05-08 01:33:19.022195	64	0.09649864045738102	512	0.12049605098068446	0.83121379867899	0.00017705382436260624	0.003895184135977337	0.0005311614730878187	0.00141643059490085	16850.45246104816	0.0019211344244243207	0.00017705382436260624	0.003895184135977337	0.0005311614730878187	0.00141643059490085	16850.449539660058	0.0019211344335888089		2910543686.0	350.0	0.00017705382436260624	0.003895184135977337	0.0005311614730878187	0.00141643059490085	16850.45538243626	0.0019211344152605335	0		COMPLETE
1	0.2137039660056657	2020-05-08 01:33:19.075370	2020-05-08 04:29:34.608331	64	0.012746886373613635	256	0.13810707960999727	0.4701226210590536	0.11756373937677053	0.2137039660056657	0.1674929178470255	0.18643767705382436	9529.82427407932	0.15099412825464295	0.11756373937677053	0.2137039660056657	0.1674929178470255	0.18643767705382436	9529.781869688386	0.15099413126691172		870794588.0	350.0	0.11756373937677053	0.2137039660056657	0.1674929178470255	0.18643767705382436	9529.866678470255	0.15099412527324096	1		COMPLETE
2	0.03877478753541076	2020-05-08 04:29:34.661387	2020-05-08 05:57:47.981666	64	0.03962921664833801	256	0.5571641978178214	0.6437094389535887	0.012747875354107648	0.03877478753541076	0.022131728045325778	0.02903682719546742	13049.666696175638	0.021775767090246458	0.012747875354107648	0.03877478753541076	0.022131728045325778	0.02903682719546742	13049.617032577904	0.021775800213101448		2411836554.0	200.0	0.012747875354107648	0.03877478753541076	0.022131728045325778	0.02903682719546742	13049.71635977337	0.021775734649811966	2		COMPLETE
3	0.0	2020-05-08 05:57:48.014314	2020-05-08 05:59:12.666276	128	0.0011257073922642344	256	0.16116014866833595														CUDA out of memory. Tried to allocate 9.36 GiB (GPU 0; 31.75 GiB total capacity; 14.19 GiB already allocated; 7.45 GiB free; 9.27 GiB cached; 0 bytes inactive)									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4	0.0019475920679886685	2020-05-08 05:59:12.673305	2020-05-08 06:01:40.203541	256	0.08005231817669688	128	0.08532695170107303														CUDA out of memory. Tried to allocate 8.70 GiB (GPU 0; 31.75 GiB total capacity; 13.30 GiB already allocated; 8.97 GiB free; 8.63 GiB cached; 0 bytes inactive)									4	Setting status of trial#4 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
5	0.007259206798866855	2020-05-08 06:01:40.210596	2020-05-08 06:04:07.613807	256	0.011816815217381524	128	0.19480589702436443														CUDA out of memory. Tried to allocate 8.70 GiB (GPU 0; 31.75 GiB total capacity; 13.30 GiB already allocated; 8.97 GiB free; 8.63 GiB cached; 0 bytes inactive)									5	Setting status of trial#5 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
6	0.0005311614730878187	2020-05-08 06:04:07.620826	2020-05-08 06:05:32.244844	128	0.08177987412520787	256	0.05964722485995399														CUDA out of memory. Tried to allocate 9.36 GiB (GPU 0; 31.75 GiB total capacity; 14.19 GiB already allocated; 7.45 GiB free; 9.27 GiB cached; 0 bytes inactive)									6	Setting status of trial#6 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
7	0.3801345609065156	2020-05-08 06:05:32.251905	2020-05-08 10:25:16.211863	128	0.004254245774435597	512	0.06720933769302247	0.30852711881281136	0.3098441926345609	0.3801345609065156	0.3434844192634561	0.3581798866855524	6253.281869688385	0.3350353775961366	0.3098441926345609	0.3801345609065156	0.3434844192634561	0.3581798866855524	6253.280630311615	0.3350353776283656		3648586046.0	300.0	0.3098441926345609	0.3801345609065156	0.3434844192634561	0.3581798866855524	6253.283109065156	0.3350353775639169	7		COMPLETE
8	0.11526203966005666	2020-05-08 10:25:16.259747	2020-05-08 12:52:51.840213	64	0.01236764463371673	128	0.015273227658135786	0.4964824919275687	0.056126062322946174	0.11526203966005666	0.08480878186968839	0.09897308781869689	10063.85189447592	0.07814464691487433	0.056126062322946174	0.11526203966005666	0.08480878186968839	0.09897308781869689	10063.818873937676	0.07814464804767439		4131190648.0	300.0	0.056126062322946174	0.11526203966005666	0.08480878186968839	0.09897308781869689	10063.884915014165	0.07814464578574519	8		COMPLETE
9	0.47361898016997167	2020-05-08 12:52:51.878835	2020-05-08 21:30:48.330363	128	0.0017748029942143996	512	0.2688721250522606	0.2414690200879583	0.40368271954674223	0.47361898016997167	0.44210339943342775	0.45609065155807366	4894.1080028328615	0.42982054160693733	0.40368271954674223	0.47361898016997167	0.44210339943342775	0.45609065155807366	4894.106409348442	0.42982054170380907		3804458960.0	550.0	0.40368271954674223	0.47361898016997167	0.44210339943342775	0.45609065155807366	4894.10959631728	0.42982054151011606	9		COMPLETE
