number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	351	401	451	601	651	701	901	951	1201	1251
0	TrialState.COMPLETE	0.39305949008498586	2020-01-07 15:48:05.368054	2020-01-07 16:50:20.125359	9.336522612008945	250.0	46.0	0.01934703194700442	1700.0	0.27037047458560903	0.15538243626062323	0.39305949008498586	0.31064093484419264	0.35210694050991503	5479.735012393768	0.24439900326124944	0.15538243626062323	0.39305949008498586	0.31064093484419264	0.35210694050991503	5479.734861898017	0.24439900326273717	0.15538243626062323	0.39305949008498586	0.31064093484419264	0.35210694050991503	5479.7351628895185	0.24439900325976194	0						0.3920414305949009	0.3926070192005036								
1	TrialState.COMPLETE	0.3952002317795519	2020-01-07 16:50:20.126198	2020-01-07 17:57:43.108858	0.949483218834468	350.0	11.0	0.003240393616920383	1600.0	0.3219860829959584	0.14050025753283543	0.3952002317795519	0.31381985578161214	0.3583730363121298	6526.331130891063	0.23720827597996605	0.14050025753283543	0.3952002317795519	0.31381985578161214	0.3583730363121298	6526.330768735514	0.23720827602086647	0.14050025753283543	0.3952002317795519	0.31381985578161214	0.3583730363121298	6526.331493046613	0.23720827593909755	1							0.39540053509600254	0.3952903682719547							
2	TrialState.COMPLETE	0.37368014421838786	2020-01-07 17:57:43.109965	2020-01-07 19:16:55.956224	6.133009006151984	350.0	36.0	0.0010424537011543753	500.0	0.41670051401027985	0.1465683749678084	0.37368014421838786	0.31657223796033995	0.3494398660829256	8446.396745428792	0.23729248273334186	0.1465683749678084	0.37368014421838786	0.31657223796033995	0.3494398660829256	8446.396455704353	0.23729248273897902	0.1465683749678084	0.37368014421838786	0.31657223796033995	0.3494398660829256	8446.397035153232	0.23729248272770645	2															
3	TrialState.COMPLETE	0.2917509780116012	2020-01-07 19:16:55.957373	2020-01-07 21:17:56.371314	8.72014753111122	350.0	6.0	0.09692904253189245	1000.0	0.3528481128999675	0.09687373532982597	0.2917509780116012	0.20271819776069067	0.24319607446377986	7150.782493592338	0.1649518835725855	0.09687373532982597	0.2917509780116012	0.20271819776069067	0.2432045055982733	7150.782308107379	0.1649520373423769	0.09687373532982597	0.2917509780116012	0.20271819776069067	0.24319607446377986	7150.782679077297	0.1649517553563981	3												0.29018189950797674	0.2910056657223796		
4	TrialState.COMPLETE	0.36123406515580736	2020-01-07 21:17:56.372762	2020-01-07 21:31:02.583167	1.9270437148886104	350.0	6.0	0.012820372583542029	500.0	0.29299121623039864	0.13385269121813032	0.36123406515580736	0.27682365439093487	0.3167050283286119	5938.8111278328615	0.2177647763989388	0.13385269121813032	0.36123406515580736	0.27682365439093487	0.3167050283286119	5938.810950779037	0.21776477640069672	0.13385269121813032	0.36123406515580736	0.27682365439093487	0.3167050283286119	5938.811304886685	0.21776477639718117	4	0.35915368271954673	0.3605406043437205													
5	TrialState.COMPLETE	0.41665486307837585	2020-01-07 21:31:02.584359	2020-01-07 23:12:59.458691	5.909831185597952	350.0	31.0	0.004064813750774488	2000.0	0.30598427961796265	0.15999763928234184	0.41665486307837585	0.34375590179414545	0.38420679886685555	6201.764966949952	0.26030234613941533	0.15999763928234184	0.41665486307837585	0.34375590179414545	0.38420679886685555	6201.7646718602455	0.26030234614718234	0.15999763928234184	0.41665486307837585	0.34375590179414545	0.38420679886685555	6201.76526203966	0.26030234613165193	5									0.4149733057310961	0.4158741400242817					
6	TrialState.COMPLETE	0.39068696883852694	2020-01-07 23:12:59.459765	2020-01-07 23:32:24.790128	4.703818018377371	350.0	6.0	0.00858638934403769	2000.0	0.29892390654202183	0.14029745042492917	0.39068696883852694	0.30049575070821527	0.34631728045325777	6058.839819405099	0.23303359439143947	0.14029745042492917	0.39068696883852694	0.30049575070821527	0.34631728045325777	6058.839624645892	0.23303359439583637	0.14029745042492917	0.39068696883852694	0.30049575070821527	0.34631728045325777	6058.840014164306	0.23303359438704344	6		0.3953611898016997	0.3924398016997167												
7	TrialState.COMPLETE	0.40992386685552407	2020-01-07 23:32:24.791194	2020-01-08 01:12:47.586923	4.269098026569232	250.0	21.0	0.004759264188448078	1100.0	0.3111111195426896	0.15498849150141644	0.40992386685552407	0.3351075601983003	0.37644962818696887	6305.988491501416	0.2538697780408752	0.15498849150141644	0.40992386685552407	0.3351075601983003	0.37644962818696887	6305.988292315864	0.2538697780559353	0.15498849150141644	0.40992386685552407	0.3351075601983003	0.37644962818696887	6305.988690686969	0.25386977802582894	7										0.40909550789154187	0.4095372993389991				
8	TrialState.COMPLETE	0.3371587689930466	2020-01-08 01:12:47.588784	2020-01-08 02:27:08.137488	9.310458770055364	450.0	16.0	0.040186740691047426	2000.0	0.33353776127982304	0.12021954674220964	0.3371587689930466	0.24822946175637395	0.29136621169199073	6759.494076744785	0.19818299084770022	0.12021954674220964	0.3371587689930466	0.24822946175637395	0.29136621169199073	6759.493883595158	0.1981830139939755	0.12021954674220964	0.3371587689930466	0.24822946175637395	0.29136621169199073	6759.494269894411	0.19818296857939025	8							0.33606783128737805	0.33666784702549574							
