number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	401	451	601	651	801	851	901	951	1001	1051	1101
0	TrialState.COMPLETE	0.030231940509915015	2020-01-07 07:20:35.873654	2020-01-07 07:24:15.054971	50.0	2	31.0	0.04804269178941002	500.0	0.644705729864237	0.000708215297450425	0.030231940509915015	0.021998937677053826	0.025628541076487252	13068.023725212464	0.013911709371503128	0.000708215297450425	0.030231940509915015	0.021998937677053826	0.025628541076487252	13068.021157932011	0.013911710034353757	0.000708215297450425	0.030231940509915015	0.021998937677053826	0.025628541076487252	13068.026292492917	0.013911708710068206	0	0.03266643059490085	0.031043437204910294													
1	TrialState.COMPLETE	0.00141643059490085	2020-01-07 07:24:15.055780	2020-01-07 07:27:46.779475	50.0	1	71.0	0.003312127422532806	1300.0	1.0137060687524748	0.000708215297450425	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	20551.031427053826	0.0010663683297387869	0.000708215297450425	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	20551.026558073656	0.0010663683876140427	0.000708215297450425	0.00141643059490085	0.0008852691218130312	0.0012393767705382436	20551.036296033995	0.001066368271885782	1	0.00141643059490085	0.00141643059490085													
2	TrialState.COMPLETE	0.010357648725212465	2020-01-07 07:27:46.780272	2020-01-07 07:33:07.175081	450.0	2	31.0	0.024216186482960252	1500.0	0.9265802996097386	0.000708215297450425	0.010357648725212465	0.008100212464589236	0.008896954674220962	18783.816417315866	0.005144356710215031	0.000708215297450425	0.010357648725212465	0.008100212464589236	0.008896954674220962	18783.81161473088	0.005144356843016029	0.000708215297450425	0.010357648725212465	0.008100212464589236	0.008896954674220962	18783.82121990085	0.005144356577515906	2	0.01593484419263456	0.01221671388101983													
3	TrialState.COMPLETE	0.34587849488853306	2020-01-07 07:33:07.175894	2020-01-07 08:30:55.344476	450.0	2	91.0	0.004947174817028214	1700.0	0.08432497023969733	0.000708215297450425	0.34587849488853306	0.15901742825471119	0.23969238822515088	1708.8021808412366	0.11402829923810989	0.000708215297450425	0.34587849488853306	0.15901742825471119	0.23969238822515088	1708.8015303608818	0.11402830193014339	0.000708215297450425	0.34587849488853306	0.15901742825471119	0.23969238822515088	1708.8028313215914	0.11402829659104781	3													0.34472379603399433	0.34532738861704865	
4	TrialState.COMPLETE	0.0008852691218130312	2020-01-07 08:30:55.345280	2020-01-07 08:35:55.152284	450.0	1	11.0	0.004153335700813923	900.0	1.004782625459476	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20370.418732294616	0.0009305948970467895	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20370.402443342777	0.0009305950822116985	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.0008852691218130312	20370.43502124646	0.0009305947119435375	4	0.0008852691218130312	0.0008852691218130312													
5	TrialState.COMPLETE	0.3850689740115778	2020-01-07 08:35:55.153116	2020-01-07 09:12:53.164420	50.0	2	91.0	0.003399457263556768	1500.0	0.09188782639468897	0.000708215297450425	0.3850689740115778	0.19625261731740362	0.28445621381943587	1862.2098203288583	0.13022085487931032	0.000708215297450425	0.3850689740115778	0.19625261731740362	0.28445621381943587	1862.2091467545265	0.130220854988818	0.000708215297450425	0.3850689740115778	0.19625261731740362	0.28445621381943587	1862.2104939031901	0.13022085476997805	5													0.38319506272764065	0.38417460726242597	
6	TrialState.COMPLETE	0.0012393767705382436	2020-01-07 09:12:53.165503	2020-01-07 09:18:36.408045	450.0	1	91.0	0.0828887774952874	1800.0	0.9772477055227332	0.000708215297450425	0.0012393767705382436	0.0010623229461756375	0.0010623229461756375	19812.053735835692	0.0010764070430959915	0.000708215297450425	0.0012393767705382436	0.0010623229461756375	0.0010623229461756375	19812.035056657223	0.0010764073695115272	0.000708215297450425	0.0012393767705382436	0.0010623229461756375	0.0010623229461756375	19812.072415014165	0.001076406716840538	6	0.0012393767705382436	0.0012393767705382436													
7	TrialState.COMPLETE	0.3866265344664778	2020-01-07 09:18:36.408865	2020-01-07 10:19:05.756825	450.0	2	91.0	0.0018873284636550611	1800.0	0.08275545621166837	0.000708215297450425	0.3866265344664778	0.1976732176581681	0.28712966241737486	1677.0201620042492	0.13096804835436557	0.000708215297450425	0.3866265344664778	0.1976732176581681	0.28712966241737486	1677.0193726392824	0.13096804875035817	0.000708215297450425	0.3866265344664778	0.1976732176581681	0.28712966241737486	1677.0209513692162	0.1309680479607621	7														0.3848828225598764	0.3857925852937554
8	TrialState.COMPLETE	0.000708215297450425	2020-01-07 10:19:05.757639	2020-01-07 10:24:49.287834	450.0	1	91.0	0.020589436851697125	1800.0	0.9903076434902275	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20076.46069405099	0.0009330631128116809	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20076.44086402266	0.0009330633045509364	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20076.48052407932	0.00093306292112267	8	0.000708215297450425	0.000708215297450425													
9	TrialState.COMPLETE	0.01420856940509915	2020-01-07 10:24:49.288657	2020-01-07 10:29:29.452241	450.0	2	1.0	0.02055575955683651	1900.0	0.8244237333868328	0.000708215297450425	0.01420856940509915	0.011774079320113314	0.013013456090651559	16711.947525672804	0.007085996405736365	0.000708215297450425	0.01420856940509915	0.011774079320113314	0.013013456090651559	16711.9447592068	0.0070859977515762805	0.000708215297450425	0.01420856940509915	0.011774079320113314	0.013013456090651559	16711.95029213881	0.007085995063513912	9	0.018856232294617564	0.015757790368271955													
10	TrialState.COMPLETE	0.0008852691218130312	2020-01-07 10:29:29.453069	2020-01-07 10:34:54.743010	450.0	1	51.0	0.007422410662069259	500.0	0.9993928731965384	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20260.64412181303	0.0009286249224560387	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20260.625177053826	0.0009286252184148112	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20260.663066572237	0.000928624626694762	10	0.0008852691218130312	0.0008852691218130312													
11	TrialState.COMPLETE	0.0012393767705382436	2020-01-07 10:34:54.743820	2020-01-07 10:38:25.967950	50.0	1	31.0	0.003480977677213117	700.0	1.0035990304602398	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.0008852691218130312	20346.6351805949	0.0010045942383283082	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.0008852691218130312	20346.630488668554	0.001004594262967803	0.000708215297450425	0.0012393767705382436	0.000708215297450425	0.0008852691218130312	20346.639872521246	0.001004594213692551	11	0.0012393767705382436	0.0012393767705382436													
12	TrialState.COMPLETE	0.006506728045325779	2020-01-07 10:38:25.968772	2020-01-07 10:43:09.459597	350.0	2	21.0	0.04654851608348226	1300.0	0.9468143648015737	0.000708215297450425	0.006506728045325779	0.005001770538243626	0.0056657223796034	19194.821706798866	0.0034504303806387098	0.000708215297450425	0.006506728045325779	0.005001770538243626	0.0056657223796034	19194.81767882436	0.0034504328891924465	0.000708215297450425	0.006506728045325779	0.005001770538243626	0.0056657223796034	19194.82573477337	0.003450427894436364	12	0.008764164305949009	0.007259206798866855													
13	TrialState.COMPLETE	0.000708215297450425	2020-01-07 10:43:09.460419	2020-01-07 10:46:50.703192	150.0	1	21.0	0.07483524834349367	700.0	1.0051598790205698	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20377.619776912183	0.0008700990842623351	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20377.61083569405	0.0008700991365416675	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20377.628718130312	0.0008700990319901757	13	0.000708215297450425	0.000708215297450425													
14	TrialState.COMPLETE	0.006373937677053824	2020-01-07 10:46:50.703997	2020-01-07 10:50:40.098795	150.0	2	61.0	0.08736297971915134	2000.0	0.9755855288787479	0.000708215297450425	0.006373937677053824	0.004514872521246459	0.005311614730878187	19778.608202018415	0.003255153485722337	0.000708215297450425	0.006373937677053824	0.004514872521246459	0.005311614730878187	19778.605435552407	0.0032551548919852852	0.000708215297450425	0.006373937677053824	0.004514872521246459	0.005311614730878187	19778.61096848442	0.003255152088790294	14	0.009383852691218131	0.0073772426817752595													
15	TrialState.COMPLETE	0.00796742209631728	2020-01-07 10:50:40.099612	2020-01-07 10:55:57.477438	450.0	2	11.0	0.028776545095247942	900.0	0.9434879271382466	0.000708215297450425	0.00796742209631728	0.005754249291784703	0.006860835694050991	19126.794905276205	0.0038707510465181044	0.000708215297450425	0.00796742209631728	0.005754249291784703	0.006860835694050991	19126.78930594901	0.0038707513220315967	0.000708215297450425	0.00796742209631728	0.005754249291784703	0.006860835694050991	19126.800504603398	0.0038707507714796836	15	0.010977337110481586	0.008970727101038715													
16	TrialState.COMPLETE	0.000708215297450425	2020-01-07 10:55:57.478299	2020-01-07 10:59:30.136102	50.0	1	71.0	0.0040427901231498906	700.0	0.9890374627970459	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20050.881285410764	0.0008822441310833767	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20050.876239376772	0.0008822442054896875	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20050.88633144476	0.000882244056696656	16	0.000708215297450425	0.000708215297450425													
17	TrialState.COMPLETE	0.014961048158640227	2020-01-07 10:59:30.136922	2020-01-07 11:05:12.143837	450.0	2	71.0	0.023493565863270224	1300.0	0.9028181880920927	0.000708215297450425	0.014961048158640227	0.010092067988668555	0.01195113314447592	18301.73143148017	0.006650849437339995	0.000708215297450425	0.014961048158640227	0.010092067988668555	0.01195113314447592	18301.72623052408	0.006650849649394028	0.000708215297450425	0.014961048158640227	0.010092067988668555	0.01195113314447592	18301.73663243626	0.006650849225503351	17	0.02018413597733711	0.01670207743153919													
18	TrialState.COMPLETE	0.3685697270151944	2020-01-07 11:05:12.144659	2020-01-07 11:44:08.922317	250.0	2	21.0	0.0020730827072164893	2000.0	0.0853602108174276	0.000708215297450425	0.3685697270151944	0.18767705382436262	0.27094063868143187	1729.8751810777749	0.12480749280598294	0.000708215297450425	0.3685697270151944	0.18767705382436262	0.27094063868143187	1729.8743159284058	0.12480749286967283	0.000708215297450425	0.3685697270151944	0.18767705382436262	0.27094063868143187	1729.876046227144	0.12480749274236413	18												0.36691749291784703	0.3677829488736004		
19	TrialState.COMPLETE	0.007037889518413598	2020-01-07 11:44:08.923369	2020-01-07 11:48:01.168950	150.0	2	71.0	0.09375131809770691	1100.0	0.9904360175378061	0.000708215297450425	0.007037889518413598	0.005709985835694051	0.006373937677053824	20079.480347025496	0.003736944163789486	0.000708215297450425	0.007037889518413598	0.005709985835694051	0.006373937677053824	20079.477425637393	0.003736944434841638	0.000708215297450425	0.007037889518413598	0.005709985835694051	0.006373937677053824	20079.483268413598	0.003736943893041532	19	0.009295325779036826	0.007790368271954674													
20	TrialState.COMPLETE	0.007613314447592068	2020-01-07 11:48:01.170032	2020-01-07 11:52:18.400638	250.0	2	91.0	0.07137859824594245	500.0	0.9862574625260772	0.000708215297450425	0.007613314447592068	0.006639518413597734	0.006949362606232295	19994.73700867564	0.0040723441250045825	0.000708215297450425	0.007613314447592068	0.006639518413597734	0.006949362606232295	19994.733312677054	0.004072344348719886	0.000708215297450425	0.007613314447592068	0.006639518413597734	0.006949362606232295	19994.74070467422	0.004072343901523722	20	0.010269121813031162	0.0084985835694051													
