number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.7453183520599251	2020-05-17 22:23:52.660190	2020-05-17 23:04:09.195125	256	0.25840731863000543	300	0.0020493062498812458	256	0.32337798367155235	0.18754164739738632	0.17275280898876405	0.7453183520599251	0.4058988764044944	0.5449438202247191	9.013108614232209	0.3444011668381025	0.17275280898876405	0.7453183520599251	0.4058988764044944	0.5449438202247191	9.013108614232209	0.3444011668381025	3562391049	500.0	0.17275280898876405	0.7453183520599251	0.4058988764044944	0.5449438202247191	9.013108614232209	0.3444011668381025	0	COMPLETE
1	0.8506554307116105	2020-05-17 23:04:09.288729	2020-05-17 23:15:38.293177	64	0.36370745529693616	100	0.0018361395740945222	256	0.010083946496252051	0.12662444512398166	0.2551498127340824	0.8506554307116105	0.5416666666666666	0.6732209737827716	6.100187265917603	0.4401013778512623	0.2551498127340824	0.8506554307116105	0.5416666666666666	0.6732209737827716	6.100187265917603	0.4401013778512623	1793314293		0.2551498127340824	0.8506554307116105	0.5416666666666666	0.6732209737827716	6.100187265917603	0.4401013778512623	1	COMPLETE
2	0.10814606741573034	2020-05-17 23:15:38.374321	2020-05-17 23:17:39.494588	128	0.4045192856003601	50	0.0019183521526559921	128	0.6119622561529003	0.9947012002921701	0.0	0.10814606741573034	0.020599250936329586	0.05149812734082397	47.93258426966292	0.04628556659724851	0.0	0.10814606741573034	0.020599250936329586	0.05149812734082397	47.93258426966292	0.04628556659724851	1218668128	200.0	0.0	0.10814606741573034	0.020599250936329586	0.05149812734082397	47.93258426966292	0.04628556659724851	2	COMPLETE
3	0.7631086142322098	2020-05-17 23:17:39.583345	2020-05-17 23:27:43.120879	128	0.13551569951913495	50	0.0026957723898418827	512	0.08285922989964777	0.17180589138711577	0.20599250936329588	0.7631086142322098	0.46301498127340823	0.5894194756554307	8.28183520599251	0.3833545717774475	0.20599250936329588	0.7631086142322098	0.46301498127340823	0.5894194756554307	8.28183520599251	0.3833545717774475	2254153115	950.0	0.20599250936329588	0.7631086142322098	0.46301498127340823	0.5894194756554307	8.28183520599251	0.3833545717774475	3	COMPLETE
4	0.8277153558052435	2020-05-17 23:27:43.210906	2020-05-17 23:53:04.136249	128	0.24431153260431585	500	0.006471243876091931	256	0.13639868056968343	0.13628049243907775	0.22940074906367042	0.8277153558052435	0.48735955056179775	0.6549625468164794	6.552902621722846	0.4129306357713596	0.22940074906367042	0.8277153558052435	0.48735955056179775	0.6549625468164794	6.552902621722846	0.4129306357713596	1676246388	400.0	0.22940074906367042	0.8277153558052435	0.48735955056179775	0.6549625468164794	6.552902621722846	0.4129306357713596	4	COMPLETE
5	0.09925093632958802	2020-05-17 23:53:04.228722	2020-05-17 23:54:55.051283	64	0.3893158591640874	200	0.018402937358548095	256	0.6325499494555586	1.008509212122072	0.003745318352059925	0.09925093632958802	0.025280898876404494	0.05102996254681648	48.653558052434455	0.04832952406035935	0.003745318352059925	0.09925093632958802	0.025280898876404494	0.05102996254681648	48.653558052434455	0.04832952406035935	568153301	150.0	0.003745318352059925	0.09925093632958802	0.025280898876404494	0.05102996254681648	48.653558052434455	0.04832952406035935	5	COMPLETE
6	0.8216292134831461	2020-05-17 23:54:55.150709	2020-05-18 00:02:14.692215	256	0.1984519851477871	150	0.024319933522766197	128	0.00999924264586548	0.1516706804179827	0.17837078651685392	0.8216292134831461	0.43258426966292135	0.6076779026217228	7.294475655430712	0.36561273568560293	0.17837078651685392	0.8216292134831461	0.43258426966292135	0.6076779026217228	7.294475655430712	0.36561273568560293	3838754883	200.0	0.17837078651685392	0.8216292134831461	0.43258426966292135	0.6076779026217228	7.294475655430712	0.36561273568560293	6	COMPLETE
7	0.8113295880149812	2020-05-18 00:02:14.818625	2020-05-18 00:10:28.636925	128	0.2489768058942918	100	0.0037742115590160244	256	0.023948668455604276	0.14498996790167126	0.2350187265917603	0.8113295880149812	0.47752808988764045	0.6324906367041199	6.98689138576779	0.411288746379705	0.2350187265917603	0.8113295880149812	0.47752808988764045	0.6324906367041199	6.98689138576779	0.411288746379705	493413697	450.0	0.2350187265917603	0.8113295880149812	0.47752808988764045	0.6324906367041199	6.98689138576779	0.411288746379705	7	COMPLETE
8	0.09597378277153558	2020-05-18 00:10:28.742020	2020-05-18 00:15:46.427217	256	0.15692707947638748	100	0.014357901079468499	128	0.5796901823242399	1.0196888289599215	0.0	0.09597378277153558	0.02294007490636704	0.04541198501872659	49.21114232209738	0.04412322469399954	0.0	0.09597378277153558	0.02294007490636704	0.04541198501872659	49.21114232209738	0.04412322469399954	2996993287	150.0	0.0	0.09597378277153558	0.02294007490636704	0.04541198501872659	49.21114232209738	0.04412322469399954	8	COMPLETE
9	0.8609550561797753	2020-05-18 00:15:46.572917	2020-05-18 00:33:51.985771	64	0.40558969378964294	250	0.00118145135330833	256	0.07654050089575462	0.11959049898663654	0.3038389513108614	0.8609550561797753	0.5950374531835206	0.7219101123595506	5.7617041198501875	0.4872411278774102	0.3038389513108614	0.8609550561797753	0.5950374531835206	0.7219101123595506	5.7617041198501875	0.4872411278774102	2366513686	950.0	0.3038389513108614	0.8609550561797753	0.5950374531835206	0.7219101123595506	5.7617041198501875	0.4872411278774102	9	COMPLETE
