number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.0003541076487252125	2020-05-05 16:04:59.163370	2020-05-05 16:17:11.101281	64	7	0.03560260291801175	512	0.9969135867734933	0.0	0.0003541076487252125	0.0	0.0003541076487252125	20210.69157223796	0.0001872561681358307	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	149.96936968838526	0.018662389146000973		2758115330.0	150.0	0.0	0.0003541076487252125	0.0	0.0	40271.413774787536	0.00011539366045837772	0		COMPLETE
1	0.00017705382436260624	2020-05-05 16:17:11.153204	2020-05-05 17:10:45.650796	64	91	0.0024663929267788056	128	0.990660947697679	0.0	0.00017705382436260624	0.0	0.0	20083.92448654391	0.0002803984677802865	0.4118271954674221	0.5802053824362606	0.4936260623229462	0.5269121813031161	310.9541430594901	0.4721386242111594		3930609068.0	150.0	0.0	0.0	0.0	0.0	39856.89483002833	0.00016543250084269273	1		COMPLETE
2	0.0	2020-05-05 17:10:45.689446	2020-05-05 18:04:17.584440	128	43	0.016272026387732084	512	0.9999128094653035	0.0	0.0	0.0	0.0	20271.53735835694	5.828511076404919e-05	0.0	0.8217067988668555	0.0047804532577903685	0.29125354107648727	44.789660056657226	0.14716137562265766		641003834.0	150.0	0.0	0.0	0.0	0.0	40498.28505665722	2.9526128206221174e-05	2		COMPLETE
3		2020-05-05 18:04:17.623030	2020-05-05 18:04:34.407434	128	68	0.0036725171359799956	128														CUDA out of memory. Tried to allocate 13.62 GiB (GPU 0; 31.75 GiB total capacity; 14.77 GiB already allocated; 1.48 GiB free; 14.65 GiB cached; 0 bytes inactive)									3	Setting status of trial#3 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
4	0.0	2020-05-05 18:04:34.414334	2020-05-05 22:04:34.841486	256	57	0.04554475171147684	512	1.000448693478201	0.0	0.0	0.0	0.0	20282.40465651558	5.179836326969566e-05	0.0	0.0	0.0	0.0	26.351628895184135	0.06348608361332014		4136214921.0	150.0	0.0	0.0	0.0	0.0	40538.457684135974	2.6198853262790555e-05	4		COMPLETE
5	0.0	2020-05-05 22:04:34.875683	2020-05-05 22:37:51.801622	64	81	0.0011468565820080974	512	0.9997607550340086	0.0	0.0	0.0	0.0	20268.455559490085	7.471900790415793e-05	0.1481940509915014	0.5024787535410765	0.2839943342776204	0.37092776203966005	34.38898725212464	0.2614193848533823		3240074881.0	150.0	0.0	0.0	0.0	0.0	40502.522131728045	4.946587701061163e-05	5		COMPLETE
6	0.0003541076487252125	2020-05-05 22:37:51.845288	2020-05-05 23:00:44.439703	64	23	0.002219602855224912	256	0.9988642089820879	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20250.279390934844	0.00030003508711089904	0.17315864022662888	0.5511685552407932	0.33339235127478756	0.42404390934844194	47.606055240793204	0.2951947290446386		1930132210.0	150.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	40452.95272662889	0.0002601415284930049	6		COMPLETE
7	0.0005311614730878187	2020-05-05 23:00:44.475105	2020-05-06 01:00:05.597137	256	26	0.024102085810121115	256	0.9992390779487468	0.0	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	20257.87818696884	0.00024225579810906455	0.000708215297450425	0.6912181303116147	0.000708215297450425	0.19405099150141644	20.6875	0.12530053508743133		4188308806.0	150.0	0.0	0.0005311614730878187	0.0	0.0003541076487252125	40495.06887393768	0.0001561421864666844	7		COMPLETE
8	0.00017705382436260624	2020-05-06 01:00:05.659372	2020-05-06 02:09:28.186946	256	13	0.0028855935672233374	256	0.9998437455979928	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20270.099769830027	0.00011137584656416	0.0026558073654390935	0.09844192634560907	0.01451841359773371	0.034879603399433426	137.12570821529744	0.042282115175022776		1403006970.0	150.0	0.0	0.00017705382436260624	0.0	0.0	40403.07383144476	6.249492660853597e-05	8		COMPLETE
9	0.0	2020-05-06 02:09:28.227708	2020-05-06 03:20:24.147147	128	59	0.0019367476106670369	512	1.0001050962224898	0.0	0.0	0.0	0.0	20275.440421388103	4.93208662297783e-05	0.49097025495750707	0.9070467422096318	0.7395538243626062	0.8261331444759207	6.254957507082153	0.6363744727032892		792464699.0	150.0	0.0	0.0	0.0	0.0	40544.625885269124	2.466422475200638e-05	9		COMPLETE
10	0.0	2020-05-06 03:20:24.182627	2020-05-06 04:16:05.441269	256	11	0.001174067884039618	512	1.0861063707509035	0.0	0.0	0.0	0.0	22019.710162889518	0.0001488113606488671	0.003718130311614731	0.003895184135977337	0.003718130311614731	0.003718130311614731	17934.58002832861	0.003919556530547167		306259419.0	150.0	0.0	0.0	0.0	0.0	26104.840297450424	0.0001157428952314404	10		COMPLETE
11	0.00017705382436260624	2020-05-06 04:16:05.479026	2020-05-06 04:44:18.094587	64	44	0.01073992526619883	256	0.9996603953367806	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20266.418112606232	0.0001457090649865462	0.33657932011331443	0.8362252124645893	0.6140226628895185	0.7122875354107648	10.187145892351275	0.5062445186206409		3087899218.0	150.0	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	40522.649079320116	8.7798170316604e-05	11		COMPLETE
