number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9620786516853933	2020-05-14 14:08:22.997579	2020-05-14 14:18:11.292499	64	1	59	512	0.07123174261361054	0.4798689138576779	0.9620786516853933	0.8014981273408239	0.900749063670412	3.426498127340824	0.6571730338707366	0.4798689138576779	0.9620786516853933	0.8014981273408239	0.900749063670412	3.426498127340824	0.6571730338707366	1716530969	750.0	0.4798689138576779	0.9620786516853933	0.8014981273408239	0.900749063670412	3.426498127340824	0.6571730338707366	0	COMPLETE
1	0.9625468164794008	2020-05-14 14:18:11.313160	2020-05-14 14:35:08.145734	128	1	59	512	0.0638693636300719	0.48267790262172283	0.9625468164794008	0.8183520599250936	0.9044943820224719	3.088014981273408	0.6642688776778019	0.48267790262172283	0.9625468164794008	0.8183520599250936	0.9044943820224719	3.088014981273408	0.6642688776778019	3276832429	550.0	0.48267790262172283	0.9625468164794008	0.8183520599250936	0.9044943820224719	3.088014981273408	0.6642688776778019	1	COMPLETE
2	0.9606741573033708	2020-05-14 14:35:08.165824	2020-05-14 14:39:49.865981	128	1	16	128	0.06730935096475626	0.47425093632958804	0.9606741573033708	0.799625468164794	0.8923220973782772	3.2542134831460676	0.6524307912510844	0.47425093632958804	0.9606741573033708	0.799625468164794	0.8923220973782772	3.2542134831460676	0.6524307912510844	2954697235	200.0	0.47425093632958804	0.9606741573033708	0.799625468164794	0.8923220973782772	3.2542134831460676	0.6524307912510844	2	COMPLETE
3	0.9578651685393258	2020-05-14 14:39:49.878197	2020-05-14 14:51:21.946256	256	1	27	128	0.06930899360890357	0.4789325842696629	0.9578651685393258	0.7897940074906367	0.8843632958801498	3.3515917602996255	0.651429933966542	0.4789325842696629	0.9578651685393258	0.7897940074906367	0.8843632958801498	3.3515917602996255	0.651429933966542	467568310	200.0	0.4789325842696629	0.9578651685393258	0.7897940074906367	0.8843632958801498	3.3515917602996255	0.651429933966542	3	COMPLETE
4	0.9630149812734082	2020-05-14 14:51:21.958368	2020-05-14 15:29:12.537379	256	1	48	512	0.06363924405073629	0.49719101123595505	0.9630149812734082	0.827247191011236	0.9058988764044944	3.072565543071161	0.6725207496028685	0.49719101123595505	0.9630149812734082	0.827247191011236	0.9058988764044944	3.072565543071161	0.6725207496028685	4150016913	350.0	0.49719101123595505	0.9630149812734082	0.827247191011236	0.9058988764044944	3.072565543071161	0.6725207496028685	4	COMPLETE
5	0.9625468164794008	2020-05-14 15:29:12.555328	2020-05-14 17:01:22.501662	256	1	93	128	0.06181344584115408	0.5023408239700374	0.9625468164794008	0.825374531835206	0.9176029962546817	2.9854868913857677	0.6763515886638761	0.5023408239700374	0.9625468164794008	0.825374531835206	0.9176029962546817	2.9854868913857677	0.6763515886638761	2169229945	400.0	0.5023408239700374	0.9625468164794008	0.825374531835206	0.9176029962546817	2.9854868913857677	0.6763515886638761	5	COMPLETE
6	0.9644194756554307	2020-05-14 17:01:22.512481	2020-05-14 17:40:34.106020	256	1	67	128	0.0630404189558637	0.499063670411985	0.9644194756554307	0.8319288389513109	0.9049625468164794	3.0463483146067416	0.6755250787234426	0.499063670411985	0.9644194756554307	0.8319288389513109	0.9049625468164794	3.0463483146067416	0.6755250787234426	1289546646	300.0	0.499063670411985	0.9644194756554307	0.8319288389513109	0.9049625468164794	3.0463483146067416	0.6755250787234426	6	COMPLETE
7	0.9620786516853933	2020-05-14 17:40:34.124041	2020-05-14 17:43:07.475507	128	1	12	512	0.06531823350793302	0.4953183520599251	0.9620786516853933	0.8047752808988764	0.9012172284644194	3.1530898876404496	0.6658601056084674	0.4953183520599251	0.9620786516853933	0.8047752808988764	0.9012172284644194	3.1530898876404496	0.6658601056084674	2132367864	250.0	0.4953183520599251	0.9620786516853933	0.8047752808988764	0.9012172284644194	3.1530898876404496	0.6658601056084674	7	COMPLETE
8	0.9667602996254682	2020-05-14 17:43:07.487574	2020-05-14 18:36:48.107260	256	1	96	128	0.06057210871077767	0.5135767790262172	0.9667602996254682	0.8403558052434457	0.9166666666666666	2.923689138576779	0.6863215354903744	0.5135767790262172	0.9667602996254682	0.8403558052434457	0.9166666666666666	2.923689138576779	0.6863215354903744	3081672061	250.0	0.5135767790262172	0.9667602996254682	0.8403558052434457	0.9166666666666666	2.923689138576779	0.6863215354903744	8	COMPLETE
9	0.250936329588015	2020-05-14 18:36:48.125569	2020-05-14 19:10:23.990312	64	2	60	128	0.6331023924333508	0.04962546816479401	0.250936329588015	0.0945692883895131	0.1404494382022472	30.379213483146067	0.12061084467957911	0.04962546816479401	0.250936329588015	0.0945692883895131	0.1404494382022472	30.379213483146067	0.12061084467957911	3007697230		0.04962546816479401	0.250936329588015	0.0945692883895131	0.1404494382022472	30.379213483146067	0.12061084467957911	9	COMPLETE
10	0.2701310861423221	2020-05-14 19:10:24.002447	2020-05-14 21:30:17.091332	256	2	53	256	0.6081644344110433	0.04073033707865169	0.2701310861423221	0.10065543071161048	0.15870786516853932	29.164091760299627	0.11969822692989529	0.04073033707865169	0.2701310861423221	0.10065543071161048	0.15870786516853932	29.163857677902623	0.11969826327809359	918521923		0.04073033707865169	0.2701310861423221	0.10065543071161048	0.15870786516853932	29.16432584269663	0.1196981910304402	10	COMPLETE
11	0.15683520599250936	2020-05-14 21:30:17.103299	2020-05-14 21:38:10.357784	64	2	83	256	0.8815431314257186	0.021067415730337078	0.15683520599250936	0.050093632958801496	0.08801498127340825	42.45107677902622	0.07389968230717207	0.021067415730337078	0.15683520599250936	0.050093632958801496	0.08801498127340825	42.450842696629216	0.07389970865889976	1748979784	400.0	0.021067415730337078	0.15683520599250936	0.050093632958801496	0.08801498127340825	42.451310861423224	0.073899656232831	11	COMPLETE
12	0.9452247191011236	2020-05-14 21:38:10.370060	2020-05-14 21:45:31.460877	256	1	13	128	0.07539020177092026	0.4344569288389513	0.9452247191011236	0.7607677902621723	0.8614232209737828	3.6474719101123596	0.6174179797788878	0.4344569288389513	0.9452247191011236	0.7607677902621723	0.8614232209737828	3.6474719101123596	0.6174179797788878	3563858517	200.0	0.4344569288389513	0.9452247191011236	0.7607677902621723	0.8614232209737828	3.6474719101123596	0.6174179797788878	12	COMPLETE
13	0.13623595505617977	2020-05-14 21:45:31.473529	2020-05-14 21:52:42.951882	64	2	82	128	0.8899045359048546	0.02294007490636704	0.13623595505617977	0.0449438202247191	0.06882022471910113	42.820692883895134	0.07050855785161449	0.02294007490636704	0.13623595505617977	0.0449438202247191	0.06882022471910113	42.82022471910113	0.07051306140730945	2794157573	250.0	0.02294007490636704	0.13623595505617977	0.0449438202247191	0.06882022471910113	42.82116104868914	0.07050461224925277	13	COMPLETE
14	0.23642322097378277	2020-05-14 21:52:42.962211	2020-05-14 22:46:03.745809	128	2	90	256	0.6422207774158414	0.04307116104868914	0.23642322097378277	0.09410112359550561	0.1451310861423221	30.823501872659175	0.11476261188831817	0.04307116104868914	0.23642322097378277	0.09410112359550561	0.1451310861423221	30.823501872659175	0.11476261188831817	3998789958		0.04307116104868914	0.23642322097378277	0.09410112359550561	0.1451310861423221	30.823501872659175	0.11476261188831817	14	COMPLETE
15	0.947565543071161	2020-05-14 22:46:03.758083	2020-05-14 22:53:28.740274	256	1	13	128	0.07310356070245669	0.4447565543071161	0.947565543071161	0.7607677902621723	0.8661048689138576	3.536985018726592	0.6242903641617232	0.4447565543071161	0.947565543071161	0.7607677902621723	0.8661048689138576	3.536985018726592	0.6242903641617232	2127036581	200.0	0.4447565543071161	0.947565543071161	0.7607677902621723	0.8661048689138576	3.536985018726592	0.6242903641617232	15	COMPLETE
16	0.9611423220973783	2020-05-14 22:53:28.750613	2020-05-14 22:59:24.581740	128	1	25	256	0.06465652070709327	0.49859550561797755	0.9611423220973783	0.8277153558052435	0.9073033707865169	3.125	0.6720845048129773	0.49859550561797755	0.9611423220973783	0.8277153558052435	0.9073033707865169	3.125	0.6720845048129773	3996736134	300.0	0.49859550561797755	0.9611423220973783	0.8277153558052435	0.9073033707865169	3.125	0.6720845048129773	16	COMPLETE
17	0.9634831460674157	2020-05-14 22:59:24.593745	2020-05-14 23:05:32.165261	128	1	30	512	0.0632637808376693	0.50187265917603	0.9634831460674157	0.8286516853932584	0.9073033707865169	3.055243445692884	0.6755085803840082	0.50187265917603	0.9634831460674157	0.8286516853932584	0.9073033707865169	3.055243445692884	0.6755085803840082	1620810391	350.0	0.50187265917603	0.9634831460674157	0.8286516853932584	0.9073033707865169	3.055243445692884	0.6755085803840082	17	COMPLETE
