number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	601	651	701	751	801	851	901
0	TrialState.COMPLETE	0.28823525682478096	2020-01-19 00:37:51.662712	2020-01-19 02:07:09.915737	0.586844153318669	27.40369093977228	50.0	1	80.0	0.0020620194349841785	1900.0	0.07002879117320929	0.09446599972104937	0.28823525682478096	0.16656364512406963	0.211875689451862	485.5039980283262	0.1586533104467783	0.09446599972104937	0.28823525682478096	0.16656364512406963	0.211875689451862	485.50347103351214	0.15865358577502187	0.09446599972104937	0.28823525682478096	0.16656364512406963	0.211875689451862	485.5045250231402	0.1586531024956016	0													0.2864280212256077	0.2873847930134053		
1	TrialState.COMPLETE	0.20349052835786832	2020-01-19 02:07:09.916647	2020-01-19 02:20:27.015973	0.5177808463929078	16.104528875915868	250.0	2	40.0	0.011947755014025814	1900.0	0.14813122542972457	0.0567727947050097	0.20349052835786832	0.11168406938263152	0.14268800639050552	1044.5477076914299	0.10601864377227448	0.056794191486933696	0.20352618966107497	0.11170546616455551	0.14271653543307086	1044.5426794476778	0.10603710496486775	0.0567727947050097	0.20349052835786832	0.11166980486134885	0.14268800639050552	1044.552735935182	0.10600719056512796	1	0.21341150290996233	0.20679751987523298														
2	TrialState.COMPLETE	0.21324825338861628	2020-01-19 02:20:27.016888	2020-01-19 03:04:13.041245	0.5583441481967418	13.28201260166369	150.0	2	90.0	0.00204196216565491	1500.0	0.18351074840690318	0.06371803162285873	0.21324825338861628	0.1165094399431955	0.15035439410653378	1302.1794286583743	0.11338437625782981	0.0637433907718057	0.21329263189927347	0.11657283781556291	0.15040511240442772	1302.172993774329	0.11340641333187099	0.06371803162285873	0.21324825338861628	0.1165094399431955	0.1503512242129154	1302.1858635424196	0.11336967489424893	2						0.21191780375279176	0.21266618167294304									
3	TrialState.COMPLETE	0.20788400091292936	2020-01-19 03:04:13.042368	2020-01-19 03:20:47.906390	0.8718163777609202	3.3140599146457435	350.0	2	80.0	0.019163658304919232	2000.0	0.13096524048183156	0.0672072920232797	0.20788400091292936	0.1192513979230857	0.15163186123473696	922.853414213169	0.11491780268900212	0.0672072920232797	0.20788400091292936	0.1192513979230857	0.1516389934953783	922.8526902887139	0.11491818960390977	0.0672072920232797	0.20788400091292936	0.1192513979230857	0.15163186123473696	922.8541381376241	0.11491746463738496	3	0.2100165468446879	0.20859484955684887														
4	TrialState.COMPLETE	0.1608824032865457	2020-01-19 03:20:47.907272	2020-01-19 03:40:14.885724	0.20637728380627546	25.95994225440221	450.0	1	90.0	0.009375074121487649	2000.0	0.16502417827853771	0.016268686522880292	0.1608824032865457	0.088661132032409	0.11475094145840466	1166.5203590380006	0.07032509275423521	0.016268686522880292	0.1608824032865457	0.088661132032409	0.11475094145840466	1166.5191429875613	0.07032509682473992	0.016268686522880292	0.1608824032865457	0.088661132032409	0.11475094145840466	1166.52157508844	0.07032508872868762	4	0.1636568526760242	0.1618072197497052														
5	TrialState.COMPLETE	0.2151375099851649	2020-01-19 03:40:14.887960	2020-01-19 03:54:48.632644	0.5515081281696335	15.25765908550418	350.0	2	50.0	0.004773261275341471	1500.0	0.14108352643223765	0.06243580965422801	0.2151375099851649	0.114544105899806	0.1488217505420518	993.8620620791967	0.11214258795791524	0.06248573547871734	0.21517317128837157	0.114608296245578	0.1488645441058998	993.8572763323062	0.1121800963755322	0.06243580965422801	0.2151375099851649	0.11452984137852333	0.1488217505420518	993.866847826087	0.11211961403221866	5	0.22406710030811366	0.2181140400928145														
6	TrialState.COMPLETE	0.19442542508273422	2020-01-19 03:54:48.633810	2020-01-19 04:06:24.777021	0.6858146368885565	27.102879141140143	50.0	2	50.0	0.026203177429340824	1700.0	0.19515771422142597	0.05141646696336871	0.19442542508273422	0.10332505991098939	0.13483538742439805	1376.6850001426453	0.09908994740899904	0.051480657309140705	0.19451814447107155	0.10339638251740271	0.13495663585530068	1376.6768444026018	0.09913382636658184	0.05141646696336871	0.19441116056145155	0.10332505991098939	0.13483538742439805	1376.6931558826886	0.099061703374481	6	0.20395412529955495	0.19760165848834113														
7	TrialState.COMPLETE	0.19832677165354332	2020-01-19 04:06:24.778171	2020-01-19 04:23:55.669026	0.1330538684941698	18.229922400290206	350.0	1	100.0	0.009524462084332042	1600.0	0.1447333055863351	0.02925653315074746	0.19832677165354332	0.11523593518201529	0.14638251740271596	1020.2782544505307	0.09113815007098977	0.02925653315074746	0.19832677165354332	0.11523593518201529	0.14638251740271596	1020.2772095743467	0.09113816252724827	0.02925653315074746	0.19832677165354332	0.11523593518201529	0.14638251740271596	1020.2792993267146	0.09113813797580612	7	0.20482426109779756	0.20049260146829473														
8	TrialState.COMPLETE	0.15153914184639963	2020-01-19 04:23:55.669979	2020-01-19 04:35:36.647215	0.7291804442118102	8.144636336010365	150.0	1	20.0	0.019640557750213183	1400.0	0.37587234963209226	0.01604045418235764	0.15153914184639963	0.09171373958689946	0.1151075544904713	2665.7386490071895	0.06700400312070912	0.01604045418235764	0.15153914184639963	0.09171373958689946	0.1151075544904713	2665.7373045760582	0.0670040164654174	0.01604045418235764	0.15153914184639963	0.09171373958689946	0.1151075544904713	2665.73999343832	0.06700399008236084	8	0.1624871619308456	0.15518848187454828														
