number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.49063670411985016	2020-05-18 12:00:33.444367	2020-05-18 12:05:46.666588	7.56667070319539	256	64	1	91	512	0.30942892460396676	0.10580524344569288	0.49063670411985016	0.23782771535580524	0.3347378277153558	14.899812734082397	0.22815587338032492	0.10580524344569288	0.49063670411985016	0.23782771535580524	0.3347378277153558	14.899812734082397	0.22815587338032492	3366697232	250.0	0.10580524344569288	0.49063670411985016	0.23782771535580524	0.3347378277153558	14.899812734082397	0.22815587338032492	0	COMPLETE
1	0.4363295880149813	2020-05-18 12:05:46.684463	2020-05-18 12:20:38.076169	7.241006431731553	128	256	2	82	512	0.3523149771907119	0.09082397003745318	0.4363295880149813	0.20786516853932585	0.28745318352059923	17.009831460674157	0.20438420853679126	0.09082397003745318	0.4363295880149813	0.20786516853932585	0.28745318352059923	17.009831460674157	0.20438420853679126	505165382	350.0	0.09082397003745318	0.4363295880149813	0.20786516853932585	0.28745318352059923	17.009831460674157	0.20438420853679126	1	COMPLETE
2	0.49953183520599254	2020-05-18 12:20:38.088587	2020-05-18 12:23:55.877811	5.432028748082113	256	64	2	73	512	0.3043735199573028	0.10065543071161048	0.49953183520599254	0.22846441947565543	0.33146067415730335	14.653558052434457	0.22472128243965292	0.10065543071161048	0.49953183520599254	0.22846441947565543	0.33146067415730335	14.653558052434457	0.22472128243965292	2344929721	200.0	0.10065543071161048	0.49953183520599254	0.22846441947565543	0.33146067415730335	14.653558052434457	0.22472128243965292	2	COMPLETE
3	0.49063670411985016	2020-05-18 12:23:55.895846	2020-05-18 12:38:52.760356	8.273384398344643	256	256	2	36	128	0.3174279834412401	0.08426966292134831	0.49063670411985016	0.22144194756554308	0.3249063670411985	15.293539325842696	0.2128393280979109	0.08426966292134831	0.49063670411985016	0.22144194756554308	0.3249063670411985	15.293539325842696	0.2128393280979109	1467426579	350.0	0.08426966292134831	0.49063670411985016	0.22144194756554308	0.3249063670411985	15.293539325842696	0.2128393280979109	3	COMPLETE
4	0.6764981273408239	2020-05-18 12:38:52.772637	2020-05-18 12:50:35.409100	0.8752042451798498	64	64	2	89	128	0.22474933568255676	0.04681647940074907	0.6764981273408239	0.2298689138576779	0.4133895131086142	10.720505617977528	0.21702986567810414	0.04681647940074907	0.6764981273408239	0.2298689138576779	0.4133895131086142	10.720505617977528	0.21702986567810414	2503494965	450.0	0.04681647940074907	0.6764981273408239	0.2298689138576779	0.4133895131086142	10.720505617977528	0.21702986567810414	4	COMPLETE
5	0.5014044943820225	2020-05-18 12:50:35.433443	2020-05-18 12:56:00.661892	5.556415553125413	256	64	1	62	128	0.30643045182395656	0.09925093632958802	0.5014044943820225	0.22799625468164794	0.32209737827715357	14.743445692883896	0.22482911456573432	0.09925093632958802	0.5014044943820225	0.22799625468164794	0.32209737827715357	14.743445692883896	0.22482911456573432	3941594155	200.0	0.09925093632958802	0.5014044943820225	0.22799625468164794	0.32209737827715357	14.743445692883896	0.22482911456573432	5	COMPLETE
6	0.5580524344569289	2020-05-18 12:56:00.674482	2020-05-18 13:16:22.024532	3.59946233312362	128	128	2	54	128	0.2599007329800644	0.11891385767790262	0.5580524344569289	0.2495318352059925	0.36657303370786515	12.479868913857677	0.2491890736617863	0.11891385767790262	0.5580524344569289	0.2495318352059925	0.36657303370786515	12.479868913857677	0.2491890736617863	631441322	650.0	0.11891385767790262	0.5580524344569289	0.2495318352059925	0.36657303370786515	12.479868913857677	0.2491890736617863	6	COMPLETE
7	0.4410112359550562	2020-05-18 13:16:22.035717	2020-05-18 13:19:16.481445	4.795750231411038	64	256	1	17	256	0.343501537483646	0.08801498127340825	0.4410112359550562	0.20973782771535582	0.30337078651685395	16.584269662921347	0.20566396952612875	0.08801498127340825	0.4410112359550562	0.20973782771535582	0.30337078651685395	16.584269662921347	0.20566396952612875	3483696341	250.0	0.08801498127340825	0.4410112359550562	0.20973782771535582	0.30337078651685395	16.584269662921347	0.20566396952612875	7	COMPLETE
8	0.5543071161048689	2020-05-18 13:19:16.493840	2020-05-18 13:22:18.306802	3.873014678118659	256	64	1	45	512	0.2657001378208273	0.11844569288389513	0.5543071161048689	0.25608614232209737	0.3698501872659176	12.77808988764045	0.24973650284234145	0.11844569288389513	0.5543071161048689	0.25608614232209737	0.3698501872659176	12.77808988764045	0.24973650284234145	1635384341	250.0	0.11844569288389513	0.5543071161048689	0.25608614232209737	0.3698501872659176	12.77808988764045	0.24973650284234145	8	COMPLETE
9	0.6352996254681648	2020-05-18 13:22:18.319421	2020-05-18 13:51:59.329958	0.8155546214303204	64	256	1	44	128	0.2389447952128863	0.026685393258426966	0.6352996254681648	0.18867041198501872	0.35720973782771537	11.422752808988765	0.19010819557036723	0.026685393258426966	0.6352996254681648	0.18867041198501872	0.35720973782771537	11.422752808988765	0.19010819557036723	3059674095		0.026685393258426966	0.6352996254681648	0.18867041198501872	0.35720973782771537	11.422752808988765	0.19010819557036723	9	COMPLETE
10	0.4911048689138577	2020-05-18 13:51:59.342398	2020-05-18 13:55:56.339025	9.0138255166902	256	64	2	48	512	0.30854036722049705	0.10159176029962547	0.4911048689138577	0.2298689138576779	0.323501872659176	14.853464419475655	0.22424465395074988	0.10159176029962547	0.4911048689138577	0.2298689138576779	0.323501872659176	14.853464419475655	0.22424465395074988	3680363482	300.0	0.10159176029962547	0.4911048689138577	0.2298689138576779	0.323501872659176	14.853464419475655	0.22424465395074988	10	COMPLETE
11	0.4714419475655431	2020-05-18 13:55:56.351255	2020-05-18 14:03:42.290793	4.254033580950928	64	256	2	85	256	0.3277951432025751	0.09082397003745318	0.4714419475655431	0.22705992509363296	0.324438202247191	15.817883895131086	0.21549212395516795	0.09082397003745318	0.4714419475655431	0.22705992509363296	0.324438202247191	15.817883895131086	0.21549212395516795	3666297010	300.0	0.09082397003745318	0.4714419475655431	0.22705992509363296	0.324438202247191	15.817883895131086	0.21549212395516795	11	COMPLETE
12	0.6451310861423221	2020-05-18 14:03:42.302596	2020-05-18 14:17:26.860390	0.8362369250671622	64	128	1	25	256	0.23292161645768872	0.030430711610486893	0.6451310861423221	0.18398876404494383	0.36329588014981273	11.11750936329588	0.19370027479779753	0.030430711610486893	0.6451310861423221	0.18398876404494383	0.36329588014981273	11.11750936329588	0.19370027479779753	354498837		0.030430711610486893	0.6451310861423221	0.18398876404494383	0.36329588014981273	11.11750936329588	0.19370027479779753	12	COMPLETE
13	0.4901685393258427	2020-05-18 14:17:26.872489	2020-05-18 14:25:19.159844	8.025578378012096	128	64	2	10	128	0.312016925679464	0.09878277153558053	0.4901685393258427	0.22191011235955055	0.32069288389513106	15.014044943820224	0.21959950648333915	0.09878277153558053	0.4901685393258427	0.22191011235955055	0.32069288389513106	15.014044943820224	0.21959950648333915	933131628	400.0	0.09878277153558053	0.4901685393258427	0.22191011235955055	0.32069288389513106	15.014044943820224	0.21959950648333915	13	COMPLETE
14	0.4583333333333333	2020-05-18 14:25:19.173327	2020-05-18 14:35:42.821543	6.0966974849760245	256	256	2	32	512	0.3333000404287604	0.09737827715355805	0.4583333333333333	0.21582397003745318	0.30337078651685395	16.074906367041198	0.2144104600605767	0.09737827715355805	0.4583333333333333	0.21582397003745318	0.30337078651685395	16.074906367041198	0.2144104600605767	2698193631	300.0	0.09737827715355805	0.4583333333333333	0.21582397003745318	0.30337078651685395	16.074906367041198	0.2144104600605767	14	COMPLETE
