number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.23548689138576778	2020-05-17 17:11:04.088425	2020-05-17 17:14:17.753559	64	64	1	512	0.008997740809856328	0.6571648491037249	0.0009363295880149813	0.23548689138576778	0.07209737827715355	0.12687265917602997	31.56132958801498	0.08506711837626262	0.0009363295880149813	0.23548689138576778	0.07209737827715355	0.12687265917602997	31.56132958801498	0.08506711837626262	3477873832		0.0009363295880149813	0.23548689138576778	0.07209737827715355	0.12687265917602997	31.56132958801498	0.08506711837626262	0	COMPLETE
1	0.273876404494382	2020-05-17 17:14:17.771970	2020-05-17 17:17:33.348866	64	64	1	512	0.007074145617700258	0.6269310607377803	0.0028089887640449437	0.273876404494382	0.09410112359550561	0.1596441947565543	30.09269662921348	0.09757348230723699	0.0028089887640449437	0.273876404494382	0.09410112359550561	0.1596441947565543	30.09269662921348	0.09757348230723699	3517983554		0.0028089887640449437	0.273876404494382	0.09410112359550561	0.1596441947565543	30.09269662921348	0.09757348230723699	1	COMPLETE
2	0.2607677902621723	2020-05-17 17:17:33.365454	2020-05-17 17:24:42.376929	64	128	1	128	0.06575358466545742	0.6120969100039075	0.0018726591760299626	0.2607677902621723	0.08801498127340825	0.14606741573033707	29.367977528089888	0.0934377877678416	0.0018726591760299626	0.2607677902621723	0.08801498127340825	0.14606741573033707	29.367977528089888	0.0934377877678416	2696598817		0.0018726591760299626	0.2607677902621723	0.08801498127340825	0.14606741573033707	29.367977528089888	0.0934377877678416	2	COMPLETE
3	0.21161048689138576	2020-05-17 17:24:42.388013	2020-05-17 17:29:12.074283	128	64	2	256	0.3367142861171722	0.706142182447965	0.0	0.21161048689138576	0.0552434456928839	0.10159176029962547	33.8937265917603	0.07482542630415452	0.0	0.21161048689138576	0.0552434456928839	0.10159176029962547	33.8937265917603	0.07482542630415452	2596548441		0.0	0.21161048689138576	0.0552434456928839	0.10159176029962547	33.8937265917603	0.07482542630415452	3	COMPLETE
4	0.3806179775280899	2020-05-17 17:29:12.086194	2020-05-17 17:33:40.623519	128	64	1	256	0.0061228183585955885	0.4031070453308397	0.018258426966292134	0.3806179775280899	0.12406367041198502	0.19335205992509363	19.372191011235955	0.13209372310320106	0.018258426966292134	0.3806179775280899	0.12406367041198502	0.19335205992509363	19.372191011235955	0.13209372310320106	3841484062		0.018258426966292134	0.3806179775280899	0.12406367041198502	0.19335205992509363	19.372191011235955	0.13209372310320106	4	COMPLETE
5	0.13764044943820225	2020-05-17 17:33:40.642946	2020-05-17 17:35:28.097752	64	256	1	512	0.04797157960070178	0.8534891149500029	0.0	0.13764044943820225	0.0299625468164794	0.05711610486891386	41.02574906367041	0.055548738135373074	0.0	0.13764044943820225	0.0299625468164794	0.05711610486891386	41.02574906367041	0.055548738135373074	3985144717	550.0	0.0	0.13764044943820225	0.0299625468164794	0.05711610486891386	41.02574906367041	0.055548738135373074	5	COMPLETE
6	0.4892322097378277	2020-05-17 17:35:28.110078	2020-05-17 17:40:03.818170	256	64	1	256	0.02757574401847319	0.3085407206704945	0.02902621722846442	0.4892322097378277	0.15168539325842698	0.2551498127340824	14.788857677902621	0.16255156947714391	0.02902621722846442	0.4892322097378277	0.15168539325842698	0.2551498127340824	14.788857677902621	0.16255156947714391	52945298		0.02902621722846442	0.4892322097378277	0.15168539325842698	0.2551498127340824	14.788857677902621	0.16255156947714391	6	COMPLETE
7	0.21067415730337077	2020-05-17 17:40:03.836606	2020-05-17 17:44:28.328383	128	256	2	256	0.07375113925967733	0.699066583569465	0.0	0.21067415730337077	0.07677902621722846	0.11844569288389513	33.549157303370784	0.08188865724570468	0.0	0.21067415730337077	0.07677902621722846	0.11844569288389513	33.549157303370784	0.08188865724570468	3896749778	1000.0	0.0	0.21067415730337077	0.07677902621722846	0.11844569288389513	33.549157303370784	0.08188865724570468	7	COMPLETE
8	0.10065543071161048	2020-05-17 17:44:28.340673	2020-05-17 17:44:50.804899	64	256	2	512	0.7663002862264876	1.0377336498123177	0.0	0.10065543071161048	0.018258426966292134	0.0449438202247191	50.0749063670412	0.04413212214780358	0.0	0.10065543071161048	0.018258426966292134	0.0449438202247191	50.0749063670412	0.04413212214780358	3468459968	150.0	0.0	0.10065543071161048	0.018258426966292134	0.0449438202247191	50.0749063670412	0.04413212214780358	8	COMPLETE
9	0.09878277153558053	2020-05-17 17:44:50.817221	2020-05-17 17:45:36.175680	128	128	2	128	0.5409457130220953	1.0000666321311076	0.0	0.09878277153558053	0.021067415730337078	0.046348314606741575	48.265917602996254	0.045498657931198526	0.0	0.09878277153558053	0.021067415730337078	0.046348314606741575	48.265917602996254	0.045498657931198526	4163761853	150.0	0.0	0.09878277153558053	0.021067415730337078	0.046348314606741575	48.265917602996254	0.045498657931198526	9	COMPLETE
