number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251
0	TrialState.COMPLETE	0.0007524787535410764	2020-01-12 21:58:50.766037	2020-01-12 22:06:05.245362	50.0	1	71.0	0.04251659186805156	700.0	0.9916513399904303	0.0	0.0007524787535410764	0.0002655807365439094	0.0006196883852691218	20103.97078611898	0.00044428883814465485	0.0	0.0007524787535410764	0.0002655807365439094	0.0006196883852691218	20103.96525318697	0.00044428887486562703	0.0	0.0007524787535410764	0.0002655807365439094	0.0006196883852691218	20103.97631905099	0.00044428880143034666	0	0.0004426345609065156	0.0006491973559962229			
1	TrialState.COMPLETE	0.005347025495750708	2020-01-12 22:06:05.246964	2020-01-12 22:13:13.795522	50.0	1	11.0	0.011878839585145776	500.0	0.9030506902312339	0.0010269121813031162	0.005347025495750708	0.0022308781869688384	0.0032223796033994333	18307.30587818697	0.0026651362529325987	0.0010269121813031162	0.005347025495750708	0.0022308781869688384	0.0032223796033994333	18307.301558073654	0.0026651363066974433	0.0010269121813031162	0.005347025495750708	0.0022308781869688384	0.0032223796033994333	18307.31019830028	0.0026651361991836503	1		0.005488668555240793	0.00540014164305949		
2	TrialState.COMPLETE	0.0021689093484419265	2020-01-12 22:13:13.796553	2020-01-13 01:58:40.842034	450.0	1	61.0	0.03486287427603266	1600.0	1.0980862570003767	0.0010623229461756375	0.0021689093484419265	0.0017705382436260624	0.0017705382436260624	22262.60439536119	0.001611786594563228	0.0010623229461756375	0.0021689093484419265	0.0017705382436260624	0.0017705382436260624	22262.5883055949	0.0016117867946308614	0.0010623229461756375	0.0021689093484419265	0.0017705382436260624	0.0017705382436260624	22262.620485127478	0.0016117863945722096	2	0.0015049575070821529	0.0019475920679886685			
3	TrialState.COMPLETE	0.008882200188857412	2020-01-13 01:58:40.842922	2020-01-13 02:54:45.065637	150.0	1	71.0	0.0014431375145527627	1400.0	0.886499811221398	0.0017410292728989613	0.008882200188857412	0.004042728989612842	0.005990321057601511	17972.195083805476	0.004445494345845467	0.0017410292728989613	0.008882200188857412	0.004042728989612842	0.005990321057601511	17972.190450897073	0.004445511971129793	0.0017410292728989613	0.008882200188857412	0.004042728989612842	0.005990321057601511	17972.19971671388	0.004445477296445715	3			0.008277266288951842	0.008640226628895183	
4	TrialState.COMPLETE	0.0029656515580736543	2020-01-13 02:54:45.067206	2020-01-13 03:00:00.823869	50.0	1	21.0	0.0015202697877203816	1100.0	0.9061177431600104	0.0006639518413597734	0.0029656515580736543	0.0012836402266288953	0.0016820113314447592	18369.154368803116	0.0017704410502917087	0.0006639518413597734	0.0029656515580736543	0.0012836402266288953	0.0016820113314447592	18369.15058427762	0.001770441604941129	0.0006639518413597734	0.0029656515580736543	0.0012836402266288953	0.0016820113314447592	18369.15815332861	0.001770440498071759	4	0.0036296033994334276	0.003186968838526912			
5	TrialState.COMPLETE	0.015315155807365439	2020-01-13 03:00:00.824953	2020-01-13 06:11:41.093398	350.0	1	41.0	0.0012908218159784607	1600.0	0.873665589527807	0.0036886213408876298	0.015315155807365439	0.007200188857412654	0.010062559017941454	17712.07958569405	0.007750060846444859	0.0036886213408876298	0.015315155807365439	0.007200188857412654	0.010062559017941454	17712.074539660058	0.007750061248663373	0.0036886213408876298	0.015315155807365439	0.007200188857412654	0.010062559017941454	17712.084631728045	0.007750060445012974	5			0.014120042492917846	0.014837110481586402	
6	TrialState.COMPLETE	0.0004426345609065156	2020-01-13 06:11:41.094505	2020-01-13 08:29:17.429644	350.0	2	61.0	0.03376573029543073	1300.0	1.1194807726376999	0.0	0.0004426345609065156	0.0	0.0	22696.18535322238	0.0002472359921457456	0.0	0.0004426345609065156	0.0	0.0	22696.182365439094	0.00024723604776058554	0.0	0.0004426345609065156	0.0	0.0	22696.188341005665	0.0002472359365609992	6	0.00017705382436260624	0.0003541076487252125			
7	TrialState.COMPLETE	0.0006639518413597734	2020-01-13 08:29:17.430610	2020-01-13 08:34:56.695853	50.0	2	31.0	0.008921586266569524	1200.0	0.9477232065556694	8.852691218130312e-05	0.0006639518413597734	0.0002655807365439094	0.0003541076487252125	19213.01314624646	0.0005132942349228651	8.852691218130312e-05	0.0006639518413597734	0.0002655807365439094	0.0003541076487252125	19213.009605169973	0.0005132942779839292	8.852691218130312e-05	0.0006639518413597734	0.0002655807365439094	0.0003541076487252125	19213.016687322946	0.0005132941918757508	7	0.0002655807365439094	0.0005311614730878187			
8	TrialState.COMPLETE	0.0004868980169971671	2020-01-13 08:34:56.697230	2020-01-13 09:10:27.026421	150.0	2	91.0	0.03063561762272603	700.0	1.0575282374220114	8.852691218130312e-05	0.0004868980169971671	8.852691218130312e-05	0.0001327903682719547	21439.873207330027	0.000356466112118398	8.852691218130312e-05	0.0004868980169971671	8.852691218130312e-05	0.0001327903682719547	21439.87004249292	0.00035646618181525735	8.852691218130312e-05	0.0004868980169971671	8.852691218130312e-05	0.0001327903682719547	21439.87637216714	0.00035646604246595095	8	0.0002655807365439094	0.00041312559017941453			
9	TrialState.COMPLETE	0.0003541076487252125	2020-01-13 09:10:27.027983	2020-01-13 09:16:00.951889	50.0	2	31.0	0.01451204928154693	1300.0	1.006267837613886	8.852691218130312e-05	0.0003541076487252125	0.0002213172804532578	0.0003098441926345609	20400.299464412183	0.00040760417391494337	8.852691218130312e-05	0.0003541076487252125	0.0002213172804532578	0.0003098441926345609	20400.29665368272	0.00040760420177046643	8.852691218130312e-05	0.0003541076487252125	0.0002213172804532578	0.0003098441926345609	20400.302275141643	0.00040760414606709	9	0.0003541076487252125	0.0003541076487252125			
10	TrialState.COMPLETE	0.0002655807365439094	2020-01-13 09:16:00.952982	2020-01-13 09:51:18.247976	150.0	2	91.0	0.037437444907967354	1700.0	1.0643829262494826	0.0001327903682719547	0.0002655807365439094	0.0001327903682719547	0.00017705382436260624	21578.94668466714	0.00034671237562703343	0.0001327903682719547	0.0002655807365439094	0.0001327903682719547	0.00017705382436260624	21578.943564093486	0.00034671242620304345	0.0001327903682719547	0.0002655807365439094	0.0001327903682719547	0.00017705382436260624	21578.949805240794	0.00034671232508395037	10	0.00017705382436260624	0.00023607176581680832			
11	TrialState.COMPLETE	0.01942533387292594	2020-01-13 09:51:18.249218	2020-01-13 22:16:38.068764	450.0	1	91.0	0.001662248803223618	1600.0	0.8653845400580209	0.005286321327397815	0.01942533387292594	0.010597936058276	0.013557264265479563	17544.15451740186	0.01026745563121875	0.005286321327397815	0.01942533387292594	0.010597936058276	0.013557264265479563	17544.147991703765	0.010267456011194649	0.005286321327397815	0.01942533387292594	0.010597936058276	0.013557264265479563	17544.16104309996	0.010267455252120992	11				0.018767705382436262	0.019151322001888575
