number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.0	2020-01-04 22:20:04.160097	2020-01-04 22:26:39.584516	250.0	51.0	0.09886033436426338	900.0	1.001223029939891	0.0	0.0	0.0	0.0	20298.207130842777	0.00021814430184095393	0.0	0.0	0.0	0.0	20298.20648902266	0.00021814437080336973	0.0	0.0	0.0	0.0	20298.20777266289	0.0002181442329371922	0	0.0	0.0
1	TrialState.COMPLETE	0.00017705382436260624	2020-01-04 22:26:39.586149	2020-01-04 22:32:20.585392	50.0	31.0	0.010106754640664599	500.0	0.9940171485183548	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20152.150960516996	0.00028404903428216557	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20152.15045148725	0.000284049081830808	0.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20152.15146954674	0.0002840489867702187	1	0.00017705382436260624	0.00017705382436260624
2	TrialState.COMPLETE	0.0003541076487252125	2020-01-04 22:32:20.586472	2020-01-04 22:38:52.571203	350.0	1.0	0.0026115864240362687	500.0	1.0073992183972298	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20423.45449716714	0.0002892040086138924	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20423.45414305949	0.0002892040113652629	0.0	0.0003541076487252125	0.00017705382436260624	0.00017705382436260624	20423.454851274786	0.0002892040058629036	2	0.0003541076487252125	0.0003541076487252125
3	TrialState.COMPLETE	0.0	2020-01-04 22:38:52.572748	2020-01-04 22:46:46.581569	450.0	11.0	0.05807723409387772	500.0	0.9878297030923319	0.0	0.0	0.0	0.0	20026.600810021246	0.000173382618715003	0.0	0.0	0.0	0.0	20026.6003009915	0.0001733826287921885	0.0	0.0	0.0	0.0	20026.60131905099	0.00017338260864050624	3	0.0	0.0
4	TrialState.COMPLETE	0.00017705382436260624	2020-01-04 22:46:46.582680	2020-01-04 22:53:10.124044	250.0	21.0	0.0015927298254645496	600.0	0.9928404900555411	0.0	0.00017705382436260624	0.0	0.0	20128.018302939094	0.00028191130027334165	0.0	0.00017705382436260624	0.0	0.0	20128.017970963174	0.0002819113415744905	0.0	0.00017705382436260624	0.0	0.0	20128.018634915014	0.00028191125900742817	4	0.00017705382436260624	0.00017705382436260624
5	TrialState.COMPLETE	0.0	2020-01-04 22:53:10.125126	2020-01-04 22:59:19.999515	150.0	81.0	0.0010119435573012296	500.0	1.0022388541018732	0.0	0.0	0.0	0.0	20318.250354107648	0.0002459163268792593	0.0	0.0	0.0	0.0	20318.250132790366	0.00024591720266338126	0.0	0.0	0.0	0.0	20318.25057542493	0.00024591545645366944	5	0.0	0.0
6	TrialState.COMPLETE	0.0003541076487252125	2020-01-04 22:59:20.000376	2020-01-04 23:04:40.323133	150.0	1.0	0.002149362759991895	800.0	0.9945246929174926	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20162.428713703965	0.0002657700956491941	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20162.4284259915	0.00026577009872853454	0.0	0.0003541076487252125	0.0	0.00017705382436260624	20162.42900141643	0.00026577009257040265	6	0.0003541076487252125	0.0003541076487252125
7	TrialState.COMPLETE	0.000708215297450425	2020-01-04 23:04:40.324637	2020-01-04 23:10:35.043427	150.0	11.0	0.0025653551932163163	700.0	0.9890653525521581	0.00017705382436260624	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	20051.712907223795	0.0005714227129193077	0.00017705382436260624	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	20051.712553116147	0.0005714228671696494	0.00017705382436260624	0.000708215297450425	0.0003541076487252125	0.0005311614730878187	20051.713261331446	0.0005714225589427174	7	0.000708215297450425	0.000708215297450425
8	TrialState.COMPLETE	0.0	2020-01-04 23:10:35.044446	2020-01-04 23:17:07.455322	250.0	31.0	0.003454570923923605	600.0	1.002050379231382	0.0	0.0	0.0	0.0	20314.985149610482	0.000193630411762133	0.0	0.0	0.0	0.0	20314.98495042493	0.0001936304122296943	0.0	0.0	0.0	0.0	20314.985348796035	0.00019363041129460276	8	0.0	0.0
