number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	901	951	1001	1051	1101	1201	1251
0	TrialState.COMPLETE	0.38759611493322543	2020-01-13 12:34:45.997439	2020-01-13 14:19:28.328313	0.47731513573896867	12.343827651310802	5.163076174858033	0.011355853394983458	50.0	90.0	0.0052224909306040805	1000.0	0.42500901574695926	0.22600499123162013	0.38759611493322543	0.342211317954944	0.36728551193848646	8614.04081933765	0.29024851232968235	0.22600499123162013	0.38759611493322543	0.342211317954944	0.36728551193848646	8614.038209901524	0.290248513422549	0.22600499123162013	0.38759611493322543	0.342211317954944	0.36728551193848646	8614.043428773775	0.29024851124304907	0							
1	TrialState.COMPLETE	0.41635471469040874	2020-01-13 14:19:28.329762	2020-01-13 17:01:29.098432	0.637926198116923	10.483114154199235	3.383208742856958	0.01918364760526554	450.0	20.0	0.009376848395102654	1600.0	0.43396345890135624	0.2153143126939161	0.41635471469040874	0.34290267098340754	0.3803116147308782	8796.031852826116	0.2900482456654678	0.2153143126939161	0.41635471469040874	0.34290267098340754	0.3803116147308782	8796.023565020909	0.29004824755349473	0.2153143126939161	0.41635471469040874	0.34290267098340754	0.3803116147308782	8796.040140631323	0.29004824378690175	1	0.41463210079021917	0.4155364730878187					
2	TrialState.COMPLETE	0.4189334921452485	2020-01-13 17:01:29.101995	2020-01-13 20:12:11.120706	0.8217464193183621	16.329700552497563	6.153013068178205	0.061765752485798894	450.0	60.0	0.001432800805392	1600.0	0.4268767264384242	0.25443439351017255	0.4189334921452485	0.3728029229976822	0.39598087818696887	8652.649839846768	0.3202482975867459	0.2544424414112799	0.4189334921452485	0.3728029229976822	0.39598087818696887	8652.637104043266	0.32025099389905826	0.25443439351017255	0.4189334921452485	0.3728029229976822	0.39598087818696887	8652.66257565027	0.32024694309284407	2		0.41704143059490084	0.41803251045460676				
3	TrialState.COMPLETE	0.40581474268177525	2020-01-13 20:12:11.128279	2020-01-13 23:00:40.369246	0.5579004069684466	26.843795070805356	3.5601910594232447	0.028222933643788934	350.0	40.0	0.001204556693010872	1700.0	0.4813580060295122	0.23174132436260622	0.40581474268177525	0.3653800755429651	0.38709130075542963	9755.689377508263	0.30362149324544696	0.23174132436260622	0.40581474268177525	0.3653800755429651	0.38709130075542963	9755.681967067989	0.30362149815926903	0.23174132436260622	0.40581474268177525	0.3653800755429651	0.38709130075542963	9755.696787948536	0.30362148842636405	3				0.40418973731650787	0.40503756620273434		
4	TrialState.COMPLETE	0.42114359908269255	2020-01-13 23:00:40.375825	2020-01-14 01:55:54.581817	0.4068690841873751	7.671378342094327	7.136008087054515	0.08637577410214671	450.0	50.0	0.006136510887352365	1300.0	0.41213854177220477	0.1993120194253339	0.42114359908269255	0.33220356131121004	0.37883616619452315	8354.111269897478	0.27945117788179846	0.19932045055982733	0.42114359908269255	0.33220356131121004	0.37883616619452315	8354.102219074599	0.2794539962303157	0.1993120194253339	0.42114359908269255	0.33220356131121004	0.37883616619452315	8354.120320720356	0.2794497648859676	4	0.41951505889369317	0.4203700424929179					
5	TrialState.COMPLETE	0.4108304480117511	2020-01-14 01:55:54.589565	2020-01-14 04:03:16.921494	0.6965546877916374	20.689733104111408	6.71005465230323	0.014216070813342458	50.0	100.0	0.0011837243143777703	1400.0	0.37256309009049976	0.22920601196096946	0.4108304480117511	0.36318329661105864	0.38798394711992445	7550.084336638338	0.3024616013274762	0.22921256951001995	0.4108304480117511	0.36318329661105864	0.38798394711992445	7550.081733291365	0.302463788343904	0.22920601196096946	0.4108304480117511	0.36318329661105864	0.38798394711992445	7550.086939985311	0.30246050724400103	5						0.4091784702549575	0.41003622793636957
6	TrialState.COMPLETE	0.4053099285039795	2020-01-14 04:03:16.923685	2020-01-14 05:50:07.057953	0.6919074282562203	13.728730949543358	8.399817855377979	0.016275730057514946	150.0	70.0	0.006822254044035988	1400.0	0.438952899997662	0.2459952111156077	0.4053099285039795	0.3635336570888979	0.3848138405503845	8897.106080534197	0.3106481216677994	0.2459952111156077	0.4053099285039795	0.3635336570888979	0.3848138405503845	8897.102497302038	0.3106481264865948	0.2459952111156077	0.4053099285039795	0.3635336570888979	0.3848138405503845	8897.109663766356	0.31064811694378175	6	0.4038224988817653	0.40460339943342777					
7	TrialState.COMPLETE	0.18269871688051992	2020-01-14 05:50:07.059513	2020-01-14 07:10:46.423595	0.995845520541368	24.448510228512653	3.0619996304583443	0.012134954318340796	50.0	40.0	0.045088961934566046	800.0	0.4141307408130663	0.044690468255290786	0.18269871688051992	0.09646308948508582	0.13023871021496417	8393.867542909515	0.08899969555461888	0.044690468255290786	0.18269871688051992	0.09646308948508582	0.13023871021496417	8393.864626728879	0.0889997014493433	0.044690468255290786	0.18269871688051992	0.09646308948508582	0.13023871021496417	8393.870459090153	0.0889996897854501	7							
8	TrialState.COMPLETE	0.42402781354622715	2020-01-14 07:10:46.424962	2020-01-14 10:02:13.319895	0.9027928621782145	4.21644876291462	5.594664140404952	0.06597887796941149	350.0	80.0	0.005732383930538795	1500.0	0.3937836539118132	0.19119398660829257	0.42402781354622715	0.3294247360288437	0.3804967164563482	7982.43335533093	0.27486884560383473	0.19120203450939996	0.42402781354622715	0.3294247360288437	0.3804967164563482	7982.422297514808	0.2748723399337867	0.19119398660829257	0.42402781354622715	0.3294247360288437	0.3804967164563482	7982.444413147051	0.27486696093890106	8		0.4222910764872521	0.4232007958990962				
