number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.1523950553695596	2020-01-01 15:21:51.596454	2020-01-01 17:46:39.345995	5.0261550078013215	150.0	1.0	0.005544434973472374	500.0	0.2427630042110485	0.040271697141385523	0.1523950553695596	0.08131599278908061	0.10806721607004893	4920.884134367757	0.07778757295661387	0.04030388874581509	0.1523950553695596	0.08131599278908061	0.10806721607004893	4920.883707828998	0.07780259586236737	0.040271697141385523	0.1523950553695596	0.08129989698686582	0.10806721607004893	4920.884560906516	0.07778247579607957	0
1	TrialState.COMPLETE	0.3714964803845824	2020-01-01 17:46:39.346921	2020-01-02 02:34:27.478211	7.919207090570431	150.0	16.0	0.01301695380463678	1600.0	0.16608572271340055	0.19608979311528887	0.3714964803845824	0.29000343377113913	0.32710425787621256	3366.381022512662	0.25749763004013093	0.19796763670701348	0.3715447677912267	0.2905184994420122	0.32739398231607864	3366.37667396343	0.25850486367222675	0.19608979311528887	0.37129796549060007	0.28970297879646323	0.32688964718001545	3366.3853710618937	0.25723363350080924	1
2	TrialState.COMPLETE	0.356949828537349	2020-01-02 02:34:27.479205	2020-01-02 08:18:34.397030	0.5221041241281155	200.0	31.0	0.001211290831223983	900.0	0.2797074788193092	0.2008349485612047	0.356949828537349	0.2937788877292381	0.32453966005665724	5669.7419487103025	0.2571384550301639	0.2008349485612047	0.356949828537349	0.2937788877292381	0.32453966005665724	5669.7410727598035	0.25713845556394854	0.2008349485612047	0.356949828537349	0.2937788877292381	0.32453966005665724	5669.742824660802	0.2571384544996342	2
3	TrialState.COMPLETE	0.375	2020-01-02 08:18:34.397808	2020-01-02 13:35:08.170713	2.5973398837249153	50.0	41.0	0.0043527575098199316	1100.0	0.19738987306497918	0.2027651188570021	0.375	0.2998675945313462	0.3355246951595024	4001.1727083076735	0.2639884664849685	0.2027651188570021	0.375	0.2998675945313462	0.3355246951595024	4001.172319559059	0.2639884787706012	0.2027651188570021	0.375	0.2998675945313462	0.3355246951595024	4001.1730970562876	0.2639884548164021	3
4	TrialState.COMPLETE	0.35941926345609065	2020-01-02 13:35:08.171670	2020-01-02 17:55:48.438152	9.781893595886608	200.0	16.0	0.0031366853291158407	700.0	0.206423601889206	0.2178706326723324	0.35941926345609065	0.29664778092540134	0.3258734655335222	4184.159436968838	0.2683519844698861	0.2178706326723324	0.35941926345609065	0.29664778092540134	0.3258734655335222	4184.158817280453	0.2683519846133035	0.2178706326723324	0.35941926345609065	0.29664778092540134	0.3258734655335222	4184.160056657224	0.2683519843268359	4
