number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251
0	TrialState.COMPLETE	0.0003541076487252125	2020-01-11 16:31:28.012089	2020-01-11 16:57:19.439916	2.4826192731504504	250.0	46.0	0.001034176904437192	0.08778132348785093	900.0	1.008558289889238	0.0	0.0003541076487252125	0.0	0.0001327903682719547	20446.868271954674	0.00027890192506892713	0.0	0.0003541076487252125	0.0	0.0001327903682719547	20446.868050637393	0.00027890192763847576	0.0	0.0003541076487252125	0.0	0.0001327903682719547	20446.868493271955	0.0002789019224999192	0	0.0003541076487252125	0.0003541076487252125			
1	TrialState.COMPLETE	8.852691218130312e-05	2020-01-11 16:57:19.440760	2020-01-11 17:15:20.159700	4.365727043756577	150.0	26.0	0.0012423878765971512	0.030054474254375706	1100.0	1.0072575115764968	0.0	8.852691218130312e-05	4.426345609065156e-05	4.426345609065156e-05	20420.61867032578	0.00022648675674271623	0.0	8.852691218130312e-05	4.426345609065156e-05	4.426345609065156e-05	20420.61862606232	0.00022648675678342266	0.0	8.852691218130312e-05	4.426345609065156e-05	4.426345609065156e-05	20420.618714589236	0.0002264867567020111	1	0.00017705382436260624	0.00011803588290840416			
2	TrialState.COMPLETE	0.0002655807365439094	2020-01-11 17:15:20.160538	2020-01-11 17:28:07.838390	3.0323895306675714	50.0	1.0	0.01210308515953711	0.06112810937503699	1600.0	1.001854198528613	8.852691218130312e-05	0.0002655807365439094	0.0002213172804532578	0.0002213172804532578	20310.84711402266	0.0003225512331422033	8.852691218130312e-05	0.0002655807365439094	0.0002213172804532578	0.0002213172804532578	20310.846892705384	0.0003225512352343326	8.852691218130312e-05	0.0002655807365439094	0.0002213172804532578	0.0002213172804532578	20310.847335339942	0.00032255123105042095	2	0.00017705382436260624	0.00023607176581680832			
3	TrialState.COMPLETE	0.0004426345609065156	2020-01-11 17:28:07.839256	2020-01-11 17:56:59.504207	7.430551236331182	450.0	11.0	0.029650758919830583	0.03242578898633868	1100.0	1.003380214693827	0.0001327903682719547	0.0004426345609065156	0.00017705382436260624	0.0003541076487252125	20341.749800814447	0.0004160119235275497	0.0001327903682719547	0.0004426345609065156	0.00017705382436260624	0.0003541076487252125	20341.749645892352	0.00041601192386996034	0.0001327903682719547	0.0004426345609065156	0.00017705382436260624	0.0003541076487252125	20341.749955736545	0.00041601192318516117	3	0.0005311614730878187	0.00047214353163361664			
4	TrialState.COMPLETE	0.0003541076487252125	2020-01-11 17:56:59.505043	2020-01-11 18:25:56.222786	4.225920904144083	350.0	31.0	0.025839017436185264	0.04042926813120546	900.0	1.0079772214663998	0.0	0.0003541076487252125	4.426345609065156e-05	0.00017705382436260624	20434.844812322946	0.000299365450053173	0.0	0.0003541076487252125	4.426345609065156e-05	0.00017705382436260624	20434.84476805949	0.000299365451326364	0.0	0.0003541076487252125	4.426345609065156e-05	0.00017705382436260624	20434.844856586402	0.00029936544878019796	4	0.0003541076487252125	0.0003541076487252125			
5	TrialState.COMPLETE	0.04559135977337111	2020-01-11 18:25:56.224309	2020-01-11 18:43:59.942922	6.855608426283351	250.0	1.0	0.01859733689739935	0.03199317386670497	1300.0	0.4125986857485037	0.023149787535410766	0.04559135977337111	0.03310906515580737	0.03815509915014164	8363.386973264873	0.03305928045439429	0.023149787535410766	0.04559135977337111	0.03310906515580737	0.03815509915014164	8363.386818342777	0.03305928104083726	0.023149787535410766	0.04559135977337111	0.03310906515580737	0.03815509915014164	8363.387128186969	0.03305927986989059	5	0.08020538243626062	0.05712936732766761			
6	TrialState.COMPLETE	0.0005754249291784702	2020-01-11 18:43:59.943777	2020-01-11 19:16:27.380241	7.7452060489225065	350.0	46.0	0.03391725155377491	0.012308203701430471	1500.0	0.9992062625720726	8.852691218130312e-05	0.0005754249291784702	0.0003541076487252125	0.000398371104815864	20257.33879249292	0.0004997587010125751	8.852691218130312e-05	0.0005754249291784702	0.0003541076487252125	0.000398371104815864	20257.338615439094	0.0004997587017138039	8.852691218130312e-05	0.0005754249291784702	0.0003541076487252125	0.000398371104815864	20257.33896954674	0.0004997587003114138	6	0.0006196883852691218	0.0005901794145420207			
7	TrialState.COMPLETE	0.0006196883852691218	2020-01-11 19:16:27.381126	2020-01-11 19:35:55.392459	2.692396001950488	150.0	46.0	0.0024290733594333896	0.043458834972780566	1300.0	1.0006922082142766	0.0	0.0006196883852691218	8.852691218130312e-05	0.0002213172804532578	20287.19927407932	0.00030131906221825115	0.0	0.0006196883852691218	8.852691218130312e-05	0.0002213172804532578	20287.19914128895	0.00030131906589696744	0.0	0.0006196883852691218	8.852691218130312e-05	0.0002213172804532578	20287.199406869688	0.00030131905854033624	7	0.0005311614730878187	0.0005901794145420207			
8	TrialState.COMPLETE	0.0001327903682719547	2020-01-11 19:35:55.393494	2020-01-11 20:08:47.370508	4.219324038507741	350.0	46.0	0.0019309909393299082	0.06188133607718308	1400.0	1.00271308561091	0.0	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20328.167537181303	0.0002573094685875165	0.0	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20328.167271600567	0.0002573094722684506	0.0	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20328.16780276204	0.00025730946490755093	8	8.852691218130312e-05	0.00011803588290840416			
