number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.0001327903682719547	2020-01-11 20:08:47.371351	2020-01-11 20:35:34.013447	7.493302459977315	350.0	21.0	0.05645417699093128	0.07380693391332083	1800.0	1.0023337004114459	0.0	0.0001327903682719547	8.852691218130312e-05	8.852691218130312e-05	20320.657976274786	0.00022936115502176723	0.0	0.0001327903682719547	8.852691218130312e-05	8.852691218130312e-05	20320.657976274786	0.00022936115502176723	0.0	0.0001327903682719547	8.852691218130312e-05	8.852691218130312e-05	20320.657976274786	0.00022936115502176723	9	8.852691218130312e-05	0.00011803588290840416			
10	TrialState.COMPLETE	0.0002655807365439094	2020-01-11 20:35:34.014432	2020-01-11 21:15:09.509885	7.4794374143096585	450.0	46.0	0.0468052133128721	0.02408404334702722	800.0	0.993998936738056	0.0	0.0002655807365439094	0.0	8.852691218130312e-05	20151.32743891643	0.0002635710755178869	0.0	0.0002655807365439094	0.0	8.852691218130312e-05	20151.32732825779	0.0002635710763235011	0.0	0.0002655807365439094	0.0	8.852691218130312e-05	20151.32754957507	0.0002635710747123549	10	0.0	0.00017705382436260624			
11	TrialState.COMPLETE	0.00017705382436260624	2020-01-11 21:15:09.510989	2020-01-11 21:32:28.546427	8.600992769090029	150.0	11.0	0.0016506393621716828	0.014886834639413765	1900.0	1.0068916772641632	8.852691218130312e-05	0.00017705382436260624	0.0001327903682719547	0.0001327903682719547	20413.033750885268	0.00030253529978356715	8.852691218130312e-05	0.00017705382436260624	0.0001327903682719547	0.0001327903682719547	20413.033684490085	0.000302535326202294	8.852691218130312e-05	0.00017705382436260624	0.0001327903682719547	0.0001327903682719547	20413.033817280455	0.00030253527339292385	11	0.00017705382436260624	0.00017705382436260624			
12	TrialState.COMPLETE	0.026026912181303118	2020-01-11 21:32:28.547267	2020-01-11 21:58:16.775483	8.822245998861215	450.0	1.0	0.0689619162080709	0.04488347070248186	1500.0	0.40861526931023856	0.008675637393767706	0.026026912181303118	0.013987252124645893	0.01819228045325779	8283.054266997167	0.015762387268432754	0.008675637393767706	0.026026912181303118	0.013987252124645893	0.01819228045325779	8283.053957152975	0.015762387403022774	0.008675637393767706	0.026026912181303118	0.013987252124645893	0.01819228045325779	8283.05457684136	0.01576238713399349	12	0.041961756373937675	0.0313385269121813			
13	TrialState.COMPLETE	4.426345609065156e-05	2020-01-11 21:58:16.776386	2020-01-11 22:16:49.533478	3.2120164074268946	150.0	31.0	0.007625047697934231	0.010413242437851876	500.0	0.99608701658081	0.0	4.426345609065156e-05	4.426345609065156e-05	4.426345609065156e-05	20194.08387924929	0.00020265981754779782	0.0	4.426345609065156e-05	4.426345609065156e-05	4.426345609065156e-05	20194.08370219547	0.00020265981909945783	0.0	4.426345609065156e-05	4.426345609065156e-05	4.426345609065156e-05	20194.084056303116	0.00020265981599632148	13	8.852691218130312e-05	5.901794145420208e-05			
14	TrialState.COMPLETE	0.0002655807365439094	2020-01-11 22:16:49.534358	2020-01-11 22:46:57.508551	1.2592999137966883	350.0	36.0	0.0018443004929742672	0.013254766378945813	2000.0	0.997914854171367	8.852691218130312e-05	0.0002655807365439094	8.852691218130312e-05	0.0001327903682719547	20231.24634826487	0.0003318193522778219	8.852691218130312e-05	0.0002655807365439094	8.852691218130312e-05	0.0001327903682719547	20231.246060552407	0.0003318193532260055	8.852691218130312e-05	0.0002655807365439094	8.852691218130312e-05	0.0001327903682719547	20231.24663597734	0.00033181935132971214	14	0.0003541076487252125	0.0002950897072710104			
15	TrialState.COMPLETE	0.0003541076487252125	2020-01-11 22:46:57.509579	2020-01-11 23:13:53.757727	6.413640192584696	350.0	21.0	0.0075518784763764215	0.03574685935800983	800.0	1.0001027192178449	0.0	0.0003541076487252125	8.852691218130312e-05	0.0002213172804532578	20275.358445467424	0.00029637086193368714	0.0	0.0003541076487252125	8.852691218130312e-05	0.0002213172804532578	20275.35835694051	0.00029637086334764886	0.0	0.0003541076487252125	8.852691218130312e-05	0.0002213172804532578	20275.358533994335	0.00029637086051997105	15	0.0005311614730878187	0.00041312559017941453			
16	TrialState.COMPLETE	0.0003541076487252125	2020-01-11 23:13:53.758492	2020-01-11 23:33:38.023742	6.758926553008405	150.0	46.0	0.023508861286494008	0.021890820976671638	1500.0	0.9949960683404679	4.426345609065156e-05	0.0003541076487252125	4.426345609065156e-05	0.0001327903682719547	20171.990660410764	0.0003105576097644859	4.426345609065156e-05	0.0003541076487252125	4.426345609065156e-05	0.0001327903682719547	20171.99048335694	0.0003105576102959743	4.426345609065156e-05	0.0003541076487252125	4.426345609065156e-05	0.0001327903682719547	20171.99083746459	0.0003105576092330305	16	0.00017705382436260624	0.0002950897072710104			
17	TrialState.COMPLETE	0.0002655807365439094	2020-01-11 23:33:38.024610	2020-01-12 00:10:54.473031	8.365078806015074	450.0	36.0	0.0010504430805365846	0.010324174979943403	1800.0	0.9937617373687474	0.0	0.0002655807365439094	0.0	0.0001327903682719547	20146.800969369688	0.0002882596122971979	0.0	0.0002655807365439094	0.0	0.0001327903682719547	20146.800902974504	0.00028825961326723617	0.0	0.0002655807365439094	0.0	0.0001327903682719547	20146.80103576487	0.0002882596113273393	17	0.0003541076487252125	0.0002950897072710104			
18	TrialState.COMPLETE	0.00017705382436260624	2020-01-12 00:10:54.473819	2020-01-12 00:26:25.246704	8.564346821096597	150.0	1.0	0.010165096735866715	0.05912647039132744	700.0	0.9888004740801962	4.426345609065156e-05	0.00017705382436260624	4.426345609065156e-05	8.852691218130312e-05	20046.114066926344	0.00024574938560931533	4.426345609065156e-05	0.00017705382436260624	4.426345609065156e-05	8.852691218130312e-05	20046.113712818697	0.00024574939113974583	4.426345609065156e-05	0.00017705382436260624	4.426345609065156e-05	8.852691218130312e-05	20046.114421033995	0.0002457493800802135	18	0.0003541076487252125	0.00023607176581680832			
19	TrialState.COMPLETE	0.0001327903682719547	2020-01-12 00:26:25.247674	2020-01-12 00:41:47.159889	1.4376252641328546	150.0	1.0	0.08483237199192425	0.032032465788556785	800.0	0.9990084997111937	4.426345609065156e-05	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20253.26197326487	0.000215132113507969	4.426345609065156e-05	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20253.261818342777	0.0002151321145074207	4.426345609065156e-05	0.0001327903682719547	4.426345609065156e-05	4.426345609065156e-05	20253.26212818697	0.0002151321125086195	19	8.852691218130312e-05	0.00011803588290840416			
20	TrialState.COMPLETE	0.000796742209631728	2020-01-12 00:41:47.160659	2020-01-12 01:19:07.967804	9.851383054197902	450.0	36.0	0.017117987599064577	0.013175795967932084	1900.0	0.9970939952410677	0.0001327903682719547	0.000796742209631728	0.0003098441926345609	0.0004868980169971671	20214.50929532578	0.0005322817583969958	0.0001327903682719547	0.000796742209631728	0.0003098441926345609	0.0004868980169971671	20214.50916253541	0.0005322817590199043	0.0001327903682719547	0.000796742209631728	0.0003098441926345609	0.0004868980169971671	20214.509428116147	0.0005322817577741485	20	0.0012393767705382436	0.0009442870632672333			
21	TrialState.COMPLETE	0.0004868980169971671	2020-01-12 01:19:07.968763	2020-01-12 01:41:38.250385	5.434401162215362	250.0	26.0	0.0042130840489629316	0.0326555203756407	1600.0	1.0033292416314934	0.0	0.0004868980169971671	8.852691218130312e-05	0.0002655807365439094	20340.743515403683	0.00031903034687786556	0.0	0.0004868980169971671	8.852691218130312e-05	0.0002655807365439094	20340.743360481585	0.00031903034968858	0.0	0.0004868980169971671	8.852691218130312e-05	0.0002655807365439094	20340.74367032578	0.00031903034406766416	21	0.0004426345609065156	0.00047214353163361664			
22	TrialState.COMPLETE	0.0002213172804532578	2020-01-12 01:41:38.251181	2020-01-12 02:11:41.334440	1.5809296207516914	450.0	16.0	0.0011731791918196284	0.02225427877506297	1900.0	0.9921668767835976	0.0	0.0002213172804532578	0.0	0.0	20114.36709897309	0.00022562076658815276	0.0	0.0002213172804532578	0.0	0.0	20114.36685552408	0.00022562076715592326	0.0	0.0002213172804532578	0.0	0.0	20114.367342422098	0.0002256207660204183	22	0.0002655807365439094	0.00023607176581680832			
23	TrialState.COMPLETE	0.0003541076487252125	2020-01-12 02:11:41.335295	2020-01-12 02:34:58.094851	7.891348098429301	250.0	31.0	0.016527536864026415	0.08275572056393656	1000.0	1.0011183243117114	0.0	0.0003541076487252125	4.426345609065156e-05	4.426345609065156e-05	20295.840208923513	0.0002697003278561034	0.0	0.0003541076487252125	4.426345609065156e-05	4.426345609065156e-05	20295.840208923513	0.0002697003278561034	0.0	0.0003541076487252125	4.426345609065156e-05	4.426345609065156e-05	20295.840208923513	0.0002697003278561034	23	0.0003541076487252125	0.0003541076487252125			
24	TrialState.COMPLETE	0.0003541076487252125	2020-01-12 02:34:58.095590	2020-01-12 02:50:09.494388	7.587378193972967	50.0	16.0	0.08157632840695823	0.011973145652284807	2000.0	0.9949300212376394	0.0	0.0003541076487252125	8.852691218130312e-05	0.0002213172804532578	20170.46863934136	0.00028660585227896637	0.0	0.0003541076487252125	8.852691218130312e-05	0.0002213172804532578	20170.468440155808	0.0002866059007408134	0.0	0.0003541076487252125	8.852691218130312e-05	0.0002213172804532578	20170.46883852691	0.0002866058038666781	24	0.0003541076487252125	0.0003541076487252125			
25	TrialState.COMPLETE	0.00017705382436260624	2020-01-12 02:50:09.495212	2020-01-12 03:06:07.374332	3.5327407064711416	50.0	46.0	0.011437976037950224	0.036089981970643024	1400.0	0.9958510326957093	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20189.17570378895	0.0002380254962836319	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20189.175637393768	0.00023802549780178826	0.0	0.00017705382436260624	0.0	4.426345609065156e-05	20189.175770184134	0.00023802549476583133	25	0.0003541076487252125	0.00023607176581680832			
26	TrialState.COMPLETE	0.0002213172804532578	2020-01-12 03:06:07.375121	2020-01-12 03:24:56.336487	8.087776520162567	150.0	36.0	0.07204565983872473	0.07203722376969206	700.0	1.005907781667297	0.0	0.0002213172804532578	8.852691218130312e-05	8.852691218130312e-05	20392.913907577902	0.0002873768823416047	0.0	0.0002213172804532578	8.852691218130312e-05	8.852691218130312e-05	20392.91381905099	0.0002873768828418049	0.0	0.0002213172804532578	8.852691218130312e-05	8.852691218130312e-05	20392.913996104817	0.0002873768818414515	26	0.0004426345609065156	0.0002950897072710104			
27	TrialState.COMPLETE	0.0002655807365439094	2020-01-12 03:24:56.337288	2020-01-12 03:45:44.607336	3.984480643021238	250.0	6.0	0.06087498709702364	0.045439404213131473	700.0	0.9905784499198398	4.426345609065156e-05	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20082.258808427763	0.00030060130525236224	4.426345609065156e-05	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20082.258764164308	0.00030060130542249145	4.426345609065156e-05	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20082.25885269122	0.00030060130508224604	27	0.0003541076487252125	0.0002950897072710104			
28	TrialState.COMPLETE	0.0001327903682719547	2020-01-12 03:45:44.608207	2020-01-12 04:11:28.615231	0.7765426963996604	350.0	16.0	0.007213056585989329	0.049669447838700205	800.0	0.9926442617544304	0.0	0.0001327903682719547	0.0	4.426345609065156e-05	20124.234861898018	0.0002347193810705799	0.0	0.0001327903682719547	0.0	4.426345609065156e-05	20124.234773371103	0.00023471941177854845	0.0	0.0001327903682719547	0.0	4.426345609065156e-05	20124.23495042493	0.0002347193503881318	28	8.852691218130312e-05	0.00011803588290840416			
29	TrialState.COMPLETE	0.0003541076487252125	2020-01-12 04:11:28.616071	2020-01-12 04:30:49.292687	6.697244880293102	150.0	41.0	0.0011885409841898718	0.03792446339028834	800.0	0.9990539271095152	0.0	0.0003541076487252125	0.0002655807365439094	0.0003098441926345609	20254.34523282578	0.0003591107659396926	0.0	0.0003541076487252125	0.0002655807365439094	0.0003098441926345609	20254.345077903683	0.00035911077122280344	0.0	0.0003541076487252125	0.0002655807365439094	0.0003098441926345609	20254.345387747875	0.0003591107606586013	29	0.00017705382436260624	0.0002950897072710104			
30	TrialState.COMPLETE	0.000398371104815864	2020-01-12 04:30:49.293742	2020-01-12 04:59:31.166614	7.0811308874455365	350.0	31.0	0.05286017177092048	0.029907230265149676	1300.0	0.9958500832016767	0.0	0.000398371104815864	4.426345609065156e-05	0.00017705382436260624	20189.048822592067	0.00031098636554836823	0.0	0.000398371104815864	4.426345609065156e-05	0.00017705382436260624	20189.04877832861	0.00031098636575368214	0.0	0.000398371104815864	4.426345609065156e-05	0.00017705382436260624	20189.048866855523	0.0003109863653430704	30	0.0004426345609065156	0.00041312559017941453			
31	TrialState.COMPLETE	0.09724681303116148	2020-01-12 04:59:31.167407	2020-01-12 05:14:43.232194	5.060057413325186	150.0	1.0	0.03383156560722355	0.010059937383953948	1200.0	0.3637383075688199	0.05231940509915014	0.09724681303116148	0.06909525495750708	0.07918732294617564	7373.311437677054	0.06962476009770913	0.05231940509915014	0.09724681303116148	0.06909525495750708	0.07918732294617564	7373.311172096317	0.06962476014223351	0.05231940509915014	0.09724681303116148	0.06909525495750708	0.07918732294617564	7373.31170325779	0.06962476005321891	31	0.14934490084985835	0.11461284230406044			
32	TrialState.COMPLETE	0.14933225414811818	2020-01-12 05:14:43.232953	2020-01-12 05:59:43.785706	4.067233860222129	250.0	1.0	0.00753970182124374	0.01027448965155632	500.0	0.36767026473615033	0.03950829623634156	0.14933225414811818	0.08116653176851477	0.10683933630109267	7453.016592472683	0.07666834519437987	0.03950829623634156	0.14933225414811818	0.08116653176851477	0.10683933630109267	7453.0164912990695	0.07666834519497262	0.03950829623634156	0.14933225414811818	0.08116653176851477	0.10683933630109267	7453.016693646297	0.0766683451937872	32				0.14872521246458922	0.14907932011331446
33	TrialState.COMPLETE	0.10760446175637393	2020-01-12 05:59:43.786485	2020-01-12 06:25:23.971891	6.91517514533164	450.0	1.0	0.034402731991452544	0.023620585252120255	1500.0	0.36548054842953054	0.06719192634560907	0.10760446175637393	0.0812234419263456	0.09140403682719547	7408.587199008499	0.08254267508226487	0.06719192634560907	0.10760446175637393	0.0812234419263456	0.09140403682719547	7408.586933427762	0.08254267561551806	0.06719192634560907	0.10760446175637393	0.0812234419263456	0.09140403682719547	7408.587464589235	0.08254267455080347	33	0.17395538243626063	0.12972143531633618			
34	TrialState.COMPLETE	0.0003098441926345609	2020-01-12 06:25:23.972645	2020-01-12 06:50:40.266903	8.161852302822545	250.0	46.0	0.006961864919271347	0.010013064504979055	1800.0	1.0033859503546703	8.852691218130312e-05	0.0003098441926345609	8.852691218130312e-05	0.0001327903682719547	20341.916961756375	0.00034986243271902944	8.852691218130312e-05	0.0003098441926345609	8.852691218130312e-05	0.0001327903682719547	20341.916740439094	0.00034986243707438254	8.852691218130312e-05	0.0003098441926345609	8.852691218130312e-05	0.0001327903682719547	20341.917183073656	0.0003498624283648692	34	8.852691218130312e-05	0.00023607176581680832			
35	TrialState.COMPLETE	0.00017705382436260624	2020-01-12 06:50:40.267887	2020-01-12 07:13:51.730058	7.893795889008285	250.0	31.0	0.0026363377957777283	0.01343892051192895	700.0	0.9958520242892006	0.0	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20189.41893148017	0.00025871311918794287	0.0	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20189.418865084986	0.0002587131331823752	0.0	0.00017705382436260624	8.852691218130312e-05	8.852691218130312e-05	20189.418997875353	0.0002587131052045633	35	0.00017705382436260624	0.00017705382436260624			
36	TrialState.COMPLETE	4.426345609065156e-05	2020-01-12 07:13:51.731031	2020-01-12 07:44:54.928269	4.988212757600584	350.0	41.0	0.03496582906845292	0.037226050021533966	1100.0	0.9959654532371018	0.0	4.426345609065156e-05	4.426345609065156e-05	4.426345609065156e-05	20191.6081134915	0.00022190203104262835	0.0	4.426345609065156e-05	4.426345609065156e-05	4.426345609065156e-05	20191.608047096317	0.00022190203109547155	0.0	4.426345609065156e-05	4.426345609065156e-05	4.426345609065156e-05	20191.608179886687	0.00022190203098978664	36	8.852691218130312e-05	5.901794145420208e-05			
37	TrialState.COMPLETE	0.00017705382436260624	2020-01-12 07:44:54.929019	2020-01-12 08:10:30.112012	4.35724070530141	350.0	16.0	0.004061396747719637	0.010756387436436568	600.0	0.9862732263727608	4.426345609065156e-05	0.00017705382436260624	4.426345609065156e-05	0.00017705382436260624	19994.829297981585	0.0002941301077860525	4.426345609065156e-05	0.00017705382436260624	4.426345609065156e-05	0.00017705382436260624	19994.82914305949	0.0002941301137227217	4.426345609065156e-05	0.00017705382436260624	4.426345609065156e-05	0.00017705382436260624	19994.829452903683	0.0002941301018514948	37	0.00017705382436260624	0.00017705382436260624			
38	TrialState.COMPLETE	8.852691218130312e-05	2020-01-12 08:10:30.113074	2020-01-12 08:25:58.585706	9.567769015051766	50.0	21.0	0.0013376304603128593	0.02178576609592601	500.0	1.0104451449207603	0.0	8.852691218130312e-05	0.0	0.0	20485.151735127478	0.00021155192711001726	0.0	8.852691218130312e-05	0.0	0.0	20485.151646600567	0.00021155192751520598	0.0	8.852691218130312e-05	0.0	0.0	20485.151823654393	0.00021155192670487135	38	0.0	5.901794145420208e-05			
39	TrialState.COMPLETE	0.000398371104815864	2020-01-12 08:25:58.586485	2020-01-12 08:41:02.746702	1.9105386453260977	50.0	11.0	0.00587272599908102	0.07897224755341872	700.0	0.9864416281478967	0.0	0.000398371104815864	4.426345609065156e-05	4.426345609065156e-05	19998.312765580737	0.00025011875806459495	0.0	0.000398371104815864	4.426345609065156e-05	4.426345609065156e-05	19998.312677053826	0.000250118770745197	0.0	0.000398371104815864	4.426345609065156e-05	4.426345609065156e-05	19998.312854107648	0.00025011874539332597	39	0.0002655807365439094	0.0003541076487252125			
40	TrialState.COMPLETE	8.852691218130312e-05	2020-01-12 08:41:02.747501	2020-01-12 08:58:15.159762	4.530131992666487	150.0	11.0	0.04228643020735954	0.013842039733398998	1700.0	0.9908164911340894	0.0	8.852691218130312e-05	0.0	4.426345609065156e-05	20087.21467776204	0.00022037415474827858	0.0	8.852691218130312e-05	0.0	4.426345609065156e-05	20087.214633498585	0.0002203741547783777	0.0	8.852691218130312e-05	0.0	4.426345609065156e-05	20087.214722025496	0.0002203741547181802	40	0.00017705382436260624	0.00011803588290840416			
41	TrialState.COMPLETE	0.0001327903682719547	2020-01-12 08:58:15.160753	2020-01-12 09:23:48.557721	4.07946791440852	350.0	16.0	0.0011628575838342912	0.019637323694984363	1800.0	0.997443019288002	0.0	0.0001327903682719547	0.0001327903682719547	0.0001327903682719547	20221.418798689803	0.0002515922651802644	0.0	0.0001327903682719547	0.0001327903682719547	0.0001327903682719547	20221.418643767705	0.0002515922653313416	0.0	0.0001327903682719547	0.0001327903682719547	0.0001327903682719547	20221.418953611897	0.000251592265029192	41	8.852691218130312e-05	0.00011803588290840416			
42	TrialState.COMPLETE	0.0002655807365439094	2020-01-12 09:23:48.558508	2020-01-12 09:39:43.966018	5.939981055343807	50.0	46.0	0.006712398417523794	0.06437819279628523	1600.0	1.0005932830084172	0.0	0.0002655807365439094	0.0001327903682719547	0.0001327903682719547	20285.388168378187	0.0002927956905648907	0.0	0.0002655807365439094	0.0001327903682719547	0.0001327903682719547	20285.388057719545	0.00029279569180037896	0.0	0.0002655807365439094	0.0001327903682719547	0.0001327903682719547	20285.388279036826	0.0002927956893296557	42	0.00017705382436260624	0.00023607176581680832			
43	TrialState.COMPLETE	4.426345609065156e-05	2020-01-12 09:39:43.966902	2020-01-12 09:55:02.486942	6.5522735985672265	50.0	16.0	0.04803976750386254	0.021767613632669432	1000.0	0.99759523417091	0.0	4.426345609065156e-05	0.0	0.0	20224.7434490085	0.00019588970351819412	0.0	4.426345609065156e-05	0.0	0.0	20224.743404745044	0.00019588971471988495	0.0	4.426345609065156e-05	0.0	0.0	20224.743493271955	0.0001958896923244414	43	8.852691218130312e-05	5.901794145420208e-05			
44	TrialState.COMPLETE	0.0002213172804532578	2020-01-12 09:55:02.487713	2020-01-12 10:09:55.845964	8.51809169045756	50.0	6.0	0.004042627157998125	0.03128173271711903	2000.0	1.0003653361474523	0.0	0.0002213172804532578	8.852691218130312e-05	0.0001327903682719547	20280.776093307366	0.00023353594423170318	0.0	0.0002213172804532578	8.852691218130312e-05	0.0001327903682719547	20280.775982648724	0.00023353594438942063	0.0	0.0002213172804532578	8.852691218130312e-05	0.0001327903682719547	20280.776203966005	0.00023353594407399267	44	8.852691218130312e-05	0.00017705382436260624			
45	TrialState.COMPLETE	8.852691218130312e-05	2020-01-12 10:09:55.846904	2020-01-12 10:42:13.150962	8.191961328523082	350.0	46.0	0.007413879400459588	0.04409816239429378	600.0	1.0000264951588562	0.0	8.852691218130312e-05	0.0	0.0	20273.89445378895	0.00023309172185769617	0.0	8.852691218130312e-05	0.0	0.0	20273.894387393768	0.00023309172200853152	0.0	8.852691218130312e-05	0.0	0.0	20273.894520184134	0.00023309172170686882	45	0.00017705382436260624	0.00011803588290840416			
