number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.9489700374531835	2020-05-17 13:26:17.821974	2020-05-17 14:10:40.778829	128	0.11039324367071651	0.274516908302297	38	0.18063362598028965	73	256	0.07969668179781836	0.3904494382022472	0.9489700374531835	0.7158239700374532	0.8431647940074907	3.8398876404494384	0.5796803771140956	0.3904494382022472	0.9489700374531835	0.7158239700374532	0.8431647940074907	3.8398876404494384	0.5796803771140956		614971162.0	650.0	0.3904494382022472	0.9489700374531835	0.7158239700374532	0.8431647940074907	3.8398876404494384	0.5796803771140956	0		COMPLETE
1		2020-05-17 14:10:40.811992	2020-05-17 14:10:41.731493	256	0.2952954759006321	0.4577879417755018	58	0.4253946412510977	78	512														The current model can't be trained on this hardware with these parameters.									1	Setting status of trial#1 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
2		2020-05-17 14:10:41.744738	2020-05-17 14:10:42.676407	256	0.19613330223726633	0.13474233329508822	44	0.2942618019062791	64	512														The current model can't be trained on this hardware with these parameters.									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3	0.9363295880149812	2020-05-17 14:10:42.688402	2020-05-17 14:23:26.945744	128	0.0836992606189575	0.25985319753837394	40	0.4683925959100405	25	512	0.08432234970029541	0.36563670411985016	0.9363295880149812	0.6811797752808989	0.8038389513108615	4.082397003745318	0.5564343442187645	0.36563670411985016	0.9363295880149812	0.6811797752808989	0.8038389513108615	4.082397003745318	0.5564343442187645		4012330537.0	500.0	0.36563670411985016	0.9363295880149812	0.6811797752808989	0.8038389513108615	4.082397003745318	0.5564343442187645	3		COMPLETE
4	0.8923220973782772	2020-05-17 14:23:26.971335	2020-05-17 14:38:49.378589	64	0.27961482940773896	0.19535714489919553	41	0.3659535636504373	33	512	0.10077561935399439	0.3155430711610487	0.8923220973782772	0.6100187265917603	0.7485955056179775	4.862827715355805	0.5023875279127608	0.3155430711610487	0.8923220973782772	0.6100187265917603	0.7485955056179775	4.862827715355805	0.5023875279127608		1251741617.0	700.0	0.3155430711610487	0.8923220973782772	0.6100187265917603	0.7485955056179775	4.862827715355805	0.5023875279127608	4		COMPLETE
5	0.9499063670411985	2020-05-17 14:38:49.415591	2020-05-17 14:52:33.246083	128	0.11557756274821368	0.24097820575569995	51	0.13467398982303652	33	256	0.07345564320355598	0.397940074906367	0.9499063670411985	0.7368913857677902	0.8586142322097379	3.5430711610486894	0.5903733989001144	0.397940074906367	0.9499063670411985	0.7368913857677902	0.8586142322097379	3.5430711610486894	0.5903733989001144		1937222039.0	350.0	0.397940074906367	0.9499063670411985	0.7368913857677902	0.8586142322097379	3.5430711610486894	0.5903733989001144	5		COMPLETE
6	0.9358614232209738	2020-05-17 14:52:33.356524	2020-05-17 15:35:06.017122	64	0.3301142272777999	0.24051314797671464	22	0.30395013566921136	89	256	0.08452393532964342	0.3693820224719101	0.9358614232209738	0.6966292134831461	0.8150749063670412	4.083333333333333	0.5614743268676637	0.3693820224719101	0.9358614232209738	0.6966292134831461	0.8150749063670412	4.083333333333333	0.5614743268676637		670160577.0		0.3693820224719101	0.9358614232209738	0.6966292134831461	0.8150749063670412	4.083333333333333	0.5614743268676637	6		COMPLETE
7	0.9592696629213483	2020-05-17 15:35:06.059176	2020-05-17 16:02:32.180226	128	0.1655766931693058	0.27704901857149267	60	0.11497802415682679	34	512	0.06975818317024253	0.4208801498127341	0.9592696629213483	0.7724719101123596	0.8796816479400749	3.368445692883895	0.6157049819396266	0.4208801498127341	0.9592696629213483	0.7724719101123596	0.8796816479400749	3.368445692883895	0.6157049819396266		2470480380.0	600.0	0.4208801498127341	0.9592696629213483	0.7724719101123596	0.8796816479400749	3.368445692883895	0.6157049819396266	7		COMPLETE
8	0.9447565543071161	2020-05-17 16:02:32.213171	2020-05-17 16:10:27.770158	256	0.002943685691642939	0.42161765212901053	49	0.47119166775208393	5	512	0.0832211782140762	0.3970037453183521	0.9447565543071161	0.7270599250936329	0.8445692883895131	3.9929775280898876	0.588957188214633	0.3970037453183521	0.9447565543071161	0.7270599250936329	0.8445692883895131	3.9929775280898876	0.588957188214633		1054462063.0	400.0	0.3970037453183521	0.9447565543071161	0.7270599250936329	0.8445692883895131	3.9929775280898876	0.588957188214633	8		COMPLETE
9	0.9077715355805244	2020-05-17 16:10:27.809617	2020-05-17 16:15:49.995457	64	0.1757191690348291	0.011048470792698606	62	0.34645620432931146	14	512	0.10405979277077741	0.2640449438202247	0.9077715355805244	0.5617977528089888	0.7176966292134831	5.036985018726591	0.4608996760803003	0.2640449438202247	0.9077715355805244	0.5617977528089888	0.7176966292134831	5.036985018726591	0.4608996760803003		63188725.0	350.0	0.2640449438202247	0.9077715355805244	0.5617977528089888	0.7176966292134831	5.036985018726591	0.4608996760803003	9		COMPLETE
10	0.9204119850187266	2020-05-17 16:15:50.017392	2020-05-17 17:06:09.323488	64	0.09338219462779912	0.1663989168214664	36	0.35623204470951886	86	512	0.09192287113625654	0.31741573033707865	0.9204119850187266	0.6324906367041199	0.7663857677902621	4.443820224719101	0.5095845796858618	0.31741573033707865	0.9204119850187266	0.6324906367041199	0.7663857677902621	4.443820224719101	0.5095845796858618		1165407543.0		0.31741573033707865	0.9204119850187266	0.6324906367041199	0.7663857677902621	4.443820224719101	0.5095845796858618	10		COMPLETE
11	0.9461610486891385	2020-05-17 17:06:09.346831	2020-05-17 18:02:56.022003	256	0.4240112185055209	0.1292574622343326	41	0.25242463792432557	73	128	0.07682928272997368	0.38764044943820225	0.9461610486891385	0.7223782771535581	0.850187265917603	3.7036516853932584	0.5792317576600419	0.38764044943820225	0.9461610486891385	0.7223782771535581	0.850187265917603	3.7036516853932584	0.5792317576600419		3234129542.0	350.0	0.38764044943820225	0.9461610486891385	0.7223782771535581	0.850187265917603	3.7036516853932584	0.5792317576600419	11		COMPLETE
12	0.9339887640449438	2020-05-17 18:02:56.071824	2020-05-17 19:07:23.326088	256	0.4744791564774507	0.19783601502264242	30	0.4861753054894486	66	256	0.08284173543348713	0.38202247191011235	0.9339887640449438	0.7116104868913857	0.8338014981273408	4.00374531835206	0.5737943324757098	0.38202247191011235	0.9339887640449438	0.7116104868913857	0.8338014981273408	4.00374531835206	0.5737943324757098		2557348551.0	600.0	0.38202247191011235	0.9339887640449438	0.7116104868913857	0.8338014981273408	4.00374531835206	0.5737943324757098	12		COMPLETE
13	0.9372659176029963	2020-05-17 19:07:23.363615	2020-05-17 19:52:56.196051	256	0.23984863679209273	0.27503225616882804	18	0.2183370748936127	56	256	0.08580850610031646	0.36329588014981273	0.9372659176029963	0.6942883895131086	0.8239700374531835	4.15121722846442	0.5590586798484675	0.36329588014981273	0.9372659176029963	0.6942883895131086	0.8239700374531835	4.15121722846442	0.5590586798484675		2456919970.0	600.0	0.36329588014981273	0.9372659176029963	0.6942883895131086	0.8239700374531835	4.15121722846442	0.5590586798484675	13		COMPLETE
14	0.9339887640449438	2020-05-17 19:52:56.243643	2020-05-17 20:20:51.562416	64	0.06928933578644264	0.25777950329824784	56	0.022915272825113908	68	128	0.08539079189952811	0.33801498127340823	0.9339887640449438	0.6835205992509363	0.8211610486891385	4.132490636704119	0.5403001579718101	0.33801498127340823	0.9339887640449438	0.6835205992509363	0.8211610486891385	4.132490636704119	0.5403001579718101		544943221.0	450.0	0.33801498127340823	0.9339887640449438	0.6835205992509363	0.8211610486891385	4.132490636704119	0.5403001579718101	14		COMPLETE
15	0.9466292134831461	2020-05-17 20:20:51.605212	2020-05-17 21:54:06.098660	256	0.4105648429018616	0.0466714801765199	62	0.20328984092056784	64	256	0.07875958446078421	0.3506554307116105	0.9466292134831461	0.6877340823970037	0.8305243445692884	3.8080524344569286	0.5522772379825699	0.3506554307116105	0.9466292134831461	0.6877340823970037	0.8305243445692884	3.8080524344569286	0.5522772379825699		2579279029.0	500.0	0.3506554307116105	0.9466292134831461	0.6877340823970037	0.8305243445692884	3.8080524344569286	0.5522772379825699	15		COMPLETE
16	0.7439138576779026	2020-05-17 21:54:06.154000	2020-05-17 21:59:38.288402	64	0.4278377022601261	0.11212985949015425	56	0.489177299368081	14	256	0.16508270782847587	0.13249063670411984	0.7439138576779026	0.36282771535580527	0.5088951310861424	7.969101123595506	0.31107340562037034	0.13249063670411984	0.7439138576779026	0.36282771535580527	0.5088951310861424	7.969101123595506	0.31107340562037034		3130030742.0	300.0	0.13249063670411984	0.7439138576779026	0.36282771535580527	0.5088951310861424	7.969101123595506	0.31107340562037034	16		COMPLETE
17	0.9199438202247191	2020-05-17 21:59:38.310125	2020-05-17 22:22:55.681879	128	0.33645748929106956	0.02949290566881546	40	0.4350305327156905	44	512	0.0967799901285589	0.28792134831460675	0.9199438202247191	0.602996254681648	0.7584269662921348	4.666666666666667	0.487049598979579	0.28792134831460675	0.9199438202247191	0.602996254681648	0.7584269662921348	4.666666666666667	0.487049598979579		430951500.0	550.0	0.28792134831460675	0.9199438202247191	0.602996254681648	0.7584269662921348	4.666666666666667	0.487049598979579	17		COMPLETE
18	0.8773408239700374	2020-05-17 22:22:55.713750	2020-05-17 22:26:52.557047	128	0.2124441513518912	0.11153638612812528	40	0.19977691019730726	8	256	0.10928866362167794	0.23876404494382023	0.8773408239700374	0.5388576779026217	0.6961610486891385	5.28932584269663	0.43860026087851944	0.23876404494382023	0.8773408239700374	0.5388576779026217	0.6961610486891385	5.28932584269663	0.43860026087851944		3194166332.0	250.0	0.23876404494382023	0.8773408239700374	0.5388576779026217	0.6961610486891385	5.28932584269663	0.43860026087851944	18		COMPLETE
19		2020-05-17 22:26:52.584277	2020-05-17 22:26:53.875302	256	0.23620642566458538	0.29257721242555257	59	0.34593873554559534	78	256														The current model can't be trained on this hardware with these parameters.									19	Setting status of trial#19 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
20	0.9452247191011236	2020-05-17 22:26:53.887997	2020-05-17 23:03:24.438319	64	0.34122325288342226	0.2653577344166213	56	0.02512035302255866	46	512	0.07915552998875522	0.3637640449438202	0.9452247191011236	0.7055243445692884	0.8328651685393258	3.8202247191011236	0.5617631917402064	0.3637640449438202	0.9452247191011236	0.7055243445692884	0.8328651685393258	3.8202247191011236	0.5617631917402064		479512064.0	1000.0	0.3637640449438202	0.9452247191011236	0.7055243445692884	0.8328651685393258	3.8202247191011236	0.5617631917402064	20		COMPLETE
21	0.9330524344569289	2020-05-17 23:03:24.488505	2020-05-17 23:10:10.422816	128	0.25518380323937767	0.011021879452644212	63	0.3956756703511123	13	512	0.08879397597080202	0.28745318352059923	0.9330524344569289	0.6264044943820225	0.7851123595505618	4.292602996254682	0.49712113333409136	0.28745318352059923	0.9330524344569289	0.6264044943820225	0.7851123595505618	4.292602996254682	0.49712113333409136		1951610970.0	350.0	0.28745318352059923	0.9330524344569289	0.6264044943820225	0.7851123595505618	4.292602996254682	0.49712113333409136	21		COMPLETE
22	0.9218164794007491	2020-05-17 23:10:10.449950	2020-05-17 23:59:16.995678	256	0.3723365448604672	0.034881375168280326	30	0.36645480358643945	80	128	0.0936771709679483	0.27808988764044945	0.9218164794007491	0.5969101123595506	0.7579588014981273	4.527153558052435	0.47976876391392614	0.27808988764044945	0.9218164794007491	0.5969101123595506	0.7579588014981273	4.527153558052435	0.47976876391392614		2261527658.0	350.0	0.27808988764044945	0.9218164794007491	0.5969101123595506	0.7579588014981273	4.527153558052435	0.47976876391392614	22		COMPLETE
23		2020-05-17 23:59:17.022895	2020-05-17 23:59:17.934880	256	0.005298329859884099	0.4526879449225269	55	0.14499310098374513	95	256														The current model can't be trained on this hardware with these parameters.									23	Setting status of trial#23 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
24	0.9602059925093633	2020-05-17 23:59:17.949054	2020-05-18 00:59:43.309828	128	0.25487619185801813	0.3158641423899717	41	0.07584258469588168	63	512	0.07003771323511858	0.42743445692883897	0.9602059925093633	0.7584269662921348	0.8815543071161048	3.38061797752809	0.6157725998306582	0.42743445692883897	0.9602059925093633	0.7584269662921348	0.8815543071161048	3.38061797752809	0.6157725998306582		1728209622.0	900.0	0.42743445692883897	0.9602059925093633	0.7584269662921348	0.8815543071161048	3.38061797752809	0.6157725998306582	24		COMPLETE
25	0.9602059925093633	2020-05-18 00:59:43.347632	2020-05-18 02:03:02.489443	128	0.20109343190838075	0.3684067789348932	34	0.007935970139266668	65	512	0.07047920953918402	0.4307116104868914	0.9602059925093633	0.7687265917602997	0.8787453183520599	3.400749063670412	0.6192028843004052	0.4307116104868914	0.9602059925093633	0.7687265917602997	0.8787453183520599	3.400749063670412	0.6192028843004052		2584005476.0		0.4307116104868914	0.9602059925093633	0.7687265917602997	0.8787453183520599	3.400749063670412	0.6192028843004052	25		COMPLETE
