number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.056347930895942144	2020-05-17 20:18:05.763096	2020-05-17 20:48:06.920726	2.657409556132747	256	2	40	0.00601463642142232	4096	0.09299491058220861	0.026516673362796304	0.056347930895942144	0.035054238650060264	0.04258738449176376	5576.816392125352	0.038312714984397075	0.026516673362796304	0.056347930895942144	0.035054238650060264	0.04258738449176376	5576.81548814785	0.038312716857635376	2565389806	60	0.026516673362796304	0.056347930895942144	0.035054238650060264	0.04258738449176376	5576.817296102852	0.038312713119227855	0	COMPLETE
1	0.020590598633989553	2020-05-17 20:48:07.023558	2020-05-17 21:29:21.342486	8.984667535851415	64	2	41	0.07432342186838704	2048	0.2829063873647781	0.005524306950582563	0.020590598633989553	0.010445962233828847	0.013559662515066292	17099.122991161108	0.011608750299007577	0.005524306950582563	0.020590598633989553	0.010445962233828847	0.013559662515066292	17099.11751707513	0.011608792606174109	2975450360	100	0.005524306950582563	0.020590598633989553	0.010445962233828847	0.013559662515066292	17099.128465247086	0.01160870863702114	1	COMPLETE
2	0.035757332261952594	2020-05-17 21:29:21.409750	2020-05-17 22:00:15.847689	6.463854846181602	64	1	39	0.03735744706883088	1024	0.33730574259619134	0.023001205303334674	0.035757332261952594	0.03163921253515468	0.03284451586982724	20274.77586380072	0.029988200148469535	0.025311370028123746	0.035757332261952594	0.03163921253515468	0.03294495781438329	20268.227902772196	0.03077023545686771	2192363685	60	0.023001205303334674	0.035757332261952594	0.03163921253515468	0.03284451586982724	20281.323824829247	0.029592433535653075	2	COMPLETE
3	0.03495379670550422	2020-05-17 22:00:15.908269	2020-05-17 22:18:40.553892	2.6752081303324973	128	1	30	0.027053554676045248	8192	0.20903686334414098	0.020590598633989553	0.03495379670550422	0.02450783447167537	0.027621534752912815	12572.148352752109	0.026376530870142145	0.020590598633989553	0.03495379670550422	0.02450783447167537	0.027621534752912815	12571.805644837284	0.026377723000490263	2825989967	60	0.020590598633989553	0.03495379670550422	0.02450783447167537	0.027621534752912815	12572.491060666935	0.0263753734757845	3	COMPLETE
4	0.07352350341502611	2020-05-17 22:18:40.610578	2020-05-17 22:57:45.139342	4.866400897801323	128	2	3	0.0011541530677187776	1024	0.05656323403251573	0.02752109280835677	0.07352350341502611	0.04760948171956609	0.05614704700683005	3340.273252310165	0.0472690082564908	0.02752109280835677	0.07352350341502611	0.04760948171956609	0.05614704700683005	3340.272398553636	0.04726900840843683	2578949069	70	0.02752109280835677	0.07352350341502611	0.04760948171956609	0.05614704700683005	3340.2741060666935	0.04726900810467627	4	COMPLETE
5	0.18742466854158296	2020-05-17 22:57:45.244072	2020-05-17 23:19:54.347282	0.7628622972007879	64	2	29	0.0022041797547352254	4096	0.021333767434071647	0.057051024507834475	0.18742466854158296	0.10245078344716754	0.1338891120932101	1125.8268380875854	0.10239282311290399	0.057051024507834475	0.18742466854158296	0.10245078344716754	0.1338891120932101	1125.826436319807	0.10239282325144312	2431562773	70	0.057051024507834475	0.18742466854158296	0.10245078344716754	0.1338891120932101	1125.8272398553636	0.10239282297454858	5	COMPLETE
6	0.06548814785054238	2020-05-17 23:19:54.457275	2020-05-17 23:43:20.147299	8.054485818600021	64	2	1	0.0021618879953821993	2048	0.06198765022253047	0.027721976697468863	0.06548814785054238	0.04550020088388911	0.05273202089192447	3677.657693852953	0.04474805956304925	0.027721976697468863	0.06548814785054238	0.04550020088388911	0.05273202089192447	3677.6568903173966	0.044748059766931886	1231600957	70	0.027721976697468863	0.06548814785054238	0.04550020088388911	0.05273202089192447	3677.6584973885097	0.04474805935948462	6	COMPLETE
7	0.439734833266372	2020-05-17 23:43:20.214561	2020-05-18 01:17:37.925606	1.8759240333246245	128	1	32	0.0013735776405160347	2048	0.0328713147493553	0.008135797509039776	0.439734833266372	0.24206508638007232	0.33587786259541985	1546.5871836078747	0.16090839599665238	0.008135797509039776	0.439734833266372	0.24206508638007232	0.33587786259541985	1546.5856769787063	0.16090846627011224	1267614682	200	0.008135797509039776	0.439734833266372	0.24206508638007232	0.33587786259541985	1546.588690237043	0.16090832815313408	7	COMPLETE
8	0.026516673362796304	2020-05-18 01:17:38.030448	2020-05-18 01:58:47.147138	8.19980224789878	128	2	17	0.011199772187239884	1024	0.2255611598006349	0.014865407794294898	0.026516673362796304	0.01858175974286862	0.02099236641221374	13655.29650462033	0.019805773137505516	0.014865407794294898	0.026516673362796304	0.01858175974286862	0.02099236641221374	13655.293190036158	0.019805776334377176	1082925418	70	0.014865407794294898	0.026516673362796304	0.01858175974286862	0.02099236641221374	13655.2998192045	0.019805769956404144	8	COMPLETE
9	0.017376456408196062	2020-05-18 01:58:47.210255	2020-05-18 02:23:07.885906	3.432188182915101	64	2	46	0.07758178074068828	2048	0.2841442556192896	0.003314584170349538	0.017376456408196062	0.007432703897147449	0.011651265568501407	17188.19777018883	0.008898212559849288	0.003314584170349538	0.017376456408196062	0.007432703897147449	0.011651265568501407	17188.191341904378	0.008898263729939434	333459060	60	0.003314584170349538	0.017376456408196062	0.007432703897147449	0.011651265568501407	17188.204198473282	0.008898162680424121	9	COMPLETE
