number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0997191011235955	2020-03-07 12:09:45.942880	2020-03-07 12:10:17.678102	0.5365676572693979	7.30741546833605	64	1	68	0.007608327872055092	512	1.020669845520599	0.0	0.0997191011235955	0.025749063670411985	0.04588014981273408	49.256554307116104	0.04428272472318661	0.0	0.0997191011235955	0.025749063670411985	0.04588014981273408	49.256554307116104	0.04428272472318661	2921155276	250.0	0.0	0.0997191011235955	0.025749063670411985	0.04588014981273408	49.256554307116104	0.04428272472318661	0	COMPLETE
1	0.08895131086142322	2020-03-07 12:10:17.696283	2020-03-07 12:10:45.770585	0.3703396653340044	14.801577839771815	256	1	76	0.01502969276266321	512	1.0597613011329863	0.0	0.08895131086142322	0.019194756554307114	0.03932584269662921	51.094569288389515	0.0415398396131643	0.0	0.08895131086142322	0.019194756554307114	0.03932584269662921	51.094569288389515	0.0415398396131643	4260656935	200.0	0.0	0.08895131086142322	0.019194756554307114	0.03932584269662921	51.094569288389515	0.0415398396131643	1	COMPLETE
2	0.08754681647940075	2020-03-07 12:10:45.780916	2020-03-07 12:11:03.639106	0.22270622575667487	10.215772345494974	256	1	47	0.025891956326428822	512	1.06478946877483	0.0	0.08754681647940075	0.01638576779026217	0.0351123595505618	51.34035580524345	0.039817026097347406	0.0	0.08754681647940075	0.01638576779026217	0.0351123595505618	51.34035580524345	0.039817026097347406	108645959	150.0	0.0	0.08754681647940075	0.01638576779026217	0.0351123595505618	51.34035580524345	0.039817026097347406	2	COMPLETE
3	0.08848314606741572	2020-03-07 12:11:03.649647	2020-03-07 12:11:20.519400	0.5444625773653734	15.531488753902867	64	2	82	0.0019063312346112235	512	0.9992465156057243	0.0	0.08848314606741572	0.023876404494382022	0.046348314606741575	48.25421348314607	0.044773441240625336	0.0	0.08848314606741572	0.023876404494382022	0.046348314606741575	48.25421348314607	0.044773441240625336	3229104235	150.0	0.0	0.08848314606741572	0.023876404494382022	0.046348314606741575	48.25421348314607	0.044773441240625336	3	COMPLETE
4	0.08661048689138577	2020-03-07 12:11:20.531341	2020-03-07 12:12:12.664508	0.7983923594163951	3.238176459792682	128	1	35	0.00834915133151408	128	1.0181416781176202	0.0	0.08661048689138577	0.019194756554307114	0.04073033707865169	49.07373595505618	0.041933808967518894	0.0	0.08661048689138577	0.019194756554307114	0.04073033707865169	49.07350187265918	0.04193384194616035	2034541401	150.0	0.0	0.08661048689138577	0.019194756554307114	0.04073033707865169	49.073970037453186	0.041933776376861465	4	COMPLETE
5	0.10112359550561797	2020-03-07 12:12:12.677075	2020-03-07 12:12:28.313594	0.1905787681898271	23.408356831327417	64	2	69	0.01101030290882859	512	1.012636528777705	0.0	0.10112359550561797	0.02200374531835206	0.042134831460674156	48.855805243445694	0.04478738442784885	0.0	0.10112359550561797	0.02200374531835206	0.042134831460674156	48.855805243445694	0.04478738442784885	4094088354	150.0	0.0	0.10112359550561797	0.02200374531835206	0.042134831460674156	48.855805243445694	0.04478738442784885	5	COMPLETE
6	0.10112359550561797	2020-03-07 12:12:28.328165	2020-03-07 12:12:57.328974	0.3947225234978532	10.12115184369764	256	2	20	0.002533178731906878	256	1.0100355240104768	0.0	0.10112359550561797	0.019194756554307114	0.03838951310861423	48.74859550561798	0.04347571234564931	0.0	0.10112359550561797	0.019194756554307114	0.03838951310861423	48.74859550561798	0.04347571234564931	2164024732	150.0	0.0	0.10112359550561797	0.019194756554307114	0.03838951310861423	48.74859550561798	0.04347571234564931	6	COMPLETE
7	0.0852059925093633	2020-03-07 12:12:57.340969	2020-03-07 12:13:14.791080	0.41305832933054654	5.693976533032427	128	1	100	0.02391771528668735	512	1.0114076958432068	0.0	0.0852059925093633	0.02294007490636704	0.039794007490636704	48.81226591760299	0.04320375062204119	0.0	0.0852059925093633	0.02294007490636704	0.039794007490636704	48.81226591760299	0.04320375062204119	1425479043	150.0	0.0	0.0852059925093633	0.02294007490636704	0.039794007490636704	48.81226591760299	0.04320375062204119	7	COMPLETE
8	0.08333333333333333	2020-03-07 12:13:14.801564	2020-03-07 12:14:08.114017	0.16266676370163552	18.118567115461516	256	1	19	0.006997933800453048	128	1.0357646178837852	0.0	0.08333333333333333	0.01544943820224719	0.037921348314606744	49.88998127340824	0.04067801526372125	0.0	0.08333333333333333	0.01544943820224719	0.037921348314606744	49.88998127340824	0.04067801526372125	2775054410	150.0	0.0	0.08333333333333333	0.01544943820224719	0.037921348314606744	49.88998127340824	0.04067801526372125	8	COMPLETE
9	0.10486891385767791	2020-03-07 12:14:08.126661	2020-03-07 12:14:25.238240	0.8050108894921619	22.354096721659722	64	2	87	0.0026415145747482873	512	1.0175657815122034	0.0	0.10486891385767791	0.024344569288389514	0.04588014981273408	49.06928838951311	0.04571685426238047	0.0	0.10486891385767791	0.024344569288389514	0.04588014981273408	49.068820224719104	0.045720521729799596	1032887666	150.0	0.0	0.10486891385767791	0.024344569288389514	0.04588014981273408	49.06975655430712	0.04571357610312082	9	COMPLETE
10	0.10720973782771535	2020-03-07 12:14:25.256686	2020-03-07 12:14:42.882159	0.42461578874146455	9.67355936515797	256	2	45	0.005217337044403278	512	1.0053018792898636	0.0	0.10720973782771535	0.023876404494382022	0.042134831460674156	48.510299625468164	0.04580501320700404	0.0	0.10720973782771535	0.023876404494382022	0.042134831460674156	48.510299625468164	0.04580501320700404	4253266599	150.0	0.0	0.10720973782771535	0.023876404494382022	0.042134831460674156	48.510299625468164	0.04580501320700404	10	COMPLETE
11	0.08426966292134831	2020-03-07 12:14:42.897647	2020-03-07 12:14:59.150524	0.5543348405478202	13.991010289697698	64	2	20	0.03383995893789913	512	1.0439414583191917	0.0009363295880149813	0.08426966292134831	0.01451310861423221	0.0351123595505618	50.301029962546814	0.04070769315181771	0.0009363295880149813	0.08426966292134831	0.01451310861423221	0.0351123595505618	50.301029962546814	0.04070769315181771	271933546	150.0	0.0009363295880149813	0.08426966292134831	0.01451310861423221	0.0351123595505618	50.301029962546814	0.04070769315181771	11	COMPLETE
12	0.10580524344569288	2020-03-07 12:14:59.162517	2020-03-07 12:15:54.293994	0.8542344422961321	5.809557567975215	256	2	46	0.0011728922601501458	128	1.006883856261407	0.0	0.10580524344569288	0.02153558052434457	0.050093632958801496	48.664794007490634	0.04530664591096695	0.0	0.10580524344569288	0.02153558052434457	0.050093632958801496	48.664794007490634	0.04530664591096695	3393140798	150.0	0.0	0.10580524344569288	0.02153558052434457	0.050093632958801496	48.664794007490634	0.04530664591096695	12	COMPLETE
13	0.0898876404494382	2020-03-07 12:15:54.305935	2020-03-07 12:16:24.779496	0.30443338043126017	6.816146539932395	256	2	44	0.02161214488171361	256	1.040591105632135	0.0	0.0898876404494382	0.01451310861423221	0.039794007490636704	50.215823970037455	0.041039730364195386	0.0	0.0898876404494382	0.01451310861423221	0.039794007490636704	50.215823970037455	0.041039730364195386	896028085	150.0	0.0	0.0898876404494382	0.01451310861423221	0.039794007490636704	50.215823970037455	0.041039730364195386	13	COMPLETE
14	0.1947565543071161	2020-03-07 12:16:24.791518	2020-03-07 12:21:12.312977	0.963289790197754	3.6989446744614396	128	2	6	0.05639804195634431	128	0.7866129180833292	0.025749063670411985	0.1947565543071161	0.06788389513108614	0.10580524344569288	37.91385767790262	0.08956748028967944	0.025749063670411985	0.1947565543071161	0.06788389513108614	0.10580524344569288	37.91385767790262	0.08956748028967944	3801457381	950.0	0.025749063670411985	0.1947565543071161	0.06788389513108614	0.10580524344569288	37.91385767790262	0.08956748028967944	14	COMPLETE
15	0.09176029962546817	2020-03-07 12:21:12.331240	2020-03-07 12:21:30.441498	0.3213682596245286	24.301086862275223	256	2	38	0.0012516746230815312	512	1.0069160393547365	0.0	0.09176029962546817	0.02200374531835206	0.04073033707865169	48.6502808988764	0.04340694997509797	0.0	0.09176029962546817	0.02200374531835206	0.04073033707865169	48.6502808988764	0.04340694997509797	4243792780	150.0	0.0	0.09176029962546817	0.02200374531835206	0.04073033707865169	48.6502808988764	0.04340694997509797	15	COMPLETE
16	0.0945692883895131	2020-03-07 12:21:30.451749	2020-03-07 12:22:23.089075	0.9860374098344494	9.594883523592143	128	1	65	0.018195734618657023	128	1.0126346287750099	0.0	0.0945692883895131	0.019662921348314606	0.04260299625468165	48.826310861423224	0.04374352412109978	0.0	0.0945692883895131	0.019662921348314606	0.04260299625468165	48.826310861423224	0.04374352412109978	1457535329	150.0	0.0	0.0945692883895131	0.019662921348314606	0.04260299625468165	48.826310861423224	0.04374352412109978	16	COMPLETE
17	0.0945692883895131	2020-03-07 12:22:23.099944	2020-03-07 12:23:17.576192	0.23207560076769634	4.178227518272008	128	2	86	0.0023616167087130353	128	1.018599111796095	0.0	0.0945692883895131	0.02200374531835206	0.0449438202247191	49.12125468164794	0.043833462537041484	0.0	0.0945692883895131	0.02200374531835206	0.0449438202247191	49.12125468164794	0.043833462537041484	1697326451	150.0	0.0	0.0945692883895131	0.02200374531835206	0.0449438202247191	49.12125468164794	0.043833462537041484	17	COMPLETE
18	0.5950374531835206	2020-03-07 12:23:17.588575	2020-03-07 12:28:09.741385	0.20556180211986985	11.387026490016588	128	1	52	0.0550202337525861	256	0.28537605832111135	0.0	0.5950374531835206	0.24578651685393257	0.40262172284644193	13.820926966292134	0.18749504809605255	0.0	0.5950374531835206	0.24578651685393257	0.40262172284644193	13.82069288389513	0.18749544619536715	3660346193		0.0	0.5950374531835206	0.24578651685393257	0.40262172284644193	13.821161048689138	0.18749466592071048	18	COMPLETE
