number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	8.852691218130312e-05	2020-01-08 21:40:09.399623	2020-01-09 00:34:13.808948	0.5690629895720372	28.35322664163044	250.0	30.0	0.0018494619082005464	1700.0	0.998277661353857	0.0	8.852691218130312e-05	0.0	0.0	20238.390779922098	9.437073308540001e-05	0.24632613314447593	0.38664128895184136	0.326221671388102	0.3526912181303116	5714.276513810199	0.2974169568038016	0.0	0.0	0.0	0.0	34762.50504603399	5.519228263613897e-05	0	0.0	5.901794145420208e-05
1	TrialState.COMPLETE	0.0002655807365439094	2020-01-09 00:34:13.810564	2020-01-09 04:25:01.910884	0.8275542187144683	28.419582501901644	450.0	10.0	0.012113344203597158	1100.0	1.0006831495068687	0.0	0.0002655807365439094	8.852691218130312e-05	0.00017705382436260624	20287.20575867564	0.00014353941824862192	0.013588881019830029	0.17072415014164305	0.014916784702549575	0.03456975920679887	5096.964146600567	0.050178458652919124	0.0	0.00017705382436260624	8.852691218130312e-05	0.00017705382436260624	35477.447370750706	0.00010698971554651863	1	0.00017705382436260624	0.00023607176581680832
2	TrialState.COMPLETE	0.0	2020-01-09 04:25:01.911946	2020-01-09 18:24:37.976746	0.37077965455484674	23.110024792964484	450.0	40.0	0.057112626898812434	700.0	1.0156353837827976	0.0	0.0	0.0	0.0	20590.5715740085	0.0001308149000369397	0.021379249291784704	0.021379249291784704	0.021379249291784704	0.021379249291784704	10667.325203611897	0.021731546971241335	0.0	0.0	0.0	0.0	30513.8179444051	9.012245109915891e-05	2	0.0	0.0
3	TrialState.COMPLETE	0.0	2020-01-09 18:24:37.978351	2020-01-10 01:43:57.472480	0.4997640310984961	7.150419103594695	250.0	80.0	0.06154057588652649	1600.0	1.0056864018800378	0.0	0.0	0.0	0.0	20388.55988845609	0.00011527598300174169	0.013987252124645893	0.013987252124645893	0.013987252124645893	0.013987252124645893	5003.697415014164	0.019485369915921074	0.0	0.0	0.0	0.0	35773.42236189802	6.776316854405784e-05	3	0.0	0.0
