number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	251	301	351	401	451	501
0	TrialState.COMPLETE	0.000708215297450425	2020-01-04 11:28:23.877262	2020-01-04 11:53:41.656157	0.7793093696422766	19.49347173848318	50.0	450.0	170.0	0.06649936162470532	600.0	1.067708151130553	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	21646.610680771955	0.0009372478675756464	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	21646.601584631728	0.0009372480548913531	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	21646.619776912183	0.0009372476803657325	0	0.000708215297450425	0.000708215297450425						
1	TrialState.COMPLETE	0.0008410056657223796	2020-01-04 11:53:41.657909	2020-01-04 12:10:44.177875	0.20321409594365952	27.379493294310297	50.0	50.0	10.0	0.006410124687275804	1000.0	1.0404029649770237	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21092.44292227337	0.0009418182408572376	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21092.43692457507	0.0009418182968903885	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	21092.44891997167	0.0009418181848430769	1	0.000796742209631728	0.0008262511803588291						
2	TrialState.COMPLETE	0.0009295325779036828	2020-01-04 12:10:44.179131	2020-01-04 12:33:27.882711	0.4378419061964941	7.779899267013471	150.0	250.0	180.0	0.04178147900435304	600.0	1.0774505968403756	0.000708215297450425	0.0009295325779036828	0.000708215297450425	0.000708215297450425	21844.2974282932	0.0009757717755181506	0.000708215297450425	0.0009295325779036828	0.000708215297450425	0.000708215297450425	21844.287845254956	0.0009757721419459244	0.000708215297450425	0.0009295325779036828	0.000708215297450425	0.000708215297450425	21844.307011331446	0.0009757714096647088	2	0.0009737960339943342	0.0009442870632672333						
3	TrialState.COMPLETE	0.0007524787535410764	2020-01-04 12:33:27.884484	2020-01-04 12:57:52.052191	0.9085245703157592	3.875584233954297	350.0	350.0	70.0	0.005871118484680475	900.0	1.0029431759085887	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20332.651912181303	0.0009275997965190964	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20332.631196883853	0.0009276000045261573	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20332.672627478754	0.0009275995885805492	3	0.000796742209631728	0.000767233238904627						
4	TrialState.COMPLETE	0.000398371104815864	2020-01-04 12:57:52.053038	2020-01-04 13:16:13.358837	0.4434610525090248	8.561879941603602	150.0	50.0	90.0	0.05944333311988209	600.0	1.0396773875862124	4.426345609065156e-05	0.000398371104815864	0.0001327903682719547	0.00017705382436260624	21077.72315421388	0.0003521580574209496	4.426345609065156e-05	0.000398371104815864	0.0001327903682719547	0.00017705382436260624	21077.71060552408	0.0003521582294966318	4.426345609065156e-05	0.000398371104815864	0.0001327903682719547	0.00017705382436260624	21077.735702903683	0.0003521578854466167	4	0.0006196883852691218	0.00047214353163361664						
5	TrialState.COMPLETE	0.0007524787535410764	2020-01-04 13:16:13.359925	2020-01-04 13:35:15.243630	0.2219481259082024	24.549632732738807	50.0	350.0	90.0	0.0023260763385745662	600.0	1.005855826846319	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20392.19440509915	0.0009305804820766125	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20392.185640934844	0.0009305806318006773	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20392.203169263455	0.0009305803324695665	5	0.000796742209631728	0.000767233238904627						
6	TrialState.COMPLETE	0.0013721671388101982	2020-01-04 13:35:15.244659	2020-01-04 14:09:43.031567	0.3430978310327991	24.100343893704792	350.0	450.0	170.0	0.051787995361810085	600.0	1.0834625255000694	0.000708215297450425	0.0013721671388101982	0.0009295325779036828	0.0009295325779036828	21966.516908640227	0.001100607430642797	0.000708215297450425	0.0013721671388101982	0.0009295325779036828	0.0009295325779036828	21966.500354107648	0.0011006123727959425	0.000708215297450425	0.0013721671388101982	0.0009295325779036828	0.0009295325779036828	21966.533463172804	0.0011006025437536693	6	0.0013279036827195468	0.0013574126534466478						
7	TrialState.COMPLETE	0.023400613786591123	2020-01-04 14:09:43.032659	2020-01-04 16:38:28.084088	0.381659327270902	1.512594438721805	450.0	150.0	190.0	0.007526017604090847	800.0	0.8600993249525714	0.005178824362606233	0.023400613786591123	0.012983947119924457	0.016938149197355996	17435.948927348913	0.011332624583238261	0.005178824362606233	0.023400613786591123	0.012983947119924457	0.016938149197355996	17435.935950779036	0.011332625122070327	0.005178824362606233	0.023400613786591123	0.012983947119924457	0.016938149197355996	17435.961903918793	0.011332624045415778	7							0.021777620396600566	0.0226628895184136
8	TrialState.COMPLETE	0.001106586402266289	2020-01-04 16:38:28.084925	2020-01-04 16:58:53.748490	0.9563581755772718	24.202904022284933	250.0	150.0	60.0	0.00622151736932911	600.0	1.0283989946506578	0.000708215297450425	0.001106586402266289	0.000708215297450425	0.0008852691218130312	20849.1653240085	0.0009796054355427132	0.000708215297450425	0.001106586402266289	0.000708215297450425	0.0008852691218130312	20849.15793201133	0.0009796055258921087	0.000708215297450425	0.001106586402266289	0.000708215297450425	0.0008852691218130312	20849.172716005665	0.0009796053452162446	8	0.0009737960339943342	0.0010623229461756375						
9	TrialState.COMPLETE	0.0010623229461756375	2020-01-04 16:58:53.749588	2020-01-04 17:17:13.861044	0.46709863855501366	4.22875215174955	150.0	150.0	90.0	0.01858963166114592	600.0	1.0330099315889563	0.000708215297450425	0.0010623229461756375	0.0010180594900849858	0.0010180594900849858	20942.769763633143	0.0010312006744850632	0.000708215297450425	0.0010623229461756375	0.0010180594900849858	0.0010180594900849858	20942.756064093486	0.0010312008937494426	0.000708215297450425	0.0010623229461756375	0.0010180594900849858	0.0010180594900849858	20942.783463172804	0.0010312004553633886	9	0.0010623229461756375	0.0010623229461756375						
10	TrialState.COMPLETE	0.0007524787535410764	2020-01-04 17:17:13.862135	2020-01-04 17:34:40.880009	0.7623260135264519	22.498871084110352	50.0	150.0	110.0	0.002616583378981352	800.0	0.9997771622796978	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20268.597335339942	0.0009153751401976794	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20268.589810552407	0.0009153751904241337	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.000708215297450425	20268.604860127478	0.0009153750899788195	10	0.000796742209631728	0.000767233238904627						
11	TrialState.COMPLETE	0.025916253541076486	2020-01-04 17:34:40.881110	2020-01-04 18:49:42.221909	0.830923071079046	2.780978935248325	450.0	450.0	40.0	0.042147138241059375	700.0	0.7333900885948085	0.000708215297450425	0.025916253541076486	0.010977337110481586	0.016554532577903684	14866.91496990085	0.008939977246184023	0.000708215297450425	0.025916253541076486	0.010977337110481586	0.016554532577903684	14866.902244157223	0.008939986923115678	0.000708215297450425	0.025916253541076486	0.010977337110481586	0.016554532577903684	14866.927695644476	0.008939967716610736	11			0.024876062322946174	0.025470457304734927				
12	TrialState.COMPLETE	0.0009295325779036828	2020-01-04 18:49:42.222782	2020-01-04 19:18:25.696239	0.3981349986625141	29.448408865826586	450.0	150.0	170.0	0.002586760273237716	900.0	1.0445473584312135	0.000708215297450425	0.0009295325779036828	0.0007524787535410764	0.0008410056657223796	21176.7289305949	0.0009492483721861273	0.000708215297450425	0.0009295325779036828	0.0007524787535410764	0.0008410056657223796	21176.71795325779	0.0009492490065026115	0.000708215297450425	0.0009295325779036828	0.0007524787535410764	0.0008410056657223796	21176.739907932013	0.0009492477390695471	12	0.0009737960339943342	0.0009442870632672333						
13	TrialState.COMPLETE	0.0007524787535410764	2020-01-04 19:18:25.697323	2020-01-04 19:39:42.932519	0.3844935132338032	5.222535091976188	50.0	350.0	150.0	0.002771550645349073	900.0	0.9995185190947183	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.0007524787535410764	20263.67738580028	0.0009391436154180908	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.0007524787535410764	20263.668289660058	0.0009391437019527102	0.000708215297450425	0.0007524787535410764	0.000708215297450425	0.0007524787535410764	20263.68648194051	0.0009391435289116498	13	0.000796742209631728	0.000767233238904627						
14	TrialState.COMPLETE	0.0005311614730878187	2020-01-04 19:39:42.933617	2020-01-04 19:57:38.370686	0.5058677043701661	9.485615814152682	150.0	50.0	60.0	0.053558782397159554	600.0	1.0380814798571272	0.0002213172804532578	0.0005311614730878187	0.0003098441926345609	0.0003098441926345609	21045.645471848442	0.00049684882150072	0.0002213172804532578	0.0005311614730878187	0.0003098441926345609	0.0003098441926345609	21045.633764164308	0.0004968493480056445	0.0002213172804532578	0.0005311614730878187	0.0003098441926345609	0.0003098441926345609	21045.657179532576	0.0004968482961664201	14	0.0003541076487252125	0.00047214353163361664						
