number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	201	251	301	351	401
0	TrialState.COMPLETE	0.0004868980169971671	2019-12-31 17:39:39.846699	2019-12-31 18:41:35.209659	450.0	11.0	0.0066694244686747155	700.0	1.0091584490071024	0.0	0.0004868980169971671	0.0	0.00017705382436260624	20458.759206798866	0.0002883016023708586	0.0	0.0004868980169971671	0.0	0.00017705382436260624	20458.727381373938	0.00028830203438872423	0.0	0.0004868980169971671	0.0	0.00017705382436260624	20458.791032223795	0.00028830117073405464	0	0.0004426345609065156	0.00047214353163361664					
1	TrialState.COMPLETE	0.0001327903682719547	2019-12-31 18:41:35.210445	2019-12-31 19:35:47.255700	250.0	91.0	0.006479071877281811	1200.0	1.008634292262621	0.0	0.0001327903682719547	0.0	0.0	20448.133343661473	0.00021041404697137682	0.0	0.0001327903682719547	0.0	0.0	20448.10959631728	0.00021041445584922785	0.0	0.0001327903682719547	0.0	0.0	20448.157091005665	0.0002104136383866222	1	8.852691218130312e-05	0.00011803588290840416					
2	TrialState.COMPLETE	0.00017705382436260624	2019-12-31 19:35:47.256624	2019-12-31 20:22:30.497220	250.0	21.0	0.012388232305751732	1600.0	0.9931704294876187	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20134.559512216714	0.00024294363472458926	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20134.53386154391	0.0002429439594597573	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20134.585162889518	0.00024294331013170018	2	0.00017705382436260624	0.00017705382436260624					
3	TrialState.COMPLETE	0.0006639518413597734	2019-12-31 20:22:30.497983	2019-12-31 20:56:38.623196	150.0	11.0	0.014148331906637807	2000.0	0.9929705326154087	0.0002655807365439094	0.0006639518413597734	0.0006639518413597734	0.0006639518413597734	20130.748849150143	0.0006569441624427513	0.0002655807365439094	0.0006639518413597734	0.0006639518413597734	0.0006639518413597734	20130.730125708214	0.0006569444013057391	0.0002655807365439094	0.0006639518413597734	0.0006639518413597734	0.0006639518413597734	20130.767572592067	0.0006569439237197784	3	0.0006196883852691218	0.0006491973559962229					
4	TrialState.COMPLETE	0.011827195467422096	2019-12-31 20:56:38.624207	2020-01-01 00:39:21.265560	350.0	31.0	0.08782802320333156	1100.0	0.9276462741779479	0.0024079320113314447	0.011827195467422096	0.005205382436260623	0.007878895184135978	18805.81999822946	0.005612628348399921	0.0024079320113314447	0.011827195467422096	0.005205382436260623	0.007878895184135978	18805.792333569407	0.005612629385994578	0.0024079320113314447	0.011827195467422096	0.005205382436260623	0.007878895184135978	18805.84766288952	0.005612627312910022	4						0.010446175637393768	0.011213408876298394
5	TrialState.COMPLETE	0.0	2020-01-01 00:39:21.266326	2020-01-01 01:10:43.432505	50.0	41.0	0.001301804899088779	2000.0	1.0125598347945544	0.0	0.0	0.0	0.0	20528.119378541076	0.00022190289767573762	0.0	0.0	0.0	0.0	20528.108843838527	0.00022190318477888243	0.0	0.0	0.0	0.0	20528.129913243625	0.00022190261084283977	5	0.0	0.0					
6	TrialState.COMPLETE	0.013500354107648726	2020-01-01 01:10:43.433257	2020-01-01 03:18:48.882389	250.0	11.0	0.07309935321438377	1100.0	0.9059862342434806	0.0023238314447592066	0.013500354107648726	0.0056657223796034	0.008719900849858356	18366.246580648018	0.006201539371725101	0.0023238314447592066	0.013500354107648726	0.0056657223796034	0.008719900849858356	18366.223773902268	0.006201539752508298	0.0023238314447592066	0.013500354107648726	0.0056657223796034	0.008719900849858356	18366.269387393768	0.006201538991155429	6				0.012039660056657223	0.012874342371509511		
7	TrialState.COMPLETE	0.0005311614730878187	2020-01-01 03:18:48.883134	2020-01-01 03:50:15.774780	50.0	61.0	0.0019048948177228676	1100.0	0.9880021135872736	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20029.90602868272	0.0003820951394833457	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20029.89558250708	0.000382095301464251	0.0	0.0005311614730878187	0.00017705382436260624	0.0003541076487252125	20029.916474858357	0.00038209497756613414	7	0.0005311614730878187	0.0005311614730878187					
8	TrialState.COMPLETE	0.00017705382436260624	2020-01-01 03:50:15.775502	2020-01-01 04:38:40.058078	250.0	51.0	0.051606953229277525	1600.0	0.985624977553186	0.0	0.00017705382436260624	0.0	0.00017705382436260624	19982.16851097734	0.0002424366359759631	0.0	0.00017705382436260624	0.0	0.00017705382436260624	19982.14292669972	0.00024243692124726481	0.0	0.00017705382436260624	0.0	0.00017705382436260624	19982.194095254956	0.00024243635082696772	8	0.00017705382436260624	0.00017705382436260624					
