number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.1853932584269663	2020-05-18 17:58:08.682300	2020-05-18 18:21:14.344734	64	0.20128508673701073	500	128	0.3398579745344787	0.7898118494676726	0.023408239700374533	0.1853932584269663	0.06273408239700375	0.09316479400749064	37.81132958801498	0.08328267554902175	0.023408239700374533	0.1853932584269663	0.06273408239700375	0.09316479400749064	37.81132958801498	0.08328267554902175	416222211		0.023408239700374533	0.1853932584269663	0.06273408239700375	0.09316479400749064	37.81132958801498	0.08328267554902175	0	COMPLETE
1	0.16198501872659177	2020-05-18 18:21:14.372287	2020-05-18 18:31:46.903864	128	0.3326140801971782	200	128	0.2717438297548743	0.8059427957102824	0.02294007490636704	0.16198501872659177	0.05664794007490637	0.09129213483146068	38.65308988764045	0.08107906651963033	0.02294007490636704	0.16198501872659177	0.05664794007490637	0.09129213483146068	38.65308988764045	0.08107906651963033	3608168568	600.0	0.02294007490636704	0.16198501872659177	0.05664794007490637	0.09129213483146068	38.65308988764045	0.08107906651963033	1	COMPLETE
2	0.12265917602996254	2020-05-18 18:31:46.925569	2020-05-18 18:36:00.362254	64	0.3316812371045691	350	256	0.024602809414490723	0.9471893173787213	0.011235955056179775	0.12265917602996254	0.04447565543071161	0.06928838951310862	45.66432584269663	0.0615078337889984	0.011235955056179775	0.12265917602996254	0.04447565543071161	0.06928838951310862	45.66432584269663	0.0615078337889984	819476517	300.0	0.011235955056179775	0.12265917602996254	0.04447565543071161	0.06928838951310862	45.66432584269663	0.0615078337889984	2	COMPLETE
3	0.13202247191011235	2020-05-18 18:36:00.403170	2020-05-18 18:50:19.489986	128	0.39714783905798245	500	512	0.39034730593150985	0.9263107036789775	0.014044943820224719	0.13202247191011235	0.03604868913857678	0.06413857677902622	44.58941947565543	0.06278119956203154	0.014044943820224719	0.13202247191011235	0.03604868913857678	0.06413857677902622	44.58941947565543	0.06278119956203154	3166816541	350.0	0.014044943820224719	0.13202247191011235	0.03604868913857678	0.06413857677902622	44.58941947565543	0.06278119956203154	3	COMPLETE
4	0.18867041198501872	2020-05-18 18:50:19.515455	2020-05-18 19:45:50.449451	256	0.4385073814495515	450	256	0.0010058271379758794	0.7554102896683071	0.018258426966292134	0.18867041198501872	0.060861423220973786	0.09784644194756555	36.21161048689139	0.08326838767328432	0.018258426966292134	0.18867041198501872	0.060861423220973786	0.09784644194756555	36.21161048689139	0.08326838767328432	4289479607	750.0	0.018258426966292134	0.18867041198501872	0.060861423220973786	0.09784644194756555	36.21161048689139	0.08326838767328432	4	COMPLETE
5	0.1100187265917603	2020-05-18 19:45:50.476170	2020-05-18 19:47:23.543223	64	0.4200843474017678	100	512	0.23535345328191246	0.9513702173883005	0.015917602996254682	0.1100187265917603	0.0351123595505618	0.054307116104868915	45.806179775280896	0.060359333333179825	0.015917602996254682	0.1100187265917603	0.0351123595505618	0.054307116104868915	45.806179775280896	0.060359333333179825	4260728873	300.0	0.015917602996254682	0.1100187265917603	0.0351123595505618	0.054307116104868915	45.806179775280896	0.060359333333179825	5	COMPLETE
6	0.17649812734082396	2020-05-18 19:47:23.570312	2020-05-18 20:15:09.985127	256	0.3753232087899553	450	128	0.025168698512371086	0.7767515398164311	0.017790262172284643	0.17649812734082396	0.05571161048689138	0.0950374531835206	37.16058052434457	0.07887063751210344	0.017790262172284643	0.17649812734082396	0.05571161048689138	0.0950374531835206	37.16058052434457	0.07887063751210344	3323678550	400.0	0.017790262172284643	0.17649812734082396	0.05571161048689138	0.0950374531835206	37.16058052434457	0.07887063751210344	6	COMPLETE
7	0.12453183520599251	2020-05-18 20:15:10.013471	2020-05-18 20:17:23.232051	256	0.14870586641329442	50	512	0.3866357076436703	0.911341247329321	0.01638576779026217	0.12453183520599251	0.037921348314606744	0.06554307116104868	43.90823970037453	0.06359406915977842	0.01638576779026217	0.12453183520599251	0.037921348314606744	0.06554307116104868	43.90823970037453	0.06359406915977842	501278702	250.0	0.01638576779026217	0.12453183520599251	0.037921348314606744	0.06554307116104868	43.90823970037453	0.06359406915977842	7	COMPLETE
8	0.18820224719101122	2020-05-18 20:17:23.257449	2020-05-18 20:53:04.275631	256	0.21922501875247358	200	512	0.0033882571858351233	0.7948176114050818	0.01638576779026217	0.18820224719101122	0.05758426966292135	0.0945692883895131	38.04822097378277	0.07861282681219799	0.01638576779026217	0.18820224719101122	0.05758426966292135	0.0945692883895131	38.04822097378277	0.07861282681219799	301804981		0.01638576779026217	0.18820224719101122	0.05758426966292135	0.0945692883895131	38.04822097378277	0.07861282681219799	8	COMPLETE
9	0.12780898876404495	2020-05-18 20:53:04.330513	2020-05-18 20:57:01.628551	64	0.4489365424936106	200	256	0.015503881863477184	0.9238468201173476	0.01451310861423221	0.12780898876404495	0.042134831460674156	0.06928838951310862	44.33567415730337	0.06425472060692083	0.01451310861423221	0.12780898876404495	0.042134831460674156	0.06928838951310862	44.33567415730337	0.06425472060692083	1775104647	450.0	0.01451310861423221	0.12780898876404495	0.042134831460674156	0.06928838951310862	44.33567415730337	0.06425472060692083	9	COMPLETE
