dataset	model	replicate	times.training	times.evaluation	metrics.mean_rank.worst	metrics.mean_rank.avg	metrics.mean_rank.best	metrics.mean_reciprocal_rank.worst	metrics.mean_reciprocal_rank.avg	metrics.mean_reciprocal_rank.best	metrics.hits_at_k.worst.1	metrics.hits_at_k.worst.3	metrics.hits_at_k.worst.5	metrics.hits_at_k.worst.10	metrics.hits_at_k.avg.1	metrics.hits_at_k.avg.3	metrics.hits_at_k.avg.5	metrics.hits_at_k.avg.10	metrics.hits_at_k.best.1	metrics.hits_at_k.best.3	metrics.hits_at_k.best.5	metrics.hits_at_k.best.10	metrics.adjusted_mean_rank	model_bytes
fb15k	TransH	1	1750.864785194397	33.812859773635864	6299.958262091382	6299.938193021957	6299.9181239525315	0.025463554421516477	0.025464152923701584	0.025465035051608124	0.016217771833894806	0.031292850975944204	0.03433156709722199	0.037251781754160246	0.016217771833894806	0.031292850975944204	0.03433156709722199	0.037251781754160246	0.016217771833894806	0.031292850975944204	0.03433156709722199	0.037251781754160246	0.8535807691900558	7056400
fb15k	TransH	0	1684.2618660926819	34.169450998306274	6311.407898969037	6311.387271249851	6311.366643530667	0.025584009956827823	0.025584014455541586	0.02558401897304739	0.017927578676507933	0.02898207242132349	0.030522591457737298	0.035956730036735454	0.017927578676507933	0.02898207242132349	0.030522591457737298	0.035956730036735454	0.017927578676507933	0.02898207242132349	0.030522591457737298	0.035956730036735454	0.8551746721236236	7056400
fb15k	TransH	2	1762.3029081821442	35.238117933273315	6303.777361141677	6303.756834995175	6303.736308848674	0.022814869162295703	0.022814879279833663	0.02281488952585307	0.013763098644004672	0.02692522557600176	0.0316906773205126	0.03645612906502345	0.013763098644004672	0.02692522557600176	0.0316906773205126	0.03645612906502345	0.013763098644004672	0.02692522557600176	0.0316906773205126	0.03645612906502345	0.8541311015319055	7056400
fb15k	TransH	3	1642.6970989704132	33.79215669631958	6365.036557701749	6365.017165783549	6364.997773865349	0.027694760114515545	0.027696273120933233	0.027699206185081066	0.019696636251290818	0.030768058776726313	0.035135684176668756	0.03989267153086963	0.019696636251290818	0.030768058776726313	0.035135684176668756	0.03989267153086963	0.019705100641600786	0.030768058776726313	0.035135684176668756	0.03989267153086963	0.8621767100655578	7056400
fb15k	TransR	1	1980.2015235424042	34.024287939071655	6789.722537285639	6789.720243435865	6789.717949586091	0.006415008962919707	0.00641500909393416	0.0064150092250447694	0.003673545394525232	0.006297506390614684	0.007643344449899274	0.010114946420409337	0.003673545394525232	0.006297506390614684	0.007643344449899274	0.010114946420409337	0.003673545394525232	0.006297506390614684	0.007643344449899274	0.010114946420409337	0.9190810972130549	16709200
fb15k	TransR	0	1953.2776036262512	33.89246726036072	6783.8734827580365	6783.871146586312	6783.868810414586	0.00676877821993445	0.006768778971144038	0.006768779727840502	0.0036566166139053004	0.006779976638282744	0.00834588884562645	0.01105449374481556	0.0036566166139053004	0.006779976638282744	0.00834588884562645	0.01105449374481556	0.0036566166139053004	0.006779976638282744	0.00834588884562645	0.01105449374481556	0.9182694404637243	16709200
fb15k	TransR	2	1953.5057809352875	34.01745414733887	6820.592422677794	6820.5900992026545	6820.587775727515	0.00653022635204757	0.006530226641702177	0.006530226931971117	0.0036566166139053004	0.006297506390614684	0.008058099575087607	0.01069898935179699	0.0036566166139053004	0.006297506390614684	0.008058099575087607	0.01069898935179699	0.0036566166139053004	0.006297506390614684	0.008058099575087607	0.01069898935179699	0.9232128678781814	16709200
fb15k	TransR	3	1953.4107296466827	34.02002573013306	6789.608716629141	6789.606253491561	6789.603790353981	0.006174557981959621	0.006174558351312198	0.006174558721394534	0.0036989385654551303	0.005874286875116385	0.007050837128201656	0.009370080073132333	0.0036989385654551303	0.005874286875116385	0.007050837128201656	0.009370080073132333	0.0036989385654551303	0.005874286875116385	0.007050837128201656	0.009370080073132333	0.9191140940863118	16709200
wn18	TransR	1	1051.5727627277374	5.5003275871276855	19717.6999	19717.69285	19717.6858	0.0005038403020449037	0.0005038403601285608	0.0005038404182266651	0.0	0.0003	0.0003	0.0008	0.0	0.0003	0.0003	0.0008	0.0	0.0003	0.0003	0.0008	0.9635641263519982	8372200
wn18	TransR	0	986.8824861049652	5.498691082000732	19742.5572	19742.55165	19742.5461	0.00047061905493101197	0.0004706191451787586	0.0004706192354719846	0.0	0.0002	0.0003	0.0006	0.0	0.0002	0.0003	0.0006	0.0	0.0002	0.0003	0.0006	0.9647730291387648	8372200
