dataset	model	replicate	times.training	times.evaluation	metrics.mean_rank.worst	metrics.mean_rank.avg	metrics.mean_rank.best	metrics.mean_reciprocal_rank.worst	metrics.mean_reciprocal_rank.avg	metrics.mean_reciprocal_rank.best	metrics.hits_at_k.worst.1	metrics.hits_at_k.worst.3	metrics.hits_at_k.worst.5	metrics.hits_at_k.worst.10	metrics.hits_at_k.avg.1	metrics.hits_at_k.avg.3	metrics.hits_at_k.avg.5	metrics.hits_at_k.avg.10	metrics.hits_at_k.best.1	metrics.hits_at_k.best.3	metrics.hits_at_k.best.5	metrics.hits_at_k.best.10	metrics.adjusted_mean_rank	model_bytes
wn18	TransR	2	978.6749699115753	5.50058388710022	19536.4283	19536.4219	19536.4155	0.0008211619945081907	0.0008211625037683555	0.0008211630144325526	0.0	0.0007	0.001	0.002	0.0	0.0007	0.001	0.002	0.0	0.0007	0.001	0.002	0.9547228511429668	8372200
wn18	TransR	3	977.3242833614349	5.495961904525757	19749.3112	19749.3044	19749.2976	0.0005788320032619189	0.0005788320415001111	0.0005788320797440201	0.0	0.0005	0.0006	0.001	0.0	0.0005	0.0006	0.001	0.0	0.0005	0.0006	0.001	0.9651112438320866	8372200
fb15k237	ConvKB	1	1957.8396692276	198.29401326179504	4380.6578432331935	4380.65752519816	4380.657207163127	0.05015750150230557	0.05015750152935544	0.05015750155641947	0.035913494471083274	0.0427634797925433	0.047998825716802036	0.08550249535179567	0.035913494471083274	0.0427634797925433	0.047998825716802036	0.08550249535179567	0.035913494471083274	0.0427634797925433	0.047998825716802036	0.08550249535179567	0.6185751241804447	5917604
fb15k237	ConvKB	0	1983.9103207588196	197.9955189228058	4379.855294060084	4379.855000489285	4379.854706918485	0.04530250997653683	0.045302510018425717	0.04530251006035573	0.030629220080242686	0.03880027399941286	0.04716704178491046	0.08371660632155788	0.030629220080242686	0.03880027399941286	0.04716704178491046	0.08371660632155788	0.030629220080242686	0.03880027399941286	0.04716704178491046	0.08371660632155788	0.618287214317962	5917604
fb15k237	ConvKB	2	1952.5756187438965	200.19664597511292	4339.668998923574	4339.6688276739405	4339.668656424307	0.04542842034169501	0.045428420699770634	0.0454284210596076	0.03177903904491633	0.041075447695469225	0.043570799491143945	0.07476269693707799	0.03177903904491633	0.041075447695469225	0.043570799491143945	0.07476269693707799	0.03177903904491633	0.041075447695469225	0.043570799491143945	0.07476269693707799	0.6127855579619502	5917604
fb15k237	ConvKB	3	1992.4718027114868	198.28186440467834	4280.903537528134	4280.903243957335	4280.902950386535	0.04739097319884175	0.047390973222406464	0.04739097324598544	0.03398082004109991	0.03897152363244936	0.04410901262354438	0.06651825031803503	0.03398082004109991	0.03897152363244936	0.04410901262354438	0.06651825031803503	0.03398082004109991	0.03897152363244936	0.04410901262354438	0.06651825031803503	0.6046854912973386	5917604
wn18	ComplEx	1	1068.7558193206787	13.266393899917603	377.9084	377.9084	377.9084	0.21478550135043348	0.21478550135043348	0.21478550135043348	0.1326	0.2328	0.2875	0.3775	0.1326	0.2328	0.2875	0.3775	0.1326	0.2328	0.2875	0.3775	0.018474182799381015	49153200
wn18	ComplEx	0	1097.8975491523743	13.266893863677979	523.5719	523.57185	523.5718	0.16026641249093657	0.16026641249102053	0.1602664124911045	0.0958	0.1712	0.2108	0.2761	0.0958	0.1712	0.2108	0.2761	0.0958	0.1712	0.2108	0.2761	0.025594364171313645	49153200
wn18	ComplEx	2	1061.4364228248596	13.257065534591675	429.0961	429.09605	429.096	0.21354763175745464	0.21354763175763133	0.21354763175780803	0.1409	0.2234	0.2686	0.3496	0.1409	0.2234	0.2686	0.3496	0.1409	0.2234	0.2686	0.3496	0.020982140672145398	49153200
wn18	ComplEx	3	1069.8067870140076	13.396145582199097	480.1041	480.1041	480.1041	0.19106069267654693	0.19106069267654693	0.19106069267654693	0.125	0.1992	0.2428	0.3137	0.125	0.1992	0.2428	0.3137	0.125	0.1992	0.2428	0.3137	0.023474678339844103	49153200
wn18	ConvE	1	30445.432569265366	1.9983577728271484	454.9425	454.9425	454.9425	0.8890298584019656	0.8890298584019656	0.8890298584019656	0.8525	0.9192	0.9328	0.9486	0.8525	0.9192	0.9328	0.9486	0.8525	0.9192	0.9328	0.9486	0.022237266546402314	41245316
wn18	ConvE	0	30230.707620859146	2.0324151515960693	432.7462	432.7461	432.746	0.8880662309174988	0.8880662309176384	0.8880662309177778	0.8513	0.9168	0.9325	0.9486	0.8513	0.9168	0.9325	0.9486	0.8513	0.9168	0.9325	0.9486	0.02115098122940617	41245316
wn18	ConvE	2	28115.738025188446	2.011457681655884	459.2945	459.2945	459.2945	0.8883451849223293	0.8883451849223293	0.8883451849223293	0.8517	0.9174	0.9334	0.9477	0.8517	0.9174	0.9334	0.9477	0.8517	0.9174	0.9334	0.9477	0.02244768883976976	41245316
wn18	ConvE	3	28827.161840200424	2.0243923664093018	430.6131	430.613	430.6129	0.8869717325893289	0.8869717326026035	0.8869717326158847	0.85	0.9169	0.9327	0.9491	0.85	0.9169	0.9327	0.9491	0.85	0.9169	0.9327	0.9491	0.021043725769567027	41245316
fb15k	TransE	1	54888.1433839798	18.93484354019165	127.346777606609	127.34669719490105	127.34661678319311	0.2588057259032131	0.2588057283664718	0.25880573086511793	0.15117401093599228	0.2962282676778792	0.3699277141067529	0.4730155236918285	0.15117401093599228	0.2962282676778792	0.3699277141067529	0.4730155236918285	0.15117401093599228	0.2962282676778792	0.3699277141067529	0.4730155236918285	0.01769265327201593	3259200
fb15k	TransE	0	56580.37193107605	18.92645239830017	127.74854835706184	127.74847217754905	127.74839599803626	0.25981196328028056	0.2598120032691733	0.2598120461206943	0.1519358060638892	0.2980819691557617	0.3714343755819268	0.47379424760034533	0.1519358060638892	0.2980819691557617	0.3714343755819268	0.47379424760034533	0.1519358060638892	0.2980819691557617	0.3714343755819268	0.47379424760034533	0.017733643179924694	3259200
fb15k	TransE	2	54634.835242033005	18.930281400680542	127.4070779231772	127.40700174366441	127.40692556415162	0.25906887230568815	0.25906887881561114	0.25906888553774954	0.15137715630343146	0.2979126813495624	0.3705710077703103	0.47137343197169507	0.15137715630343146	0.2979126813495624	0.3705710077703103	0.47137343197169507	0.15137715630343146	0.2979126813495624	0.3705710077703103	0.47137343197169507	0.017697171712657188	3259200
fb15k	TransE	3	54298.901492118835	18.933915853500366	129.17576306478645	129.17568688527365	129.17561070576087	0.2626086939052166	0.26260869509603907	0.26260869629675626	0.15463594657276836	0.30189940918555636	0.37523488683110157	0.4755971627363681	0.15463594657276836	0.30189940918555636	0.37523488683110157	0.4755971627363681	0.15463594657276836	0.30189940918555636	0.37523488683110157	0.4755971627363681	0.01793021237402676	3259200
wn18	TransD	1	10594.665980815887	5.871095895767212	475.0935	475.09335	475.0932	0.3621554761408122	0.3621554761421133	0.3621554761434144	0.0368	0.6631	0.7979	0.8733	0.0368	0.6631	0.7979	0.8733	0.0368	0.6631	0.7979	0.8733	0.023223237880552916	16384400
wn18	TransD	0	10773.755046844482	6.3099024295806885	430.7446	430.7443	430.744	0.36060809594174015	0.36060809594802906	0.36060809595431964	0.0399	0.6511	0.7935	0.8679	0.0399	0.6511	0.7935	0.8679	0.0399	0.6511	0.7935	0.8679	0.021058177844548116	16384400
wn18	TransD	2	10816.027905225754	5.34886360168457	417.2497	417.2494	417.2491	0.36309772615095354	0.36309772615440733	0.3630977261578617	0.0429	0.6527	0.7924	0.8719	0.0429	0.6527	0.7924	0.8719	0.0429	0.6527	0.7924	0.8719	0.020397392412564296	16384400
wn18	TransD	3	11054.663060188293	5.346472978591919	454.4609	454.46075	454.4606	0.3630795417696613	0.3630795417749465	0.3630795417802334	0.0379	0.6582	0.8017	0.8778	0.0379	0.6582	0.8017	0.8778	0.0379	0.6582	0.8017	0.8778	0.022216821680196154	16384400
wn18rr	RotatE	1	66672.20592403412	7.46975564956665	4215.539500683994	4215.538389192887	4215.537277701778	0.4835826254436224	0.4835826255050971	0.48358262556660603	0.438953488372093	0.5058139534883721	0.5295827633378933	0.5649794801641587	0.438953488372093	0.5058139534883721	0.5295827633378933	0.5649794801641587	0.438953488372093	0.5058139534883721	0.5295827633378933	0.5649794801641587	0.20799248286283742	162280000
wn18rr	RotatE	0	66665.32962536812	7.421817779541016	4300.594049247606	4300.592339261286	4300.590629274966	0.48535650288237353	0.4853565029843291	0.48535650308633127	0.442202462380301	0.5068399452804377	0.5299247606019152	0.5661764705882353	0.442202462380301	0.5068399452804377	0.5299247606019152	0.5661764705882353	0.442202462380301	0.5068399452804377	0.5299247606019152	0.5661764705882353	0.21218720696215165	162280000
wn18rr	RotatE	2	66646.27721977234	7.3179686069488525	4166.7144322845415	4166.713064295485	4166.71169630643	0.48389504950066026	0.4838950495814587	0.4838950496622995	0.43912448700410395	0.5051299589603283	0.5311217510259918	0.5675444596443229	0.43912448700410395	0.5051299589603283	0.5311217510259918	0.5675444596443229	0.43912448700410395	0.5051299589603283	0.5311217510259918	0.5675444596443229	0.20558521736190494	162280000
wn18rr	RotatE	3	66672.06061720848	8.13737678527832	4370.443228454173	4370.442031463748	4370.440834473324	0.48322193565398935	0.4832219484588992	0.4832219614217557	0.44066347469220246	0.5041039671682627	0.5285567715458276	0.5615595075239398	0.44066347469220246	0.5041039671682627	0.5285567715458276	0.5615595075239398	0.44066347469220246	0.5041039671682627	0.5285567715458276	0.5615595075239398	0.21563046442840414	162280000
fb15k237	ConvE	1	14847.583311796188	6.720496892929077	263.0536745278403	263.05363783149033	263.0536011351404	0.2708564157724753	0.270856415776359	0.2708564157802439	0.18379978471474703	0.296286329386437	0.360774048341325	0.45045992758586945	0.18379978471474703	0.296286329386437	0.360774048341325	0.45045992758586945	0.18379978471474703	0.296286329386437	0.360774048341325	0.45045992758586945	0.0389650479961244	20339564
fb15k237	ConvE	0	15941.885835886002	6.699827671051025	248.6402534494569	248.64021675310696	248.64018005675703	0.26808143921457883	0.2680814392155626	0.2680814392165466	0.18152461101869066	0.2915402681279969	0.35859673157843236	0.4481847538898131	0.18152461101869066	0.2915402681279969	0.35859673157843236	0.4481847538898131	0.18152461101869066	0.2915402681279969	0.35859673157843236	0.4481847538898131	0.035961356346736514	20339564
fb15k237	ConvE	2	14768.966647863388	6.731645107269287	252.88545845973186	252.88543399549857	252.88540953126528	0.26915093747266733	0.26915093747600033	0.26915093747933494	0.1812799686857814	0.2961884724532733	0.36150797534005286	0.4514874253840885	0.1812799686857814	0.2961884724532733	0.36150797534005286	0.4514874253840885	0.1812799686857814	0.2961884724532733	0.36150797534005286	0.4514874253840885	0.03682901819381082	20339564
fb15k237	ConvE	3	14619.497195720673	6.678751468658447	257.2537674919268	257.25375525981013	257.25374302769353	0.2692228298269711	0.2692228300922092	0.26922283035868666	0.18203835991780018	0.29653097171934634	0.3582053038457775	0.44794011155690383	0.18203835991780018	0.29653097171934634	0.3582053038457775	0.44794011155690383	0.18203835991780018	0.29653097171934634	0.3582053038457775	0.44794011155690383	0.03753337562308237	20339564
fb15k	ComplEx	1	5496.777877807617	84.09368872642517	161.31214132146062	161.31212862487516	161.31211592828967	0.19414135991063294	0.1941413606060009	0.1941413613082722	0.1040527500804117	0.21160129335883937	0.2802813563339033	0.38086370638722894	0.1040527500804117	0.21160129335883937	0.2802813563339033	0.38086370638722894	0.1040527500804117	0.21160129335883937	0.2802813563339033	0.38086370638722894	0.022856195671979492	26073600
fb15k	ComplEx	0	5508.452851295471	84.04066133499146	195.03242707927748	195.0323974539114	195.03236782854532	0.18530734927221834	0.18530734962595116	0.1853073499829088	0.09476731391037904	0.20124934400975097	0.26897293087978874	0.37559039122412013	0.09476731391037904	0.20124934400975097	0.26897293087978874	0.37559039122412013	0.09476731391037904	0.20124934400975097	0.26897293087978874	0.37559039122412013	0.02874208253577537	26073600
fb15k	ComplEx	2	5476.517793416977	84.13749122619629	166.055543329214	166.05553909701885	166.0555348648237	0.19542174882007352	0.1954217488205639	0.19542174882105443	0.10011680858627753	0.21595198997816187	0.28707826175280593	0.39410201283201574	0.10011680858627753	0.21595198997816187	0.28707826175280593	0.39410201283201574	0.10011680858627753	0.21595198997816187	0.28707826175280593	0.39410201283201574	0.023862067663220906	26073600
fb15k	ComplEx	3	5473.917738437653	84.15544867515564	162.2429026087251	162.24288567994446	162.24286875116385	0.19028926966901386	0.1902892707064971	0.19028927175981922	0.10331634812344467	0.2041272367151394	0.26734776794027526	0.3704948282575206	0.10331634812344467	0.2041272367151394	0.26734776794027526	0.3704948282575206	0.10331634812344467	0.2041272367151394	0.26734776794027526	0.3704948282575206	0.022976150193095648	26073600
wn18rr	ConvE	1	17967.54555773735	1.0704936981201172	5293.717168262654	5293.716740766074	5293.716313269494	0.4493546877822737	0.4493546877903719	0.44935468779847215	0.41261969904240764	0.466484268125855	0.4902530779753762	0.518296853625171	0.41261969904240764	0.466484268125855	0.4902530779753762	0.518296853625171	0.41261969904240764	0.466484268125855	0.4902530779753762	0.518296853625171	0.2611512495991407	40925380
wn18rr	ConvE	0	18043.877954483032	1.5806374549865723	5402.1332079343365	5402.132010943912	5402.1308139534885	0.4474321364017865	0.4474321364268271	0.44743213645187446	0.4103967168262654	0.46477428180574554	0.49127906976744184	0.5162448700410397	0.4103967168262654	0.46477428180574554	0.49127906976744184	0.5162448700410397	0.4103967168262654	0.46477428180574554	0.49127906976744184	0.5162448700410397	0.2664879999297874	40925380
wn18rr	ConvE	2	18170.363803625107	1.096768856048584	5386.570793433652	5386.5699384404925	5386.569083447333	0.4463304252158409	0.4463304252209991	0.446330425226158	0.40834473324213405	0.46511627906976744	0.4893980848153215	0.5189808481532148	0.40834473324213405	0.46511627906976744	0.4893980848153215	0.5189808481532148	0.40834473324213405	0.46511627906976744	0.4893980848153215	0.5189808481532148	0.26572377335329883	40925380
wn18rr	ConvE	3	16878.026708364487	1.032299518585205	5395.542749658002	5395.541723666211	5395.540697674419	0.4444329221666379	0.44443292225871533	0.44443292235086557	0.40783173734610123	0.4630642954856361	0.4859781121751026	0.5167578659370725	0.40783173734610123	0.4630642954856361	0.4859781121751026	0.5167578659370725	0.40783173734610123	0.4630642954856361	0.4859781121751026	0.5167578659370725	0.2661613120719009	40925380
fb15k	SimplE	1	4693.160828113556	36.81561994552612	14590.588300519714	7398.094394880737	205.6004892417599	0.00037746879212075733	0.000445988601141134	0.1395962859282114	0.00011003707402955765	0.0002793248802288771	0.00036396878332853685	0.00065175805386738	0.00011003707402955765	0.0002793248802288771	0.00036396878332853685	0.00065175805386738	0.050633982834216454	0.11988962435035805	0.19130368539554096	0.3424861607218432	1.000533824125205	26073600
fb15k	SimplE	0	4696.90930724144	36.80090522766113	14655.375590391224	7396.715410268998	138.05523014677252	0.0003222979134326384	0.00039159250541541586	0.23071730468064633	4.232195154982987e-05	0.00022853853836908128	0.0003470400027086049	0.0007702595182069035	4.232195154982987e-05	0.00022853853836908128	0.0003470400027086049	0.0007702595182069035	0.10703221546951973	0.22765824177684482	0.33224424844678435	0.5408914695874456	1.000309095408275	26073600
fb15k	SimplE	2	4680.947959184647	36.799105167388916	14661.801374616987	7394.533006890014	127.26463916304108	0.0003381118169856558	0.00040605000879297576	0.23171574818390228	0.00011003707402955765	0.00022853853836908128	0.0003808975639484688	0.0005755785410776862	0.00011003707402955765	0.00022853853836908128	0.0003808975639484688	0.0005840429313876521	0.10119178615564321	0.2328807705980938	0.3469384300248853	0.5591237663151123	1.0000407935526294	26073600
fb15k	SimplE	3	4720.293994903564	36.993433237075806	14700.880245805894	7393.6607683973525	86.44129098881008	0.00034379490616378476	0.00041515286569634524	0.35380688595497395	0.00014389463526942156	0.000304718051158775	0.0003555043930185709	0.0005332565895278563	0.00014389463526942156	0.000304718051158775	0.0003555043930185709	0.0005332565895278563	0.20423727378916898	0.3860269844763082	0.5185454791691354	0.7286231822721809	0.9999175397576331	26073600
fb15k	TuckER	1	63490.84619522095	45.089237451553345	7343.345008549034	7343.343709265122	7343.342409981209	0.0006268150070714708	0.0006268151062422497	0.0006268152054956257	3.3857561239863894e-05	0.00017775219650928545	0.0004062907348783667	0.0008633678116165293	3.3857561239863894e-05	0.00017775219650928545	0.0004062907348783667	0.0008633678116165293	3.3857561239863894e-05	0.00017775219650928545	0.0004062907348783667	0.0008633678116165293	0.9931617092048053	46116000
fb15k	TuckER	0	63390.64669632912	45.18563270568848	7347.755362191261	7347.754960132722	7347.754558074182	0.0010200583391649393	0.0010200583592979702	0.0010200583794372012	0.00011850146433952363	0.0001862165868192514	0.00029625366084880906	0.004147551251883327	0.00011850146433952363	0.0001862165868192514	0.00029625366084880906	0.004147551251883327	0.00011850146433952363	0.0001862165868192514	0.00029625366084880906	0.004147551251883327	0.9937579078868817	46116000
fb15k	TuckER	2	63517.20391845703	45.106693983078	7335.357645883767	7335.357349630106	7335.357053376445	0.0006617453880537283	0.0006617454035930907	0.0006617454191370088	9.31082934096257e-05	0.00019468097712921738	0.0003470400027086049	0.0006771512247972779	9.31082934096257e-05	0.00019468097712921738	0.0003470400027086049	0.0006771512247972779	9.31082934096257e-05	0.00019468097712921738	0.0003470400027086049	0.0006771512247972779	0.9922283819245071	46116000
fb15k	TuckER	3	63522.97187447548	45.057772636413574	7284.617976672141	7284.617667721894	7284.617358771648	0.0006388059583734779	0.0006388059933299879	0.0006388060283128851	8.464390309965973e-05	0.00014389463526942156	0.00016928780619931947	0.0005078634185979584	8.464390309965973e-05	0.00014389463526942156	0.00016928780619931947	0.0005078634185979584	8.464390309965973e-05	0.00014389463526942156	0.00016928780619931947	0.0005078634185979584	0.9852603715488307	46116000
wn18	TuckER	1	43086.302810668945	4.642760992050171	20767.2794	20767.27875	20767.2781	0.0002125740853652101	0.00021257409414834677	0.0002125741029329733	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0002	1.0148441814492892	37561920
wn18	TuckER	0	43119.23889493942	4.641325235366821	20738.5343	20738.5335	20738.5327	0.00029271391886017317	0.0002927139303811034	0.00029271394190396205	0.0	0.0002	0.0003	0.0003	0.0	0.0002	0.0003	0.0003	0.0	0.0002	0.0003	0.0003	1.013446717998026	37561920
wn18	TuckER	2	43956.29112482071	4.708656311035156	20525.4241	20525.42235	20525.4206	0.0004026697325820083	0.00040266974446142434	0.00040266975634260625	0.0	0.0003	0.0007	0.0009	0.0	0.0003	0.0007	0.0009	0.0	0.0003	0.0007	0.0009	1.0030197101501936	37561920
wn18	TuckER	3	43964.89746546745	4.712802886962891	20458.6138	20458.61285	20458.6119	0.00028299957470071045	0.00028309620527875216	0.00028319722760329933	0.0	0.0001	0.0002	0.0003	0.0	0.0001	0.0002	0.0003	0.0	0.0001	0.0002	0.0003	0.9997680699773824	37561920
fb15k	KG2E	1	2529.6187348365784	30.305118322372437	5716.275422796296	5716.272337526028	5716.26925225576	0.006462482444428484	0.006462495647126379	0.0064625094453115645	0.0014558751333141474	0.004113693690643463	0.006162076145655228	0.011215317160704914	0.0014558751333141474	0.004113693690643463	0.006162076145655228	0.011215317160704914	0.0014558751333141474	0.004113693690643463	0.006162076145655228	0.011215317160704914	0.7755579378979728	6518400
fb15k	KG2E	0	2533.673882007599	30.323569536209106	5761.122149616564	5761.118937380441	5761.115725144318	0.005190220243640315	0.005190231741502653	0.005190243682401423	0.0008549034213065633	0.003038716121277784	0.004765451744510843	0.008549034213065633	0.0008549034213065633	0.003038716121277784	0.004765451744510843	0.008549034213065633	0.0008549034213065633	0.003038716121277784	0.004765451744510843	0.008549034213065633	0.7816951669671508	6518400
fb15k	KG2E	2	2524.2325904369354	30.259450912475586	5831.329476392815	5831.3264799986455	5831.323483604476	0.006283902652634477	0.006283903437323973	0.006283904224107596	0.0014135531817643175	0.004342232229012544	0.006763047857662813	0.011409998137834132	0.0014135531817643175	0.004342232229012544	0.006763047857662813	0.011409998137834132	0.0014135531817643175	0.004342232229012544	0.006763047857662813	0.011409998137834132	0.7909058480581287	6518400
fb15k	KG2E	3	2528.8723652362823	30.27434992790222	5807.562991992687	5807.560020991688	5807.557049990689	0.0050711847025412425	0.00507119094339689	0.0050711973892811485	0.0007533307375869716	0.0027255336798090433	0.004689272231721149	0.00920925665724298	0.0007533307375869716	0.0027255336798090433	0.004689272231721149	0.00920925665724298	0.0007533307375869716	0.0027255336798090433	0.004689272231721149	0.00920925665724298	0.7877749494080577	6518400
fb15k	RotatE	1	89073.30203986168	109.02537560462952	42.292935619847306	42.292901762286064	42.29286790472482	0.5495921896256432	0.5495921928188715	0.5495921960839396	0.41481437592050246	0.6414738196407713	0.7118467606778284	0.7866465778469977	0.41481437592050246	0.6414738196407713	0.7118467606778284	0.7866465778469977	0.41481437592050246	0.6414738196407713	0.7118467606778284	0.7866465778469977	0.006253032861154032	130368000
fb15k	RotatE	0	89148.35987687111	109.16730618476868	42.334487311878924	42.334461918707994	42.334436525537065	0.5497582482965535	0.5497582707162674	0.5497582948585491	0.4150090568976317	0.6412368167120922	0.7127439860506848	0.7867142929694774	0.4150090568976317	0.6412368167120922	0.7127439860506848	0.7867142929694774	0.4150090568976317	0.6412368167120922	0.7127439860506848	0.7867142929694774	0.006260663777574047	130368000
fb15k	RotatE	2	89139.65863776207	109.3236837387085	42.40001862165868	42.39998053190229	42.39994244214589	0.5508528387891156	0.5508528464322111	0.5508528542912937	0.4162025359313369	0.6423033298911479	0.7128117011731645	0.7876538402938836	0.4162025359313369	0.6423033298911479	0.7128117011731645	0.7876538402938836	0.4162025359313369	0.6423033298911479	0.7128117011731645	0.7876538402938836	0.006271924455969879	130368000
fb15k	RotatE	3	92396.95648598671	108.84891843795776	42.10791251206176	42.107870190110205	42.10782786815866	0.5499129233428509	0.5499129238433351	0.5499129243488671	0.41530531055848047	0.6405681298776049	0.7119144758003081	0.7857747456450712	0.41530531055848047	0.6405681298776049	0.7119144758003081	0.7857747456450712	0.41530531055848047	0.6405681298776049	0.7119144758003081	0.7857747456450712	0.006227259578601699	130368000
fb15k	HolE	1	1258.903340101242	37.3793830871582	187.18783328536844	187.18781212439268	187.18779096341692	0.34001421571380447	0.3400142345957531	0.34001425438100813	0.2160450982715715	0.39558328113625973	0.4798039647204212	0.5873863655600887	0.2160450982715715	0.39558328113625973	0.4798039647204212	0.5873863655600887	0.2160450982715715	0.39558328113625973	0.4798039647204212	0.5873863655600887	0.02617711026631698	9777600
fb15k	HolE	0	1260.4039733409882	37.37265491485596	189.14648473870426	189.14646780992365	189.14645088114304	0.3409303626340116	0.340930362733448	0.3409303628332298	0.2180342299944135	0.39549017284285015	0.47834808958710706	0.5870816475089299	0.2180342299944135	0.39549017284285015	0.47834808958710706	0.5870816475089299	0.2180342299944135	0.39549017284285015	0.47834808958710706	0.5870816475089299	0.026506871198525937	9777600
fb15k	HolE	2	1371.3127410411835	37.42149376869202	191.66837365204583	191.66836518765552	191.66835672326522	0.3447076725146384	0.3447079749203624	0.3447083780931707	0.22055661830678336	0.4003741260517005	0.48507727988353	0.5925073216976181	0.22055661830678336	0.4003741260517005	0.48507727988353	0.5925073216976181	0.22055661830678336	0.40038259044201047	0.48507727988353	0.5925073216976181	0.02687627900324824	9777600
