number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301
0	TrialState.COMPLETE	0.007524787535410765	2020-01-06 16:16:19.075622	2020-01-06 16:44:44.312164	250.0	41.0	0.08661226119943806	1200.0	0.9511692623706114	0.003865675165250236	0.007524787535410765	0.00652148253068933	0.0069936260623229465	19283.294632318226	0.0056261210864179635	0.003865675165250236	0.007524787535410765	0.00652148253068933	0.0069936260623229465	19283.278535174693	0.005626122110238773	0.003865675165250236	0.007524787535410765	0.00652148253068933	0.0069936260623229465	19283.310729461755	0.005626120067351548	0			0.006860835694050991	0.007259206798866855		
1	TrialState.COMPLETE	0.00017705382436260624	2020-01-06 16:44:44.313586	2020-01-06 17:03:02.000078	450.0	51.0	0.01820087568212801	600.0	1.0127847789061781	0.0	0.00017705382436260624	8.852691218130312e-05	0.0001327903682719547	20532.562322946174	0.0002793250715047451	0.0	0.00017705382436260624	8.852691218130312e-05	0.0001327903682719547	20532.541342067987	0.00027932541134275085	0.0	0.00017705382436260624	8.852691218130312e-05	0.0001327903682719547	20532.58330382436	0.0002793247319113921	1	0.0003541076487252125	0.00023607176581680832				
2	TrialState.COMPLETE	0.0005311614730878187	2020-01-06 17:03:02.001124	2020-01-06 17:16:03.286096	50.0	51.0	0.0023825842852293355	700.0	1.014730283492373	0.0	0.0005311614730878187	0.00017705382436260624	0.000398371104815864	20572.188584454674	0.0003235795616032121	0.0	0.0005311614730878187	0.00017705382436260624	0.000398371104815864	20572.166563385268	0.00032357991383587454	0.0	0.0005311614730878187	0.00017705382436260624	0.000398371104815864	20572.21060552408	0.00032357920959866747	2	0.0005311614730878187	0.0005311614730878187				
3	TrialState.COMPLETE	0.0009737960339943342	2020-01-06 17:16:03.287116	2020-01-06 17:29:17.599132	50.0	71.0	0.06254643368942259	900.0	0.9905285297870976	0.0	0.0009737960339943342	8.852691218130312e-05	0.000398371104815864	20081.297317634562	0.0004265489854961049	0.0	0.0009737960339943342	8.852691218130312e-05	0.000398371104815864	20081.250044263455	0.0004265495291606299	0.0	0.0009737960339943342	8.852691218130312e-05	0.000398371104815864	20081.344591005665	0.0004265484420121549	3	0.0008852691218130312	0.0009442870632672333				
4	TrialState.COMPLETE	0.0018590651558073655	2020-01-06 17:29:17.600017	2020-01-06 17:42:44.916958	150.0	41.0	0.019082001839261557	1000.0	0.9848321576294248	0.0001327903682719547	0.0018590651558073655	0.0004868980169971671	0.0008410056657223796	19965.23924398017	0.0008366983652611242	0.0001327903682719547	0.0018590651558073655	0.0004868980169971671	0.0008410056657223796	19965.215120396602	0.0008366988097128424	0.0001327903682719547	0.0018590651558073655	0.0004868980169971671	0.0008410056657223796	19965.26336756374	0.0008366979212319596	4	0.00017705382436260624	0.0012983947119924457				
5	TrialState.COMPLETE	0.0011508498583569404	2020-01-06 17:42:44.917913	2020-01-06 18:02:27.417792	450.0	81.0	0.039353743699867126	1700.0	0.9971144008543333	0.0010623229461756375	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	20214.84386065864	0.001450251750026807	0.0010623229461756375	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	20214.803735835692	0.0014502529616344001	0.0010623229461756375	0.0011508498583569404	0.0011508498583569404	0.0011508498583569404	20214.883985481585	0.0014502505401667977	5	0.0	0.000767233238904627				
6	TrialState.COMPLETE	8.852691218130312e-05	2020-01-06 18:02:27.419325	2020-01-06 18:20:19.353632	450.0	31.0	0.003723020854752464	900.0	1.042044264777908	0.0	8.852691218130312e-05	4.426345609065156e-05	4.426345609065156e-05	21125.79448477337	0.00020566558383414127	0.0	8.852691218130312e-05	4.426345609065156e-05	4.426345609065156e-05	21125.774521954674	0.00020566609431088922	0.0	8.852691218130312e-05	4.426345609065156e-05	4.426345609065156e-05	21125.814447592067	0.0002056650742777795	6	0.00017705382436260624	0.00011803588290840416				
7	TrialState.COMPLETE	0.0002655807365439094	2020-01-06 18:20:19.354491	2020-01-06 18:36:28.962992	350.0	51.0	0.0013664686970912402	1300.0	1.0338919015963879	0.0	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	20960.37650495751	0.00021896768605461305	0.0	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	20960.360702903683	0.00021896787858819	0.0	0.0002655807365439094	4.426345609065156e-05	4.426345609065156e-05	20960.39230701133	0.0002189674935968675	7	0.00017705382436260624	0.00023607176581680832				
8	TrialState.COMPLETE	0.008270942938081748	2020-01-06 18:36:28.963914	2020-01-06 19:25:47.923312	450.0	91.0	0.0884164407540172	500.0	0.9478492979097192	0.0016440712262242008	0.008270942938081748	0.0034399028733306356	0.005185147713476325	19215.755185147715	0.0039040092417817283	0.0016440712262242008	0.008270942938081748	0.0034399028733306356	0.005185147713476325	19215.721620801294	0.0039040104086231517	0.0016440712262242008	0.008270942938081748	0.0034399028733306356	0.005185147713476325	19215.78874949413	0.0039040080781383903	8				0.006975920679886685	0.007731350330500472	
