number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	801	851	901	951	1051	1101	1151	1201
0	TrialState.COMPLETE	0.003045325779036827	2019-12-25 19:59:02.793066	2019-12-25 20:07:48.268798	4.289068191997475	450.0	1	16.0	0.022132425657195764	1200.0	0.952127613418637	0.0003541076487252125	0.003045325779036827	0.0007790368271954674	0.0013456090651558074	19301.991890934845	0.0019346712955654935	0.0004603399433427762	0.0032577903682719546	0.0008498583569405099	0.0016288951841359773	19301.9473796034	0.0020202033761836094	0.0003541076487252125	0.003045325779036827	0.0007790368271954674	0.0012747875354107649	19302.03640226629	0.001889389583911675	0		0.0035410764872521247	0.0032312322946175635																		
1	TrialState.COMPLETE	0.01195113314447592	2019-12-25 20:07:48.269563	2019-12-25 20:13:42.234319	7.054825805989202	450.0	2	16.0	0.08446744939846473	600.0	0.9064518162048156	0.0015049575070821529	0.01195113314447592	0.005001770538243626	0.007701841359773371	18375.99942457507	0.005394701699893879	0.00199185552407932	0.012039660056657223	0.005001770538243626	0.007701841359773371	18375.236366855523	0.005580205347682046	0.0015049575070821529	0.01195113314447592	0.005001770538243626	0.007701841359773371	18376.762482294616	0.00529709864249297	1	0.015403682719546742	0.013101983002832862																			
2	TrialState.COMPLETE	0.15474504249291784	2019-12-25 20:13:42.235102	2019-12-25 20:18:12.601049	3.1667268813335574	250.0	1	16.0	0.004934656411940528	500.0	0.3246751498600185	0.0015049575070821529	0.15474504249291784	0.08237429178470256	0.11428824362606232	6582.017506196884	0.05649528719308537	0.0015049575070821529	0.15474504249291784	0.08237429178470256	0.11428824362606232	6582.011242917847	0.056495314416498944	0.0015049575070821529	0.15474504249291784	0.08237429178470256	0.11428824362606232	6582.023769475921	0.056495260530947576	2	0.21990084985835695	0.1764636449480642																			
3	TrialState.COMPLETE	0.06998052407932011	2019-12-25 20:18:12.602077	2019-12-25 20:24:52.268992	9.495134065235558	450.0	2	46.0	0.010478911577959098	700.0	0.6455908629284488	0.011198654390934844	0.06998052407932011	0.041297804532577906	0.05223087818696884	13086.500752478754	0.03233454526293262	0.011198654390934844	0.06998052407932011	0.041297804532577906	0.05223087818696884	13086.497211402266	0.03233454610178744	0.011198654390934844	0.06998052407932011	0.041297804532577906	0.05223087818696884	13086.504293555241	0.03233454442598863	3	0.07232648725212465	0.0707625118035883																			
4	TrialState.COMPLETE	0.1024256373937677	2019-12-25 20:24:52.269982	2019-12-25 20:53:35.539726	4.218884072232195	450.0	1	21.0	0.005260463337287473	1200.0	0.31876846707353745	0.00113609537299339	0.1024256373937677	0.04604874881964117	0.06818047686496695	6462.264127419736	0.03669232513452853	0.00113609537299339	0.10244039187913126	0.046078257790368275	0.06818047686496695	6462.065037771483	0.036694577576407726	0.00113609537299339	0.1024256373937677	0.04604874881964117	0.06818047686496695	6462.463217067989	0.03669053083201391	4									0.10120396600566572	0.10187033221735771											
5	TrialState.COMPLETE	0.15248760623229463	2019-12-25 20:53:35.540812	2019-12-25 20:59:33.051906	8.211437570745275	450.0	2	16.0	0.006524541175607146	500.0	0.31758221973240985	0.014651203966005666	0.15248760623229463	0.09282046742209632	0.11937854107648725	6437.260379780453	0.06585703934795506	0.014651203966005666	0.15248760623229463	0.09282046742209632	0.11937854107648725	6437.258764164306	0.06585704140650307	0.014651203966005666	0.15248760623229463	0.09282046742209632	0.11937854107648725	6437.2619953966005	0.06585703730880768	5	0.16386331444759206	0.1562795089707271																			
6	TrialState.COMPLETE	0.3878023534539115	2019-12-25 20:59:33.052939	2019-12-25 21:32:03.254432	6.350664129346034	350.0	1	41.0	0.0035592246794710486	600.0	0.11918197979209233	0.007409021573327523	0.3878023534539115	0.20645837873174983	0.29871704074961863	2415.697884887775	0.1345942759171653	0.007409021573327523	0.3878023534539115	0.20648561778165178	0.29875789932447155	2415.575234255829	0.13460044910575159	0.007409021573327523	0.3878023534539115	0.20645837873174983	0.29871704074961863	2415.820535519721	0.13458928106985132	6																					
7	TrialState.COMPLETE	0.2899256373937677	2019-12-25 21:32:03.255603	2019-12-25 21:36:40.005517	9.048768979670383	250.0	2	6.0	0.002460340168627446	1500.0	0.17120662007982435	0.01164128895184136	0.2899256373937677	0.17439801699716714	0.2271600566572238	3469.713460516997	0.11433475378109823	0.01164128895184136	0.2899256373937677	0.17439801699716714	0.2271600566572238	3469.7121547450424	0.11433475534423679	0.01164128895184136	0.2899256373937677	0.17439801699716714	0.2271600566572238	3469.714766288952	0.11433475222691865	7	0.3089589235127479	0.29627006610009443																			
8	TrialState.COMPLETE	0.23567044381491972	2019-12-25 21:36:40.006575	2019-12-25 22:08:12.294245	7.5876962587230015	250.0	1	46.0	0.00466483352899331	1100.0	0.10866175711486128	0.005724740321057601	0.23567044381491972	0.09997639282341832	0.1552053824362606	2202.425596081209	0.08153702986922483	0.005724740321057601	0.23567044381491972	0.09997639282341832	0.15521718602455145	2202.293413597734	0.0815414152775349	0.005724740321057601	0.23567044381491972	0.09997639282341832	0.1552053824362606	2202.5577785646838	0.08153341430034576	8												0.23441926345609065	0.23508953864832052								
