number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	451	501	551	601	651	701	751	801
0	TrialState.COMPLETE	0.024386213408876298	2019-12-26 17:58:05.588128	2019-12-26 18:26:29.721793	0.3454736616781754	8.041754267857753	150.0	2	90.0	0.03541372234508831	1900.0	0.9328737396660707	0.008191690273843248	0.024386213408876298	0.01280689329556185	0.017563739376770537	18912.040179414544	0.013218406916206526	0.008191690273843248	0.024386213408876298	0.01280689329556185	0.017563739376770537	18911.98533994334	0.013218408337189057	0.008191690273843248	0.024386213408876298	0.01280689329556185	0.017563739376770537	18912.095018885742	0.013218405500416058	0								0.022690128568315537	0.023598745447187375			
1	TrialState.COMPLETE	0.0004426345609065156	2019-12-26 18:26:29.722876	2019-12-26 18:31:00.349471	0.6817460881071047	29.757570040896752	150.0	2	20.0	0.005150467288089039	1300.0	1.014163451270612	0.00017705382436260624	0.0004426345609065156	0.00017705382436260624	0.0003541076487252125	20560.533020538245	0.00041151885547700004	0.00017705382436260624	0.0004426345609065156	0.00017705382436260624	0.0003541076487252125	20560.453523371103	0.00041152049522707665	0.00017705382436260624	0.0004426345609065156	0.00017705382436260624	0.0003541076487252125	20560.612517705384	0.0004115172172052815	1	0.0005311614730878187	0.00047214353163361664										
2	TrialState.COMPLETE	0.09710597476178212	2019-12-26 18:31:00.350556	2019-12-26 18:52:03.921433	0.12883402877360556	18.836279409120433	150.0	1	40.0	0.08531900755307575	500.0	0.5789683911465594	0.0021890291012104045	0.09710597476178212	0.056818181818181816	0.07508691733195982	11734.91526364924	0.03738420493248509	0.0021890291012104045	0.09710597476178212	0.056818181818181816	0.07508691733195982	11734.904616276075	0.03738441319750551	0.0021890291012104045	0.09710597476178212	0.056818181818181816	0.07508691733195982	11734.925911022405	0.03738402615569195	2												
3	TrialState.COMPLETE	0.02393351108148642	2019-12-26 18:52:03.922472	2019-12-26 19:34:07.608622	0.43631584027818504	18.114229155522864	350.0	2	40.0	0.033791907004733814	1500.0	0.9541381075247827	0.006707215464089318	0.02393351108148642	0.011727212131311449	0.016299366772204633	19342.931422887854	0.012090145653035728	0.006707215464089318	0.02393351108148642	0.011727212131311449	0.016299366772204633	19342.732784119315	0.012090157209165727	0.006707215464089318	0.02393351108148642	0.011727212131311449	0.016299366772204633	19343.13006165639	0.012090134241880041	3										0.022403210576015107	0.023216182719546744	
4	TrialState.COMPLETE	0.0003541076487252125	2019-12-26 19:34:07.609687	2019-12-26 19:39:07.295992	0.9553169869817426	26.695857246225508	250.0	2	50.0	0.005387544283891221	1000.0	1.0161063744404772	0.00017705382436260624	0.0003541076487252125	0.0003098441926345609	0.0003098441926345609	20599.966625354107	0.00040568007645795304	0.00017705382436260624	0.0003541076487252125	0.0003098441926345609	0.0003098441926345609	20599.86176522663	0.00040568646133104877	0.00017705382436260624	0.0003541076487252125	0.0003098441926345609	0.0003098441926345609	20600.071485481585	0.0004056737252024513	4	0.0005311614730878187	0.00041312559017941453										
5	TrialState.COMPLETE	0.007406751652502361	2019-12-26 19:39:07.296827	2019-12-26 19:52:51.963475	0.4487106238158959	15.870368989424305	450.0	1	80.0	0.0021902635907123636	1400.0	0.9044322677536984	0.000708215297450425	0.007406751652502361	0.006078847969782814	0.007082152974504249	18335.768428352218	0.0038559972586837197	0.000708215297450425	0.007406751652502361	0.006078847969782814	0.007082152974504249	18335.750973796035	0.0038559976542061635	0.000708215297450425	0.007406751652502361	0.006078847969782814	0.007082152974504249	18335.785882908403	0.0038559968635452197	5			0.006152620396600567	0.006905099150141643								
6	TrialState.COMPLETE	0.005984419263456091	2019-12-26 19:52:51.964607	2019-12-26 20:02:39.976434	0.2971837313856076	9.683364067906679	450.0	1	50.0	0.001774440538549686	1600.0	0.9411841702898384	0.000708215297450425	0.005984419263456091	0.004957507082152974	0.005276203966005665	19080.714164305948	0.0031343448625463554	0.000708215297450425	0.005984419263456091	0.004957507082152974	0.005276203966005665	19080.697556657226	0.0031343451407291577	0.000708215297450425	0.005984419263456091	0.004957507082152974	0.005276203966005665	19080.730771954673	0.003134344584626267	6		0.0047804532577903685	0.005532932011331444									
7	TrialState.COMPLETE	0.000398371104815864	2019-12-26 20:02:39.977484	2019-12-26 20:07:48.766435	0.6592178029960457	17.59596018151973	250.0	2	80.0	0.01249282767728078	500.0	1.0141134173541742	0.00017705382436260624	0.000398371104815864	0.00017705382436260624	0.00017705382436260624	20559.665943696884	0.00037626681848641725	0.00017705382436260624	0.000398371104815864	0.00017705382436260624	0.00017705382436260624	20559.533595963174	0.0003762689443454107	0.00017705382436260624	0.000398371104815864	0.00017705382436260624	0.00017705382436260624	20559.798291430594	0.00037626469542786873	7	0.0006196883852691218	0.00047214353163361664										
8	TrialState.COMPLETE	0.02917594091460947	2019-12-26 20:07:48.767501	2019-12-26 20:44:44.944929	0.7438498961169909	7.8296575562159685	450.0	2	10.0	0.03427035421060131	1200.0	0.9286120100755819	0.009358559287737758	0.02917594091460947	0.015087515176042088	0.020829117766086605	18825.658463172804	0.015399141998785094	0.009358559287737758	0.02917594091460947	0.015087515176042088	0.020829117766086605	18825.601654188587	0.015399143637976342	0.009358559287737758	0.02917594091460947	0.015087515176042088	0.020829117766086605	18825.71527215702	0.015399140362597222	8							0.02748760623229462	0.028396709522771846				
