number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	651	701
0	TrialState.COMPLETE	0.3953611898016997	2019-12-27 14:55:10.050860	2019-12-27 15:14:38.991743	4.053253473454621	250.0	1	1.0	0.00249941681454735	700.0	0.1551649882829631	0.0022353045325779037	0.3953611898016997	0.23295856940509915	0.31272131728045327	3144.8860105347026	0.14251850057581789	0.0022353045325779037	0.3953611898016997	0.23295856940509915	0.31272131728045327	3144.8825469192634	0.14251851308822983	0.0022353045325779037	0.3953611898016997	0.23295856940509915	0.31272131728045327	3144.8894741501417	0.14251848826578295	0					0.39341359773371104	0.3945265074868474					
1	TrialState.COMPLETE	0.054621104815864026	2019-12-27 15:14:38.992567	2019-12-27 15:23:18.399682	0.6580862006817345	250.0	2	16.0	0.01444081284205743	1200.0	0.6149911478758135	0.003673866855524079	0.054621104815864026	0.03200247875354108	0.04005842776203966	12466.728067457507	0.02338177993701384	0.003673866855524079	0.054621104815864026	0.03200247875354108	0.04005842776203966	12466.723132082154	0.023381802985873824	0.003673866855524079	0.054621104815864026	0.03200247875354108	0.04005842776203966	12466.733002832862	0.023381757391354743	1	0.05736543909348442	0.05553588290840415									
2	TrialState.COMPLETE	0.0028771246458923513	2019-12-27 15:23:18.400509	2019-12-27 15:35:19.024456	7.0913859923835725	450.0	1	36.0	0.08740339938068366	500.0	0.9215576676522023	0.0005754249291784702	0.0028771246458923513	0.0009295325779036828	0.0017705382436260624	18682.56010977337	0.0017691826312275318	0.0005754249291784702	0.0028771246458923513	0.0009295325779036828	0.0017705382436260624	18682.450779036826	0.0017764375514762035	0.0005754249291784702	0.0028771246458923513	0.0009295325779036828	0.0017705382436260624	18682.669440509915	0.0017639172431377804	2	0.003098441926345609	0.002950897072710104									
3	TrialState.COMPLETE	0.2975832152974504	2019-12-27 15:35:19.025289	2019-12-27 15:44:47.290939	5.733047988653926	450.0	2	1.0	0.0011958937716436094	800.0	0.1735199676529553	0.009472379603399434	0.2975832152974504	0.1778063031161473	0.2344635269121813	3516.6832507082154	0.11500030086838514	0.009472379603399434	0.2975832152974504	0.1778063031161473	0.2344635269121813	3516.68161296034	0.11500030089920582	0.009472379603399434	0.2975832152974504	0.1778063031161473	0.2344635269121813	3516.6848884560904	0.11500030083758656	3	0.3278151558073654	0.30766052880075545									
4	TrialState.COMPLETE	0.288996104815864	2019-12-27 15:44:47.291971	2019-12-27 15:53:20.847864	2.910835647861661	150.0	2	31.0	0.0037122560783296172	800.0	0.1506517690018489	0.012260977337110481	0.288996104815864	0.17045856940509915	0.22463703966005666	3053.2621724504247	0.11188913679637022	0.012260977337110481	0.288996104815864	0.17045856940509915	0.22463703966005666	3053.261242917847	0.11188913681613677	0.012260977337110481	0.288996104815864	0.17045856940509915	0.22463703966005666	3053.263101983003	0.11188913677661298	4	0.30780807365439095	0.295266761095373									
5	TrialState.COMPLETE	0.009516643059490085	2019-12-27 15:53:20.848900	2019-12-27 16:00:16.979578	4.063245494605344	250.0	2	1.0	0.021523378891339377	1200.0	0.8622539966796097	0.00141643059490085	0.009516643059490085	0.0027443342776203965	0.004691926345609066	17479.616457152973	0.004428947230522487	0.00141643059490085	0.009516643059490085	0.0027443342776203965	0.004691926345609066	17479.60596671388	0.004429059749588257	0.00141643059490085	0.009516643059490085	0.0027443342776203965	0.004691926345609066	17479.626947592067	0.004428838599173268	5	0.011597025495750708	0.01021010387157696									
6	TrialState.COMPLETE	0.4606350330500472	2019-12-27 16:00:16.980600	2019-12-27 16:31:12.904936	8.21344713893619	250.0	1	36.0	0.0016150177212102337	1200.0	0.11777926601811847	0.009796978281397545	0.4606350330500472	0.300519357884797	0.3809017941454202	2387.006305083412	0.17797868020683083	0.009796978281397545	0.4606350330500472	0.300519357884797	0.3809017941454202	2387.0042099464904	0.17797868480285614	0.009796978281397545	0.4606350330500472	0.300519357884797	0.3809017941454202	2387.0084002203334	0.17797867569799986	6						0.46350161877782275	0.461889164305949				
7	TrialState.COMPLETE	0.18462287535410765	2019-12-27 16:31:12.905979	2019-12-27 16:39:42.115479	7.505194283975963	50.0	2	36.0	0.013025632719047641	1600.0	0.19111770601403355	0.013854461756373938	0.18462287535410765	0.10185021246458924	0.1377921388101983	3873.6716758144476	0.07544296500531031	0.013854461756373938	0.18462287535410765	0.10185021246458924	0.1377921388101983	3873.670458569405	0.07544299236183778	0.013854461756373938	0.18462287535410765	0.10185021246458924	0.1377921388101983	3873.67289305949	0.07544293809911959	7	0.1959100566572238	0.18838526912181303									
8	TrialState.COMPLETE	0.004736189801699717	2019-12-27 16:39:42.116310	2019-12-27 16:52:15.318266	8.788445317292704	450.0	1	46.0	0.029397565653840114	600.0	0.9294544386730141	0.0005311614730878187	0.004736189801699717	0.0011951133144475921	0.0020361189801699716	18842.440709100567	0.0025049012028912658	0.000708215297450425	0.004957507082152974	0.0013721671388101982	0.0022574362606232294	18827.72361898017	0.002691943504454947	0.0005311614730878187	0.004514872521246459	0.0011951133144475921	0.0019475920679886685	18857.157799220964	0.002475787813983918	8	0.004514872521246459	0.004662417374881964									
9	TrialState.COMPLETE	0.4461203080736544	2019-12-27 16:52:15.319297	2019-12-27 17:31:55.729225	7.434214191473572	150.0	1	1.0	0.002314853398014147	1900.0	0.09276351287505252	0.013489288243626062	0.4461203080736544	0.2728510092067989	0.3606033109065156	1879.976020272663	0.16869537619887728	0.013489288243626062	0.4461203080736544	0.2728510092067989	0.3606033109065156	1879.9749911473089	0.16869539797735916	0.013489288243626062	0.4461203080736544	0.2728510092067989	0.3606033109065156	1879.977049398017	0.16869535565910326	9										0.4442659854309996	0.44525495750708216
10	TrialState.COMPLETE	0.01761685552407932	2019-12-27 17:31:55.730051	2019-12-27 17:40:35.232961	8.86745470422265	250.0	2	16.0	0.022300253119669444	1500.0	0.9011004087178227	0.002478753541076487	0.01761685552407932	0.006152620396600567	0.010047804532577904	18267.595277089236	0.007498492700700456	0.002478753541076487	0.01761685552407932	0.006152620396600567	0.010047804532577904	18267.568519830027	0.007498495151145269	0.002478753541076487	0.01761685552407932	0.006152620396600567	0.010047804532577904	18267.622034348442	0.007498490265235145	10	0.017528328611898018	0.01758734655335222									
