number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301
0	TrialState.COMPLETE	0.0012393767705382436	2020-01-17 15:42:49.464085	2020-01-17 16:22:38.722874	7.740918905739176	250.0	450.0	26.0	0.0651242562783589	800.0	0.9435240159573725	4.426345609065156e-05	0.0012393767705382436	0.0003541076487252125	0.000708215297450425	19128.09228930595	0.0007846009666656596	4.426345609065156e-05	0.0012393767705382436	0.0003541076487252125	0.000708215297450425	19030.606276558072	0.0007857608076162159	4.426345609065156e-05	0.0012393767705382436	0.0003541076487252125	0.000708215297450425	19225.578302053826	0.0007834931468441944	0	0.0019475920679886685	0.001475448536355052				
1	TrialState.COMPLETE	0.0008852691218130312	2020-01-17 16:22:38.723683	2020-01-17 16:54:21.950162	8.065162951015944	150.0	250.0	6.0	0.04269724136482842	700.0	0.9571379021788068	0.0003098441926345609	0.0008852691218130312	0.0005311614730878187	0.0006639518413597734	19404.283374645893	0.0007231868704805169	0.0003098441926345609	0.0013279036827195468	0.0005311614730878187	0.0007524787535410764	18599.496370396602	0.0008540717763891577	0.0003098441926345609	0.0008852691218130312	0.0005311614730878187	0.0006639518413597734	20209.070378895183	0.0007085181693838016	1	0.0017705382436260624	0.0011803588290840415				
2	TrialState.COMPLETE	0.00624114730878187	2020-01-17 16:54:21.951275	2020-01-17 17:42:36.756302	7.921298590606828	450.0	450.0	26.0	0.0017842937215181718	700.0	0.8338988249399601	0.0006196883852691218	0.00624114730878187	0.0032312322946175635	0.004116501416430595	16905.71379249292	0.003041426852836953	0.0006196883852691218	0.00624114730878187	0.0032312322946175635	0.004116501416430595	16904.852779745044	0.0030414419191585303	0.0006196883852691218	0.00624114730878187	0.0032312322946175635	0.004116501416430595	16906.574805240794	0.0030414118352824642	2	0.010888810198300283	0.007790368271954674				
3	TrialState.COMPLETE	0.0024344900849858357	2020-01-17 17:42:36.757417	2020-01-17 18:20:07.810649	1.526951401890757	350.0	50.0	1.0	0.03374146777426312	500.0	0.9338253591149142	0.0005754249291784702	0.0024344900849858357	0.00141643059490085	0.0015492209631728046	18931.37159171388	0.001424370599339271	0.0005754249291784702	0.0024344900849858357	0.00141643059490085	0.0015492209631728046	18930.196618271955	0.0014243745137665603	0.0005754249291784702	0.0024344900849858357	0.00141643059490085	0.0015492209631728046	18932.546565155808	0.001424366692024246	3	0.003806657223796034	0.002891879131255902				
4	TrialState.COMPLETE	0.04813650849858357	2020-01-17 18:20:07.811655	2020-01-17 20:17:55.381553	1.481594420609583	250.0	350.0	41.0	0.01882315466663667	1000.0	0.6172988432577847	0.004691926345609066	0.04813650849858357	0.026602337110481586	0.03518944759206799	12513.820102248583	0.020873614806604605	0.004691926345609066	0.04813650849858357	0.026602337110481586	0.03518944759206799	12513.81294263456	0.02087361574282492	0.004691926345609066	0.04813650849858357	0.026602337110481586	0.03518944759206799	12513.827261862607	0.02087361387251433	4					0.046948772426817754	0.04762747875354108
5	TrialState.COMPLETE	0.01447415014164306	2020-01-17 20:17:55.382676	2020-01-17 20:54:36.165309	6.325670062189129	50.0	350.0	46.0	0.012071443234713377	800.0	0.6723915580086294	0.004160764872521246	0.01447415014164306	0.0075690509915014165	0.010578966005665722	13631.641598796034	0.008390116748491218	0.004160764872521246	0.01447415014164306	0.0075690509915014165	0.010578966005665722	13629.978178116147	0.008390132447721141	0.004160764872521246	0.01447415014164306	0.0075690509915014165	0.010578966005665722	13633.30501947592	0.008390101089555952	5	0.017793909348441925	0.015580736543909348				
6	TrialState.COMPLETE	0.0007524787535410764	2020-01-17 20:54:36.167004	2020-01-17 21:38:00.589404	4.113062858635471	350.0	350.0	31.0	0.06872349935014492	900.0	1.0069072760657167	8.852691218130312e-05	0.0007524787535410764	0.0003541076487252125	0.0005311614730878187	20412.907201664308	0.0006124131734125276	8.852691218130312e-05	0.0007524787535410764	0.0003541076487252125	0.0005311614730878187	20139.358091359773	0.0006134031054209566	8.852691218130312e-05	0.0007524787535410764	0.0003541076487252125	0.0005311614730878187	20686.45631196884	0.0006114697704260044	6	0.0011508498583569404	0.0008852691218130312				
7	TrialState.COMPLETE	0.006683781869688385	2020-01-17 21:38:00.590599	2020-01-17 22:20:30.944155	6.154912003383871	350.0	50.0	11.0	0.02561786600337014	900.0	0.9332700132820614	0.00141643059490085	0.006683781869688385	0.0033640226628895184	0.0042935552407932015	18920.004492740794	0.0034461464721098345	0.00141643059490085	0.006683781869688385	0.0033640226628895184	0.0042935552407932015	18913.42515049575	0.0034461746748597607	0.00141643059490085	0.006683781869688385	0.0033640226628895184	0.0042935552407932015	18926.583834985835	0.003446118601305622	7	0.005754249291784703	0.006373937677053824				
8	TrialState.COMPLETE	0.016244688385269122	2020-01-17 22:20:30.944999	2020-01-17 23:04:23.942681	5.647673489302108	350.0	50.0	41.0	0.0030777503794546654	900.0	0.5229004970906166	0.00424929178470255	0.016244688385269122	0.008321529745042492	0.011597025495750708	10600.140802053824	0.00912405860825145	0.00424929178470255	0.016244688385269122	0.008321529745042492	0.011597025495750708	10600.135136331444	0.00912405872461408	0.00424929178470255	0.016244688385269122	0.008321529745042492	0.011597025495750708	10600.146467776203	0.009124058491977116	8	0.0170856940509915	0.016525023607176583				
