number	value	datetime_start	datetime_complete	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10580524344569288	2020-03-13 20:57:09.567477	2020-03-13 20:58:21.450892	6.099065588319547	4.531553813021878	0.021264959312162678	128	84	0.0013165819278604719	512	0.9877597752144065	0.012640449438202247	0.10580524344569288	0.03417602996254682	0.05758426966292135	47.64138576779026	0.05669689583485279	0.012640449438202247	0.10580524344569288	0.03417602996254682	0.05758426966292135	47.64138576779026	0.05669689583485279	1822343669	150.0	0.012640449438202247	0.10580524344569288	0.03417602996254682	0.05758426966292135	47.64138576779026	0.05669689583485279	0	COMPLETE
1	0.34597378277153557	2020-03-13 20:58:21.469612	2020-03-13 21:16:14.824536	5.505441858802548	3.0256067271778395	0.06531327551401372	256	20	0.006126662594733906	256	0.4900924797677383	0.04915730337078652	0.34597378277153557	0.13951310861423222	0.20692883895131087	23.411516853932586	0.14717273042307358	0.04915730337078652	0.34597378277153557	0.13951310861423222	0.20692883895131087	23.411516853932586	0.14717273042307358	650424399		0.04915730337078652	0.34597378277153557	0.13951310861423222	0.20692883895131087	23.411516853932586	0.14717273042307358	1	COMPLETE
2	0.21722846441947566	2020-03-13 21:16:14.842428	2020-03-13 21:34:36.289563	1.302011907906004	8.629287582530763	0.022354578045541255	256	29	0.003592263195758058	256	0.6624947762202248	0.02294007490636704	0.21722846441947566	0.07162921348314606	0.11657303370786516	31.642790262172284	0.09480955875899036	0.02294007490636704	0.21722846441947566	0.07162921348314606	0.11657303370786516	31.642790262172284	0.09480955875899036	2291525132		0.02294007490636704	0.21722846441947566	0.07162921348314606	0.11657303370786516	31.642790262172284	0.09480955875899036	2	COMPLETE
3	0.17134831460674158	2020-03-13 21:34:36.301972	2020-03-13 21:55:56.793018	2.6307709756328	4.030210577041919	0.01889207884104969	128	2	0.0043878174007779295	128	0.710531415017531	0.013576779026217229	0.17134831460674158	0.04447565543071161	0.08052434456928839	33.999063670411985	0.0756977251724193	0.013576779026217229	0.17134831460674158	0.04447565543071161	0.08052434456928839	33.999063670411985	0.0756977251724193	3738975283		0.013576779026217229	0.17134831460674158	0.04447565543071161	0.08052434456928839	33.999063670411985	0.0756977251724193	3	COMPLETE
4	0.8052434456928839	2020-03-13 21:55:56.805493	2020-03-13 22:13:39.381419	9.744956182637841	6.1168448095378665	0.05832832441714148	128	13	0.047856492784731336	256	0.1655271881615764	0.21114232209737827	0.8052434456928839	0.4691011235955056	0.6212546816479401	7.958567415730337	0.3932059304084241	0.21114232209737827	0.8052434456928839	0.4691011235955056	0.6212546816479401	7.958333333333333	0.39320937279661533	420122158		0.21114232209737827	0.8052434456928839	0.4691011235955056	0.6212546816479401	7.9588014981273405	0.39320287050780967	4	COMPLETE
5	0.3136704119850187	2020-03-13 22:13:39.399491	2020-03-13 22:29:15.949767	6.1471169867498014	8.213099067018849	0.07015337062205762	256	97	0.009087774016612095	512	0.5376149481066506	0.042134831460674156	0.3136704119850187	0.12265917602996254	0.1802434456928839	25.630149812734082	0.1334252985960866	0.042134831460674156	0.3136704119850187	0.12265917602996254	0.1802434456928839	25.630149812734082	0.1334252985960866	4107234197		0.042134831460674156	0.3136704119850187	0.12265917602996254	0.1802434456928839	25.630149812734082	0.1334252985960866	5	COMPLETE
6	0.6114232209737828	2020-03-13 22:29:15.962608	2020-03-13 23:04:21.113803	8.888119243511857	5.584642390415183	0.012149235093704169	64	49	0.015582849611838635	128	0.2563845802016542	0.10486891385767791	0.6114232209737828	0.26685393258426965	0.3852996254681648	12.257256554307116	0.25100697264529803	0.10486891385767791	0.6114232209737828	0.26685393258426965	0.3852996254681648	12.257022471910112	0.251009710451111	3043544255		0.10486891385767791	0.6114232209737828	0.26685393258426965	0.3852996254681648	12.25749063670412	0.25100450862006646	6	COMPLETE
7	0.10486891385767791	2020-03-13 23:04:21.126073	2020-03-13 23:07:52.032582	1.4808577109835075	4.52072936867719	0.07608772020655641	128	62	0.0013653943015216738	128	0.9789766352501618	0.011704119850187267	0.10486891385767791	0.03417602996254682	0.04868913857677903	47.179073033707866	0.05521524982058583	0.011704119850187267	0.10486891385767791	0.03417602996254682	0.04868913857677903	47.17883895131086	0.0552152946639569	2935224497	150.0	0.011704119850187267	0.10486891385767791	0.03417602996254682	0.04868913857677903	47.179307116104866	0.055215205591507506	7	COMPLETE
8	0.800561797752809	2020-03-13 23:07:52.045075	2020-03-13 23:18:00.545584	4.779123517816622	2.2020616177550023	0.03421525164698906	256	22	0.023162825596757305	512	0.16215899188249383	0.18211610486891386	0.800561797752809	0.425561797752809	0.5838014981273408	7.779494382022472	0.3628212502052776	0.18211610486891386	0.800561797752809	0.425561797752809	0.5838014981273408	7.779494382022472	0.3628212502052776	3402236946		0.18211610486891386	0.800561797752809	0.425561797752809	0.5838014981273408	7.779494382022472	0.3628212502052776	8	COMPLETE
9	0.11329588014981273	2020-03-13 23:18:00.557802	2020-03-13 23:19:51.170063	6.406914572880118	5.300620839702329	0.08167780759115781	128	35	0.0011636483128130073	256	0.9694225994516025	0.012640449438202247	0.11329588014981273	0.03838951310861423	0.05758426966292135	46.70692883895131	0.058889179517700584	0.012640449438202247	0.11329588014981273	0.03838951310861423	0.05758426966292135	46.70692883895131	0.058889179517700584	3554375603	150.0	0.012640449438202247	0.11329588014981273	0.03838951310861423	0.05758426966292135	46.70692883895131	0.058889179517700584	9	COMPLETE
