Replicate	Epoch	Loss
0	0	0.0002600567140261988
0	1	0.0001129699655901995
0	2	9.108061996177827e-05
0	3	7.808521309448292e-05
0	4	7.217857692117614e-05
0	5	6.940238686704859e-05
0	6	6.794062402732317e-05
0	7	6.710425066268435e-05
0	8	6.660566061570085e-05
0	9	6.627345329612582e-05
0	10	6.60622236441028e-05
0	11	6.588907445157142e-05
0	12	6.576730316663334e-05
0	13	6.568808109838807e-05
0	14	6.560830641630227e-05
0	15	6.554414439350156e-05
0	16	6.55175501902543e-05
0	17	6.545729085897596e-05
0	18	6.543723019031275e-05
0	19	6.542311685183572e-05
0	20	6.53912009954083e-05
0	21	6.5363627890174e-05
0	22	6.534445808910329e-05
0	23	6.53526789731122e-05
0	24	6.533540967211727e-05
0	25	6.531761662121409e-05
0	26	6.531191630037025e-05
0	27	6.530836901505193e-05
0	28	6.529754087490249e-05
0	29	6.529984706567929e-05
0	30	6.528707927402922e-05
0	31	6.526362122485518e-05
0	32	6.527062949011821e-05
0	33	6.527166778824075e-05
0	34	6.525268753004379e-05
0	35	6.525703670565226e-05
0	36	6.525280868108179e-05
0	37	6.525362757932895e-05
0	38	6.52415263998912e-05
0	39	6.525460881986862e-05
0	40	6.523652334731581e-05
0	41	6.523827832214292e-05
0	42	6.52400059921085e-05
0	43	6.523045105852365e-05
0	44	6.523254318002025e-05
0	45	6.522276099655271e-05
0	46	6.524931224005849e-05
0	47	6.523448905272332e-05
0	48	6.523832313336784e-05
0	49	6.521389372482784e-05
0	50	6.522111196880236e-05
0	51	6.5226051246646e-05
0	52	6.521704872400965e-05
0	53	6.522298264021935e-05
0	54	6.521371362119323e-05
0	55	6.522130942532114e-05
0	56	6.521650806037099e-05
0	57	6.522308621815457e-05
0	58	6.520984634058794e-05
0	59	6.521160635595055e-05
0	60	6.520983418995396e-05
0	61	6.52178638338336e-05
0	62	6.522432461787915e-05
0	63	6.520552462556627e-05
0	64	6.520265965889213e-05
0	65	6.52012284334429e-05
0	66	6.519726182697188e-05
0	67	6.52033793137352e-05
0	68	6.520947242340009e-05
0	69	6.521460226756181e-05
0	70	6.520785470391231e-05
0	71	6.520772310195582e-05
0	72	6.520250505815542e-05
0	73	6.519577139426818e-05
0	74	6.51916594020167e-05
0	75	6.519759466830874e-05
0	76	6.520442707965363e-05
0	77	6.519372225529432e-05
0	78	6.519359054927143e-05
0	79	6.519592861452611e-05
0	80	6.520451679108933e-05
0	81	6.519692023218593e-05
0	82	6.518050931145829e-05
0	83	6.520516426118138e-05
0	84	6.518646381056772e-05
0	85	6.518862260108252e-05
0	86	6.519279565538746e-05
0	87	6.518745510768592e-05
0	88	6.518805659069905e-05
0	89	6.518762774217698e-05
0	90	6.520268385245724e-05
0	91	6.52061620345877e-05
0	92	6.519126824852472e-05
0	93	6.519093645940284e-05
0	94	6.516825346550703e-05
0	95	6.518143449785901e-05
0	96	6.518030465778038e-05
0	97	6.517249883504706e-05
0	98	6.518274450627953e-05
0	99	6.5201756079905e-05
0	100	6.517391160384521e-05
0	101	6.518237902264087e-05
0	102	6.517440601195e-05
0	103	6.516798242581161e-05
0	104	6.517610609886628e-05
0	105	6.516657338682578e-05
0	106	6.518869220385324e-05
0	107	6.517747022908499e-05
0	108	6.516002544198728e-05
0	109	6.517448848847174e-05
0	110	6.516531213228127e-05
0	111	6.518467681462857e-05
0	112	6.516701247791967e-05
0	113	6.516749705383573e-05
0	114	6.515605073224148e-05
0	115	6.515741352350111e-05
0	116	6.516519416676591e-05
0	117	6.515167972782433e-05
0	118	6.515400972381569e-05
0	119	6.517674872660886e-05
0	120	6.515591492720053e-05
0	121	6.514704012814902e-05
0	122	6.515244773022457e-05
0	123	6.515274780027293e-05
0	124	6.514217547125819e-05
0	125	6.515059475576327e-05
0	126	6.515819286379068e-05
0	127	6.515472263808692e-05
0	128	6.514773597927488e-05
0	129	6.515363692130406e-05
0	130	6.513553490315707e-05
0	131	6.513295148859549e-05
0	132	6.51293074792852e-05
0	133	6.513764036162315e-05
0	134	6.514361661488727e-05
0	135	6.513654052624984e-05
0	136	6.51370182014837e-05
0	137	6.51275772989986e-05
0	138	6.513179429424249e-05
0	139	6.511484101668495e-05
0	140	6.513035651507034e-05
0	141	6.511959912124546e-05
0	142	6.512581507834822e-05
0	143	6.513403745169377e-05
0	144	6.511850116623318e-05
0	145	6.512104174629657e-05
0	146	6.511562640213045e-05
0	147	6.512436131059912e-05
0	148	6.512529540692285e-05
0	149	6.511583193475763e-05
0	150	6.511666299337158e-05
