number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.3387039660056657	2020-05-08 21:19:55.426827	2020-05-08 22:11:50.311831	0.7114536173335655	25.805137994995857	16	0.400566398854536	16	49	0.0012733213817093158	512	0.4684506783161043	0.10162889518413598	0.3387039660056657	0.20892351274787535	0.26929886685552407	9494.381550991502	0.17510997837690592	0.10162889518413598	0.3387039660056657	0.20892351274787535	0.26929886685552407	9494.381019830029	0.17510997841214243	3632115861	350	0.10162889518413598	0.3387039660056657	0.20892351274787535	0.26929886685552407	9494.382082152975	0.1751099783416903	0	COMPLETE
1	0.38827903682719545	2020-05-08 22:11:50.357884	2020-05-08 23:28:40.640938	0.4033636935401454	14.67568390013301	16	0.4183857678568185	128	26	0.01026484055321093	256	0.23414617746040145	0.000708215297450425	0.38827903682719545	0.28842067988668557	0.35640934844192634	4745.979992917847	0.15155478447462611	0.000708215297450425	0.38827903682719545	0.28842067988668557	0.35640934844192634	4745.978930594901	0.15155478449207246	3446021643	350	0.000708215297450425	0.38827903682719545	0.28842067988668557	0.35640934844192634	4745.9810552407935	0.15155478445718332	1	COMPLETE
2	0.36455382436260625	2020-05-08 23:28:40.695208	2020-05-09 02:25:53.801421	0.7688129363349382	25.631198814515724	16	0.3464328467801234	32	19	0.008234901336464047	128	0.4578903146118843	0.2243271954674221	0.36455382436260625	0.31143767705382436	0.33923512747875356	9281.230612606232	0.2751043211009451	0.22592067988668554	0.3649079320113314	0.31214589235127477	0.33994334277620397	9281.221671388103	0.2759872640045939	2975490375	650	0.2243271954674221	0.36437677053824363	0.31143767705382436	0.33905807365439095	9281.239553824362	0.27484351520114186	2	COMPLETE
3	0.3881019830028329	2020-05-09 02:25:53.874820	2020-05-09 03:41:52.627571	0.34477290184481707	18.650963390352626	16	0.1960491160135144	128	25	0.006984144830488324	256	0.26283251728871043	0.000708215297450425	0.3881019830028329	0.295856940509915	0.3590651558073654	5327.159348441926	0.15437343793363492	0.000708215297450425	0.3881019830028329	0.295856940509915	0.3590651558073654	5327.1579320113315	0.1543734493105321	3646241678	350	0.000708215297450425	0.3881019830028329	0.295856940509915	0.3590651558073654	5327.160764872521	0.15437342668063136	3	COMPLETE
4	0.36951133144475923	2020-05-09 03:41:52.666808	2020-05-09 04:32:34.987973	0.38931689702969874	24.39554686060271	64	0.1430786316314765	128	2	0.0832462133724981	128	0.37232028143023754	0.09596317280453258	0.36951133144475923	0.25424929178470257	0.3190509915014164	7547.847025495751	0.1903434454317143	0.09596317280453258	0.37110481586402266	0.25424929178470257	0.31940509915014165	7547.4484773371105	0.19066955329225246	79687233	200	0.09596317280453258	0.36951133144475923	0.25424929178470257	0.3190509915014164	7548.245573654391	0.1902855772586834	4	COMPLETE
5	0.43927053824362605	2020-05-09 04:32:35.082761	2020-05-09 09:01:56.852483	0.9560394930467272	7.166438448967488	128	0.10619246824063944	128	31	0.002091851266751155	512	0.28187818450875757	0.3160410764872521	0.43927053824362605	0.39854815864022664	0.41607648725212465	5712.271157932011	0.3647795519158245	0.3160410764872521	0.43927053824362605	0.39854815864022664	0.41607648725212465	5712.270007082153	0.36477955374741494	3608673235	500	0.3160410764872521	0.43927053824362605	0.39854815864022664	0.41607648725212465	5712.2723087818695	0.36477955009238744	5	COMPLETE
6	0.40509915014164305	2020-05-09 09:01:56.899386	2020-05-09 09:32:38.495700	0.4344973960481222	23.88057860857579	64	0.472205248576012	32	12	0.07260113575418879	512	0.2660988297499599	0.096671388101983	0.40509915014164305	0.2935552407932011	0.3626062322946176	5393.745573654391	0.20684354421285292	0.130842776203966	0.4061614730878187	0.30187677053824363	0.3665014164305949	5393.645007082153	0.22615014681877013	182712494	250	0.096671388101983	0.4026203966005666	0.28541076487252126	0.3581798866855524	5393.846140226628	0.20198651698264508	6	COMPLETE
7	0.3881019830028329	2020-05-09 09:32:38.528197	2020-05-09 12:08:39.639237	0.12246199859655552	25.646706090111742	128	0.27249493044663287	128	24	0.04608433076707033	128	0.37524220781865075	0.006373937677053824	0.3881019830028329	0.3013456090651558	0.36242917847025496	7607.088969546742	0.16543051676784187	0.37623937677053826	0.3944759206798867	0.385800283286119	0.38757082152974504	7606.271423512748	0.3840017658993899	2823434404	200	0.006373937677053824	0.3755311614730878	0.17439801699716714	0.3040014164305949	7607.906515580737	0.11164375133761396	7	COMPLETE
8	0.4318342776203966	2020-05-09 12:08:39.673229	2020-05-09 13:27:31.336865	0.999041004529101	25.385515995158045	128	0.33838713563827794	64	4	0.007433134945562998	128	0.2058885444189136	0.0008852691218130312	0.4318342776203966	0.37659348441926344	0.40014164305949007	4171.556126062323	0.1987814310718952	0.007082152974504249	0.4318342776203966	0.37659348441926344	0.40014164305949007	4171.552053824363	0.20087656800926298	105569121	250	0.0008852691218130312	0.4318342776203966	0.37659348441926344	0.40014164305949007	4171.560198300283	0.19774861708070607	8	COMPLETE
9	0.38757082152974504	2020-05-09 13:27:31.371746	2020-05-09 15:43:11.961763	0.46922307762749244	3.7644990708845563	32	0.42405127135918225	128	41	0.0017424568945549896	256	0.33958230926357574	0.000708215297450425	0.38757082152974504	0.323300283286119	0.36756373937677056	6882.906958215298	0.16461703115831341	0.000708215297450425	0.38757082152974504	0.323300283286119	0.36756373937677056	6882.90545325779	0.16461703117865645	1105919845	350	0.000708215297450425	0.38757082152974504	0.323300283286119	0.36756373937677056	6882.908463172805	0.1646170311379741	9	COMPLETE
10	0.38845609065155806	2020-05-09 15:43:11.998785	2020-05-09 16:09:38.036408	0.1796259077905704	10.748257178553912	16	0.422015796308483	32	22	0.04256457821555856	512	0.24262342257425162	0.0	0.38845609065155806	0.25123937677053826	0.35711756373937675	4918.011862606232	0.14681839910754524	0.35658640226628896	0.3923512747875354	0.36455382436260625	0.37747875354107646	4917.239376770538	0.36689684702205005	3902627064	250	0.0	0.3773016997167139	0.1163243626062323	0.26416430594900847	4918.784348441926	0.0981677802303883	10	COMPLETE
11	0.1419971671388102	2020-05-09 16:09:38.070419	2020-05-09 18:05:57.693813	0.8724929387020425	16.445526145956944	64	0.2053445132904634	256	21	0.07769539293896346	512	0.5413656696996995	0.001593484419263456	0.1419971671388102	0.01221671388101983	0.04178470254957507	10973.568519830029	0.03966012433517921	0.3590651558073654	0.36756373937677056	0.36473087818696887	0.36579320113314445	10968.150318696884	0.3632251064522625	1646896261	200	0.001593484419263456	0.05240793201133145	0.004072237960339943	0.013101983002832862	10978.986720963172	0.02311304158693474	11	COMPLETE
12	0.4622875354107649	2020-05-09 18:05:57.727409	2020-05-09 19:56:26.939654	0.5358002853458601	10.179642964855292	128	0.3329034301155962	16	36	0.002557067865195212	512	0.2697997487756303	0.01823654390934844	0.4622875354107649	0.40952549575070823	0.43041784702549574	5466.65465651558	0.22172695256287384	0.01823654390934844	0.4622875354107649	0.40952549575070823	0.43041784702549574	5466.653859773372	0.22172695263080147	21041757	450	0.01823654390934844	0.4622875354107649	0.40952549575070823	0.43041784702549574	5466.65545325779	0.22172695249498564	12	COMPLETE
13	0.4086402266288952	2020-05-09 19:56:26.991578	2020-05-10 03:03:24.596001	0.3266395836585899	12.026136926870512	64	0.25898044093976025	512	14	0.001887730359131224	256	0.32261941746927764	0.3518059490084986	0.4086402266288952	0.38757082152974504	0.3960694050991501	6538.075424929179	0.37488365096594434	0.3518059490084986	0.4086402266288952	0.38757082152974504	0.3960694050991501	6538.074008498584	0.37488365133184637	100505534	450	0.3518059490084986	0.4086402266288952	0.38757082152974504	0.3960694050991501	6538.076841359773	0.37488365060064743	13	COMPLETE
