number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.5229400749063671	2020-03-16 12:57:36.520678	2020-03-16 12:57:52.428714	256	128	2	0.027521864026783693	512	0.0027803264420080817	0.31198231516971014	0.06835205992509363	0.5229400749063671	0.21301498127340823	0.32397003745318353	15.045880149812733	0.20435557354970352	0.06835205992509363	0.5229400749063671	0.21301498127340823	0.32397003745318353	15.045880149812733	0.20435557354970352	1354178911	200	0.06835205992509363	0.5229400749063671	0.21301498127340823	0.32397003745318353	15.045880149812733	0.20435557354970352	0	COMPLETE
1	0.37219101123595505	2020-03-16 12:57:52.487408	2020-03-16 12:58:09.129137	64	128	2	0.011175300396409972	256	0.6638450414518213	0.4303674285286124	0.005149812734082397	0.37219101123595505	0.10112359550561797	0.19850187265917604	20.67368913857678	0.11704766165423858	0.005149812734082397	0.37219101123595505	0.10112359550561797	0.19850187265917604	20.67368913857678	0.11704766165423858	2710200760	200	0.005149812734082397	0.37219101123595505	0.10112359550561797	0.19850187265917604	20.67368913857678	0.11704766165423858	1	COMPLETE
2	0.5603932584269663	2020-03-16 12:58:09.155698	2020-03-16 12:58:27.420863	128	256	1	0.009827384097494129	256	0.011511685702717921	0.28972706931018816	0.08380149812734082	0.5603932584269663	0.25234082397003743	0.3651685393258427	13.946161048689138	0.22841023691655193	0.08380149812734082	0.5603932584269663	0.25234082397003743	0.3651685393258427	13.946161048689138	0.22841023691655193	1869931722	200	0.08380149812734082	0.5603932584269663	0.25234082397003743	0.3651685393258427	13.946161048689138	0.22841023691655193	2	COMPLETE
3	0.5299625468164794	2020-03-16 12:58:27.452824	2020-03-16 12:58:49.122698	256	128	1	0.02973819641896579	128	0.0197860135426221	0.307446684138082	0.0702247191011236	0.5299625468164794	0.20365168539325842	0.31835205992509363	14.779026217228465	0.20348203307361926	0.0702247191011236	0.5299625468164794	0.20365168539325842	0.31835205992509363	14.779026217228465	0.20348203307361926	3104801210	200	0.0702247191011236	0.5299625468164794	0.20365168539325842	0.31835205992509363	14.779026217228465	0.20348203307361926	3	COMPLETE
4	0.5444756554307116	2020-03-16 12:58:49.149295	2020-03-16 12:59:05.967264	256	64	2	0.003650771394868724	256	0.003099850060891519	0.29981238157784895	0.07911985018726592	0.5444756554307116	0.23642322097378277	0.34925093632958804	14.426966292134832	0.22030222106710196	0.07911985018726592	0.5444756554307116	0.23642322097378277	0.34925093632958804	14.426966292134832	0.22030222106710196	4081551087	200	0.07911985018726592	0.5444756554307116	0.23642322097378277	0.34925093632958804	14.426966292134832	0.22030222106710196	4	COMPLETE
5	0.576310861423221	2020-03-16 12:59:06.006457	2020-03-16 12:59:28.830830	64	64	1	0.004345244890443094	128	0.13249831626302325	0.2760969885487165	0.0800561797752809	0.576310861423221	0.24859550561797752	0.37125468164794007	13.279026217228465	0.2267381849490341	0.0800561797752809	0.576310861423221	0.24859550561797752	0.37125468164794007	13.279026217228465	0.2267381849490341	4192627635	200	0.0800561797752809	0.576310861423221	0.24859550561797752	0.37125468164794007	13.279026217228465	0.2267381849490341	5	COMPLETE
6	0.5823970037453183	2020-03-16 12:59:28.862584	2020-03-16 12:59:52.148384	64	128	1	0.007721322178555406	128	0.00601309076819029	0.27417475552810877	0.09831460674157304	0.5823970037453183	0.27902621722846443	0.3881086142322097	13.192883895131086	0.2463418158780276	0.09831460674157304	0.5823970037453183	0.27902621722846443	0.3881086142322097	13.192883895131086	0.2463418158780276	3841080945	200	0.09831460674157304	0.5823970037453183	0.27902621722846443	0.3881086142322097	13.192883895131086	0.2463418158780276	6	COMPLETE
7	0.4166666666666667	2020-03-16 12:59:52.180751	2020-03-16 13:00:10.057877	128	64	1	0.007541187245727105	256	0.4889499098317604	0.39024214325507595	0.007958801498127341	0.4166666666666667	0.12780898876404495	0.2298689138576779	18.73057116104869	0.13199422080614978	0.007958801498127341	0.4166666666666667	0.12780898876404495	0.2298689138576779	18.730337078651687	0.13199473926107116	2722653402	200	0.007958801498127341	0.4166666666666667	0.12780898876404495	0.2298689138576779	18.730805243445694	0.13199372591736117	7	COMPLETE
8	0.5435393258426966	2020-03-16 13:00:10.085368	2020-03-16 13:00:33.358366	256	128	1	0.004653800730098475	128	0.0011405041486450443	0.2984492329319011	0.08380149812734082	0.5435393258426966	0.24719101123595505	0.34691011235955055	14.360955056179776	0.22356912740513055	0.08380149812734082	0.5435393258426966	0.24719101123595505	0.34691011235955055	14.360955056179776	0.22356912740513055	2035635417	200	0.08380149812734082	0.5435393258426966	0.24719101123595505	0.34691011235955055	14.360955056179776	0.22356912740513055	8	COMPLETE
9	0.07069288389513109	2020-03-16 13:00:33.399087	2020-03-16 13:00:42.855398	128	64	1	0.01798512092083499	512	0.9770336376130906	1.0529393671108376	0.0	0.07069288389513109	0.01544943820224719	0.03323970037453183	50.83286516853933	0.038293770580229425	0.0	0.07069288389513109	0.01544943820224719	0.03323970037453183	50.83286516853933	0.038293770580229425	668813949	150	0.0	0.07069288389513109	0.01544943820224719	0.03323970037453183	50.83286516853933	0.038293770580229425	9	COMPLETE
10	0.4606741573033708	2020-03-16 13:00:42.893208	2020-03-16 13:00:57.997863	128	64	1	0.006810173521358367	512	0.44766843127630246	0.35906851959627556	0.011704119850187267	0.4606741573033708	0.14606741573033707	0.25936329588014984	17.23548689138577	0.14558144896209346	0.011704119850187267	0.4606741573033708	0.14606741573033707	0.25936329588014984	17.23548689138577	0.14558144896209346	2825403936	200	0.011704119850187267	0.4606741573033708	0.14606741573033707	0.25936329588014984	17.23548689138577	0.14558144896209346	10	COMPLETE
11	0.24578651685393257	2020-03-16 13:00:58.024541	2020-03-16 13:01:23.452558	64	64	1	0.005540711532894397	256	0.843484016445356	0.5856563310097024	0.0009363295880149813	0.24578651685393257	0.06273408239700375	0.13810861423220974	28.196629213483146	0.08628459254621275	0.0009363295880149813	0.24578651685393257	0.06273408239700375	0.13810861423220974	28.196629213483146	0.08628459254621275	391522498	250	0.0009363295880149813	0.24578651685393257	0.06273408239700375	0.13810861423220974	28.196629213483146	0.08628459254621275	11	COMPLETE
12	0.5510299625468165	2020-03-16 13:01:23.479298	2020-03-16 13:01:45.175008	64	128	1	0.021395694920457647	128	0.006972255150666609	0.2878139989776711	0.07631086142322098	0.5510299625468165	0.24297752808988765	0.3562734082397004	13.842228464419476	0.21957533480104785	0.07631086142322098	0.5510299625468165	0.24297752808988765	0.3562734082397004	13.842228464419476	0.21957533480104785	3164696003	200	0.07631086142322098	0.5510299625468165	0.24297752808988765	0.3562734082397004	13.842228464419476	0.21957533480104785	12	COMPLETE
13	0.5107677902621723	2020-03-16 13:01:45.211569	2020-03-16 13:02:01.695464	128	128	1	0.011855128038718995	256	0.12267638938771235	0.31716108078499805	0.06413857677902622	0.5107677902621723	0.20880149812734083	0.31741573033707865	15.254681647940075	0.19931950927812805	0.06413857677902622	0.5107677902621723	0.20880149812734083	0.31741573033707865	15.254681647940075	0.19931950927812805	3944857628	200	0.06413857677902622	0.5107677902621723	0.20880149812734083	0.31741573033707865	15.254681647940075	0.19931950927812805	13	COMPLETE
14	0.5028089887640449	2020-03-16 13:02:01.761797	2020-03-16 13:02:23.553805	256	64	1	0.0073143360548770155	128	0.05023975452624919	0.3204736728822875	0.06835205992509363	0.5028089887640449	0.2055243445692884	0.3094569288389513	15.414794007490636	0.1996928052415097	0.06835205992509363	0.5028089887640449	0.2055243445692884	0.3094569288389513	15.414794007490636	0.1996928052415097	3190392413	200	0.06835205992509363	0.5028089887640449	0.2055243445692884	0.3094569288389513	15.414794007490636	0.1996928052415097	14	COMPLETE
15	0.29634831460674155	2020-03-16 13:02:23.574283	2020-03-16 13:02:39.825822	128	64	1	0.011208821587213605	256	0.6691749972469113	0.48382557164319556	0.003745318352059925	0.29634831460674155	0.08286516853932584	0.16245318352059926	23.20880149812734	0.10225082789883501	0.003745318352059925	0.29634831460674155	0.08286516853932584	0.16245318352059926	23.20880149812734	0.10225082789883501	1732849726	200	0.003745318352059925	0.29634831460674155	0.08286516853932584	0.16245318352059926	23.20880149812734	0.10225082789883501	15	COMPLETE
16	0.572565543071161	2020-03-16 13:02:39.849820	2020-03-16 13:02:54.375067	64	64	2	0.013206982245924844	512	0.05106926934130208	0.2788241966862985	0.08754681647940075	0.572565543071161	0.2710674157303371	0.37265917602996257	13.419007490636703	0.23583444038571227	0.08754681647940075	0.572565543071161	0.2710674157303371	0.37265917602996257	13.419007490636703	0.23583444038571227	2041726005	200	0.08754681647940075	0.572565543071161	0.2710674157303371	0.37265917602996257	13.419007490636703	0.23583444038571227	16	COMPLETE
17	0.5360486891385767	2020-03-16 13:02:54.413858	2020-03-16 13:03:19.529265	256	64	2	0.025636387494758318	128	0.0014968062195664347	0.3026808387066206	0.07631086142322098	0.5360486891385767	0.21395131086142322	0.32771535580524347	14.560393258426966	0.20957933368680823	0.07631086142322098	0.5360486891385767	0.21395131086142322	0.32771535580524347	14.560393258426966	0.20957933368680823	2934918781	200	0.07631086142322098	0.5360486891385767	0.21395131086142322	0.32771535580524347	14.560393258426966	0.20957933368680823	17	COMPLETE
18	0.6352996254681648	2020-03-16 13:03:19.555612	2020-03-16 13:03:46.088957	64	256	1	0.0026127309347530043	512	0.008110508802315905	0.24178978605788856	0.11282771535580524	0.6352996254681648	0.2851123595505618	0.4241573033707865	11.622659176029963	0.2635098246996937	0.11282771535580524	0.6352996254681648	0.2851123595505618	0.4241573033707865	11.622659176029963	0.2635098246996937	4169017386	300	0.11282771535580524	0.6352996254681648	0.2851123595505618	0.4241573033707865	11.622659176029963	0.2635098246996937	18	COMPLETE
19	0.5969101123595506	2020-03-16 13:03:46.121681	2020-03-16 13:04:09.657307	64	256	1	0.004728987463663759	128	0.008909915067262348	0.262200756972544	0.09878277153558053	0.5969101123595506	0.27574906367041196	0.3993445692883895	12.614232209737828	0.24879887292813668	0.09878277153558053	0.5969101123595506	0.27574906367041196	0.3993445692883895	12.614232209737828	0.24879887292813668	1648290701	200	0.09878277153558053	0.5969101123595506	0.27574906367041196	0.3993445692883895	12.614232209737828	0.24879887292813668	19	COMPLETE
20	0.5313670411985019	2020-03-16 13:04:09.682870	2020-03-16 13:04:33.174533	128	128	2	0.02139379405287472	128	0.013290324889751922	0.29917251328721445	0.06788389513108614	0.5313670411985019	0.21395131086142322	0.3295880149812734	14.393258426966293	0.20496658107085758	0.06788389513108614	0.5313670411985019	0.21395131086142322	0.3295880149812734	14.393258426966293	0.20496658107085758	2708364338	200	0.06788389513108614	0.5313670411985019	0.21395131086142322	0.3295880149812734	14.393258426966293	0.20496658107085758	20	COMPLETE
21	0.5374531835205992	2020-03-16 13:04:33.200657	2020-03-16 13:04:49.766531	128	256	1	0.06284240764380133	512	0.0010630580376663195	0.30373435069751065	0.06835205992509363	0.5374531835205992	0.2200374531835206	0.32771535580524347	14.61938202247191	0.2078146779120669	0.06835205992509363	0.5374531835205992	0.2200374531835206	0.32771535580524347	14.61938202247191	0.2078146779120669	1774688794	200	0.06835205992509363	0.5374531835205992	0.2200374531835206	0.32771535580524347	14.61938202247191	0.2078146779120669	21	COMPLETE
22	0.5407303370786517	2020-03-16 13:04:49.818034	2020-03-16 13:05:13.453207	64	128	2	0.023389934573019477	128	0.09763392277654896	0.29759908449305883	0.06882022471910113	0.5407303370786517	0.2200374531835206	0.33941947565543074	14.311797752808989	0.20975257050637888	0.06882022471910113	0.5407303370786517	0.2200374531835206	0.33941947565543074	14.311797752808989	0.20975257050637888	2677027264	200	0.06882022471910113	0.5407303370786517	0.2200374531835206	0.33941947565543074	14.311797752808989	0.20975257050637888	22	COMPLETE
23	0.6362359550561798	2020-03-16 13:05:13.479777	2020-03-16 13:05:42.510348	128	256	2	0.0010802714236455605	256	0.0013410101870887981	0.23999940210862664	0.10767790262172285	0.6362359550561798	0.2860486891385768	0.4133895131086142	11.529494382022472	0.26001916177870965	0.10767790262172285	0.6362359550561798	0.2860486891385768	0.4133895131086142	11.529494382022472	0.26001916177870965	441833442	300	0.10767790262172285	0.6362359550561798	0.2860486891385768	0.4133895131086142	11.529494382022472	0.26001916177870965	23	COMPLETE
24	0.5369850187265918	2020-03-16 13:05:42.549699	2020-03-16 13:06:05.523362	128	128	1	0.011092979271497556	128	0.04660806337544859	0.3035693946303207	0.0852059925093633	0.5369850187265918	0.22893258426966293	0.33707865168539325	14.605337078651685	0.21838869092195082	0.0852059925093633	0.5369850187265918	0.22893258426966293	0.33707865168539325	14.605337078651685	0.21838869092195082	597203105	200	0.0852059925093633	0.5369850187265918	0.22893258426966293	0.33707865168539325	14.605337078651685	0.21838869092195082	24	COMPLETE
25	0.5369850187265918	2020-03-16 13:06:05.559297	2020-03-16 13:06:21.347344	128	128	2	0.0982764273109168	512	0.002244137838004329	0.3025072784911255	0.06554307116104868	0.5369850187265918	0.21676029962546817	0.32162921348314605	14.54634831460674	0.2031938483400267	0.06554307116104868	0.5369850187265918	0.21676029962546817	0.32162921348314605	14.54634831460674	0.2031938483400267	953400731	200	0.06554307116104868	0.5369850187265918	0.21676029962546817	0.32162921348314605	14.54634831460674	0.2031938483400267	25	COMPLETE
26	0.5997191011235955	2020-03-16 13:06:21.373952	2020-03-16 13:06:37.125130	256	128	1	0.002242214658774909	512	0.009742992581648202	0.2556677352059772	0.09831460674157304	0.5997191011235955	0.26732209737827717	0.3937265917602996	12.272940074906368	0.24675938042737267	0.09831460674157304	0.5997191011235955	0.26732209737827717	0.3937265917602996	12.272940074906368	0.24675938042737267	2534663892	200	0.09831460674157304	0.5997191011235955	0.26732209737827717	0.3937265917602996	12.272940074906368	0.24675938042737267	26	COMPLETE
27	0.62312734082397	2020-03-16 13:06:37.151559	2020-03-16 13:07:07.738888	128	128	2	0.0011033358337401312	128	0.0037291660607598315	0.24630060508038	0.10486891385767791	0.62312734082397	0.28277153558052437	0.4058988764044944	11.830992509363297	0.25651234540167	0.10486891385767791	0.62312734082397	0.28277153558052437	0.4058988764044944	11.830992509363297	0.25651234540167	1720618455	250	0.10486891385767791	0.62312734082397	0.28277153558052437	0.4058988764044944	11.830992509363297	0.25651234540167	27	COMPLETE
28	0.5636704119850188	2020-03-16 13:07:07.765308	2020-03-16 13:07:23.720649	64	64	2	0.011416984333164907	256	0.0010796851155538787	0.2817949099999884	0.09831460674157304	0.5636704119850188	0.2663857677902622	0.38249063670411987	13.562734082397004	0.24165670840299958	0.09831460674157304	0.5636704119850188	0.2663857677902622	0.38249063670411987	13.562734082397004	0.24165670840299958	2772724837	200	0.09831460674157304	0.5636704119850188	0.2663857677902622	0.38249063670411987	13.562734082397004	0.24165670840299958	28	COMPLETE
29	0.49812734082397003	2020-03-16 13:07:23.747721	2020-03-16 13:07:49.085968	256	64	1	0.005097020778354691	128	0.1029652735319709	0.324602989080512	0.06132958801498127	0.49812734082397003	0.19147940074906367	0.3057116104868914	15.605337078651685	0.19194025345134308	0.06132958801498127	0.49812734082397003	0.19147940074906367	0.3057116104868914	15.605337078651685	0.19194025345134308	2845899438	200	0.06132958801498127	0.49812734082397003	0.19147940074906367	0.3057116104868914	15.605337078651685	0.19194025345134308	29	COMPLETE
30	0.5341760299625468	2020-03-16 13:07:49.114911	2020-03-16 13:08:08.448199	256	256	1	0.008495295064173599	256	0.005531963622759722	0.3020262914946938	0.07958801498127341	0.5341760299625468	0.23689138576779026	0.34269662921348315	14.53183520599251	0.2192806326491701	0.07958801498127341	0.5341760299625468	0.23689138576779026	0.34269662921348315	14.53183520599251	0.2192806326491701	4177131856	200	0.07958801498127341	0.5341760299625468	0.23689138576779026	0.34269662921348315	14.53183520599251	0.2192806326491701	30	COMPLETE
31	0.4892322097378277	2020-03-16 13:08:08.474447	2020-03-16 13:08:28.096304	64	256	1	0.004614797348714424	256	0.5378922910078109	0.3354207660491868	0.0032771535580524347	0.4892322097378277	0.14559925093632958	0.273876404494382	16.099719101123597	0.14506966244948782	0.0032771535580524347	0.4892322097378277	0.14559925093632958	0.273876404494382	16.099719101123597	0.14506966244948782	400876725	200	0.0032771535580524347	0.4892322097378277	0.14559925093632958	0.273876404494382	16.099719101123597	0.14506966244948782	31	COMPLETE
32	0.5767790262172284	2020-03-16 13:08:28.122722	2020-03-16 13:08:45.088611	128	128	2	0.005923272412067823	256	0.022648579067922784	0.2820542123977946	0.09082397003745318	0.5767790262172284	0.2649812734082397	0.38108614232209737	13.573970037453183	0.2385219511707468	0.09082397003745318	0.5767790262172284	0.2649812734082397	0.38108614232209737	13.573970037453183	0.2385219511707468	2171696431	200	0.09082397003745318	0.5767790262172284	0.2649812734082397	0.38108614232209737	13.573970037453183	0.2385219511707468	32	COMPLETE
33	0.6198501872659176	2020-03-16 13:08:45.137926	2020-03-16 13:09:13.070095	64	128	1	0.0017788045366317852	256	0.0075720494203558334	0.24323316065207376	0.11282771535580524	0.6198501872659176	0.2785580524344569	0.41151685393258425	11.686329588014981	0.26050964001351273	0.11282771535580524	0.6198501872659176	0.2785580524344569	0.41151685393258425	11.686329588014981	0.26050964001351273	1779886418	300	0.11282771535580524	0.6198501872659176	0.2785580524344569	0.41151685393258425	11.686329588014981	0.26050964001351273	33	COMPLETE
34	0.5603932584269663	2020-03-16 13:09:13.106214	2020-03-16 13:09:39.724703	128	128	1	0.003326803306299051	128	0.13328497819508592	0.2844761505850315	0.0702247191011236	0.5603932584269663	0.2448501872659176	0.36282771535580527	13.685861423220974	0.22135706408608283	0.0702247191011236	0.5603932584269663	0.2448501872659176	0.36282771535580527	13.685861423220974	0.22135706408608283	4237108296	200	0.0702247191011236	0.5603932584269663	0.2448501872659176	0.36282771535580527	13.685861423220974	0.22135706408608283	34	COMPLETE
35	0.5215355805243446	2020-03-16 13:09:39.751199	2020-03-16 13:09:57.459146	64	64	1	0.06552047371457906	256	0.12590125780837935	0.31011769622616636	0.050093632958801496	0.5215355805243446	0.19709737827715357	0.30196629213483145	14.929775280898877	0.188875078339361	0.050093632958801496	0.5215355805243446	0.19709737827715357	0.30196629213483145	14.929775280898877	0.188875078339361	2268931261	200	0.050093632958801496	0.5215355805243446	0.19709737827715357	0.30196629213483145	14.929775280898877	0.188875078339361	35	COMPLETE
