number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	401	451	901	951
0	TrialState.COMPLETE	0.10808331187226371	2020-01-05 21:21:35.430054	2020-01-06 08:40:46.431680	8.498671786975699	450.0	1	41.0	0.004749288744755352	1900.0	0.23697396272496535	0.03285153232037085	0.10808331187226371	0.0608582281740922	0.07885333505021891	4803.738242016482	0.059333116461381626	0.03285153232037085	0.10808331187226371	0.0608582281740922	0.07885333505021891	4803.734628508885	0.05933356492198464	0.03285153232037085	0.10808331187226371	0.0608582281740922	0.07885333505021891	4803.741855524079	0.059332757427305115	0			0.1111307837582625	0.10945467422096317		
1	TrialState.COMPLETE	0.0012393767705382436	2020-01-06 08:40:46.432826	2020-01-06 08:52:16.630273	1.1234941042691688	150.0	1	11.0	0.03337773691123823	800.0	0.8539746279635834	0.0001327903682719547	0.0012393767705382436	0.0005754249291784702	0.0011951133144475921	17312.5005532932	0.0009142177240823127	0.0001327903682719547	0.0012393767705382436	0.0005754249291784702	0.0011951133144475921	17312.492253895183	0.0009142180764170714	0.0001327903682719547	0.0012393767705382436	0.0005754249291784702	0.0011951133144475921	17312.50885269122	0.0009142173723210037	1	0.000708215297450425	0.0010623229461756375				
2	TrialState.COMPLETE	0.13126433292863887	2020-01-06 08:52:16.631135	2020-01-07 01:32:17.225329	5.940755297874494	450.0	2	26.0	0.007221682235083216	1100.0	0.24812193418118525	0.05992850397949548	0.13126433292863887	0.08809692432213678	0.10448704977741805	5029.669533252394	0.08517202885325859	0.05992850397949548	0.13126433292863887	0.08809692432213678	0.10448704977741805	5029.666396870363	0.08517203233516757	0.05992850397949548	0.13126433292863887	0.08809692432213678	0.10448704977741805	5029.672669634426	0.08517202540716712	2					0.12916542418368868	0.13026735127478753
