number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301
0	TrialState.COMPLETE	0.0018590651558073655	2020-01-11 21:27:36.180571	2020-01-11 21:48:27.903574	150.0	1	41.0	0.026215134371116448	700.0	1.0125153009972683	0.00017705382436260624	0.0018590651558073655	0.0006639518413597734	0.0011951133144475921	20527.33244068697	0.0008093617384697362	0.00017705382436260624	0.0018590651558073655	0.0006639518413597734	0.0011951133144475921	20527.322990439094	0.000809361838170294	0.00017705382436260624	0.0018590651558073655	0.0006639518413597734	0.0011951133144475921	20527.341890934844	0.000809361638800163	0	0.0008852691218130312	0.001534466477809254				
1	TrialState.COMPLETE	0.0001327903682719547	2020-01-11 21:48:27.904573	2020-01-11 23:34:39.908895	250.0	2	91.0	0.007181216685449857	700.0	1.0886615000326496	0.0	0.0001327903682719547	0.0	0.0	22071.603687145893	0.00018930898134495884	0.0	0.0001327903682719547	0.0	0.0	22071.589810552407	0.00018930941090283804	0.0	0.0001327903682719547	0.0	0.0	22071.617563739375	0.00018930855240960331	1	0.0002655807365439094	0.00017705382436260624				
2	TrialState.COMPLETE	0.0002213172804532578	2020-01-11 23:34:39.909874	2020-01-12 00:54:12.664724	450.0	2	11.0	0.0563815542318235	900.0	1.1473056939695048	0.0	0.0002213172804532578	0.0	0.0	23260.70122167139	0.0001858387702011252	0.0	0.0002213172804532578	0.0	0.0	23260.679753895183	0.000185839037195286	0.0	0.0002213172804532578	0.0	0.0	23260.722689447593	0.0001858385033586446	2	0.0002655807365439094	0.00023607176581680832				
3	TrialState.COMPLETE	4.426345609065156e-05	2020-01-12 00:54:12.665700	2020-01-12 01:21:12.925459	150.0	2	61.0	0.011751330084414638	1700.0	1.0625887634065376	0.0	4.426345609065156e-05	0.0	4.426345609065156e-05	21542.793444582152	0.00020789479093940737	0.0	4.426345609065156e-05	0.0	4.426345609065156e-05	21542.78102868272	0.00020789493203607083	0.0	4.426345609065156e-05	0.0	4.426345609065156e-05	21542.805860481585	0.00020789464990064968	3	8.852691218130312e-05	5.901794145420208e-05				
4	TrialState.COMPLETE	0.00017705382436260624	2020-01-12 01:21:12.926923	2020-01-12 01:26:47.813492	50.0	2	11.0	0.008656183309839856	800.0	1.0276940663442238	0.0	0.00017705382436260624	0.0	0.0	20834.778151558072	0.0001897151149541289	0.0	0.00017705382436260624	0.0	0.0	20834.771334985835	0.00018971520262173132	0.0	0.00017705382436260624	0.0	0.0	20834.784968130312	0.00018971502732556734	4	0.00017705382436260624	0.00017705382436260624				
5	TrialState.COMPLETE	0.0003541076487252125	2020-01-12 01:26:47.815112	2020-01-12 03:44:57.650558	450.0	1	31.0	0.0016770044553730443	1500.0	1.1033718992658712	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	22369.63020095609	0.00034987061177161493	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	22369.611234065156	0.0003498710049221967	0.00017705382436260624	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	22369.649167847027	0.0003498702193346255	5	0.0003541076487252125	0.0003541076487252125				
6	TrialState.COMPLETE	0.006964117091595845	2020-01-12 03:44:57.651361	2020-01-12 04:23:22.540001	150.0	1	41.0	0.09766784496424108	700.0	0.9656095121874326	0.0011803588290840415	0.006964117091595845	0.0035115675165250234	0.004927998111425873	19575.531840179414	0.0035102353692656072	0.0011803588290840415	0.006964117091595845	0.0035115675165250234	0.004927998111425873	19575.522662889518	0.003510235797174841	0.0011803588290840415	0.006964117091595845	0.0035115675165250234	0.004927998111425873	19575.54101746931	0.0035102349423212333	6			0.0059313031161473085	0.006550991501416431		
7	TrialState.COMPLETE	0.0005754249291784702	2020-01-12 04:23:22.540956	2020-01-12 04:46:47.538578	150.0	1	51.0	0.03623512013462593	1400.0	1.0304395388102598	8.852691218130312e-05	0.0005754249291784702	0.00017705382436260624	0.0002213172804532578	20891.00621901558	0.00044406429278271537	8.852691218130312e-05	0.0005754249291784702	0.00017705382436260624	0.0002213172804532578	20890.996857294616	0.00044406578084690807	8.852691218130312e-05	0.0005754249291784702	0.00017705382436260624	0.0002213172804532578	20891.015580736545	0.00044406281593263727	7	8.852691218130312e-05	0.00041312559017941453				
8	TrialState.COMPLETE	0.0	2020-01-12 04:46:47.540181	2020-01-12 04:53:21.074273	50.0	1	61.0	0.0017281426605755246	1800.0	1.0386232582686845	0.0	0.0	0.0	0.0	21056.36696618272	0.00019570917148464684	0.0	0.0	0.0	0.0	21056.36083569405	0.00019570923199756446	0.0	0.0	0.0	0.0	21056.37309667139	0.00019570911098711297	8	0.0	0.0				
