number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.8590823970037453	2020-04-08 18:23:18.855284	2020-04-08 18:30:10.206793	0.3901035603336972	14.255824013903036	1.3446590841109471	0.012378251360145304	256	54	256	0.12281490181754116	0.16338951310861424	0.8590823970037453	0.46676029962546817	0.6371722846441947	5.88998127340824	0.3702969209015858	0.16338951310861424	0.8590823970037453	0.46676029962546817	0.6371722846441947	5.88998127340824	0.3702969209015858	2873127613	550.0	0.16338951310861424	0.8590823970037453	0.46676029962546817	0.6371722846441947	5.88998127340824	0.3702969209015858	0	COMPLETE
1	0.8544007490636704	2020-04-08 18:30:10.251675	2020-04-08 18:36:01.912180	0.7950246078198833	25.567514749866543	3.272453694312997	0.05142267847704674	128	57	128	0.12462321343946825	0.17462546816479402	0.8544007490636704	0.46629213483146065	0.6376404494382022	5.979400749063671	0.3777612205039041	0.17462546816479402	0.8544007490636704	0.46629213483146065	0.6376404494382022	5.979400749063671	0.3777612205039041	2297437703	300.0	0.17462546816479402	0.8544007490636704	0.46629213483146065	0.6376404494382022	5.979400749063671	0.3777612205039041	1	COMPLETE
2	0.09176029962546817	2020-04-08 18:36:01.939079	2020-04-08 18:36:50.443860	0.1494787758893216	6.349975786879496	1.0592208640127776	0.02160472636347603	128	44	512	0.8265947690966089	0.0028089887640449437	0.09176029962546817	0.01451310861423221	0.02200374531835206	39.366807116104866	0.047070761793008974	0.0028089887640449437	0.09176029962546817	0.01451310861423221	0.02200374531835206	39.366573033707866	0.047070876118965994	440147434	150.0	0.0028089887640449437	0.09176029962546817	0.01451310861423221	0.02200374531835206	39.36704119850187	0.047070649952398846	2	COMPLETE
3	0.900749063670412	2020-04-08 18:36:50.465442	2020-04-08 18:46:15.732238	0.73338355841498	11.086711446650929	3.329472471053192	0.025786926098365477	64	9	128	0.10395744929442441	0.24250936329588016	0.900749063670412	0.5599250936329588	0.7102059925093633	4.98689138576779	0.44816159638045083	0.24250936329588016	0.900749063670412	0.5599250936329588	0.7102059925093633	4.98689138576779	0.44816159638045083	4249362879	450.0	0.24250936329588016	0.900749063670412	0.5599250936329588	0.7102059925093633	4.98689138576779	0.44816159638045083	3	COMPLETE
4	0.8979400749063671	2020-04-08 18:46:15.781319	2020-04-08 18:55:50.153154	0.2733966675542989	10.421175449313688	5.848083183489889	0.02516188538908204	64	85	128	0.10880521929924017	0.22940074906367042	0.8979400749063671	0.5308988764044944	0.7055243445692884	5.221441947565543	0.43051882560591087	0.22940074906367042	0.8979400749063671	0.5308988764044944	0.7055243445692884	5.221441947565543	0.43051882560591087	1504279658	450.0	0.22940074906367042	0.8979400749063671	0.5308988764044944	0.7055243445692884	5.221441947565543	0.43051882560591087	4	COMPLETE
5	0.8703183520599251	2020-04-08 18:55:50.174161	2020-04-08 19:02:47.160176	0.22623388182954754	23.61945908122607	7.010522201937642	0.019561998409867304	128	72	256	0.11877634950777453	0.199438202247191	0.8703183520599251	0.49719101123595505	0.6647940074906367	5.682818352059925	0.4010808593371384	0.199438202247191	0.8703183520599251	0.49719101123595505	0.6647940074906367	5.682584269662922	0.40112767581653913	1519273812	550.0	0.199438202247191	0.8703183520599251	0.49719101123595505	0.6647940074906367	5.683052434456929	0.4010496483508712	5	COMPLETE
6	0.8698501872659176	2020-04-08 19:02:47.194398	2020-04-08 19:07:55.288152	0.6284360339476797	14.548744918334808	9.215668210024104	0.027034597084170383	128	34	256	0.11978449974268368	0.18211610486891386	0.8698501872659176	0.48174157303370785	0.6381086142322098	5.745786516853933	0.38658742465990337	0.18211610486891386	0.8698501872659176	0.48174157303370785	0.6381086142322098	5.745786516853933	0.38658742465990337	3252036441	450.0	0.18211610486891386	0.8698501872659176	0.48174157303370785	0.6381086142322098	5.745786516853933	0.38658742465990337	6	COMPLETE
7	0.8600187265917603	2020-04-08 19:07:55.338145	2020-04-08 19:15:02.481896	0.6572403408068728	11.29269094198235	9.398149811296216	0.08232379404461064	128	91	128	0.12358013616285325	0.1750936329588015	0.8600187265917603	0.4583333333333333	0.6432584269662921	5.936329588014981	0.37573489476995997	0.1750936329588015	0.8600187265917603	0.4583333333333333	0.6432584269662921	5.936329588014981	0.37573489476995997	2525865348	350.0	0.1750936329588015	0.8600187265917603	0.4583333333333333	0.6432584269662921	5.936329588014981	0.37573489476995997	7	COMPLETE
8	0.8759363295880149	2020-04-08 19:15:02.519157	2020-04-08 19:24:10.520356	0.692709308730744	5.898404339345385	2.031143451881928	0.08279764267940695	128	78	256	0.11556744356099027	0.24859550561797752	0.8759363295880149	0.523876404494382	0.6797752808988764	5.556647940074907	0.43742352421393843	0.24859550561797752	0.8759363295880149	0.523876404494382	0.6797752808988764	5.556647940074907	0.43742352421393843	4257008688	750.0	0.24859550561797752	0.8759363295880149	0.523876404494382	0.6797752808988764	5.556647940074907	0.43742352421393843	8	COMPLETE
9	0.8857677902621723	2020-04-08 19:24:10.547352	2020-04-08 19:30:49.712726	0.8116843744150768	8.958794513003088	5.448038062608636	0.07643303795847137	128	94	256	0.11206163660263858	0.22284644194756553	0.8857677902621723	0.5056179775280899	0.6811797752808989	5.383426966292135	0.4205147214236643	0.22284644194756553	0.8857677902621723	0.5056179775280899	0.6811797752808989	5.383426966292135	0.4205147214236643	3092371662	550.0	0.22284644194756553	0.8857677902621723	0.5056179775280899	0.6811797752808989	5.383426966292135	0.4205147214236643	9	COMPLETE
