number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	651	701
0	TrialState.COMPLETE	0.10577490557129367	2019-12-28 23:27:42.684801	2019-12-29 00:51:05.922705	450.0	31.0	0.006543309210270032	800.0	0.4964050200955606	0.059770420207743154	0.10577490557129367	0.08100212464589235	0.09016466005665723	10062.825063444287	0.07622589370534606	0.059770420207743154	0.10577490557129367	0.08100212464589235	0.09016466005665723	10062.824067516525	0.07622589371672098	0.059770420207743154	0.10577490557129367	0.08100212464589235	0.09016466005665723	10062.82605937205	0.0762258936939745	0									0.10483356940509915	0.1053470254957507		
1	TrialState.COMPLETE	0.3787647234232891	2019-12-29 00:51:05.923515	2019-12-29 02:31:51.564924	150.0	51.0	0.0027478946331977675	900.0	0.2698931579468167	0.26084687639779336	0.3787647234232891	0.33133293573878037	0.3534087520500969	5470.327274675712	0.30498978848534475	0.26084687639779336	0.3787647234232891	0.33133293573878037	0.3534087520500969	5470.326580438348	0.3049897885246269	0.26084687639779336	0.3787647234232891	0.33133293573878037	0.3534087520500969	5470.327968913076	0.30498978844610747	1												
2	TrialState.COMPLETE	0.40155807365439095	2019-12-29 02:31:51.565830	2019-12-29 03:54:59.122689	50.0	71.0	0.0024933850273023434	800.0	0.24039612468702934	0.2759435927345442	0.40155807365439095	0.3553157807032161	0.3759373437760373	4872.691530578237	0.32397058977167	0.2759435927345442	0.40155807365439095	0.3553157807032161	0.3759373437760373	4872.690791118147	0.32397059489497765	0.2759435927345442	0.40155807365439095	0.3553157807032161	0.3759373437760373	4872.692270038327	0.3239705848003436	2												
3	TrialState.COMPLETE	0.39611026367400304	2019-12-29 03:54:59.123469	2019-12-29 04:58:45.110583	150.0	21.0	0.0016996252720560797	600.0	0.30042476014198294	0.31004848550882547	0.39611026367400304	0.3641179995641752	0.37821420788842885	6089.046027184571	0.34355845924674044	0.31004848550882547	0.39611026367400304	0.3641179995641752	0.37821420788842885	6089.045216822838	0.34355845937068635	0.31004848550882547	0.39611026367400304	0.3641179995641752	0.37821420788842885	6089.046837546306	0.34355845912319105	3												
4	TrialState.COMPLETE	0.28689157867628123	2019-12-29 04:58:45.111493	2019-12-29 06:06:43.454415	350.0	11.0	0.0029350231067758743	500.0	0.3171727171388047	0.1701326294102498	0.28689157867628123	0.22979976822044812	0.2539756631470512	6428.891272856039	0.21139915703213302	0.1701326294102498	0.28689157867628123	0.22979976822044812	0.2539756631470512	6428.890677311358	0.21139915703810988	0.1701326294102498	0.28689157867628123	0.22979976822044812	0.2539756631470512	6428.891868400721	0.21139915702615775	4												
5	TrialState.COMPLETE	0.0021689093484419265	2019-12-29 06:06:43.455330	2019-12-29 06:22:56.135169	450.0	21.0	0.0559171972574789	500.0	0.9581431824059301	0.00141643059490085	0.0021689093484419265	0.0018590651558073655	0.0018590651558073655	19424.194161650143	0.0019088696734785246	0.00141643059490085	0.0021689093484419265	0.0018590651558073655	0.0018590651558073655	19424.19307719547	0.0019088696754115287	0.00141643059490085	0.0021689093484419265	0.0018590651558073655	0.0018590651558073655	19424.195246104817	0.001908869671545624	5	0.0015049575070821529	0.0019475920679886685										
6	TrialState.COMPLETE	0.030377377579927155	2019-12-29 06:22:56.136157	2019-12-29 06:53:03.250988	250.0	21.0	0.013985371837757084	800.0	0.7488826199247	0.02149939295831647	0.030377377579927155	0.025293403480372317	0.02716511533791987	15181.605220558478	0.024846522588380757	0.02149939295831647	0.030377377579927155	0.025293403480372317	0.02716511533791987	15181.603829421287	0.024846522596254906	0.02149939295831647	0.030377377579927155	0.025293403480372317	0.02716511533791987	15181.60661169567	0.024846522580507856	6				0.030630311614730878	0.030482766761095372							
7	TrialState.COMPLETE	0.012629839471199245	2019-12-29 06:53:03.251918	2019-12-29 07:18:41.991895	250.0	41.0	0.02344081255800195	800.0	0.852559656847895	0.008882200188857412	0.012629839471199245	0.010593720491029274	0.011449480642115203	17283.218292610953	0.010372877322422912	0.008882200188857412	0.012629839471199245	0.010593720491029274	0.011449480642115203	17283.216477809256	0.010372877333008906	0.008882200188857412	0.012629839471199245	0.010593720491029274	0.011449480642115203	17283.220107412653	0.010372877311839281	7			0.0113314447592068	0.012110481586402266								
8	TrialState.COMPLETE	0.42607412653446647	2019-12-29 07:18:41.992789	2019-12-29 08:40:43.887025	150.0	71.0	0.0011562942359719028	700.0	0.2832572878396891	0.34517233238904627	0.42607412653446647	0.39179650613786593	0.4059608120868744	5740.816684372049	0.3759222090845295	0.34517233238904627	0.42607412653446647	0.39179650613786593	0.4059608120868744	5740.815533522191	0.3759222166566877	0.34517233238904627	0.42607412653446647	0.39179650613786593	0.4059608120868744	5740.817835221907	0.3759222017200273	8												
