number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9410112359550562	2020-05-11 18:40:15.772146	2020-05-11 18:41:26.483717	64	0.15364145132714419	0.18649327048420322	31	0.4805119402050447	512	0.001490940952472274	0.0782056811740029	0.42228464419475653	0.9410112359550562	0.723314606741573	0.8412921348314607	3.7467228464419478	0.6001783578202152	0.42228464419475653	0.9410112359550562	0.723314606741573	0.8412921348314607	3.7467228464419478	0.6001783578202152	2645336989	500	0.42228464419475653	0.9410112359550562	0.723314606741573	0.8412921348314607	3.7467228464419478	0.6001783578202152	0	COMPLETE
1	0.9737827715355806	2020-05-11 18:41:26.548061	2020-05-11 18:43:18.976478	256	0.09005544998925075	0.20424280700367536	25	0.41806294754424894	128	0.0023009444344781705	0.059216089933859496	0.50187265917603	0.9737827715355806	0.8469101123595506	0.9264981273408239	2.842696629213483	0.6827619398567981	0.50187265917603	0.9737827715355806	0.8469101123595506	0.9264981273408239	2.842696629213483	0.6827619398567981	3350976183	450	0.50187265917603	0.9737827715355806	0.8469101123595506	0.9264981273408239	2.842696629213483	0.6827619398567981	1	COMPLETE
2	0.9536516853932584	2020-05-11 18:43:19.027723	2020-05-11 18:44:26.159627	256	0.23566910483993458	0.31308715187190905	60	0.18274811788036488	512	0.08524256143727249	0.06790381559163806	0.4812734082397004	0.9536516853932584	0.7949438202247191	0.8927902621722846	3.260767790262172	0.6550164359943013	0.4812734082397004	0.9536516853932584	0.7949438202247191	0.8927902621722846	3.260767790262172	0.6550164359943013	1937340036	400	0.4812734082397004	0.9536516853932584	0.7949438202247191	0.8927902621722846	3.260767790262172	0.6550164359943013	2	COMPLETE
3	0.9644194756554307	2020-05-11 18:44:26.186851	2020-05-11 18:46:37.556810	256	0.2414091190457041	0.43216673131013744	33	0.44848601578284614	256	0.033414419479676466	0.06301004899759892	0.47425093632958804	0.9644194756554307	0.8113295880149812	0.9147940074906367	3.021067415730337	0.6596324031596129	0.47425093632958804	0.9644194756554307	0.8113295880149812	0.9147940074906367	3.021067415730337	0.6596324031596129	310043040	700	0.47425093632958804	0.9644194756554307	0.8113295880149812	0.9147940074906367	3.021067415730337	0.6596324031596129	3	COMPLETE
4	0.949438202247191	2020-05-11 18:46:37.677421	2020-05-11 18:47:59.417134	64	0.2652323909004833	0.2313073340058751	52	0.41842343933766446	512	0.03173661757057888	0.07235664790775279	0.43820224719101125	0.949438202247191	0.7397003745318352	0.8548689138576779	3.4573970037453186	0.6150404891149024	0.43820224719101125	0.949438202247191	0.7397003745318352	0.8548689138576779	3.4573970037453186	0.6150404891149024	2772070375	600	0.43820224719101125	0.949438202247191	0.7397003745318352	0.8548689138576779	3.4573970037453186	0.6150404891149024	4	COMPLETE
5	0.9611423220973783	2020-05-11 18:47:59.478583	2020-05-11 18:49:07.542822	128	0.28383704137026894	0.3996124218982713	49	0.11165535666072463	256	0.023870078729602447	0.06372992557469992	0.46722846441947563	0.9611423220973783	0.7963483146067416	0.897003745318352	3.051498127340824	0.6509620048620411	0.46722846441947563	0.9611423220973783	0.7963483146067416	0.897003745318352	3.051498127340824	0.6509620048620411	206804323	400	0.46722846441947563	0.9611423220973783	0.7963483146067416	0.897003745318352	3.051498127340824	0.6509620048620411	5	COMPLETE
6	0.9424157303370787	2020-05-11 18:49:07.569813	2020-05-11 18:50:30.135564	64	0.4939950189510551	0.42668244226716356	53	0.18842973539463287	512	0.006901555570020871	0.07423310463878323	0.42790262172284643	0.9424157303370787	0.7397003745318352	0.8539325842696629	3.5482209737827715	0.6063868936623191	0.42790262172284643	0.9424157303370787	0.7397003745318352	0.8539325842696629	3.5482209737827715	0.6063868936623191	3573111202	600	0.42790262172284643	0.9424157303370787	0.7397003745318352	0.8539325842696629	3.5482209737827715	0.6063868936623191	6	COMPLETE
7	0.9602059925093633	2020-05-11 18:50:30.163403	2020-05-11 18:51:24.196435	128	0.23857276066937055	0.03853760387607669	63	0.16842152409016659	512	0.03656390871698281	0.06647114409831412	0.5098314606741573	0.9602059925093633	0.8258426966292135	0.9044943820224719	3.1942883895131087	0.6783538734459934	0.5098314606741573	0.9602059925093633	0.8258426966292135	0.9044943820224719	3.1942883895131087	0.6783538734459934	3904909041	400	0.5098314606741573	0.9602059925093633	0.8258426966292135	0.9044943820224719	3.1942883895131087	0.6783538734459934	7	COMPLETE
8	0.9588014981273408	2020-05-11 18:51:24.223196	2020-05-11 18:52:32.547063	64	0.02305816932411736	0.12606977981016948	42	0.32576703857027134	512	0.2875621519382408	0.06974078158495689	0.46629213483146065	0.9588014981273408	0.7804307116104869	0.8862359550561798	3.3286516853932584	0.6435196476284338	0.46629213483146065	0.9588014981273408	0.7804307116104869	0.8862359550561798	3.3286516853932584	0.6435196476284338	3611021288	500	0.46629213483146065	0.9588014981273408	0.7804307116104869	0.8862359550561798	3.3286516853932584	0.6435196476284338	8	COMPLETE
9	0.9648876404494382	2020-05-11 18:52:32.567711	2020-05-11 18:53:29.618244	128	0.31852018524029174	0.10334550186397468	46	0.4895426585911872	256	0.004775974035028509	0.06303274617286239	0.4868913857677903	0.9648876404494382	0.8192883895131086	0.9082397003745318	3.026685393258427	0.6673879937385756	0.4868913857677903	0.9648876404494382	0.8192883895131086	0.9082397003745318	3.026685393258427	0.6673879937385756	864023187	350	0.4868913857677903	0.9648876404494382	0.8192883895131086	0.9082397003745318	3.026685393258427	0.6673879937385756	9	COMPLETE
