number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.06882022471910113	2020-05-19 10:11:35.855496	2020-05-19 10:16:46.457088	0.7925273045260599	16.449178077148375	256	128	2	91	512	1.185335764365815	0.0046816479400749065	0.06882022471910113	0.019662921348314606	0.03277153558052434	57.19616104868914	0.038588381758032614	0.0046816479400749065	0.06882022471910113	0.019662921348314606	0.03277153558052434	57.19616104868914	0.038588381758032614	3635003099	150.0	0.0046816479400749065	0.06882022471910113	0.019662921348314606	0.03277153558052434	57.19616104868914	0.038588381758032614	0	COMPLETE
1	0.06460674157303371	2020-05-19 10:16:46.475422	2020-05-19 10:22:23.763781	0.7143935341168258	18.361905457660033	128	256	2	99	512	1.1540335848559504	0.0056179775280898875	0.06460674157303371	0.019194756554307114	0.031835205992509365	55.662921348314605	0.0389832264012797	0.0056179775280898875	0.06460674157303371	0.019194756554307114	0.031835205992509365	55.662921348314605	0.0389832264012797	1916146769	150.0	0.0056179775280898875	0.06460674157303371	0.019194756554307114	0.031835205992509365	55.662921348314605	0.0389832264012797	1	COMPLETE
2	0.060393258426966294	2020-05-19 10:22:23.775888	2020-05-19 10:25:39.955395	0.5139706789358364	28.536682000176153	64	256	1	95	256	1.1487380089133643	0.006554307116104869	0.060393258426966294	0.019194756554307114	0.0299625468164794	55.411048689138575	0.03979822257398744	0.006554307116104869	0.060393258426966294	0.019194756554307114	0.0299625468164794	55.411048689138575	0.03979822257398744	1907243658	150.0	0.006554307116104869	0.060393258426966294	0.019194756554307114	0.0299625468164794	55.411048689138575	0.03979822257398744	2	COMPLETE
3	0.062265917602996254	2020-05-19 10:25:39.965706	2020-05-19 10:27:44.586633	0.6753447082229675	8.470204410788744	64	128	1	89	256	1.2003013832888771	0.0028089887640449437	0.062265917602996254	0.016853932584269662	0.035580524344569285	57.947565543071164	0.0369520180420006	0.0028089887640449437	0.062265917602996254	0.016853932584269662	0.035580524344569285	57.947565543071164	0.0369520180420006	1911951379	150.0	0.0028089887640449437	0.062265917602996254	0.016853932584269662	0.035580524344569285	57.947565543071164	0.0369520180420006	3	COMPLETE
4	0.3291198501872659	2020-05-19 10:27:44.599014	2020-05-19 11:05:27.239618	0.1726993344210686	3.083865918216995	256	256	2	32	256	0.3450402851732734	0.0009363295880149813	0.3291198501872659	0.037921348314606744	0.08333333333333333	16.61423220973783	0.0934561949866382	0.0009363295880149813	0.3291198501872659	0.037921348314606744	0.08333333333333333	16.61423220973783	0.0934561949866382	4092873091		0.0009363295880149813	0.3291198501872659	0.037921348314606744	0.08333333333333333	16.61423220973783	0.0934561949866382	4	COMPLETE
5	0.1203183520599251	2020-05-19 11:05:27.257826	2020-05-19 11:42:50.000478	0.38055354866741287	6.702649344822658	256	128	1	71	128	0.9006759250730151	0.0018726591760299626	0.1203183520599251	0.024812734082397005	0.04962546816479401	43.50046816479401	0.05062499938436692	0.0018726591760299626	0.1203183520599251	0.024812734082397005	0.04962546816479401	43.50046816479401	0.05062499938436692	960395002	800.0	0.0018726591760299626	0.1203183520599251	0.024812734082397005	0.04962546816479401	43.50046816479401	0.05062499938436692	5	COMPLETE
6	0.06882022471910113	2020-05-19 11:42:50.014861	2020-05-19 11:46:33.125235	0.15156226682215665	15.79711363472124	128	64	1	73	256	1.1908466854178057	0.0046816479400749065	0.06882022471910113	0.02200374531835206	0.03932584269662921	57.473314606741575	0.039353260219866806	0.0046816479400749065	0.06882022471910113	0.02200374531835206	0.03932584269662921	57.473314606741575	0.039353260219866806	1582035251	250.0	0.0046816479400749065	0.06882022471910113	0.02200374531835206	0.03932584269662921	57.473314606741575	0.039353260219866806	6	COMPLETE
7	0.062265917602996254	2020-05-19 11:46:33.135345	2020-05-19 11:55:31.340652	0.5401460306671597	16.37009932673105	256	256	2	69	256	1.167860693008768	0.004213483146067416	0.062265917602996254	0.018726591760299626	0.03089887640449438	56.337078651685395	0.037924607097671446	0.004213483146067416	0.062265917602996254	0.018726591760299626	0.03089887640449438	56.337078651685395	0.037924607097671446	2705644253	150.0	0.004213483146067416	0.062265917602996254	0.018726591760299626	0.03089887640449438	56.337078651685395	0.037924607097671446	7	COMPLETE
8	0.07443820224719101	2020-05-19 11:55:31.352728	2020-05-19 12:09:13.333607	0.7682666674471986	29.327703199584022	256	128	2	99	512	1.1834994417995437	0.007022471910112359	0.07443820224719101	0.02200374531835206	0.03604868913857678	57.09737827715356	0.04067731984006628	0.007022471910112359	0.07443820224719101	0.02200374531835206	0.03604868913857678	57.09737827715356	0.04067731984006628	731180003	300.0	0.007022471910112359	0.07443820224719101	0.02200374531835206	0.03604868913857678	57.09737827715356	0.04067731984006628	8	COMPLETE
9	0.5735018726591761	2020-05-19 12:09:13.345106	2020-05-19 13:00:25.213934	0.997298358518807	1.0423708613217384	256	128	2	92	512	0.24439077685004595	0.10674157303370786	0.5735018726591761	0.23220973782771537	0.3249063670411985	11.743913857677903	0.2370733359271897	0.10674157303370786	0.5735018726591761	0.23220973782771537	0.3249063670411985	11.743913857677903	0.2370733359271897	3672925916		0.10674157303370786	0.5735018726591761	0.23220973782771537	0.3249063670411985	11.743913857677903	0.2370733359271897	9	COMPLETE
