number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	401	451
0	TrialState.COMPLETE	0.21868224352390733	2020-01-21 01:02:00.976128	2020-01-21 01:15:54.438329	250.0	2	61.0	0.01733678439817068	900.0	0.12569266428115572	0.06715023393814903	0.21868224352390733	0.12099880178021226	0.15690260184868196	885.3686879493324	0.11710101059531257	0.06715023393814903	0.21868937578454867	0.12099880178021226	0.15690260184868196	885.3680032523108	0.11710377789976945	0.06715023393814903	0.21868224352390733	0.12099880178021226	0.15690260184868196	885.369372646354	0.11709905396065524	0	0.2233396097226977	0.22023469892350414						
1	TrialState.COMPLETE	0.12863032066643842	2020-01-21 01:15:54.439159	2020-01-21 01:25:32.334304	50.0	1	1.0	0.020211308354497807	1900.0	0.3214835558801945	0.044540967705123814	0.12863032066643842	0.07789855072463768	0.09681330594545247	2276.560017973297	0.07449564785290856	0.044540967705123814	0.12863032066643842	0.07789855072463768	0.09681330594545247	2276.5594545247063	0.07449564887428133	0.044540967705123814	0.12863032066643842	0.07789855072463768	0.09681330594545247	2276.5605814218875	0.07449564684036722	1	0.1505334930959717	0.13593137814294953						
2	TrialState.COMPLETE	0.208197820381148	2020-01-21 01:25:32.335142	2020-01-21 01:38:33.149268	350.0	2	21.0	0.035154830155493255	1200.0	0.2208013814029363	0.07142959032294877	0.208197820381148	0.12527102590437064	0.15755163756704324	1558.185962997832	0.1177598226614513	0.07142959032294877	0.208197820381148	0.1252852904256533	0.15755163756704324	1558.185231941116	0.11776061191043505	0.07142959032294877	0.208197820381148	0.12527102590437064	0.15755163756704324	1558.1866940545476	0.11775921499145402	2	0.2142959032294876	0.2102305146639279						
3	TrialState.COMPLETE	0.11338154741526875	2020-01-21 01:38:33.150134	2020-01-21 01:51:32.279691	150.0	1	91.0	0.016575184486743635	1600.0	0.41109806832377216	0.021860378865685266	0.11338154741526875	0.06834845372589296	0.08474552094031725	2915.408175710373	0.05608728595909024	0.021860378865685266	0.11338154741526875	0.06834845372589296	0.08474552094031725	2915.4069810567157	0.05608728759956455	0.021860378865685266	0.11338154741526875	0.06834845372589296	0.08474552094031725	2915.4093703640306	0.056087284330245034	3	0.14280212256076685	0.12318840579710146						
4	TrialState.COMPLETE	0.27619679333561564	2020-01-21 01:51:32.280545	2020-01-21 02:04:31.109717	350.0	2	21.0	0.001043583184895458	800.0	0.07325266283145833	0.09311166267260071	0.27619679333561564	0.16401346570809083	0.20738474266803605	512.873010099281	0.15395084770350018	0.09311879493324204	0.27619679333561564	0.16401346570809083	0.2073918749286774	512.8722184183499	0.15395340395558485	0.09311166267260071	0.27619679333561564	0.16401346570809083	0.20738474266803605	512.8738017802123	0.15394950390569676	4	0.2931501768800639	0.28184792118376506						
5	TrialState.COMPLETE	0.2088040625356613	2020-01-21 02:04:31.110751	2020-01-21 02:17:56.793443	350.0	2	31.0	0.02898995484758596	1700.0	0.1839563578443985	0.07179333561565673	0.2088040625356613	0.1207705694396896	0.1536360264749515	1297.1676081250714	0.1174558987647736	0.07179333561565673	0.2088040625356613	0.1207705694396896	0.1536360264749515	1297.166880634486	0.11745594947865974	0.07179333561565673	0.2088040625356613	0.1207705694396896	0.1536360264749515	1297.1683356156568	0.11745585101877454	5	0.21005934040853588	0.20922248849328617						
6	TrialState.COMPLETE	0.2203868538171859	2020-01-21 02:17:56.794327	2020-01-21 02:29:10.164804	50.0	2	61.0	0.01956651064161436	800.0	0.10266937564441957	0.06282808398950131	0.2203868538171859	0.11794619422572178	0.1532651489216022	722.909987304576	0.11465360078813035	0.06282808398950131	0.2203868538171859	0.11796045874700445	0.1532651489216022	722.9092063220359	0.11465469607503863	0.06282808398950131	0.2203868538171859	0.11794619422572178	0.1532651489216022	722.9107682871163	0.11465272635438495	6	0.22877439233139335	0.2231826999885884						
7	TrialState.COMPLETE	0.1890619650804519	2020-01-21 02:29:10.165640	2020-01-21 02:40:08.696047	350.0	2	1.0	0.011136154241813781	2000.0	0.14663410596113768	0.07045247061508615	0.1890619650804519	0.11666238731028186	0.1440930617368481	1032.178680959717	0.11121357214692618	0.07045247061508615	0.1890619650804519	0.11666238731028186	0.1440930617368481	1032.1784348967249	0.11121358834874756	0.07045247061508615	0.1890619650804519	0.11666238731028186	0.1440930617368481	1032.178927022709	0.11121355654468065	7	0.19542394157252083	0.19118262391114155						
8	TrialState.COMPLETE	0.2411060709802579	2020-01-21 02:40:08.696893	2020-01-21 02:51:26.149669	50.0	2	91.0	0.0055855947386898655	1400.0	0.11223859191546473	0.06998174141275819	0.2411060709802579	0.13119793449731826	0.16857098025790254	788.9684647095744	0.1255897715508335	0.06998887367339952	0.2411060709802579	0.13119793449731826	0.16857811251854388	788.9672985849595	0.125594999698425	0.06998174141275819	0.2411060709802579	0.13119793449731826	0.16857098025790254	788.9696308341892	0.12558646188350994	8	0.24165525504964053	0.24128913233671878						
