number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.083390391418464	2020-03-24 15:27:33.393432	2020-03-24 16:06:38.967523	4.300106702620206	256	64	2	49	0.002910666233825893	512	0.2548766453389229	0.018600935752596144	0.083390391418464	0.0359465936323177	0.05021111491498345	1810.5214253109666	0.04461744245510446	0.018600935752596144	0.083390391418464	0.0359465936323177	0.05021111491498345	1810.5180874129865	0.04461746952634132	744058816	150	0.018600935752596144	0.083390391418464	0.0359465936323177	0.05021111491498345	1810.5247632089468	0.04461741648550697	0	COMPLETE
1	0.03143900490699532	2020-03-24 16:06:39.016340	2020-03-24 18:56:10.850699	3.6220571618641677	256	128	2	88	0.09091303696246403	256	0.43285097494877506	0.00813077713111948	0.03143900490699532	0.013180417665183157	0.018344174369508158	3079.3703355015405	0.018449367445755628	0.00813077713111948	0.03143900490699532	0.013180417665183157	0.018344174369508158	3079.3696222754766	0.01844937020252361	2282427404	200	0.00813077713111948	0.03143900490699532	0.013180417665183157	0.018344174369508158	3079.371048727605	0.01844936471250462	1	COMPLETE
2	0.011012210430217962	2020-03-24 18:56:10.882993	2020-03-24 19:20:19.326977	5.404261324010525	64	256	2	9	0.07820659243720138	256	0.5557457459754743	0.001683213511354559	0.011012210430217962	0.004336414469930389	0.006447563619764921	3959.2537658336187	0.006439225498973019	0.001683213511354559	0.011012210430217962	0.004336414469930389	0.006447563619764921	3959.252482026703	0.006439231929320666	2650198826	150	0.001683213511354559	0.011012210430217962	0.004336414469930389	0.006447563619764921	3959.2550496405343	0.006439219181666396	2	COMPLETE
3	0.01683213511354559	2020-03-24 19:20:19.359655	2020-03-24 19:39:00.381747	7.160926305392877	64	64	1	45	0.03903420378022123	512	0.2760663783018997	0.001740271596485222	0.01683213511354559	0.004250827342234395	0.006476092662330252	1962.055503252311	0.00960759678294843	0.001740271596485222	0.01683213511354559	0.004250827342234395	0.006476092662330252	1962.0547187036402	0.009607619102159116	9512604	150	0.001740271596485222	0.01683213511354559	0.004250827342234395	0.006476092662330252	1962.0562878009814	0.00960757507926444	3	COMPLETE
4	0.009414584046559397	2020-03-24 19:39:00.414698	2020-03-24 21:56:10.996984	5.83427012178602	256	128	2	94	0.08603679442501799	128	0.7063394157294123	0.001797329681615885	0.009414584046559397	0.00396553691658108	0.0058484537258929594	5033.659434554376	0.005541366115458842	0.001797329681615885	0.009414584046559397	0.00396553691658108	0.0058484537258929594	5033.6577941344285	0.005541368752473819	3777214115	150	0.001797329681615885	0.009414584046559397	0.00396553691658108	0.0058484537258929594	5033.661074974324	0.005541363504921329	4	COMPLETE
5	0.014977747346799042	2020-03-24 21:56:11.036322	2020-03-24 22:28:38.054149	8.377214659235637	256	64	1	18	0.05375992200921338	512	0.47430819702100885	0.004108182129407737	0.014977747346799042	0.007874015748031496	0.010099281068127354	3365.786574232569	0.009760658903331297	0.004108182129407737	0.014977747346799042	0.007874015748031496	0.010099281068127354	3365.775989957777	0.009760731887616498	1380183596	200	0.004108182129407737	0.014977747346799042	0.007874015748031496	0.010099281068127354	3365.7971585073606	0.009760587889632685	5	COMPLETE
6	0.021168549583475978	2020-03-24 22:28:38.088267	2020-03-24 23:18:28.465504	7.229920661022742	64	64	2	38	0.008877996384949146	256	0.20410741867521454	0.0021967362775305263	0.021168549583475978	0.005563163300239644	0.009357525961428734	1452.2305859865344	0.013265673719242616	0.0021967362775305263	0.021168549583475978	0.005563163300239644	0.009357525961428734	1452.2295446764806	0.01326567453867809	2107789182	250	0.0021967362775305263	0.021168549583475978	0.005563163300239644	0.009357525961428734	1452.231627296588	0.013265672902351453	6	COMPLETE
7	0.010099281068127354	2020-03-24 23:18:28.498443	2020-03-24 23:44:35.580516	5.39382955812543	64	64	1	7	0.012139072124248714	512	0.24355241191177873	0.0005135227661759672	0.010099281068127354	0.0016546844687892275	0.002852904256533151	1732.5466021910304	0.008081185620681056	0.0005135227661759672	0.010099281068127354	0.0016546844687892275	0.002852904256533151	1732.5456464681045	0.008081185934102423	696070024	250	0.0005135227661759672	0.010099281068127354	0.0016546844687892275	0.002852904256533151	1732.5475579139563	0.008081185307889783	7	COMPLETE
8	0.3491669519570923	2020-03-24 23:44:35.614661	2020-03-25 02:09:10.989555	0.5693172558810414	256	256	1	40	0.0014396328438435802	512	0.07885032761338026	0.061194796302636086	0.3491669519570923	0.18909049412301723	0.2547928791509757	539.6603046901746	0.15754767353804555	0.061194796302636086	0.3491669519570923	0.18909049412301723	0.2547928791509757	539.6598482254935	0.1575476777460885	350305371	200	0.061194796302636086	0.3491669519570923	0.18909049412301723	0.2547928791509757	539.6607611548557	0.1575476693883279	8	COMPLETE
9	0.0515234508729887	2020-03-25 02:09:11.042180	2020-03-25 03:11:17.568511	7.572231541693457	128	128	2	91	0.00544510554840025	512	0.19894428008237827	0.002967020426794477	0.0515234508729887	0.018344174369508158	0.02533378979801438	1417.8470130092435	0.025008468146112486	0.002967020426794477	0.0515234508729887	0.018344174369508158	0.02533378979801438	1417.845886112062	0.02500847153023599	2467300422	150	0.002967020426794477	0.0515234508729887	0.018344174369508158	0.02533378979801438	1417.8481399064246	0.02500846478751624	9	COMPLETE
10	0.08883943854844231	2020-03-25 03:11:17.605340	2020-03-25 03:26:13.628684	6.81257685982864	64	64	2	22	0.00150227279169919	512	0.2755161425939978	0.016689489900718932	0.08883943854844231	0.040368595229944085	0.053549012895127236	1964.274634828255	0.04540565580504214	0.016689489900718932	0.08883943854844231	0.040368595229944085	0.053549012895127236	1964.2725950017118	0.045405671994770504	2520143918	150	0.016689489900718932	0.08883943854844231	0.040368595229944085	0.053549012895127236	1964.2766746547986	0.04540563999753012	10	COMPLETE
11	0.061765377153942716	2020-03-25 03:26:13.667097	2020-03-25 03:54:59.549970	8.93642622709643	128	64	2	59	0.0037833294375533852	512	0.23871052145256708	0.013208946707748487	0.061765377153942716	0.028471984480200843	0.03463425767431245	1700.6814304461943	0.03588020537372826	0.013208946707748487	0.061765377153942716	0.028471984480200843	0.03463425767431245	1700.6787059226292	0.03588021524614379	2634255220	150	0.013208946707748487	0.061765377153942716	0.028471984480200843	0.03463425767431245	1700.6841549697592	0.03588019564040129	11	COMPLETE
12	0.014492753623188406	2020-03-25 03:54:59.586611	2020-03-25 04:14:04.685429	4.8862652201974965	64	64	1	3	0.007129728098239861	256	0.2503127858182131	0.0014264521282665755	0.014492753623188406	0.0036802464909277645	0.006447563619764921	1778.9950644756361	0.00946466844076221	0.0014264521282665755	0.014492753623188406	0.0036802464909277645	0.006447563619764921	1778.9942371334018	0.009464668605311493	2329149967	150	0.0014264521282665755	0.014492753623188406	0.0036802464909277645	0.006447563619764921	1778.9958918178706	0.009464668276407594	12	COMPLETE
13	0.16367111719730687	2020-03-25 04:14:04.719747	2020-03-25 06:28:21.568872	2.814063490063849	128	256	1	91	0.0012924387117221828	128	0.27931170450672965	0.03845714937806687	0.16367111719730687	0.0725208262010727	0.10327513408650006	1979.1909306173684	0.08090473401870243	0.03845714937806687	0.16367111719730687	0.0725208262010727	0.10327513408650006	1979.190545475294	0.08090473486009793	4164902479	150	0.03845714937806687	0.16367111719730687	0.0725208262010727	0.10327513408650006	1979.1913157594431	0.0809047331829367	13	COMPLETE
14	0.016775077028414926	2020-03-25 06:28:21.604653	2020-03-25 06:47:20.531474	6.663105464385922	256	128	2	6	0.00948294204351503	512	0.28472301023193014	0.003822891703754422	0.016775077028414926	0.006761383087983568	0.009214880748602076	2023.3590237361634	0.011570036827665902	0.003822891703754422	0.016775077028414926	0.006761383087983568	0.009214880748602076	2023.3578683099395	0.011570037721802876	820383336	150	0.003822891703754422	0.016775077028414926	0.006761383087983568	0.009214880748602076	2023.3601791623873	0.011570035936360268	14	COMPLETE
15	0.016518315645326943	2020-03-25 06:47:20.567685	2020-03-25 07:34:49.266851	6.097705969044155	64	128	2	45	0.007615080906052643	128	0.22575962425785007	0.001911445851877211	0.016518315645326943	0.003908478831450416	0.006133744151546274	1605.6049298185553	0.011356006555857728	0.001911445851877211	0.016518315645326943	0.003908478831450416	0.006133744151546274	1605.604159534406	0.011356008550719793	535822106	150	0.001911445851877211	0.016518315645326943	0.003908478831450416	0.006133744151546274	1605.6057001027045	0.011356004574187941	15	COMPLETE
16	0.23853132488873674	2020-03-25 07:34:49.303795	2020-03-25 08:56:20.659061	2.1423965625399606	256	256	1	29	0.0012864620860674398	256	0.22307704109525375	0.057428962684012326	0.23853132488873674	0.12121990186009357	0.16666666666666666	1581.3383544448247	0.11679563203250679	0.057428962684012326	0.23853132488873674	0.12121990186009357	0.16666666666666666	1581.3379835672715	0.11679563432325604	2097746055	150	0.057428962684012326	0.23853132488873674	0.12121990186009357	0.16666666666666666	1581.3387253223782	0.11679562976745557	16	COMPLETE
17	0.03309368937578455	2020-03-25 08:56:20.699108	2020-03-25 09:31:57.338501	6.476240830365621	64	256	2	41	0.0100123236932801	512	0.18019331926682222	0.0025105557457491727	0.03309368937578455	0.01360835330366313	0.02256647266917722	1279.7652630377725	0.018971202429018157	0.0025105557457491727	0.03309368937578455	0.01360835330366313	0.02256647266917722	1279.7644927536232	0.018971202880938925	3168271834	150	0.0025105557457491727	0.03309368937578455	0.01360835330366313	0.02256647266917722	1279.7660333219217	0.018971201978772206	17	COMPLETE
18	0.016575373730457605	2020-03-25 09:31:57.383913	2020-03-25 13:18:51.858148	8.336242102954385	256	256	2	99	0.05015399459428912	512	0.37505450142561153	0.005477576172543649	0.016575373730457605	0.009328996918863403	0.011696907451785919	2665.928235193427	0.012597337784211073	0.005477576172543649	0.016575373730457605	0.009328996918863403	0.011696907451785919	2665.9256533150747	0.012597349362275469	2537980602	150	0.005477576172543649	0.016575373730457605	0.009328996918863403	0.011696907451785919	2665.930817071779	0.012597326451688925	18	COMPLETE
19	0.14658222070067328	2020-03-25 13:18:51.894845	2020-03-25 15:16:10.484924	2.92129864261689	256	128	2	76	0.004116757723907838	128	0.10719161649267776	0.039427136825288145	0.14658222070067328	0.07580166609608581	0.09853931302065502	758.2163357297729	0.07797907930558029	0.039427136825288145	0.14658222070067328	0.07580166609608581	0.09853931302065502	758.2162216136027	0.0779790813961822	1075282798	150	0.039427136825288145	0.14658222070067328	0.07580166609608581	0.09853931302065502	758.2164498459432	0.07797907723441093	19	COMPLETE
20	0.021910304690174597	2020-03-25 15:16:10.522392	2020-03-25 16:19:10.994240	7.846154098313203	64	128	2	90	0.010865055416753111	128	0.2660849578931888	0.003765833618623759	0.021910304690174597	0.0069896154285062195	0.010156339153258016	1895.8045190003425	0.013108496315402892	0.003765833618623759	0.021910304690174597	0.0069896154285062195	0.010156339153258016	1895.8032351934269	0.0131085043826368	3725766377	150	0.003765833618623759	0.021910304690174597	0.0069896154285062195	0.010156339153258016	1895.8058028072578	0.013108488358871632	20	COMPLETE
