number	value	datetime_start	datetime_complete	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.11563670411985019	2020-04-07 14:13:12.338781	2020-04-07 14:16:11.745226	8.655895546863178	0.0271590993516987	64	99	128	0.9875898789091224	0.0046816479400749065	0.11563670411985019	0.032303370786516857	0.05664794007490637	47.6999063670412	0.051857162212678984	0.0046816479400749065	0.11563670411985019	0.032303370786516857	0.05664794007490637	47.6999063670412	0.051857162212678984	3437854322	150	0.0046816479400749065	0.11563670411985019	0.032303370786516857	0.05664794007490637	47.6999063670412	0.051857162212678984	0	COMPLETE
1	0.09597378277153558	2020-04-07 14:16:11.778643	2020-04-07 14:19:25.696159	3.905050098642594	0.014000447584337664	128	67	128	1.0049511497702506	0.008426966292134831	0.09597378277153558	0.02762172284644195	0.05056179775280899	48.53300561797753	0.05111259913042764	0.008426966292134831	0.09597378277153558	0.02762172284644195	0.05056179775280899	48.53277153558052	0.05111268168461456	2325166193	150	0.008426966292134831	0.09597378277153558	0.02762172284644195	0.05056179775280899	48.53323970037453	0.051112518105021966	1	COMPLETE
2	0.08801498127340825	2020-04-07 14:19:25.731684	2020-04-07 14:21:16.774413	2.6374727989515225	0.03049727939991056	128	82	256	1.0143337884249883	0.009363295880149813	0.08801498127340825	0.026217228464419477	0.04260299625468165	48.929307116104866	0.049454728556869346	0.009363295880149813	0.08801498127340825	0.026217228464419477	0.04260299625468165	48.929307116104866	0.049454728556869346	3460875496	150	0.009363295880149813	0.08801498127340825	0.026217228464419477	0.04260299625468165	48.929307116104866	0.049454728556869346	2	COMPLETE
3	0.10486891385767791	2020-04-07 14:21:16.800619	2020-04-07 14:22:12.778041	9.4719793519565	0.016004929924653973	128	8	512	0.9921774009028136	0.009831460674157303	0.10486891385767791	0.027153558052434457	0.052434456928838954	47.93773408239701	0.05251134666268277	0.009831460674157303	0.10486891385767791	0.027153558052434457	0.052434456928838954	47.93773408239701	0.05251134666268277	3780426966	150	0.009831460674157303	0.10486891385767791	0.027153558052434457	0.052434456928838954	47.93773408239701	0.05251134666268277	3	COMPLETE
4	0.10533707865168539	2020-04-07 14:22:12.816670	2020-04-07 14:23:13.117594	4.118409991333035	0.04756336097604475	64	74	512	1.0232361186756176	0.008426966292134831	0.10533707865168539	0.028089887640449437	0.04962546816479401	49.26825842696629	0.05163404586385784	0.008426966292134831	0.10533707865168539	0.028089887640449437	0.04962546816479401	49.26825842696629	0.05163404586385784	3115144003	150	0.008426966292134831	0.10533707865168539	0.028089887640449437	0.04962546816479401	49.26825842696629	0.05163404586385784	4	COMPLETE
5	0.10112359550561797	2020-04-07 14:23:13.148522	2020-04-07 14:24:56.809957	1.2929966062166027	0.014680581029861126	128	40	256	1.0009222565042657	0.013576779026217229	0.10112359550561797	0.03417602996254682	0.05290262172284644	48.31086142322097	0.05628353889402566	0.013576779026217229	0.10112359550561797	0.03417602996254682	0.05290262172284644	48.31086142322097	0.05628353889402566	4248405086	150	0.013576779026217229	0.10112359550561797	0.03417602996254682	0.05290262172284644	48.31086142322097	0.05628353889402566	5	COMPLETE
6	0.10018726591760299	2020-04-07 14:24:56.833024	2020-04-07 14:28:06.672790	6.474322300527238	0.028121582435392842	64	52	128	1.0088082203041582	0.009831460674157303	0.10018726591760299	0.030430711610486893	0.05149812734082397	48.741573033707866	0.052433723415445325	0.009831460674157303	0.10018726591760299	0.030430711610486893	0.05149812734082397	48.741573033707866	0.052433723415445325	2221921270	150	0.009831460674157303	0.10018726591760299	0.030430711610486893	0.05149812734082397	48.741573033707866	0.052433723415445325	6	COMPLETE
7	0.11189138576779026	2020-04-07 14:28:06.699377	2020-04-07 14:29:50.724546	1.2992259136870588	0.015021614329917561	64	88	256	0.9880213639480916	0.017322097378277154	0.11189138576779026	0.0351123595505618	0.0599250936329588	47.69662921348315	0.06044701560807918	0.017322097378277154	0.11189138576779026	0.0351123595505618	0.0599250936329588	47.69662921348315	0.06044701560807918	2449549810	150	0.017322097378277154	0.11189138576779026	0.0351123595505618	0.0599250936329588	47.69662921348315	0.06044701560807918	7	COMPLETE
8	0.10533707865168539	2020-04-07 14:29:50.757164	2020-04-07 14:31:33.569299	5.251502426407097	0.017539219345722494	64	59	256	0.9930034185008038	0.012172284644194757	0.10533707865168539	0.03136704119850187	0.054775280898876406	47.95037453183521	0.05587130449421261	0.012172284644194757	0.10533707865168539	0.03136704119850187	0.054775280898876406	47.95037453183521	0.05587130449421261	3258796578	150	0.012172284644194757	0.10533707865168539	0.03136704119850187	0.054775280898876406	47.95037453183521	0.05587130449421261	8	COMPLETE
9	0.11470037453183521	2020-04-07 14:31:33.596160	2020-04-07 14:34:33.483168	1.6577317133955818	0.07062488771976361	64	65	128	0.9942710760654707	0.012172284644194757	0.11470037453183521	0.04073033707865169	0.06179775280898876	47.97565543071161	0.05819479236961629	0.012172284644194757	0.11470037453183521	0.04073033707865169	0.06179775280898876	47.97565543071161	0.05819479236961629	3156495533	150	0.012172284644194757	0.11470037453183521	0.04073033707865169	0.06179775280898876	47.97565543071161	0.05819479236961629	9	COMPLETE
10	0.10018726591760299	2020-04-07 14:34:33.505840	2020-04-07 14:35:28.917438	3.9727107237769346	0.09155536508054266	256	15	512	0.9893369849131195	0.007958801498127341	0.10018726591760299	0.02855805243445693	0.048220973782771535	47.741573033707866	0.0509646355901336	0.007958801498127341	0.10018726591760299	0.02855805243445693	0.048220973782771535	47.741573033707866	0.0509646355901336	1254125467	150	0.007958801498127341	0.10018726591760299	0.02855805243445693	0.048220973782771535	47.741573033707866	0.0509646355901336	10	COMPLETE
11	0.0852059925093633	2020-04-07 14:35:28.953089	2020-04-07 14:38:21.287761	1.9607572691783473	0.037283578366053546	64	29	128	1.0276183764492108	0.012172284644194757	0.0852059925093633	0.02902621722846442	0.0449438202247191	49.60440074906367	0.05150921122765336	0.012172284644194757	0.0852059925093633	0.02902621722846442	0.0449438202247191	49.60440074906367	0.05150921122765336	1269575185	150	0.012172284644194757	0.0852059925093633	0.02902621722846442	0.0449438202247191	49.60440074906367	0.05150921122765336	11	COMPLETE
