number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	random_seed	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.1496633572977291	2020-01-20 07:52:52.129857	2020-01-20 13:05:43.706010	6.3506779391195245	3.303980606381726	0.02679899583219132	350.0	6.0	0.0264861603957409	800.0	0.13278459101535417	0.03275134086500057	0.1496633572977291	0.06738559853931302	0.09397466621020198	930.6176395070181	0.072562137166256	0.03275134086500057	0.1496633572977291	0.06738559853931302	0.09397466621020198	930.6140020540911	0.0725633227768277	1652681313	0.03275134086500057	0.1496633572977291	0.06738559853931302	0.09397466621020198	930.6212769599452	0.0725611485662068	0
1	TrialState.COMPLETE	0.25784548670546614	2020-01-20 13:05:43.706787	2020-01-20 23:43:56.063687	5.934561334254728	4.9263841370743675	0.07692158538955515	350.0	31.0	0.014033868826971425	1500.0	0.10902346408448803	0.07351934269085929	0.25784548670546614	0.1389934953782951	0.1801894328426338	762.4168806344859	0.1329833950281941	0.07351934269085929	0.25784548670546614	0.13902202442086042	0.1801894328426338	762.4093347027274	0.13298573359099286	2032154643	0.07351934269085929	0.25784548670546614	0.1389934953782951	0.1801894328426338	762.4244265662444	0.13298148169841426	1
2	TrialState.COMPLETE	0.265576857240671	2020-01-20 23:43:56.064517	2020-01-21 11:57:15.988388	4.581284502484582	1.1147867602245638	0.05059117841159334	50.0	11.0	0.010631251272184832	1900.0	0.0709093607347585	0.06906881205066757	0.265576857240671	0.1437863745292708	0.1903457719958918	497.6542280041082	0.13413731763098416	0.06909734109323291	0.265576857240671	0.1437863745292708	0.1903457719958918	497.65228802921376	0.13414688173471634	1088956610	0.06906881205066757	0.265576857240671	0.1437863745292708	0.1903457719958918	497.65616797900265	0.13413250951019567	2
