number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	201	251	301	351	401	451
0	TrialState.COMPLETE	8.852691218130312e-05	2020-01-20 16:23:55.828043	2020-01-20 17:30:36.965417	7.341649509211043	0.07465414039929108	350.0	71.0	0.004169294021271934	1500.0	0.9765540444854861	0.0	8.852691218130312e-05	4.426345609065156e-05	8.852691218130312e-05	19797.72257878895	0.00023037059894244878	0.0	8.852691218130312e-05	4.426345609065156e-05	8.852691218130312e-05	19797.689934490085	0.0002303712088525931	0.0	8.852691218130312e-05	4.426345609065156e-05	8.852691218130312e-05	19797.755223087817	0.00023036998975700556	0	0.00017705382436260624	0.00011803588290840416						
1	TrialState.COMPLETE	0.013810198300283285	2020-01-20 17:30:36.966804	2020-01-20 21:52:48.871125	4.6584989932756375	0.06087019333276315	150.0	41.0	0.01165827892084116	1000.0	0.9069470925082809	0.0045873036312129795	0.013810198300283285	0.00742016482101468	0.009496523306721606	18386.376722250836	0.007755507283907376	0.0045873036312129795	0.013810198300283285	0.00742016482101468	0.009496523306721606	18386.358260365698	0.007755507716840525	0.0045873036312129795	0.013810198300283285	0.00742016482101468	0.009496523306721606	18386.395184135978	0.007755506851419771	1							0.012393767705382436	0.013172804532577903
2	TrialState.COMPLETE	0.0008852691218130312	2020-01-20 21:52:48.874979	2020-01-20 22:44:29.340855	5.983971132498903	0.08257232212049448	150.0	31.0	0.0077653183647070365	1900.0	0.9841818680943142	0.0002655807365439094	0.0008852691218130312	0.0004426345609065156	0.0005311614730878187	19952.39890226629	0.0007153067369919637	0.0002655807365439094	0.0008852691218130312	0.0004426345609065156	0.0005311614730878187	19952.37849681303	0.000715307155196202	0.0002655807365439094	0.0008852691218130312	0.0004426345609065156	0.0005311614730878187	19952.419307719545	0.0007153063192225493	2	0.00017705382436260624	0.0006491973559962229						
3	TrialState.COMPLETE	0.016971873735329827	2020-01-20 22:44:29.350010	2020-01-21 00:06:15.120874	9.575675469343162	0.02773014738915959	450.0	1.0	0.011518566796083485	700.0	0.710109055692556	0.006550991501416431	0.016971873735329827	0.009560906515580737	0.011306151355726426	14394.109027215702	0.01074906859759225	0.006550991501416431	0.016971873735329827	0.009560906515580737	0.011306151355726426	14394.087262242007	0.010749069191939829	0.006550991501416431	0.016971873735329827	0.009560906515580737	0.011306151355726426	14394.130792189397	0.010749068003887597	3			0.016111898016997167	0.016613550519357884				
4	TrialState.COMPLETE	8.852691218130312e-05	2020-01-21 00:06:15.131032	2020-01-21 00:32:33.155580	7.036527996848127	0.04014833647271589	50.0	71.0	0.0017814357826107454	1300.0	0.9857054569170701	0.0	8.852691218130312e-05	0.0	0.0	19983.34917227337	0.00022022387193101545	0.0	8.852691218130312e-05	0.0	0.0	19983.341758144477	0.0002202239779519921	0.0	8.852691218130312e-05	0.0	0.0	19983.356586402268	0.00022022376594469278	4	0.00017705382436260624	0.00011803588290840416						
5	TrialState.COMPLETE	0.018170148725212464	2020-01-21 00:32:33.166362	2020-01-21 01:22:50.349727	1.8169752705129845	0.055028193004578056	50.0	1.0	0.051081879586480985	500.0	0.7022045224235035	0.005023902266288952	0.018170148725212464	0.00896334985835694	0.012415899433427762	14233.61052584986	0.009972271017247522	0.005023902266288952	0.018170148725212464	0.00896334985835694	0.012415899433427762	14233.599150141643	0.00997227127549936	0.005023902266288952	0.018170148725212464	0.00896334985835694	0.012415899433427762	14233.621901558074	0.009972270759150048	5				0.01679060434372049	0.01757891541885876			
6	TrialState.COMPLETE	0.016977494491658796	2020-01-21 01:22:50.351428	2020-01-21 06:12:56.222441	8.559847486152892	0.01975465399814197	450.0	1.0	0.0017443898577264116	1100.0	0.8174651493037693	0.0065116462071136295	0.016977494491658796	0.009029745042492918	0.011488825936418005	16571.240360402895	0.010218455101177215	0.0065116462071136295	0.0169971671388102	0.009029745042492918	0.011488825936418005	16571.215848284544	0.010218551689415963	0.0065116462071136295	0.016977494491658796	0.009029745042492918	0.011488825936418005	16571.264872521246	0.01021836704824159	6					0.015960137596114934	0.016532400849858356		
7	TrialState.COMPLETE	0.0025230169971671387	2020-01-21 06:12:56.232449	2020-01-21 07:14:33.273111	1.80848710741654	0.0683889525084492	250.0	21.0	0.003722044314492941	1200.0	0.9618446494551623	0.0008852691218130312	0.0025230169971671387	0.0015049575070821529	0.0018148016997167138	19499.49172273371	0.001574235229527178	0.0008852691218130312	0.0025230169971671387	0.0015049575070821529	0.0018148016997167138	19499.468572946174	0.0015742360579968394	0.0008852691218130312	0.0025230169971671387	0.0015049575070821529	0.0018148016997167138	19499.514872521246	0.0015742344026042083	7	0.0006196883852691218	0.0018885741265344666						
8	TrialState.COMPLETE	0.017250101173613922	2020-01-21 07:14:33.274974	2020-01-21 09:30:11.219851	9.308246294587464	0.0353249764820182	450.0	1.0	0.014347238593350537	800.0	0.6946963268057896	0.0061462970457304734	0.017250101173613922	0.009560906515580737	0.012494941319303926	14081.681745750708	0.01077268442171788	0.0061462970457304734	0.017250101173613922	0.009560906515580737	0.012494941319303926	14081.661043099959	0.010772685058545204	0.0061462970457304734	0.017250101173613922	0.009560906515580737	0.012494941319303926	14081.702448401456	0.010772683785791904	8			0.016359773371104815	0.016879131255901795				
