number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.014872521246458924	2020-01-14 18:06:09.060230	2020-01-14 19:15:56.144581	9.37155387936961	6.260470297502016	0.017797612618044394	450.0	11.0	0.024591904041149103	900.0	0.7041192892084047	0.002045955303745672	0.014872521246458924	0.006196883852691218	0.009383852691218131	14272.563060670444	0.006733047830854327	0.002045955303745672	0.014872521246458924	0.006196883852691218	0.009383852691218131	14272.542276518729	0.006733050792732141	0.002045955303745672	0.014872521246458924	0.006196883852691218	0.009383852691218131	14272.583844822158	0.006733044891971851	9						0.013607851072440308	0.01431922804532578			
10	TrialState.COMPLETE	0.016643059490084985	2020-01-14 19:15:56.145924	2020-01-14 20:04:08.579437	2.631198540634921	1.757443120231977	0.02586077238381632	250.0	41.0	0.03150790828133616	900.0	0.7524314477814255	0.003939447592067989	0.016643059490084985	0.008011685552407931	0.01122078611898017	15252.50175947238	0.008317502680277858	0.003939447592067989	0.016643059490084985	0.008011685552407931	0.01122078611898017	15252.482515934844	0.008317511930512143	0.003939447592067989	0.016643059490084985	0.008011685552407931	0.01122078611898017	15252.521003009915	0.008317493602184568	10					0.01563975448536355	0.016213071630918657				
11	TrialState.COMPLETE	0.013101983002832862	2020-01-14 20:04:08.581651	2020-01-14 20:38:30.960687	7.460445197858008	7.487777532084359	0.013874658017809105	150.0	46.0	0.028737868158124184	1200.0	0.7984834544426329	0.0022764063132335085	0.013101983002832862	0.005615135572642655	0.00816976932416026	16186.111189801699	0.006507563981897907	0.0022764063132335085	0.013101983002832862	0.005615135572642655	0.00816976932416026	16186.095836705786	0.0065075651686282935	0.0022764063132335085	0.013101983002832862	0.005615135572642655	0.00816976932416026	16186.126542897613	0.006507562797917777	11				0.011827195467422096	0.012570821529745042					
12	TrialState.COMPLETE	0.0003098441926345609	2020-01-14 20:38:30.962515	2020-01-14 20:51:37.177441	0.6494294483512095	2.197726973336727	0.0671848982622832	50.0	11.0	0.004912681663670489	1300.0	0.9537995196303358	0.0	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	19336.49479904391	0.0003118886939338519	0.0	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	19336.484552053826	0.0003123104686504492	0.0	0.0003098441926345609	8.852691218130312e-05	0.00017705382436260624	19336.505046033995	0.00031151961394542657	12	8.852691218130312e-05	0.00023607176581680832								
13	TrialState.COMPLETE	0.001593484419263456	2020-01-14 20:51:37.184331	2020-01-14 21:04:47.980064	0.6235991263509136	8.625077085758418	0.010732478668531454	50.0	26.0	0.0075240099967272345	1100.0	0.929547412191781	0.0001327903682719547	0.001593484419263456	0.0004426345609065156	0.000796742209631728	18844.648503895183	0.0008558675499480805	0.0001327903682719547	0.001593484419263456	0.0004426345609065156	0.000796742209631728	18844.639562677054	0.0008558678580858324	0.0001327903682719547	0.001593484419263456	0.0004426345609065156	0.000796742209631728	18844.657445113313	0.000855867242215708	13	0.0003541076487252125	0.0011803588290840415								
14	TrialState.COMPLETE	0.00199185552407932	2020-01-14 21:04:47.981359	2020-01-14 21:17:31.765240	9.763424537544537	6.009127128593949	0.05686191414826685	50.0	6.0	0.0073263996903429615	1200.0	0.9457814112725093	0.0003541076487252125	0.00199185552407932	0.0008852691218130312	0.0013721671388101982	19173.944670679888	0.0010991965451631238	0.0003541076487252125	0.00199185552407932	0.0008852691218130312	0.0013721671388101982	19173.93816395184	0.0010991966371751043	0.0003541076487252125	0.00199185552407932	0.0008852691218130312	0.0013721671388101982	19173.951177407933	0.0010991964531781595	14	8.852691218130312e-05	0.0013574126534466478								
15	TrialState.COMPLETE	0.0	2020-01-14 21:17:31.766430	2020-01-14 21:38:54.247853	4.606062383989163	5.951884586877402	0.03205744538205797	450.0	16.0	0.003035178785631508	1100.0	0.9319804290560172	0.0	0.0	0.0	0.0	18894.073211756375	0.00020393588738663686	0.0	0.0	0.0	0.0	18894.05851628895	0.00020393608098130596	0.0	0.0	0.0	0.0	18894.087907223795	0.00020393569385893377	15	0.0	0.0								
16	TrialState.COMPLETE	0.00017705382436260624	2020-01-14 21:38:54.249076	2020-01-14 22:01:55.990714	6.570556581562799	6.172265509429474	0.010008237002796532	450.0	46.0	0.003244091135706622	900.0	0.9245324546149504	0.0	0.00017705382436260624	0.0	0.0	18742.82462818697	0.0003127158281128221	0.0	0.00017705382436260624	0.0	0.0	18742.806081798866	0.00031271623547112436	0.0	0.00017705382436260624	0.0	0.0	18742.84317457507	0.00031271542117032174	16	0.0003541076487252125	0.00023607176581680832								
17	TrialState.COMPLETE	8.852691218130312e-05	2020-01-14 22:01:55.993304	2020-01-14 22:23:34.810147	3.1346943756526287	6.509371717808519	0.015371374959135656	450.0	21.0	0.001037983996796399	1600.0	0.9627734438239708	0.0	8.852691218130312e-05	0.0	0.0	19518.363978399433	0.0002224728351459898	0.0	8.852691218130312e-05	0.0	0.0	19518.35131905099	0.0002224731436954936	0.0	8.852691218130312e-05	0.0	0.0	19518.376637747875	0.00022247252692926124	17	0.0	5.901794145420208e-05								
18	TrialState.COMPLETE	0.0001327903682719547	2020-01-14 22:23:34.812917	2020-01-14 22:40:14.659748	0.7015613635563751	7.879292962246851	0.05093354437084847	250.0	21.0	0.002411756367083002	500.0	0.9567863835087793	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	19396.98915545326	0.00024129196495635118	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	19396.977204320112	0.0002412924283410714	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	19397.001106586402	0.00024129150209984418	18	8.852691218130312e-05	0.00011803588290840416								
19	TrialState.COMPLETE	0.0001327903682719547	2020-01-14 22:40:14.660945	2020-01-14 22:56:35.918445	7.115642242342257	2.991904899462024	0.04246683171112115	250.0	6.0	0.0037393763678642148	600.0	0.9486059960103165	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	19230.850500177054	0.00026245360065388476	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	19230.83604815864	0.000262454170959798	0.0	0.0001327903682719547	0.0	8.852691218130312e-05	19230.86495219547	0.0002624530308937883	19	8.852691218130312e-05	0.00011803588290840416								
20	TrialState.COMPLETE	0.012138023292414228	2020-01-14 22:56:35.928258	2020-01-14 23:42:47.450271	5.730163572565927	9.17379989793967	0.014808803377542886	150.0	6.0	0.017668206895323436	800.0	0.7643868664745183	0.0015738117721120553	0.012138023292414228	0.0041902738432483475	0.006649354737173434	15494.832516918477	0.005291391948328133	0.0015738117721120553	0.012138023292414228	0.0041902738432483475	0.006649354737173434	15494.815136134719	0.0052913938919679215	0.0015738117721120553	0.012138023292414228	0.0041902738432483475	0.006649354737173434	15494.849897702235	0.005291390020226486	20						0.010749696479158235	0.01153063031161473			
21	TrialState.COMPLETE	0.015802053824362606	2020-01-14 23:42:47.454597	2020-01-15 00:29:05.428240	9.628603922107834	8.107109272256178	0.01838515077165367	250.0	6.0	0.030465396062457767	1200.0	0.7137116989165939	0.002500885269121813	0.015802053824362606	0.005510800283286119	0.008830559490084986	14467.137526558074	0.007094890050838282	0.002500885269121813	0.015802053824362606	0.005510800283286119	0.008830559490084986	14467.121171211049	0.007094892158128113	0.002500885269121813	0.015802053824362606	0.005510800283286119	0.008830559490084986	14467.153881905098	0.007094887953062402	21					0.014636449480642116	0.015302509105625252				
22	TrialState.COMPLETE	0.000796742209631728	2020-01-15 00:29:05.429930	2020-01-15 00:47:22.637163	1.0852290528442585	2.9143772387631093	0.04474755147470493	350.0	1.0	0.0017546114433332066	1300.0	0.975346097279202	4.426345609065156e-05	0.000796742209631728	0.0003098441926345609	0.000398371104815864	19773.555661296035	0.00046939878401910115	4.426345609065156e-05	0.000796742209631728	0.0003098441926345609	0.000398371104815864	19773.54417492918	0.0004693989682880016	4.426345609065156e-05	0.000796742209631728	0.0003098441926345609	0.000398371104815864	19773.56714766289	0.0004693985998542517	22	0.000708215297450425	0.000767233238904627								
23	TrialState.COMPLETE	0.01494840145690004	2020-01-15 00:47:22.638349	2020-01-15 01:22:27.553469	9.725929930553342	6.001217925154118	0.02135068550617231	150.0	46.0	0.042115902728011204	900.0	0.7702889420343855	0.002681100768919466	0.01494840145690004	0.0063992310805341965	0.008321529745042492	15614.596051699717	0.007240031038287273	0.002681100768919466	0.01494840145690004	0.0063992310805341965	0.008321529745042492	15614.580559490085	0.007240033316586941	0.002681100768919466	0.01494840145690004	0.0063992310805341965	0.008321529745042492	15614.611543909348	0.007240028777113088	23				0.014412181303116148	0.014724976392823419					
24	TrialState.COMPLETE	0.014695467422096316	2020-01-15 01:22:27.560672	2020-01-15 01:54:11.533852	4.682372433989504	3.449869400228068	0.025828193033076	50.0	31.0	0.03512006631015134	1500.0	0.8151188583493773	0.0029846216106839338	0.014695467422096316	0.006879805746661271	0.009662080129502227	16523.900558984216	0.007377006482627879	0.0029846216106839338	0.014695467422096316	0.006879805746661271	0.009662080129502227	16523.89156717928	0.007377006972891394	0.0029846216106839338	0.014695467422096316	0.006879805746661271	0.009662080129502227	16523.909550789154	0.0073770059933431845	24				0.013703966005665723	0.014282341831916902					
25	TrialState.COMPLETE	0.000398371104815864	2020-01-15 01:54:11.535307	2020-01-15 02:07:32.672280	9.276618943698278	6.149663549918616	0.04556857582998647	50.0	31.0	0.004312087979424306	1400.0	0.9703269281442756	0.0	0.000398371104815864	8.852691218130312e-05	0.00017705382436260624	19671.43119245751	0.00038917942626009707	0.0	0.000398371104815864	8.852691218130312e-05	0.00017705382436260624	19671.424840651558	0.0003891795902607265	0.0	0.000398371104815864	8.852691218130312e-05	0.00017705382436260624	19671.437544263455	0.00038917926234540286	25	8.852691218130312e-05	0.0002950897072710104								
26	TrialState.COMPLETE	0.0005311614730878187	2020-01-15 02:07:32.673404	2020-01-15 02:22:12.923686	8.119587142164969	7.469673720881082	0.06950792422903665	150.0	31.0	0.002952191606536598	1600.0	0.9600138477297882	8.852691218130312e-05	0.0005311614730878187	0.0003098441926345609	0.0004426345609065156	19462.31026469547	0.0004758406049343324	8.852691218130312e-05	0.0005311614730878187	0.0003098441926345609	0.0004426345609065156	19462.30072592068	0.0004758407920478784	8.852691218130312e-05	0.0005311614730878187	0.0003098441926345609	0.0004426345609065156	19462.319803470255	0.0004758404179484781	26	0.0003541076487252125	0.00047214353163361664								
27	TrialState.COMPLETE	0.00017705382436260624	2020-01-15 02:22:12.924996	2020-01-15 02:42:15.792774	1.42062705698691	8.708391227550468	0.031202906299396094	350.0	41.0	0.0020020781403044326	1900.0	0.9571577920738187	0.0	0.00017705382436260624	0.0	8.852691218130312e-05	19404.467333569406	0.00025710390505845424	0.0	0.00017705382436260624	0.0	8.852691218130312e-05	19404.45321352691	0.0002571040532624465	0.0	0.00017705382436260624	0.0	8.852691218130312e-05	19404.481453611897	0.0002571037569038273	27	0.00017705382436260624	0.00017705382436260624								
28	TrialState.COMPLETE	0.00017705382436260624	2020-01-15 02:42:15.794038	2020-01-15 02:57:59.285405	5.2786490138060875	9.067620680174732	0.051992247454716096	250.0	1.0	0.0029041745013659408	1600.0	0.9813790693874072	0.0	0.00017705382436260624	0.0001327903682719547	0.0001327903682719547	19895.30659082861	0.00024692554960152206	0.0	0.00017705382436260624	0.0001327903682719547	0.0001327903682719547	19895.295812677054	0.00024692563817789947	0.0	0.00017705382436260624	0.0001327903682719547	0.0001327903682719547	19895.31736898017	0.0002469254610461318	28	0.00017705382436260624	0.00017705382436260624								
29	TrialState.COMPLETE	0.014493120194253339	2020-01-15 02:57:59.286659	2020-01-15 03:49:58.598689	7.136538476365274	8.992348610294817	0.06621590580688765	450.0	31.0	0.06165118871233769	800.0	0.6396026394609124	0.0019475920679886685	0.014493120194253339	0.005842776203966006	0.008523876972885472	12964.078358963981	0.006853767748397191	0.0019475920679886685	0.014493120194253339	0.005842776203966006	0.008523876972885472	12964.049828004856	0.006853771560469513	0.0019475920679886685	0.014493120194253339	0.005842776203966006	0.008523876972885472	12964.106889923109	0.00685376394525595	29				0.01363314447592068	0.014134796978281397					
30	TrialState.COMPLETE	0.0	2020-01-15 03:49:58.603632	2020-01-15 04:11:19.425704	4.747971426575523	5.017670639126444	0.03451063417189352	450.0	6.0	0.0017673066019356467	1500.0	0.9609331787402594	0.0	0.0	0.0	0.0	19480.806812145893	0.00020472487872787073	0.0	0.0	0.0	0.0	19480.792979815866	0.00020472511323022606	0.0	0.0	0.0	0.0	19480.82064447592	0.0002047246443467671	30	0.0	0.0								
31	TrialState.COMPLETE	0.016086604613516794	2020-01-15 04:11:19.426918	2020-01-15 05:02:07.338475	9.394935069765468	9.513427557363743	0.027845925058282713	450.0	11.0	0.05768420370108884	500.0	0.6530510991215782	0.0019222986645082963	0.016086604613516794	0.006045123431808984	0.009687373532982598	13236.760458822338	0.007023511657491939	0.0019222986645082963	0.016086604613516794	0.006045123431808984	0.009687373532982598	13236.738997369486	0.007023513159569212	0.0019222986645082963	0.016086604613516794	0.006045123431808984	0.009687373532982598	13236.781920275193	0.007023510158135832	31				0.014872521246458924	0.015580736543909348					
32	TrialState.COMPLETE	0.016259442870632673	2020-01-15 05:02:07.342748	2020-01-15 05:34:37.919100	2.8208784762775636	3.151496131129538	0.011427380849975554	250.0	21.0	0.09617047329710182	1900.0	0.6951343614600684	0.004042728989612842	0.016259442870632673	0.008203493862134089	0.011390462700661	14090.499040958452	0.0083707702719762	0.004042728989612842	0.016259442870632673	0.008203493862134089	0.011390462700661	14090.475950188857	0.008370771624295044	0.004042728989612842	0.016259442870632673	0.008203493862134089	0.011390462700661	14090.522131728045	0.008370768923004776	32			0.015270892351274788	0.01586402266288952						
33	TrialState.COMPLETE	0.0002213172804532578	2020-01-15 05:34:37.920288	2020-01-15 05:48:52.761139	1.7970857833897935	6.864940328949636	0.03381350777699018	150.0	11.0	0.0015067034072187666	700.0	0.9708335280462618	0.0	0.0002213172804532578	0.0	0.0001327903682719547	19681.725810021246	0.00029684616009443995	0.0	0.0002213172804532578	0.0	0.0001327903682719547	19681.71852868272	0.0002968462756135151	0.0	0.0002213172804532578	0.0	0.0001327903682719547	19681.733091359773	0.0002968460446326318	33	0.0002655807365439094	0.00023607176581680832								
34	TrialState.COMPLETE	0.014139012545528126	2020-01-15 05:48:52.763076	2020-01-15 06:40:29.323376	1.7193795857369962	8.74436123262473	0.011474698854319766	450.0	21.0	0.04792011324262271	800.0	0.6923526076162236	0.0031363820315661677	0.014139012545528126	0.0072086199919061105	0.010117361392148928	14033.692343686767	0.007211725646332809	0.0031363820315661677	0.014139012545528126	0.0072086199919061105	0.010117361392148928	14033.671337515176	0.00721175211519367	0.0031363820315661677	0.014139012545528126	0.0072086199919061105	0.010117361392148928	14033.713349858357	0.007211700289458513	34				0.013279036827195468	0.013780689329556185					
35	TrialState.COMPLETE	0.011710845811412384	2020-01-15 06:40:29.325106	2020-01-15 07:12:26.670063	3.371400176372992	2.5951140272914017	0.010623749721311106	50.0	31.0	0.033749027458606994	500.0	0.8358426978946714	0.0020993524888709026	0.011710845811412384	0.004805746661270741	0.006930392553622015	16943.939877579927	0.005537739335214815	0.0020993524888709026	0.011710845811412384	0.004805746661270741	0.006930392553622015	16943.933781869688	0.005537740155973299	0.0020993524888709026	0.011710845811412384	0.004805746661270741	0.006930392553622015	16943.945973290167	0.005537738519159659	35				0.010587818696883853	0.011242917847025496					
36	TrialState.COMPLETE	0.014297096317280454	2020-01-15 07:12:26.678146	2020-01-15 07:50:40.581275	4.906237964940841	6.115729882136301	0.01619356647775126	50.0	36.0	0.025056114800996655	1500.0	0.8351096156524687	0.0020361189801699716	0.014297096317280454	0.006329674220963173	0.00896334985835694	16928.874679089942	0.006447672756239044	0.0020361189801699716	0.014297096317280454	0.006329674220963173	0.00896334985835694	16928.866036650143	0.006447673061249174	0.0020361189801699716	0.014297096317280454	0.006329674220963173	0.00896334985835694	16928.883321529745	0.006447672451580459	36					0.013161000944287063	0.013810198300283285				
37	TrialState.COMPLETE	0.013161000944287063	2020-01-15 07:50:40.582453	2020-01-15 08:31:36.926486	2.732580227195303	4.322689987741786	0.07928504700643539	50.0	1.0	0.03321533585833898	1500.0	0.7800620731594755	0.002439408246773686	0.013161000944287063	0.005429650613786591	0.0076723323890462705	15812.486199638024	0.006359786611798841	0.002439408246773686	0.013161000944287063	0.005429650613786591	0.0076723323890462705	15812.471651715456	0.006359797116060613	0.002439408246773686	0.013161000944287063	0.005429650613786591	0.0076723323890462705	15812.500747560593	0.006359776335457933	37						0.011710845811412384	0.012526558073654392			
38	TrialState.COMPLETE	0.019232471671388102	2020-01-15 08:31:36.957596	2020-01-15 09:09:05.841540	8.302468020450632	9.781763048041231	0.013480045674806325	50.0	11.0	0.03477769031616181	1400.0	0.7877994882294744	0.002921388101983003	0.019232471671388102	0.008587110481586403	0.011508498583569405	15969.588427319404	0.008709848920531177	0.002921388101983003	0.019232471671388102	0.008587110481586403	0.011508498583569405	15969.581953788951	0.008709849542792216	0.002921388101983003	0.019232471671388102	0.008587110481586403	0.011508498583569405	15969.59490084986	0.0087098483017765	38					0.018029981114258735	0.018717118575475516				
39	TrialState.COMPLETE	0.013101983002832862	2020-01-15 09:09:05.846806	2020-01-15 10:14:33.728981	6.71751836455936	1.7061735608307451	0.02704766497110179	350.0	36.0	0.0150012545400258	2000.0	0.7751687894091494	0.0025180988353792886	0.013101983002832862	0.0057444129682090025	0.007888731507711678	15713.655384403526	0.0064926189090542125	0.0025180988353792886	0.013101983002832862	0.0057444129682090025	0.007888731507711678	15713.62659348442	0.006492621382408756	0.0025180988353792886	0.013101983002832862	0.0057444129682090025	0.007888731507711678	15713.68417532263	0.006492616443427257	39						0.011837312828814246	0.012548689801699717			
40	TrialState.COMPLETE	0.0003541076487252125	2020-01-15 10:14:33.730127	2020-01-15 10:34:13.670169	9.474110030262196	7.212879068454393	0.05183629372622246	350.0	16.0	0.0046939560504782735	1000.0	0.9237356868377063	0.0	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	18727.055971140227	0.0003407577795904731	0.0	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	18727.040589589236	0.0003407599822846322	0.0	0.0003541076487252125	0.00017705382436260624	0.0002213172804532578	18727.07135269122	0.0003407555913423423	40	0.0003541076487252125	0.0003541076487252125								
41	TrialState.COMPLETE	0.013301168555240793	2020-01-15 10:34:13.692425	2020-01-15 11:22:42.113588	9.906955256115584	7.927606338069907	0.028264194004304258	250.0	31.0	0.02153225216511346	700.0	0.7674512879837234	0.0016820113314447592	0.013301168555240793	0.005311614730878187	0.0078125	15557.0471516466	0.006054658406689939	0.0016820113314447592	0.013301168555240793	0.005311614730878187	0.0078125	15557.031382790368	0.006054659996092534	0.0016820113314447592	0.013301168555240793	0.005311614730878187	0.0078125	15557.062920502833	0.00605465682253618	41					0.012010151085930123	0.012747875354107648				
42	TrialState.COMPLETE	0.020597261567516525	2020-01-15 11:22:42.124148	2020-01-15 12:25:22.813655	7.285303483520967	1.1474089688687932	0.023237903305480055	50.0	6.0	0.009154560267397444	1400.0	0.8296236489131579	0.00482471671388102	0.020597261567516525	0.010313385269121813	0.013677407932011332	16817.73076752833	0.010259389066082194	0.00482471671388102	0.020597261567516525	0.010313385269121813	0.013677407932011332	16817.722689447593	0.010259389517844794	0.00482471671388102	0.020597261567516525	0.010313385269121813	0.013677407932011332	16817.738845609067	0.010259388615396619	42									0.01901558073654391	0.019878315735256245
43	TrialState.COMPLETE	0.0006639518413597734	2020-01-15 12:25:22.815211	2020-01-15 12:38:50.153037	3.0075216871705632	6.486572283701067	0.0758373829813873	50.0	16.0	0.006078157335400545	700.0	0.9659946080072855	8.852691218130312e-05	0.0006639518413597734	8.852691218130312e-05	0.0004868980169971671	19583.733224150143	0.0004775375434388391	8.852691218130312e-05	0.0006639518413597734	8.852691218130312e-05	0.0004868980169971671	19583.723796033995	0.0004775381555943277	8.852691218130312e-05	0.0006639518413597734	8.852691218130312e-05	0.0004868980169971671	19583.74265226629	0.0004775369328324414	43	8.852691218130312e-05	0.00047214353163361664								
44	TrialState.COMPLETE	0.0	2020-01-15 12:38:50.155868	2020-01-15 12:58:45.890128	4.546040726582344	5.519980341794103	0.010804235740060245	350.0	31.0	0.0017770676408615678	1700.0	0.9517708267706287	0.0	0.0	0.0	0.0	19295.501637747875	0.00032037927492188704	0.0	0.0	0.0	0.0	19295.49012924929	0.0003203796004699892	0.0	0.0	0.0	0.0	19295.51314624646	0.00032037894964574845	44	0.0	0.0								
45	TrialState.COMPLETE	8.852691218130312e-05	2020-01-15 12:58:45.900475	2020-01-15 13:15:38.558961	8.054486242107178	3.972789250536055	0.08209481390247576	250.0	6.0	0.001352202184252859	1100.0	0.9966620300854464	0.0	8.852691218130312e-05	0.0	0.0	20205.408927939094	0.00021775529271283366	0.0	8.852691218130312e-05	0.0	0.0	20205.398503895183	0.00021775557343756762	0.0	8.852691218130312e-05	0.0	0.0	20205.419351983004	0.00021775501223816762	45	0.0	5.901794145420208e-05								
